Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-8.9,4,7.9,18982,785,156,26,17,3,814707|817460|819566|819940|823912|829682|829783|829913|831162|831224|834133|834768|834896|836596|836767|837479|838310|838487|839173|839732|839733|841047|841271|841856|843165|843388,RR14|GLR2.7|GLR1.1|GLR1.4|AT3G47580|GLUR2|STY2|HLS1|JAZ10|AGL15|GL3|ERF2|GLR1.3|ABR1|SHI|PIF3|JAZ5|ARR7|ERF10|ERF12|ERF11|AT1G44830|JAZ4|NF-YA5|AT1G68360|KNAT2,-6.8
hits,GO Biological Processes,19,GO:0071229,cellular response to acid chemical,19_GO:0050896 response to stimulus,-6.7,4.3,6.9,18982,510,156,18,12,2.6,817460|819566|819940|829682|829783|831162|834133|834768|834896|836596|836767|837479|838310|838887|841047|841271|841856|843165,GLR2.7|GLR1.1|GLR1.4|GLUR2|STY2|JAZ10|GL3|ERF2|GLR1.3|ABR1|SHI|PIF3|JAZ5|AT1G22810|AT1G44830|JAZ4|NF-YA5|AT1G68360,-4.7
hits,GO Biological Processes,19,GO:0009416,response to light stimulus,19_GO:0050896 response to stimulus,-6.3,3.4,6.3,18982,787,156,22,14,2.8,816671|817460|817672|817696|819100|819566|819940|827011|827119|827319|829361|829682|829913|831224|831441|833972|834896|837479|839870|841743|841856|843847,BBX18|GLR2.7|LSH3|STH|HB4|GLR1.1|GLR1.4|CYP83A1|ELIP2|PHYD|IAA29|GLUR2|HLS1|AGL15|CO|HB23|GLR1.3|PIF3|CAB2|SPA4|NF-YA5|JAC1,-4.3
hits,GO Biological Processes,19,GO:0071230,cellular response to amino acid stimulus,19_GO:0050896 response to stimulus,-6.1,28,11,18982,22,156,5,3.2,1.4,817460|819566|819940|829682|834896,GLR2.7|GLR1.1|GLR1.4|GLUR2|GLR1.3,-4.1
hits,GO Biological Processes,19,GO:0045893,"positive regulation of transcription, DNA-templated",19_GO:0048518 positive regulation of biological process,-6.1,4.1,6.5,18982,502,156,17,11,2.5,814784|816679|817674|824138|825047|827101|827500|829783|831224|833972|834768|834925|836165|836767|841047|842243|842694,HB21|SRS3|MYB14|bZIP5|SHP1|NF-YB3|MYB39|STY2|AGL15|HB23|ERF2|AGL80|AGL62|SHI|AT1G44830|bZIP4|AtMYB103,-4.1
hits,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-6,3.4,6.1,18982,749,156,21,13,2.7,814707|823912|829783|829913|831162|831224|834133|834768|836596|836767|837479|838310|838487|839173|839732|839733|841047|841271|841856|843165|843388,RR14|AT3G47580|STY2|HLS1|JAZ10|AGL15|GL3|ERF2|ABR1|SHI|PIF3|JAZ5|ARR7|ERF10|ERF12|ERF11|AT1G44830|JAZ4|NF-YA5|AT1G68360|KNAT2,-4.1
hits,GO Biological Processes,19,GO:1902680,positive regulation of RNA biosynthetic process,19_GO:0048518 positive regulation of biological process,-6,4.1,6.4,18982,504,156,17,11,2.5,814784|816679|817674|824138|825047|827101|827500|829783|831224|833972|834768|834925|836165|836767|841047|842243|842694,HB21|SRS3|MYB14|bZIP5|SHP1|NF-YB3|MYB39|STY2|AGL15|HB23|ERF2|AGL80|AGL62|SHI|AT1G44830|bZIP4|AtMYB103,-4.1
hits,GO Biological Processes,19,GO:1903508,positive regulation of nucleic acid-templated transcription,19_GO:0048518 positive regulation of biological process,-6,4.1,6.4,18982,504,156,17,11,2.5,814784|816679|817674|824138|825047|827101|827500|829783|831224|833972|834768|834925|836165|836767|841047|842243|842694,HB21|SRS3|MYB14|bZIP5|SHP1|NF-YB3|MYB39|STY2|AGL15|HB23|ERF2|AGL80|AGL62|SHI|AT1G44830|bZIP4|AtMYB103,-4.1
hits,GO Biological Processes,19,GO:0009755,hormone-mediated signaling pathway,19_GO:0023052 signaling,-5.9,3.6,6.1,18982,640,156,19,12,2.6,814707|823912|829783|829913|831162|834133|834768|836596|836767|837479|838310|838487|839173|839732|839733|841271|841856|843165|843388,RR14|AT3G47580|STY2|HLS1|JAZ10|GL3|ERF2|ABR1|SHI|PIF3|JAZ5|ARR7|ERF10|ERF12|ERF11|JAZ4|NF-YA5|AT1G68360|KNAT2,-4
hits,GO Biological Processes,19,GO:0072507,divalent inorganic cation homeostasis,19_GO:0065007 biological regulation,-5.8,12,8.5,18982,70,156,7,4.5,1.7,817460|819566|819940|829682|831339|834896|843445,GLR2.7|GLR1.1|GLR1.4|GLUR2|CNGC18|GLR1.3|HIPP20,-3.9
