Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
839870,3.0,1,1,1
829682,3.0,1,1,1
831224,3.0,1,1,1
819940,3.0,1,1,1
828183,3.0,1,1,1
837675,3.0,1,1,1
829135,3.0,1,1,1
817460,3.0,1,1,1
843445,3.0,1,1,1
834896,3.0,1,1,1
819566,3.0,1,1,1
828967,3.0,1,1,1
836772,2.0,1,1,0
837825,2.0,1,1,0
837817,2.0,1,1,0
844795,2.0,1,1,0
819688,2.0,1,1,0
839472,2.0,1,0,1
828984,2.0,1,1,0
844775,2.0,1,1,0
830988,2.0,1,1,0
817674,2.0,1,0,1
825855,2.0,1,0,1
824246,2.0,1,1,0
828645,2.0,1,1,0
837178,2.0,1,1,0
3768804,2.0,1,1,0
816432,2.0,1,1,0
821915,2.0,1,0,1
839201,2.0,1,0,1
843777,2.0,1,0,1
844805,2.0,1,0,1
822023,2.0,1,0,1
838096,2.0,1,0,1
830541,2.0,1,0,1
841743,2.0,1,0,1
837692,2.0,1,0,1
842263,2.0,1,1,0
824138,2.0,1,0,1
834421,2.0,1,0,1
842703,2.0,1,0,1
819100,2.0,1,0,1
822387,2.0,1,0,1
835223,2.0,1,1,0
843954,2.0,1,0,1
831725,2.0,1,0,1
844774,2.0,1,1,0
841099,2.0,1,1,0
827119,2.0,1,0,1
842440,2.0,1,1,0
842449,2.0,1,1,0
830991,2.0,1,1,0
837518,2.0,1,0,1
823912,2.0,1,0,1
840368,2.0,1,0,1
814784,2.0,1,0,1
826774,2.0,1,1,0
818489,2.0,1,0,1
830693,2.0,1,1,0
843474,2.0,1,0,1
822422,2.0,1,1,0
825070,2.0,1,1,0
843431,2.0,1,0,1
841575,2.0,1,0,1
822239,2.0,1,0,1
841995,2.0,1,1,0
817696,2.0,1,0,1
844761,2.0,1,0,1
824077,2.0,1,0,1
835535,2.0,1,0,1
836596,2.0,1,0,1
821779,2.0,1,1,0
838487,2.0,1,0,1
843903,2.0,1,1,0
816679,2.0,1,0,1
814827,2.0,1,1,0
819220,2.0,1,0,1
839733,2.0,1,0,1
819728,2.0,1,1,0
835981,2.0,1,1,0
816209,2.0,1,0,1
831568,2.0,1,1,0
830296,2.0,1,1,0
3768753,2.0,1,0,1
6241209,2.0,1,0,1
828182,2.0,1,1,0
831328,2.0,1,0,1
824120,2.0,1,0,1
826892,2.0,1,1,0
826986,2.0,1,1,0
824010,2.0,1,0,1
840072,2.0,1,0,1
815997,2.0,1,0,1
843262,2.0,1,0,1
2745418,2.0,1,0,1
837671,2.0,1,1,0
824174,2.0,1,0,1
817606,2.0,1,1,0
815342,2.0,1,0,1
829458,2.0,1,1,0
832314,2.0,1,1,0
814707,2.0,1,0,1
818749,2.0,1,1,0
823882,2.0,1,1,0
841694,2.0,1,1,0
829361,2.0,1,0,1
831896,2.0,1,0,1
819730,2.0,1,1,0
824195,2.0,1,0,1
825288,2.0,1,0,1
818837,2.0,1,0,1
821420,2.0,1,0,1
819262,2.0,1,0,1
834133,2.0,1,0,1
829913,2.0,1,0,1
837479,2.0,1,0,1
843671,2.0,1,0,1
833972,2.0,1,0,1
831636,2.0,1,0,1
828784,2.0,1,0,1
819914,2.0,1,0,1
816346,2.0,1,0,1
