Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006310,DNA recombination,19_GO:0008152 metabolic process,-10,2.8,7.7,18982,175,1892,48,2.5,0.36,815890|816716|816748|817930|819743|820123|820506|820589|821180|821254|822040|822331|824375|825124|827058|827156|827577|827651|827854|828016|829211|829352|829406|829727|830284|830659|831710|832240|832338|834339|835166|835495|835822|835850|836267|836473|836489|836573|836584|837893|838834|839457|839681|840448|841279|841684|842384|842815,MCM9|EME1A|EME1B|AT2G33640|RECQI1|MCM8|ATSPO11-1|NAP1;4|AT3G02930|NBS1|MSH7|AT3G27120|GR1|SYN3|PRD1|AT4G14970|SNI1|AT4G19130|BRCA1|FDM2|MUS81|AT4G32190|AT4G32700|RecQl3|AT5G04050|SMC6A|BRCA2B|emb1379|RAD5|AT5G43210|AT5G50930|AT5G54090|ATLIG4|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|AHP2|ZYP1b|AT1G04650|AT1G27880|FANCM|AT1G48580|AT1G52530|RECQ4B|AT1G65070,-6.6,hits
GO Biological Processes,19,GO:0006302,double-strand break repair,19_GO:0050896 response to stimulus,-9.1,2.9,7.3,18982,137,1892,39,2.1,0.33,815890|817930|819743|820123|820506|820589|821254|822331|824375|825124|827156|827651|827854|828016|828049|829211|829727|830631|830659|831710|832240|832338|834082|834339|835822|835850|836267|836473|836489|836573|836584|837592|837726|838484|839681|840448|841684|842384|842991,MCM9|AT2G33640|RECQI1|MCM8|ATSPO11-1|NAP1;4|NBS1|AT3G27120|GR1|SYN3|AT4G14970|AT4G19130|BRCA1|FDM2|PARP2|MUS81|RecQl3|AT5G07400|SMC6A|BRCA2B|emb1379|RAD5|ATR|AT5G43210|ATLIG4|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|Pol{lambda}|AT1G11800|AT1G19025|AT1G27880|FANCM|AT1G52530|RECQ4B|LIG6,-5.6,hits
GO Biological Processes,19,GO:0006974,cellular response to DNA damage stimulus,19_GO:0050896 response to stimulus,-8.9,2,6.7,18982,375,1892,76,4,0.45,815890|816391|816716|816748|817744|817745|817930|819743|820123|820506|820589|821254|822040|822331|822385|823937|824001|824051|824375|825124|826886|827156|827497|827577|827651|827854|828016|828049|829077|829206|829211|829727|830631|830659|830705|831710|832240|832250|832338|834082|834138|834339|834503|834601|834970|835150|835166|835372|835495|835822|835850|836267|836473|836489|836573|836584|836745|837100|837406|837592|837726|837792|838228|838484|838492|839681|840448|841202|841279|841422|841684|842042|842384|842815|842991|844095,MCM9|CHR8|EME1A|EME1B|PARG2|TEJ|AT2G33640|RECQI1|MCM8|ATSPO11-1|NAP1;4|NBS1|MSH7|AT3G27120|AT3G27630|AT3G47830|AT3G48425|AT3G48900|GR1|SYN3|AT4G12740|AT4G14970|AT4G17760|SNI1|AT4G19130|BRCA1|FDM2|PARP2|AT4G29560|AT4G30825|MUS81|RecQl3|AT5G07400|SMC6A|AT5G08110|BRCA2B|emb1379|AT5G21900|RAD5|ATR|XPB2|AT5G43210|POLH|SUV2|AT5G49110|AT5G50780|AT5G50930|AT5G52950|AT5G54090|ATLIG4|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|ATRAD17|NTH2|emb2411|Pol{lambda}|AT1G11800|PHR1|REV7|AT1G19025|DMS11|AT1G27880|FANCM|ATE2F2|AT1G48580|AT1G49980|AT1G52530|AT1G55915|RECQ4B|AT1G65070|LIG6|AT1G77600,-5.6,hits
GO Biological Processes,19,GO:0006281,DNA repair,19_GO:0050896 response to stimulus,-8.7,2.1,6.7,18982,337,1892,70,3.7,0.43,815890|816391|816716|816748|817744|817745|817930|819743|820123|820506|820589|821254|822040|822331|823937|824001|824051|824375|825124|826886|827156|827497|827651|827854|828016|828049|829077|829206|829211|829727|830631|830659|830705|831710|832240|832250|832338|834082|834138|834339|834503|834970|835150|835166|835495|835822|835850|836267|836473|836489|836573|836584|836745|837100|837406|837592|837726|837792|838484|838492|839681|840448|841279|841422|841684|842042|842384|842815|842991|844095,MCM9|CHR8|EME1A|EME1B|PARG2|TEJ|AT2G33640|RECQI1|MCM8|ATSPO11-1|NAP1;4|NBS1|MSH7|AT3G27120|AT3G47830|AT3G48425|AT3G48900|GR1|SYN3|AT4G12740|AT4G14970|AT4G17760|AT4G19130|BRCA1|FDM2|PARP2|AT4G29560|AT4G30825|MUS81|RecQl3|AT5G07400|SMC6A|AT5G08110|BRCA2B|emb1379|AT5G21900|RAD5|ATR|XPB2|AT5G43210|POLH|AT5G49110|AT5G50780|AT5G50930|AT5G54090|ATLIG4|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|ATRAD17|NTH2|emb2411|Pol{lambda}|AT1G11800|PHR1|AT1G19025|DMS11|AT1G27880|FANCM|AT1G48580|AT1G49980|AT1G52530|AT1G55915|RECQ4B|AT1G65070|LIG6|AT1G77600,-5.5,hits
GO Biological Processes,19,GO:0006259,DNA metabolic process,19_GO:0008152 metabolic process,-7.2,1.7,5.8,18982,596,1892,101,5.3,0.52,815890|816391|816716|816748|816875|817744|817745|817892|817930|818083|819743|820123|820506|820589|821180|821254|822040|822331|822385|823508|823937|824001|824006|824051|824375|825124|826886|827058|827156|827497|827577|827651|827854|828016|828049|828244|828245|829077|829206|829211|829254|829352|829406|829727|830284|830631|830659|830705|831018|831710|831792|832240|832250|832338|832610|834044|834082|834138|834339|834503|834970|835150|835166|835372|835495|835780|835822|835850|836267|836473|836489|836573|836584|836745|837100|837238|837339|837406|837592|837726|837792|837893|838484|838492|838834|839457|839681|840340|840448|841202|841279|841422|841559|841684|841923|842042|842384|842815|842991|843305|844095,MCM9|CHR8|EME1A|EME1B|ICK1|PARG2|TEJ|SUVH2|AT2G33640|SUVH5|RECQI1|MCM8|ATSPO11-1|NAP1;4|AT3G02930|NBS1|MSH7|AT3G27120|AT3G27630|DCL3|AT3G47830|AT3G48425|EMB2423|AT3G48900|GR1|SYN3|AT4G12740|PRD1|AT4G14970|AT4G17760|SNI1|AT4G19130|BRCA1|FDM2|PARP2|ENDO4|ENDO3|AT4G29560|AT4G30825|MUS81|AT4G31270|AT4G32190|AT4G32700|RecQl3|AT5G04050|AT5G07400|SMC6A|AT5G08110|AT5G11470|BRCA2B|AT5G02220|emb1379|AT5G21900|RAD5|CYCA2;1|AT5G40460|ATR|XPB2|AT5G43210|POLH|AT5G49110|AT5G50780|AT5G50930|AT5G52950|AT5G54090|ET2|ATLIG4|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|ATRAD17|NTH2|AT1G07270|AT1G08180|emb2411|Pol{lambda}|AT1G11800|PHR1|AHP2|AT1G19025|DMS11|ZYP1b|AT1G04650|AT1G27880|AT1G34380|FANCM|ATE2F2|AT1G48580|AT1G49980|AT1G51355|AT1G52530|AT1G54840|AT1G55915|RECQ4B|AT1G65070|LIG6|TCP15|AT1G77600,-4.1,hits
GO Biological Processes,19,GO:0000725,recombinational repair,19_GO:0050896 response to stimulus,-7.1,2.9,6.4,18982,100,1892,29,1.5,0.28,815890|819743|820123|820589|821254|822331|824375|825124|827651|827854|828016|829211|829727|830659|831710|832240|832338|834339|835850|836267|836473|836489|836573|836584|839681|840448|841279|841684|842384,MCM9|RECQI1|MCM8|NAP1;4|NBS1|AT3G27120|GR1|SYN3|AT4G19130|BRCA1|FDM2|MUS81|RecQl3|SMC6A|BRCA2B|emb1379|RAD5|AT5G43210|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|AT1G27880|FANCM|AT1G48580|AT1G52530|RECQ4B,-4.1,hits
GO Biological Processes,19,GO:0000724,double-strand break repair via homologous recombination,19_GO:0050896 response to stimulus,-7,3,6.4,18982,95,1892,28,1.5,0.28,815890|819743|820123|820589|821254|822331|824375|825124|827651|827854|828016|829211|829727|830659|831710|832240|832338|834339|835850|836267|836473|836489|836573|836584|839681|840448|841684|842384,MCM9|RECQI1|MCM8|NAP1;4|NBS1|AT3G27120|GR1|SYN3|AT4G19130|BRCA1|FDM2|MUS81|RecQl3|SMC6A|BRCA2B|emb1379|RAD5|AT5G43210|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|AT1G27880|FANCM|AT1G52530|RECQ4B,-4.1,hits
GO Biological Processes,19,GO:0009658,chloroplast organization,19_GO:0071840 cellular component organization or biogenesis,-6.4,2.1,5.6,18982,234,1892,49,2.6,0.37,816304|818173|818237|819295|819961|821298|822052|822157|823848|824576|824664|825211|827922|828697|828977|829266|829555|829626|830684|831222|831259|831647|832438|832458|832685|833476|834025|834442|834902|835388|835506|835652|836364|836619|837376|837455|839753|839941|841248|842491|842492|842496|842672|842789|843064|843251|843752|843839|844263,AT2G17940|EMB3114|AT2G36650|PSI-P|AT3G07700|COL2|RSY3|CHUP1|AT3G46950|FLN1|SMZ|SHOT1|AGY1|NFU3|MRL7|ACDO1|AT4G34090|ASE2|AT5G07900|AT5G13770|ABCI11|VAR3|RUP2|AT5G23930|AT5G26160|EGY1|AT5G40270|GLK2|AT5G48470|AT5G53080|PTAC15|AT5G55580|CDF1|AT5G64950|SIG2|CRB|AT1G28530|EMB2279|AT1G48280|AT1G61960|AT1G61970|AT1G62010|MURE|APO1|emb1688|FLN2|AT1G74120|ARC3|AT1G79220,-3.5,hits
GO Biological Processes,19,GO:0009657,plastid organization,19_GO:0071840 cellular component organization or biogenesis,-6.3,1.9,5.5,18982,305,1892,59,3.1,0.4,816304|818173|818237|819185|819295|819961|821298|822052|822157|823814|823848|823899|824576|824664|825211|825304|827144|827922|828697|828977|829266|829555|829626|830684|831222|831259|831647|832376|832438|832458|832685|833476|834025|834442|834902|835388|835506|835652|835994|836364|836619|837376|837455|839753|839941|841248|842491|842492|842496|842672|842789|843064|843189|843251|843502|843752|843839|844263|10723110,AT2G17940|EMB3114|AT2G36650|CPFTSY|PSI-P|AT3G07700|COL2|RSY3|CHUP1|AT3G46610|AT3G46950|NOA1|FLN1|SMZ|SHOT1|AT3G61320|SECE1|AGY1|NFU3|MRL7|ACDO1|AT4G34090|ASE2|AT5G07900|AT5G13770|ABCI11|VAR3|HCF136|RUP2|AT5G23930|AT5G26160|EGY1|AT5G40270|GLK2|AT5G48470|AT5G53080|PTAC15|AT5G55580|AT5G58784|CDF1|AT5G64950|SIG2|CRB|AT1G28530|EMB2279|AT1G48280|AT1G61960|AT1G61970|AT1G62010|MURE|APO1|emb1688|PSRP3/1|FLN2|PDE338|AT1G74120|ARC3|AT1G79220|AT5G60335,-3.5,hits
GO Biological Processes,19,GO:0015979,photosynthesis,19_GO:0008152 metabolic process,-5.4,2.1,5.1,18982,197,1892,41,2.2,0.33,815111|816078|818005|818056|818622|819185|819195|819295|819705|823814|824559|824699|825304|825866|826626|826803|827223|827922|828096|828489|828697|829266|829678|833476|835168|835506|835515|836059|836789|837040|837358|838151|839871|841984|842446|842789|842794|843029|843215|843491|6240517,PGR5|OTP51|LHB1B2|AT2G34910|FER4|CPFTSY|AT2G45870|PSI-P|AT3G05410|AT3G46610|SIGC|PPL1|AT3G61320|PSBQ-2|LHCB5|PGRL1B|PPD1|AGY1|RSH1|NdhS|NFU3|ACDO1|HCF244|EGY1|FUM2|PTAC15|LHCB3|AT5G59400|PSBO1|LPA19|PSAO|LHCB6|CAB1|NDF5|LHCA3|APO1|SIGA|RBCS1A|STN7|AT1G71500|WTF1,-2.6,hits
