_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.3,GO:0032200,telomere organization,M1,1,0
1,-3.1,GO:0046856,phosphatidylinositol dephosphorylation,M1,1,0
1,-6.4,GO:0009658,chloroplast organization,M1,1,0
1,-2.9,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-2.4,GO:1900864,mitochondrial RNA modification,M1,1,0
1,-5,GO:0045786,negative regulation of cell cycle,M1,1,0
1,-2.3,GO:0090615,mitochondrial mRNA processing,M1,1,0
1,-4,GO:0031570,DNA integrity checkpoint,M1,1,0
1,-2.1,GO:0010520,regulation of reciprocal meiotic recombination,M1,1,0
1,-2.5,GO:0009956,radial pattern formation,M1,1,0
1,-2.8,GO:0010087,phloem or xylem histogenesis,M1,1,0
1,-2.3,GO:0043200,response to amino acid,M1,1,0
1,-4.9,GO:0000959,mitochondrial RNA metabolic process,M1,1,0
1,-2.1,GO:1901663,quinone biosynthetic process,M1,1,0
1,-2,GO:0042181,ketone biosynthetic process,M1,1,0
1,-2.5,GO:0019751,polyol metabolic process,M1,1,0
1,-2.9,GO:0046838,phosphorylated carbohydrate dephosphorylation,M1,1,0
1,-2.2,GO:0006458,'de novo' protein folding,M1,1,0
1,-2.1,GO:0046149,pigment catabolic process,M1,1,0
1,-2.9,GO:0044774,mitotic DNA integrity checkpoint,M1,1,0
1,-6.3,GO:0009657,plastid organization,M1,1,0
1,-2.1,GO:0010239,chloroplast mRNA processing,M1,1,0
1,-4.9,GO:0019684,"photosynthesis, light reaction",M1,1,0
1,-2.3,GO:0071214,cellular response to abiotic stimulus,M1,1,0
1,-2.3,GO:0080156,mitochondrial mRNA modification,M1,1,0
1,-2.4,GO:1900871,chloroplast mRNA modification,M1,1,0
1,-2.1,GO:0090057,root radial pattern formation,M1,1,0
1,-7.2,GO:0006259,DNA metabolic process,M1,1,0
1,-2.3,GO:0009767,photosynthetic electron transport chain,M1,1,0
1,-3.5,GO:0000963,mitochondrial RNA processing,M1,1,0
1,-2.2,GO:0009790,embryo development,M1,1,0
1,-2.2,GO:0031425,chloroplast RNA processing,M1,1,0
1,-8.7,GO:0006281,DNA repair,M1,1,0
1,-2.2,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-2.8,GO:0051321,meiotic cell cycle,M1,1,0
1,-2,GO:0071482,cellular response to light stimulus,M1,1,0
1,-2.7,GO:0006816,calcium ion transport,M1,1,0
1,-3.1,GO:0071230,cellular response to amino acid stimulus,M1,1,0
1,-2.3,GO:0104004,cellular response to environmental stimulus,M1,1,0
1,-2.5,ko00195,Photosynthesis,M1,1,0
1,-3.4,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-2,GO:0006282,regulation of DNA repair,M1,1,0
1,-2.6,GO:0044773,mitotic DNA damage checkpoint,M1,1,0
1,-2.5,GO:0045143,homologous chromosome segregation,M1,1,0
1,-2.2,GO:0044818,mitotic G2/M transition checkpoint,M1,1,0
1,-2.4,GO:0034625,"fatty acid elongation, monounsaturated fatty acid",M1,1,0
