Gene,_SCORE_GRP4_,_SCORE_GRP2_,_SCORE_GRP1_,_SCORE_GRP18_,_SCORE_GRP3_,_SCORE_GRP20_,_SCORE_GRP9_,_SCORE_GRP8_,_SCORE_GRP11_,_SCORE_GRP6_,_SCORE_GRP17_,_SCORE_GRP16_,_SCORE_GRP10_,_SCORE_GRP15_,_SCORE_GRP19_,_SCORE_GRP12_,_SCORE_GRP5_,_SCORE_GRP7_,_SCORE_GRP14_,_SCORE_GRP13_,GRP1|19_GO:0006259|-7.198|DNA metabolic process,GRP1|19_GO:0006974|-8.893|cellular response to DNA damage stimulus,GRP1|19_GO:0006281|-8.712|DNA repair,GRP1|19_GO:0006310|-10.355|DNA recombination,GRP1|19_GO:0006302|-9.054|double-strand break repair,GRP1|19_GO:0000725|-7.101|recombinational repair,GRP1|19_GO:0000724|-7.044|double-strand break repair via homologous recombination,GRP2|19_GO:0009657|-6.328|plastid organization,GRP2|19_GO:0009658|-6.410|chloroplast organization,GRP3|19_GO:0015979|-5.403|photosynthesis,"GRP3|19_GO:0019684|-4.866|photosynthesis, light reaction",GRP3|19_GO:0009767|-2.255|photosynthetic electron transport chain,GRP4|19_GO:0009451|-5.346|RNA modification,GRP5|19_GO:0045786|-5.034|negative regulation of cell cycle,GRP5|19_GO:0045930|-3.376|negative regulation of mitotic cell cycle,GRP5|19_GO:0010948|-2.932|negative regulation of cell cycle process,GRP5|19_GO:0051784|-2.120|negative regulation of nuclear division,GRP5|19_GO:0000075|-2.663|cell cycle checkpoint,GRP5|19_GO:0031570|-3.951|DNA integrity checkpoint,GRP5|19_GO:0000077|-3.991|DNA damage checkpoint,GRP5|19_GO:0007093|-2.213|mitotic cell cycle checkpoint,GRP5|19_GO:0044774|-2.942|mitotic DNA integrity checkpoint,GRP5|19_GO:0044773|-2.568|mitotic DNA damage checkpoint,GRP5|19_GO:0031573|-2.072|intra-S DNA damage checkpoint,GRP5|19_GO:0044839|-2.120|cell cycle G2/M phase transition,GRP5|19_GO:0000076|-2.197|DNA replication checkpoint,GRP5|19_GO:0044818|-2.197|mitotic G2/M transition checkpoint,GRP5|19_GO:0010972|-2.197|negative regulation of G2/M transition of mitotic cell cycle,GRP5|19_GO:1902750|-2.197|negative regulation of cell cycle G2/M phase transition,GRP5|19_GO:0033314|-2.085|mitotic DNA replication checkpoint,GRP6|19_GO:0000959|-4.873|mitochondrial RNA metabolic process,GRP6|19_GO:0140053|-2.466|mitochondrial gene expression,GRP6|19_GO:0000963|-3.509|mitochondrial RNA processing,GRP6|19_GO:0090615|-2.305|mitochondrial mRNA processing,GRP7|19_GO:0010212|-4.840|response to ionizing radiation,GRP7|19_GO:0000726|-3.309|non-recombinational repair,GRP7|19_GO:0006303|-2.657|double-strand break repair via nonhomologous end joining,GRP7|19_GO:0010165|-2.085|response to X-ray,GRP8|19_GO:0010087|-2.841|phloem or xylem histogenesis,GRP8|19_GO:0010088|-4.312|phloem development,GRP9|19_GO:0051321|-2.753|meiotic cell cycle,GRP9|19_GO:1903046|-2.131|meiotic cell cycle process,GRP9|19_GO:0140013|-2.360|meiotic nuclear division,GRP9|19_GO:0061982|-3.369|meiosis I cell cycle process,GRP9|19_GO:0007127|-3.267|meiosis I,GRP9|19_GO:0035825|-3.724|homologous recombination,GRP9|19_GO:0007131|-3.724|reciprocal meiotic recombination,GRP9|19_GO:0070192|-2.027|chromosome organization involved in meiotic cell cycle,GRP9|19_GO:0045143|-2.484|homologous chromosome segregation,GRP9|19_GO:0007129|-2.881|synapsis,GRP10|19_GO:0019751|-2.503|polyol metabolic process,GRP10|19_GO:0043647|-2.992|inositol phosphate metabolic process,GRP10|19_GO:0071545|-3.309|inositol phosphate catabolic process,GRP10|19_GO:0046855|-3.309|inositol phosphate dephosphorylation,GRP10|19_GO:0046838|-2.942|phosphorylated carbohydrate dephosphorylation,GRP10|19_GO:0046839|-2.824|phospholipid dephosphorylation,GRP10|19_GO:0046856|-3.074|phosphatidylinositol dephosphorylation,GRP11|19_GO:0006816|-2.677|calcium ion transport,GRP11|19_GO:1901699|-2.078|cellular response to nitrogen compound,GRP11|19_GO:0071417|-3.124|cellular response to organonitrogen compound,GRP11|19_GO:0043200|-2.303|response to amino acid,GRP11|19_GO:0071230|-3.069|cellular response to amino acid stimulus,GRP12|19_GO:1900865|-3.074|chloroplast RNA modification,GRP12|19_GO:1900871|-2.437|chloroplast mRNA modification,GRP13|19_GO:0043335|-3.005|protein unfolding,GRP14|19_GO:0080165|-3.005|callose deposition in phloem sieve plate,GRP15|19_GO:0006040|-2.775|amino sugar metabolic process,GRP15|19_GO:2001289|-2.795|lipid X metabolic process,GRP16|19_GO:0036297|-2.782|interstrand cross-link repair,GRP17|19_GO:0016556|-2.754|mRNA modification,GRP17|19_GO:1900864|-2.397|mitochondrial RNA modification,GRP17|19_GO:0080156|-2.317|mitochondrial mRNA modification,GRP18|19_GO:0104004|-2.278|cellular response to environmental stimulus,GRP18|19_GO:0071214|-2.278|cellular response to abiotic stimulus,GRP18|19_GO:0071478|-2.739|cellular response to radiation,GRP18|19_GO:0071482|-2.041|cellular response to light stimulus,GRP19|19_GO:0009956|-2.538|radial pattern formation,GRP19|19_GO:0090057|-2.085|root radial pattern formation,GRP20|24_ko00195|-2.528|Photosynthesis,GRP20|24_ath00195|-2.528|Photosynthesis,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_,_SORT_GRP15_,_SORT_GRP16_,_SORT_GRP17_,_SORT_GRP18_,_SORT_GRP19_,_SORT_GRP20_
829546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839871,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
819195,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6241015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828489,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834044,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,86,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
