Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0009888,tissue development,19_GO:0032502 developmental process,-6.2,2.9,6,18982,687,270,28,10,1.9,817587|817956|818303|821096|821097|821240|823778|827760|828044|828084|829773|830772|830908|831001|831648|831745|834197|835401|836269|836364|837843|839256|840078|841654|842568|842669|843524|843915,CHAL|ETT|TTG2|SEOa|SEOR1|RPK2|MEE39|GSO1|FRI|JLO|NAC076|AT5G08720|CYCD4;2|CYC3B|MYB56|RPL|AT5G41920|TRY|PXY|CDF1|SCRM2|HDG2|BRX|ROPGEF11|ANAC026|EGL3|VND7|CLV1,-2.4
hits,GO Biological Processes,19,GO:0030154,cell differentiation,19_GO:0032502 developmental process,-5.5,2.8,5.5,18982,661,270,26,9.6,1.8,817587|817659|817956|818303|820317|820732|821226|824293|825287|827542|827760|829773|829824|830415|834197|835401|837843|839256|840078|841654|842568|842669|843524|843704|843915|843943,CHAL|TCP10|ETT|TTG2|MYB65|TCP4|NAC045|ROP1|HDG1|WRKY28|GSO1|NAC076|HAM4|AT5G05330|AT5G41920|TRY|SCRM2|HDG2|BRX|ROPGEF11|ANAC026|EGL3|VND7|CDKD1;1|CLV1|AT1G76110,-2.2
hits,GO Biological Processes,19,GO:0048827,phyllome development,19_GO:0032501 multicellular organismal process,-5.5,2.9,5.6,18982,580,270,24,8.9,1.7,815176|816875|816908|817659|819156|819239|820317|820732|820793|821240|824270|824961|826715|827542|827995|829541|831648|833957|834143|834197|834442|837989|842873|843305,GRF6|ICK1|BLH4|TCP10|GRF9|CRF5|MYB65|TCP4|IAA19|RPK2|STY1|SPL15|CRF1|WRKY28|GIF3|OST1|MYB56|NAC6|BEL1|AT5G41920|GLK2|PKS2|AS2|TCP15,-2.2
hits,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-5.1,2.5,5.2,18982,785,270,28,10,1.9,816538|817689|819566|820317|820538|824270|824311|828084|829541|829836|830401|831648|834444|837479|838487|839549|840078|840371|840475|840859|841047|842010|842288|842669|842953|843407|843524|843577,PIL5|LBD14|GLR1.1|MYB65|BRL3|STY1|GLR3.6|JLO|OST1|HOS3-1|AT5G05190|MYB56|ERF9|PIF3|ARR7|ERS2|BRX|MYB93|AT1G35710|GLR3.3|AT1G44830|BRL1|ARR3|EGL3|RGL1|TIFY7|VND7|JAZ6,-2.1
hits,GO Biological Processes,19,GO:0001708,cell fate specification,19_GO:0032502 developmental process,-5,12,7.9,18982,35,270,6,2.2,0.9,817956|818303|827542|827760|834197|842669,ETT|TTG2|WRKY28|GSO1|AT5G41920|EGL3,-2.1
hits,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-5,2.5,5.1,18982,749,270,27,10,1.8,816538|817689|820317|820538|824270|824311|828084|829541|829836|830401|831648|834444|837479|838487|839549|840078|840371|840475|840859|841047|842010|842288|842669|842953|843407|843524|843577,PIL5|LBD14|MYB65|BRL3|STY1|GLR3.6|JLO|OST1|HOS3-1|AT5G05190|MYB56|ERF9|PIF3|ARR7|ERS2|BRX|MYB93|AT1G35710|GLR3.3|AT1G44830|BRL1|ARR3|EGL3|RGL1|TIFY7|VND7|JAZ6,-2.1
hits,GO Biological Processes,19,GO:0010087,phloem or xylem histogenesis,19_GO:0032502 developmental process,-4.7,6,6.2,18982,105,270,9,3.3,1.1,821096|821097|828084|829773|831745|836269|840078|842568|843524,SEOa|SEOR1|JLO|NAC076|RPL|PXY|BRX|ANAC026|VND7,-1.9
hits,GO Biological Processes,19,GO:0051093,negative regulation of developmental process,19_GO:0048519 negative regulation of biological process,-4.7,4.7,5.8,18982,163,270,11,4.1,1.2,816538|817587|818199|825287|828044|831648|834442|839256|840371|842953|842999,PIL5|CHAL|ABI5|HDG1|FRI|MYB56|GLK2|HDG2|MYB93|RGL1|AT1G66810,-1.9
hits,KEGG Pathway,24,ko04075,Plant hormone signal transduction,,-4.5,3.7,5.3,18982,267,270,14,5.2,1.3,817956|818199|820793|825383|829541|837479|838070|838487|839290|839549|842288|842953|843407|843577,ETT|ABI5|IAA19|IAA30|OST1|PIF3|IAA34|ARR7|IAA10|ERS2|ARR3|RGL1|TIFY7|JAZ6,-1.9
hits,KEGG Pathway,24,ath04075,Plant hormone signal transduction,,-4.5,3.7,5.3,18982,267,270,14,5.2,1.3,817956|818199|820793|825383|829541|837479|838070|838487|839290|839549|842288|842953|843407|843577,ETT|ABI5|IAA19|IAA30|OST1|PIF3|IAA34|ARR7|IAA10|ERS2|ARR3|RGL1|TIFY7|JAZ6,-1.9
