Cluster,Score,Type,Gene,Symbol,Network
2,2.4285714285714284,Clustered,817659,TCP10,hits_SUB1
2,2.4285714285714284,Clustered,820732,TCP4,hits_SUB1
2,2.4285714285714284,Clustered,843305,TCP15,hits_SUB1
2,2.4285714285714284,Clustered,842999,AT1G66810,hits_SUB1
2,2.4285714285714284,Clustered,832593,KNAT3,hits_SUB1
2,2.4285714285714284,Seed,818109,AT2G35430,hits_SUB1
2,2.4285714285714284,Clustered,831648,MYB56,hits_SUB1
4,1.0,Clustered,839349,CIPK9,hits_SUB1
4,1.0,Clustered,840078,BRX,hits_SUB1
4,1.0,Seed,832291,AT5G22310,hits_SUB1
1,1.4000000000000001,Clustered,834624,AT5G45840,hits_SUB2
1,1.4000000000000001,Clustered,836491,AT5G63710,hits_SUB2
1,1.4000000000000001,Clustered,837270,AT1G07560,hits_SUB2
1,1.4000000000000001,Clustered,840475,AT1G35710,hits_SUB2
1,1.4000000000000001,Clustered,836700,HSL2,hits_SUB2
1,1.4000000000000001,Clustered,827760,GSO1,hits_SUB2
1,1.4000000000000001,Clustered,832662,AT5G25930,hits_SUB2
1,1.4000000000000001,Clustered,842010,BRL1,hits_SUB2
1,1.4000000000000001,Clustered,820538,BRL3,hits_SUB2
1,1.4000000000000001,Clustered,822143,NIK2,hits_SUB2
3,1.0,Clustered,835413,AT5G53320,hits_SUB2
3,1.0,Clustered,842597,AT1G62950,hits_SUB2
3,1.0,Seed,838353,PEPR2,hits_SUB2
3,1.0,Clustered,824185,AT3G50230,hits_SUB2
5,1.0,Clustered,817745,TEJ,hits_SUB13
5,1.0,Clustered,828049,PARP2,hits_SUB13
5,1.0,Seed,817744,PARG2,hits_SUB13
