Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
828049,3.0,1,1,1
840859,3.0,1,1,1
835822,3.0,1,1,1
840078,3.0,1,1,1
829854,3.0,1,1,1
817745,3.0,1,1,1
822331,3.0,1,1,1
819077,3.0,1,1,1
816875,3.0,1,1,1
824293,3.0,1,1,1
841559,3.0,1,1,1
821240,3.0,1,1,1
829836,3.0,1,1,1
838400,3.0,1,1,1
835185,3.0,1,1,1
843676,3.0,1,1,1
823622,3.0,1,1,1
821226,3.0,1,1,1
828391,3.0,1,1,1
844802,3.0,1,1,1
821097,3.0,1,1,1
818336,3.0,1,1,1
840007,3.0,1,1,1
842999,3.0,1,1,1
826803,3.0,1,1,1
844343,3.0,1,1,1
821397,3.0,1,1,1
844187,3.0,1,1,1
829352,3.0,1,1,1
837592,3.0,1,1,1
830372,3.0,1,1,1
819566,3.0,1,1,1
834624,3.0,1,1,1
831792,3.0,1,1,1
830842,3.0,1,1,1
830772,3.0,1,1,1
829773,3.0,1,1,1
824311,3.0,1,1,1
825513,3.0,1,1,1
839457,3.0,1,1,1
815111,3.0,1,1,1
831001,3.0,1,1,1
821096,3.0,1,1,1
817744,3.0,1,1,1
842568,3.0,1,1,1
840475,2.0,1,0,1
825382,2.0,1,0,1
824699,2.0,1,1,0
827251,2.0,1,0,1
820653,2.0,1,1,0
830659,2.0,1,1,0
820589,2.0,1,1,0
841167,2.0,1,1,0
827969,2.0,1,0,1
838834,2.0,1,1,0
831745,2.0,1,0,1
825089,2.0,1,0,1
841202,2.0,1,0,1
840184,2.0,1,0,1
820317,2.0,1,0,1
829469,2.0,1,1,0
842010,2.0,1,0,1
830380,2.0,1,1,0
829077,2.0,1,1,0
833978,2.0,1,0,1
828593,2.0,1,1,0
836120,2.0,1,0,1
829437,2.0,1,0,1
829892,2.0,1,1,0
839290,2.0,1,0,1
834953,2.0,1,1,0
824051,2.0,1,1,0
822172,2.0,1,0,1
829016,2.0,1,1,0
826735,2.0,1,0,1
841874,2.0,1,0,1
827156,2.0,1,1,0
844150,2.0,1,1,0
828526,2.0,1,0,1
839747,2.0,1,1,0
820208,2.0,1,1,0
843943,2.0,1,0,1
832662,2.0,1,0,1
830058,2.0,1,0,1
823832,2.0,1,1,0
817448,2.0,1,0,1
816578,2.0,1,1,0
819998,2.0,1,0,1
830401,2.0,1,0,1
819239,2.0,1,0,1
837639,2.0,1,1,0
842938,2.0,1,1,0
822040,2.0,1,1,0
829211,2.0,1,1,0
3770304,2.0,1,0,1
837069,2.0,1,1,0
842597,2.0,1,0,1
838442,2.0,1,0,1
836573,2.0,1,1,0
817515,2.0,1,0,1
816391,2.0,1,1,0
837479,2.0,1,0,1
828091,2.0,1,0,1
818703,2.0,1,1,0
824349,2.0,1,1,0
839932,2.0,1,1,0
827999,2.0,1,0,1
816530,2.0,1,0,1
829364,2.0,1,0,1
841279,2.0,1,1,0
838492,2.0,1,1,0
831856,2.0,1,1,0
836858,2.0,1,1,0
830908,2.0,1,0,1
818109,2.0,1,0,1
819646,2.0,1,0,1
835845,2.0,1,1,0
834637,2.0,1,1,0
818413,2.0,1,0,1
820732,2.0,1,0,1
829075,2.0,1,1,0
831795,2.0,1,0,1
831647,2.0,1,1,0
829232,2.0,1,0,1
837784,2.0,1,1,0
838070,2.0,1,0,1
832648,2.0,1,0,1
824185,2.0,1,0,1
836700,2.0,1,0,1
844263,2.0,1,0,1
816312,2.0,1,0,1
834014,2.0,1,0,1
843140,2.0,1,0,1
828492,2.0,1,0,1
816816,2.0,1,0,1
842669,2.0,1,0,1
6240517,2.0,1,1,0
842903,2.0,1,0,1
837123,2.0,1,1,0
824770,2.0,1,1,0
819561,2.0,1,1,0
837989,2.0,1,0,1
837070,2.0,1,0,1
832737,2.0,1,0,1
841047,2.0,1,0,1
837803,2.0,1,0,1
814998,2.0,1,1,0
838353,2.0,1,0,1
835388,2.0,1,1,0
828832,2.0,1,0,1
824281,2.0,1,0,1
830415,2.0,1,0,1
818199,2.0,1,0,1
839549,2.0,1,0,1
835166,2.0,1,1,0
836489,2.0,1,1,0
834037,2.0,1,1,0
828084,2.0,1,0,1
833692,2.0,1,1,0
836313,2.0,1,0,1
824131,2.0,1,0,1
825383,2.0,1,0,1
836364,2.0,1,0,1
827497,2.0,1,1,0
823908,2.0,1,1,0
817956,2.0,1,0,1
839453,2.0,1,1,0
829613,2.0,1,0,1
816757,2.0,1,1,0
822348,2.0,1,0,1
819185,2.0,1,1,0
820793,2.0,1,0,1
822033,2.0,1,0,1
843771,2.0,1,1,0
814823,2.0,1,0,1
839681,2.0,1,1,0
820768,2.0,1,1,0
842266,2.0,1,0,1
818718,2.0,1,0,1
839941,2.0,1,1,0
824961,2.0,1,0,1
838219,2.0,1,1,0
819562,2.0,1,0,1
841984,2.0,1,1,0
837630,2.0,1,0,1
817526,2.0,1,1,0
819156,2.0,1,0,1
824551,2.0,1,1,0
843524,2.0,1,0,1
819295,2.0,1,1,0
821904,2.0,1,0,1
821642,2.0,1,1,0
838174,2.0,1,1,0
836267,2.0,1,1,0
831308,2.0,1,1,0
828784,2.0,1,0,1
815890,2.0,1,1,0
832619,2.0,1,0,1
818994,2.0,1,1,0
842789,2.0,1,1,0
841778,2.0,1,0,1
837800,2.0,1,0,1
836653,2.0,1,0,1
838484,2.0,1,1,0
817349,2.0,1,1,0
817771,2.0,1,1,0
834044,2.0,1,1,0
836491,2.0,1,0,1
816521,2.0,1,1,0
821254,2.0,1,1,0
836553,2.0,1,1,0
843189,2.0,1,0,1
835648,2.0,1,1,0
840438,2.0,1,0,1
816909,2.0,1,1,0
841346,2.0,1,0,1
818303,2.0,1,0,1
822418,2.0,1,0,1
826407,2.0,1,1,0
816577,2.0,1,1,0
824014,2.0,1,0,1
831553,2.0,1,0,1
840448,2.0,1,1,0
815176,2.0,1,0,1
827854,2.0,1,1,0
828396,2.0,1,1,0
825866,2.0,1,1,0
824664,2.0,1,0,1
820459,2.0,1,1,0
818173,2.0,1,0,1
827984,2.0,1,1,0
836521,2.0,1,1,0
828855,2.0,1,0,1
823984,2.0,1,0,1
822143,2.0,1,0,1
842953,2.0,1,0,1
840016,2.0,1,0,1
841654,2.0,1,0,1
843215,2.0,1,0,1
842436,2.0,1,0,1
835150,2.0,1,1,0
821922,2.0,1,0,1
844773,2.0,1,1,0
816019,2.0,1,0,1
824375,2.0,1,1,0
828089,2.0,1,0,1
828144,2.0,1,0,1
816036,2.0,1,1,0
835372,2.0,1,1,0
841218,2.0,1,0,1
819273,2.0,1,0,1
840114,2.0,1,1,0
833975,2.0,1,0,1
815830,2.0,1,1,0
834339,2.0,1,1,0
818005,2.0,1,1,0
830991,2.0,1,1,0
10723064,2.0,1,1,0
816545,2.0,1,1,0
835615,2.0,1,1,0
832291,2.0,1,0,1
831376,2.0,1,0,1
838945,2.0,1,1,0
826715,2.0,1,0,1
836359,2.0,1,1,0
832021,2.0,1,1,0
820905,2.0,1,0,1
836091,2.0,1,0,1
842991,2.0,1,1,0
818321,2.0,1,1,0
831215,2.0,1,0,1
824844,2.0,1,0,1
842446,2.0,1,1,0
824270,2.0,1,0,1
835401,2.0,1,0,1
838157,2.0,1,1,0
834334,2.0,1,0,1
831393,2.0,1,1,0
836584,2.0,1,1,0
816231,2.0,1,1,0
817930,2.0,1,1,0
819262,2.0,1,0,1
829252,2.0,1,0,1
824228,2.0,1,0,1
832376,2.0,1,0,1
824080,2.0,1,0,1
827271,2.0,1,1,0
838180,2.0,1,1,0
831591,2.0,1,1,0
818230,2.0,1,1,0
830705,2.0,1,1,0
828968,2.0,1,1,0
829541,2.0,1,0,1
835413,2.0,1,0,1
820168,2.0,1,0,1
818083,2.0,1,0,1
830639,2.0,1,0,1
834601,2.0,1,1,0
827542,2.0,1,0,1
834143,2.0,1,0,1
843810,2.0,1,1,0
842384,2.0,1,1,0
835178,2.0,1,0,1
837934,2.0,1,0,1
838294,2.0,1,0,1
839349,2.0,1,0,1
822385,2.0,1,1,0
819811,2.0,1,0,1
840311,2.0,1,1,0
831802,2.0,1,0,1
827651,2.0,1,1,0
835850,2.0,1,1,0
828489,2.0,1,1,0
817587,2.0,1,0,1
843800,2.0,1,1,0
838160,2.0,1,0,1
834082,2.0,1,1,0
816861,2.0,1,0,1
832628,2.0,1,1,0
819943,2.0,1,0,1
831433,2.0,1,1,0
831732,2.0,1,1,0
837741,2.0,1,0,1
820944,2.0,1,0,1
843550,2.0,1,0,1
832465,2.0,1,0,1
829899,2.0,1,0,1
836812,2.0,1,1,0
835218,2.0,1,0,1
818830,2.0,1,0,1
816824,2.0,1,0,1
842952,2.0,1,1,0
821180,2.0,1,1,0
821671,2.0,1,1,0
830631,2.0,1,0,1
844054,2.0,1,1,0
831979,2.0,1,1,0
842288,2.0,1,0,1
836619,2.0,1,1,0
837238,2.0,1,1,0
835253,2.0,1,0,1
843655,2.0,1,0,1
839417,2.0,1,0,1
824006,2.0,1,1,0
817800,2.0,1,1,0
842247,2.0,1,0,1
842065,2.0,1,0,1
839880,2.0,1,1,0
5007842,2.0,1,1,0
837843,2.0,1,0,1
838721,2.0,1,1,0
834243,2.0,1,0,1
824519,2.0,1,0,1
829727,2.0,1,1,0
817892,2.0,1,0,1
817047,2.0,1,0,1
826696,2.0,1,0,1
