Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006259,DNA metabolic process,19_GO:0008152 metabolic process,-11,1.9,7.5,18982,596,1907,114,6,0.54,816136|816391|816716|816875|817436|817744|817745|817930|818083|818332|818827|819713|819743|820085|820123|820589|820954|821180|821254|821455|821860|822021|822040|822331|822385|823508|823937|824001|824006|824051|824375|825124|826875|826886|827058|827121|827497|827577|827651|827854|828016|828049|828244|828245|828390|828599|828615|829077|829206|829211|829254|829352|829406|829727|830284|830631|830674|830705|831023|831710|831792|832154|832208|832240|832250|832338|832610|834082|834138|834339|834424|834503|834970|835101|835150|835372|835514|835780|835850|835898|836101|836267|836473|836489|836573|836584|836745|837238|837339|837406|837592|837726|837792|837893|838492|838834|839045|839457|839681|840340|840448|841202|841279|841422|841506|841684|841923|842042|842384|842919|842991|843305|844068|844095,DRD1|CHR8|EME1A|ICK1|AT2G28870|PARG2|TEJ|AT2G33640|SUVH5|ORC2|UVI4|RAD9|RECQI1|TAC1|MCM8|NAP1;4|NRPB9A|AT3G02930|NBS1|RAD54|DMC1|MSH1|MSH7|AT3G27120|AT3G27630|DCL3|AT3G47830|AT3G48425|EMB2423|AT3G48900|GR1|SYN3|ORC1B|AT4G12740|PRD1|ORC1A|AT4G17760|SNI1|AT4G19130|BRCA1|FDM2|PARP2|ENDO4|ENDO3|FZR2|AT4G24970|SRS2|AT4G29560|AT4G30825|MUS81|AT4G31270|AT4G32190|AT4G32700|RecQl3|AT5G04050|AT5G07400|AT5G07810|AT5G08110|MYB3R-4|BRCA2B|AT5G02220|DCL4|RAD51|emb1379|AT5G21900|RAD5|CYCA2;1|ATR|XPB2|AT5G43210|AT5G44010|POLH|AT5G49110|AT5G50340|AT5G50780|AT5G52950|MRE11|ET2|XRCC3|MPS1|MBD7|MIM|RMI1|AT5G63690|XRCC2|FAS2|ATRAD17|AT1G07270|AT1G08180|emb2411|Pol{lambda}|AT1G11800|PHR1|AHP2|DMS11|ZYP1b|AT1G24290|AT1G04650|AT1G27880|AT1G34380|FANCM|ATE2F2|AT1G48580|AT1G49980|POLGAMMA2|AT1G52530|AT1G54840|AT1G55915|RECQ4B|VIM2|LIG6|TCP15|MEI1|AT1G77600,-7.3,hits
GO Biological Processes,19,GO:0006974,cellular response to DNA damage stimulus,19_GO:0050896 response to stimulus,-11,2.2,7.5,18982,375,1907,81,4.2,0.46,816391|816716|817744|817745|817930|819713|819743|820123|820589|820954|821254|821455|821860|822021|822040|822331|822385|823937|824001|824051|824375|825124|826886|827497|827577|827651|827854|828016|828049|828599|828615|829077|829206|829211|829727|830631|830674|830705|831710|832208|832240|832250|832338|834082|834138|834339|834424|834503|834601|834970|835101|835150|835372|835514|835567|835850|836208|836267|836473|836489|836573|836584|836745|837406|837592|837726|837792|838228|838492|839045|839681|840448|841202|841279|841422|841684|842042|842384|842991|844068|844095,CHR8|EME1A|PARG2|TEJ|AT2G33640|RAD9|RECQI1|MCM8|NAP1;4|NRPB9A|NBS1|RAD54|DMC1|MSH1|MSH7|AT3G27120|AT3G27630|AT3G47830|AT3G48425|AT3G48900|GR1|SYN3|AT4G12740|AT4G17760|SNI1|AT4G19130|BRCA1|FDM2|PARP2|AT4G24970|SRS2|AT4G29560|AT4G30825|MUS81|RecQl3|AT5G07400|AT5G07810|AT5G08110|BRCA2B|RAD51|emb1379|AT5G21900|RAD5|ATR|XPB2|AT5G43210|AT5G44010|POLH|SUV2|AT5G49110|AT5G50340|AT5G50780|AT5G52950|MRE11|THI1|XRCC3|RUG3|MIM|RMI1|AT5G63690|XRCC2|FAS2|ATRAD17|emb2411|Pol{lambda}|AT1G11800|PHR1|REV7|DMS11|AT1G24290|AT1G27880|FANCM|ATE2F2|AT1G48580|AT1G49980|AT1G52530|AT1G55915|RECQ4B|LIG6|MEI1|AT1G77600,-7.2,hits
GO Biological Processes,19,GO:0006281,DNA repair,19_GO:0050896 response to stimulus,-9.4,2.1,7,18982,337,1907,72,3.8,0.44,816391|816716|817744|817745|817930|819713|819743|820123|820589|820954|821254|821455|821860|822021|822040|822331|823937|824001|824051|824375|825124|826886|827497|827651|827854|828016|828049|828599|828615|829077|829206|829211|829727|830631|830674|830705|831710|832208|832240|832250|832338|834082|834138|834339|834424|834503|834970|835101|835150|835514|835850|836267|836473|836489|836573|836584|836745|837406|837592|837726|837792|838492|839045|839681|840448|841279|841422|841684|842042|842384|842991|844095,CHR8|EME1A|PARG2|TEJ|AT2G33640|RAD9|RECQI1|MCM8|NAP1;4|NRPB9A|NBS1|RAD54|DMC1|MSH1|MSH7|AT3G27120|AT3G47830|AT3G48425|AT3G48900|GR1|SYN3|AT4G12740|AT4G17760|AT4G19130|BRCA1|FDM2|PARP2|AT4G24970|SRS2|AT4G29560|AT4G30825|MUS81|RecQl3|AT5G07400|AT5G07810|AT5G08110|BRCA2B|RAD51|emb1379|AT5G21900|RAD5|ATR|XPB2|AT5G43210|AT5G44010|POLH|AT5G49110|AT5G50340|AT5G50780|MRE11|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|ATRAD17|emb2411|Pol{lambda}|AT1G11800|PHR1|DMS11|AT1G24290|AT1G27880|FANCM|AT1G48580|AT1G49980|AT1G52530|AT1G55915|RECQ4B|LIG6|AT1G77600,-6,hits
GO Biological Processes,19,GO:0006310,DNA recombination,19_GO:0008152 metabolic process,-9.2,2.6,7.2,18982,175,1907,46,2.4,0.35,816716|817930|819743|820123|820589|821180|821254|821455|821860|822040|822331|824375|825124|827058|827577|827651|827854|828016|828615|829211|829352|829406|829727|830284|831710|832208|832240|832338|834339|835514|835850|835898|836267|836473|836489|836573|836584|837893|838834|839457|839681|840448|841279|841684|842384|844068,EME1A|AT2G33640|RECQI1|MCM8|NAP1;4|AT3G02930|NBS1|RAD54|DMC1|MSH7|AT3G27120|GR1|SYN3|PRD1|SNI1|AT4G19130|BRCA1|FDM2|SRS2|MUS81|AT4G32190|AT4G32700|RecQl3|AT5G04050|BRCA2B|RAD51|emb1379|RAD5|AT5G43210|MRE11|XRCC3|MPS1|MIM|RMI1|AT5G63690|XRCC2|FAS2|AHP2|ZYP1b|AT1G04650|AT1G27880|FANCM|AT1G48580|AT1G52530|RECQ4B|MEI1,-6,hits
GO Biological Processes,19,GO:0000725,recombinational repair,19_GO:0050896 response to stimulus,-8.9,3.2,7.3,18982,100,1907,32,1.7,0.29,819743|820123|820589|821254|821455|821860|822331|824375|825124|827651|827854|828016|828615|829211|829727|831710|832208|832240|832338|834339|835514|835850|836267|836473|836489|836573|836584|839681|840448|841279|841684|842384,RECQI1|MCM8|NAP1;4|NBS1|RAD54|DMC1|AT3G27120|GR1|SYN3|AT4G19130|BRCA1|FDM2|SRS2|MUS81|RecQl3|BRCA2B|RAD51|emb1379|RAD5|AT5G43210|MRE11|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|AT1G27880|FANCM|AT1G48580|AT1G52530|RECQ4B,-5.8,hits
GO Biological Processes,19,GO:0045786,negative regulation of cell cycle,19_GO:0048519 negative regulation of biological process,-8.7,3.4,7.4,18982,81,1907,28,1.5,0.28,816875|817436|819713|821254|822331|822385|826875|827121|827497|827854|829211|830434|831792|834082|834601|835372|835514|836489|836745|837238|837339|839453|839457|840448|841386|841414|841684|843272,ICK1|AT2G28870|RAD9|NBS1|AT3G27120|AT3G27630|ORC1B|ORC1A|AT4G17760|BRCA1|MUS81|AT5G05510|AT5G02220|ATR|SUV2|AT5G52950|MRE11|AT5G63690|ATRAD17|AT1G07270|AT1G08180|WEE1|AT1G04650|FANCM|ICK5|BUB3.2|AT1G52530|AT1G69400,-5.7,hits
GO Biological Processes,19,GO:0000724,double-strand break repair via homologous recombination,19_GO:0050896 response to stimulus,-8.2,3.1,7,18982,95,1907,30,1.6,0.28,819743|820123|820589|821254|821455|821860|822331|824375|825124|827651|827854|828016|829211|829727|831710|832208|832240|832338|834339|835514|835850|836267|836473|836489|836573|836584|839681|840448|841684|842384,RECQI1|MCM8|NAP1;4|NBS1|RAD54|DMC1|AT3G27120|GR1|SYN3|AT4G19130|BRCA1|FDM2|MUS81|RecQl3|BRCA2B|RAD51|emb1379|RAD5|AT5G43210|MRE11|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|AT1G27880|FANCM|AT1G52530|RECQ4B,-5.2,hits
GO Biological Processes,19,GO:0006302,double-strand break repair,19_GO:0050896 response to stimulus,-7.9,2.7,6.6,18982,137,1907,37,1.9,0.32,817930|819743|820123|820589|821254|821455|821860|822331|824375|825124|827651|827854|828016|828049|829211|829727|830631|831710|832208|832240|832338|834082|834339|835514|835850|836267|836473|836489|836573|836584|837592|837726|839681|840448|841684|842384|842991,AT2G33640|RECQI1|MCM8|NAP1;4|NBS1|RAD54|DMC1|AT3G27120|GR1|SYN3|AT4G19130|BRCA1|FDM2|PARP2|MUS81|RecQl3|AT5G07400|BRCA2B|RAD51|emb1379|RAD5|ATR|AT5G43210|MRE11|XRCC3|MIM|RMI1|AT5G63690|XRCC2|FAS2|Pol{lambda}|AT1G11800|AT1G27880|FANCM|AT1G52530|RECQ4B|LIG6,-5,hits
GO Biological Processes,19,GO:0000075,cell cycle checkpoint,19_GO:0048519 negative regulation of biological process,-6.7,4,6.6,18982,42,1907,17,0.89,0.22,819713|821254|826875|827121|827497|829211|830434|834082|835372|835514|836489|836745|837238|839453|841414|841684|843272,RAD9|NBS1|ORC1B|ORC1A|AT4G17760|MUS81|AT5G05510|ATR|AT5G52950|MRE11|AT5G63690|ATRAD17|AT1G07270|WEE1|BUB3.2|AT1G52530|AT1G69400,-3.8,hits
GO Biological Processes,19,GO:0045930,negative regulation of mitotic cell cycle,19_GO:0048519 negative regulation of biological process,-6.5,3.6,6.4,18982,52,1907,19,1,0.23,817436|819713|821254|822385|826875|827121|829211|830434|831792|835372|835514|836489|836745|837238|837339|839453|841414|841684|843272,AT2G28870|RAD9|NBS1|AT3G27630|ORC1B|ORC1A|MUS81|AT5G05510|AT5G02220|AT5G52950|MRE11|AT5G63690|ATRAD17|AT1G07270|AT1G08180|WEE1|BUB3.2|AT1G52530|AT1G69400,-3.8,hits
