_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.3,GO:0000963,mitochondrial RNA processing,M1,1,0
1,-2.1,GO:0080135,regulation of cellular response to stress,M1,1,0
1,-3.8,GO:1900865,chloroplast RNA modification,M1,1,0
1,-2,GO:1903047,mitotic cell cycle process,M1,1,0
1,-3.5,GO:0044773,mitotic DNA damage checkpoint,M1,1,0
1,-2.3,GO:0090615,mitochondrial mRNA processing,M1,1,0
1,-6,GO:0051321,meiotic cell cycle,M1,1,0
1,-2.1,GO:0051447,negative regulation of meiotic cell cycle,M1,1,0
1,-2,GO:1990066,energy quenching,M1,1,0
1,-2.9,GO:0070192,chromosome organization involved in meiotic cell cycle,M1,1,0
1,-2.1,GO:2000652,regulation of secondary cell wall biogenesis,M1,1,0
1,-3.7,GO:0045003,double-strand break repair via synthesis-dependent strand annealing,M1,1,0
1,-2.2,GO:0046838,phosphorylated carbohydrate dephosphorylation,M1,1,0
1,-3.6,GO:1902749,regulation of cell cycle G2/M phase transition,M1,1,0
1,-5.4,GO:0000280,nuclear division,M1,1,0
1,-3.5,GO:0006261,DNA-dependent DNA replication,M1,1,0
1,-2.1,GO:0098813,nuclear chromosome segregation,M1,1,0
1,-2.8,GO:0051052,regulation of DNA metabolic process,M1,1,0
1,-3.7,GO:0071479,cellular response to ionizing radiation,M1,1,0
1,-2.1,GO:0045835,negative regulation of meiotic nuclear division,M1,1,0
1,-3.8,GO:0007346,regulation of mitotic cell cycle,M1,1,0
1,-11,GO:0006974,cellular response to DNA damage stimulus,M1,1,0
1,-8.9,GO:0000725,recombinational repair,M1,1,0
1,-2.4,GO:0034626,"fatty acid elongation, polyunsaturated fatty acid",M1,1,0
1,-2.4,GO:1900871,chloroplast mRNA modification,M1,1,0
1,-3.5,GO:0000086,G2/M transition of mitotic cell cycle,M1,1,0
1,-2.1,GO:0010239,chloroplast mRNA processing,M1,1,0
1,-11,GO:0006259,DNA metabolic process,M1,1,0
1,-6.3,GO:0007093,mitotic cell cycle checkpoint,M1,1,0
1,-2.5,GO:0000726,non-recombinational repair,M1,1,0
1,-3.2,GO:1901987,regulation of cell cycle phase transition,M1,1,0
1,-4.8,GO:0035825,homologous recombination,M1,1,0
1,-4.7,ath03440,Homologous recombination,M1,1,0
1,-5.1,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-8.7,GO:0045786,negative regulation of cell cycle,M1,1,0
1,-5.2,GO:1903046,meiotic cell cycle process,M1,1,0
1,-4.3,GO:0010088,phloem development,M1,1,0
1,-3.9,GO:0006282,regulation of DNA repair,M1,1,0
1,-5.7,GO:0044774,mitotic DNA integrity checkpoint,M1,1,0
1,-4,GO:0044839,cell cycle G2/M phase transition,M1,1,0
1,-4.7,ko03440,Homologous recombination,M1,1,0
1,-6.5,GO:0010212,response to ionizing radiation,M1,1,0
1,-3.3,GO:0051784,negative regulation of nuclear division,M1,1,0
1,-3,GO:0080165,callose deposition in phloem sieve plate,M1,1,0
1,-2.7,GO:0045132,meiotic chromosome segregation,M1,1,0
1,-2.1,GO:1901663,quinone biosynthetic process,M1,1,0
1,-2.9,GO:0007129,synapsis,M1,1,0
1,-5.2,GO:0007049,cell cycle,M1,1,0
1,-3.6,GO:0010087,phloem or xylem histogenesis,M1,1,0
1,-2.7,GO:0007163,establishment or maintenance of cell polarity,M1,1,0
1,-3,GO:0010389,regulation of G2/M transition of mitotic cell cycle,M1,1,0
1,-5.1,GO:1902750,negative regulation of cell cycle G2/M phase transition,M1,1,0
1,-6,GO:0010948,negative regulation of cell cycle process,M1,1,0
1,-2.1,GO:1901661,quinone metabolic process,M1,1,0
1,-4,GO:0048285,organelle fission,M1,1,0
1,-2.1,GO:0010520,regulation of reciprocal meiotic recombination,M1,1,0
1,-2.4,GO:0110029,negative regulation of meiosis I,M1,1,0
1,-2.5,GO:0010332,response to gamma radiation,M1,1,0
1,-7.9,GO:0006302,double-strand break repair,M1,1,0
1,-3,GO:1901990,regulation of mitotic cell cycle phase transition,M1,1,0
1,-2.4,GO:1901269,lipooligosaccharide metabolic process,M1,1,0
1,-5.4,GO:0022402,cell cycle process,M1,1,0
1,-4.9,GO:1901988,negative regulation of cell cycle phase transition,M1,1,0
1,-2.4,GO:0044770,cell cycle phase transition,M1,1,0
1,-2.4,GO:1900864,mitochondrial RNA modification,M1,1,0
1,-9.4,GO:0006281,DNA repair,M1,1,0
1,-2.4,GO:0007050,cell cycle arrest,M1,1,0
1,-2.1,GO:0010089,xylem development,M1,1,0
1,-2.9,GO:0031425,chloroplast RNA processing,M1,1,0
1,-2.2,GO:0016556,mRNA modification,M1,1,0
1,-2.5,GO:0045143,homologous chromosome segregation,M1,1,0
1,-2.8,GO:0007018,microtubule-based movement,M1,1,0
1,-4.6,GO:0009451,RNA modification,M1,1,0
1,-2.4,GO:0046493,lipid A metabolic process,M1,1,0
1,-2.2,GO:0010143,cutin biosynthetic process,M1,1,0
1,-2,GO:0042181,ketone biosynthetic process,M1,1,0
1,-4.8,GO:0009658,chloroplast organization,M1,1,0
1,-2.1,GO:0031572,G2 DNA damage checkpoint,M1,1,0
1,-2.1,ko00195,Photosynthesis,M1,1,0
1,-2.4,GO:0019367,"fatty acid elongation, saturated fatty acid",M1,1,0
1,-3,GO:0006928,movement of cell or subcellular component,M1,1,0
1,-3,GO:0043335,protein unfolding,M1,1,0
1,-2.4,GO:1901271,lipooligosaccharide biosynthetic process,M1,1,0
1,-5.3,GO:0061982,meiosis I cell cycle process,M1,1,0
1,-4.7,GO:0007127,meiosis I,M1,1,0
1,-9.2,GO:0006310,DNA recombination,M1,1,0
1,-6.7,GO:0000075,cell cycle checkpoint,M1,1,0
1,-2.4,GO:0034625,"fatty acid elongation, monounsaturated fatty acid",M1,1,0
1,-6.5,GO:0031570,DNA integrity checkpoint,M1,1,0
1,-6.1,GO:0000959,mitochondrial RNA metabolic process,M1,1,0
1,-2.1,GO:0007095,mitotic G2 DNA damage checkpoint,M1,1,0
1,-4.4,GO:0051726,regulation of cell cycle,M1,1,0
1,-2.4,GO:0006312,mitotic recombination,M1,1,0
1,-2.1,ath00195,Photosynthesis,M1,1,0
1,-2.4,GO:0019368,"fatty acid elongation, unsaturated fatty acid",M1,1,0
1,-2.3,GO:1903338,regulation of cell wall organization or biogenesis,M1,1,0
1,-2.4,GO:0045128,negative regulation of reciprocal meiotic recombination,M1,1,0
1,-4.4,GO:0019684,"photosynthesis, light reaction",M1,1,0
1,-2,GO:0019252,starch biosynthetic process,M1,1,0
1,-4.8,GO:0007131,reciprocal meiotic recombination,M1,1,0
1,-2.3,GO:0044772,mitotic cell cycle phase transition,M1,1,0
1,-4.2,GO:0033314,mitotic DNA replication checkpoint,M1,1,0
1,-6.5,GO:0045930,negative regulation of mitotic cell cycle,M1,1,0
1,-3.2,GO:2001020,regulation of response to DNA damage stimulus,M1,1,0
1,-2.3,GO:0010581,regulation of starch biosynthetic process,M1,1,0
1,-2.8,GO:2001289,lipid X metabolic process,M1,1,0
1,-5.1,GO:0044818,mitotic G2/M transition checkpoint,M1,1,0
1,-3.4,GO:0010564,regulation of cell cycle process,M1,1,0
1,-2.1,GO:0009691,cytokinin biosynthetic process,M1,1,0
1,-2.1,GO:0031573,intra-S DNA damage checkpoint,M1,1,0
1,-2.4,GO:0009245,lipid A biosynthetic process,M1,1,0
1,-3.9,GO:0015979,photosynthesis,M1,1,0
1,-2,GO:0010196,nonphotochemical quenching,M1,1,0
