Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0048523,negative regulation of cellular process,19_GO:0048519 negative regulation of biological process,-8.5,3.2,7.3,18982,746,260,33,13,2.1,816875|818083|818827|818887|820317|822331|824270|826714|826875|827577|831348|831615|831648|831745|831792|832149|832284|832518|834301|834444|836364|837800|837934|838374|839256|839453|839457|839549|839566|839929|841202|841386|843272,ICK1|SUVH5|UVI4|PAR1|MYB65|AT3G27120|STY1|RDR2|ORC1B|SNI1|DEL2|RGL3|MYB56|RPL|AT5G02220|HHP1|OFP10|PRR5|COR27|ERF9|CDF1|NIMIN1|AFP2|MYB52|HDG2|WEE1|AT1G04650|ERS2|FZL|NF-YA7|ATE2F2|ICK5|AT1G69400,-5.5
hits,GO Biological Processes,19,GO:0030154,cell differentiation,19_GO:0032502 developmental process,-6.9,3.1,6.5,18982,661,260,28,11,1.9,817659|817956|818303|818827|820317|820732|824272|824293|824936|827542|827568|828390|829773|829824|830415|835401|836166|837843|839256|839627|840052|840078|841654|842568|842669|843524|843704|843943,TCP10|ETT|TTG2|UVI4|MYB65|TCP4|GATA6|ROP1|NTT|WRKY28|TCP2|FZR2|NAC076|HAM4|AT5G05330|TRY|ARF4|SCRM2|HDG2|RIC2|ROPGEF14|BRX|ROPGEF11|ANAC026|EGL3|VND7|CDKD1;1|AT1G76110,-4.2
hits,GO Biological Processes,19,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,19_GO:0048518 positive regulation of biological process,-6.6,3.3,6.4,18982,561,260,25,9.6,1.8,816622|816816|816875|818199|820317|824270|824272|826795|827568|828084|828653|828968|830878|831348|831648|832146|832538|832914|833957|836101|841187|841202|841923|843524|843704,ERF53|bZIP6|ICK1|ABI5|MYB65|STY1|GATA6|AGL14|TCP2|JLO|CBF1|NAC073|FLC|DEL2|MYB56|PI|LSU2|AT5G28300|NAC6|MBD7|AGL102|ATE2F2|AT1G54840|VND7|CDKD1;1,-4
hits,GO Biological Processes,19,GO:0048583,regulation of response to stimulus,19_GO:0050789 regulation of biological process,-6.2,2.8,5.9,18982,762,260,29,11,2,816312|816622|817039|817744|817745|817956|818827|819248|822184|822331|824168|824270|827568|827577|829571|829854|830058|831615|831648|832149|832170|832538|833957|834301|837800|839549|839566|841860|843407,TAF14|ERF53|WRKY60|PARG2|TEJ|ETT|UVI4|WRKY46|NIMIN-2|AT3G27120|MYB77|STY1|TCP2|SNI1|AT4G34220|ACD2|EDS5|RGL3|MYB56|HHP1|EFR|LSU2|NAC6|COR27|NIMIN1|ERS2|FZL|AT1G54200|TIFY7,-3.7
hits,GO Biological Processes,19,GO:0006259,DNA metabolic process,19_GO:0008152 metabolic process,-6.1,3.1,6,18982,596,260,25,9.6,1.8,816136|816875|817744|817745|818083|818332|818827|820954|821455|821860|822331|826875|827577|828049|828390|829352|830631|831710|831792|832208|836101|839457|841202|841923|843305,DRD1|ICK1|PARG2|TEJ|SUVH5|ORC2|UVI4|NRPB9A|RAD54|DMC1|AT3G27120|ORC1B|SNI1|PARP2|FZR2|AT4G32190|AT5G07400|BRCA2B|AT5G02220|RAD51|MBD7|AT1G04650|ATE2F2|AT1G54840|TCP15,-3.7
hits,GO Biological Processes,19,GO:1902680,positive regulation of RNA biosynthetic process,19_GO:0048518 positive regulation of biological process,-5.7,3.2,5.9,18982,504,260,22,8.5,1.7,816622|816816|818199|820317|824270|824272|826795|827568|828084|828653|828968|830878|831348|831648|832146|832538|832914|833957|841187|841202|843524|843704,ERF53|bZIP6|ABI5|MYB65|STY1|GATA6|AGL14|TCP2|JLO|CBF1|NAC073|FLC|DEL2|MYB56|PI|LSU2|AT5G28300|NAC6|AGL102|ATE2F2|VND7|CDKD1;1,-3.4
hits,GO Biological Processes,19,GO:1903508,positive regulation of nucleic acid-templated transcription,19_GO:0048518 positive regulation of biological process,-5.7,3.2,5.9,18982,504,260,22,8.5,1.7,816622|816816|818199|820317|824270|824272|826795|827568|828084|828653|828968|830878|831348|831648|832146|832538|832914|833957|841187|841202|843524|843704,ERF53|bZIP6|ABI5|MYB65|STY1|GATA6|AGL14|TCP2|JLO|CBF1|NAC073|FLC|DEL2|MYB56|PI|LSU2|AT5G28300|NAC6|AGL102|ATE2F2|VND7|CDKD1;1,-3.4
hits,GO Biological Processes,19,GO:0010557,positive regulation of macromolecule biosynthetic process,19_GO:0048518 positive regulation of biological process,-5.7,3.1,5.8,18982,545,260,23,8.8,1.8,816622|816816|816875|818199|820317|824270|824272|826795|827568|828084|828653|828968|830878|831348|831648|832146|832538|832914|833957|841187|841202|843524|843704,ERF53|bZIP6|ICK1|ABI5|MYB65|STY1|GATA6|AGL14|TCP2|JLO|CBF1|NAC073|FLC|DEL2|MYB56|PI|LSU2|AT5G28300|NAC6|AGL102|ATE2F2|VND7|CDKD1;1,-3.4
hits,GO Biological Processes,19,GO:0051173,positive regulation of nitrogen compound metabolic process,19_GO:0048518 positive regulation of biological process,-5.7,2.7,5.6,18982,717,260,27,10,1.9,816136|816622|816816|816875|818199|820317|824270|824272|826795|827568|828084|828390|828653|828968|830878|831348|831648|832146|832538|832914|833957|836101|841187|841202|841923|843524|843704,DRD1|ERF53|bZIP6|ICK1|ABI5|MYB65|STY1|GATA6|AGL14|TCP2|JLO|FZR2|CBF1|NAC073|FLC|DEL2|MYB56|PI|LSU2|AT5G28300|NAC6|MBD7|AGL102|ATE2F2|AT1G54840|VND7|CDKD1;1,-3.4
hits,GO Biological Processes,19,GO:0051172,negative regulation of nitrogen compound metabolic process,19_GO:0048519 negative regulation of biological process,-5.5,3.3,5.8,18982,438,260,20,7.7,1.7,816875|818083|818827|818887|822331|826714|827577|831348|831745|832284|832518|834301|834444|836364|837800|837934|839457|839929|841202|841386,ICK1|SUVH5|UVI4|PAR1|AT3G27120|RDR2|SNI1|DEL2|RPL|OFP10|PRR5|COR27|ERF9|CDF1|NIMIN1|AFP2|AT1G04650|NF-YA7|ATE2F2|ICK5,-3.3
