Cluster,Score,Type,Gene,Symbol,Network
2,1.5,Clustered,836166,ARF4,hits_SUB1
2,1.5,Clustered,839290,IAA10,hits_SUB1
2,1.5,Clustered,820793,IAA19,hits_SUB1
2,1.5,Seed,814648,IAA32,hits_SUB1
1,1.2,Clustered,827568,TCP2,hits_SUB1
1,1.2,Clustered,842873,AS2,hits_SUB1
1,1.2,Seed,817659,TCP10,hits_SUB1
1,1.2,Clustered,837964,LSMT-L,hits_SUB1
1,1.2,Clustered,817956,ETT,hits_SUB1
4,1.0,Clustered,824272,GATA6,hits_SUB1
4,1.0,Clustered,832146,PI,hits_SUB1
4,1.0,Clustered,843305,TCP15,hits_SUB1
5,1.0,Clustered,826735,MPK5,hits_SUB1
5,1.0,Seed,828084,JLO,hits_SUB1
5,1.0,Clustered,820732,TCP4,hits_SUB1
3,1.5,Clustered,821860,DMC1,hits_SUB6
3,1.5,Clustered,832208,RAD51,hits_SUB6
3,1.5,Clustered,839457,AT1G04650,hits_SUB6
3,1.5,Seed,822331,AT3G27120,hits_SUB6
6,1.0,Clustered,817745,TEJ,hits_SUB13
6,1.0,Clustered,828049,PARP2,hits_SUB13
6,1.0,Seed,817744,PARG2,hits_SUB13
