Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
829773,3.0,1,1,1
830908,3.0,1,1,1
828968,3.0,1,1,1
816136,3.0,1,1,1
819077,3.0,1,1,1
817744,3.0,1,1,1
821096,3.0,1,1,1
831745,3.0,1,1,1
829854,3.0,1,1,1
832208,3.0,1,1,1
821860,3.0,1,1,1
820180,3.0,1,1,1
823287,3.0,1,1,1
830842,3.0,1,1,1
839566,3.0,1,1,1
831001,3.0,1,1,1
816622,3.0,1,1,1
844802,3.0,1,1,1
840007,3.0,1,1,1
840184,3.0,1,1,1
842568,3.0,1,1,1
844187,3.0,1,1,1
839453,3.0,1,1,1
831792,3.0,1,1,1
817745,3.0,1,1,1
824293,3.0,1,1,1
838374,3.0,1,1,1
839457,3.0,1,1,1
828049,3.0,1,1,1
831647,3.0,1,1,1
843524,3.0,1,1,1
828084,3.0,1,1,1
840078,3.0,1,1,1
841386,3.0,1,1,1
821097,3.0,1,1,1
833975,3.0,1,1,1
816875,3.0,1,1,1
844075,3.0,1,1,1
829352,3.0,1,1,1
843272,3.0,1,1,1
829836,3.0,1,1,1
843676,3.0,1,1,1
831710,3.0,1,1,1
826875,3.0,1,1,1
836269,3.0,1,1,1
821455,3.0,1,1,1
822331,3.0,1,1,1
829016,2.0,1,1,0
817467,2.0,1,0,1
838535,2.0,1,0,1
817526,2.0,1,1,0
815830,2.0,1,1,0
841202,2.0,1,0,1
824699,2.0,1,1,0
834339,2.0,1,1,0
837630,2.0,1,0,1
832590,2.0,1,0,1
832338,2.0,1,1,0
835152,2.0,1,0,1
818389,2.0,1,1,0
818887,2.0,1,0,1
828140,2.0,1,1,0
818962,2.0,1,1,0
820317,2.0,1,0,1
837339,2.0,1,1,0
820793,2.0,1,0,1
834236,2.0,1,1,0
824844,2.0,1,0,1
835567,2.0,1,0,1
838594,2.0,1,1,0
827054,2.0,1,1,0
841684,2.0,1,1,0
844054,2.0,1,1,0
832538,2.0,1,0,1
830748,2.0,1,1,0
839941,2.0,1,1,0
815101,2.0,1,0,1
816545,2.0,1,1,0
844430,2.0,1,0,1
842991,2.0,1,1,0
836584,2.0,1,1,0
838834,2.0,1,1,0
839747,2.0,1,1,0
820538,2.0,1,0,1
838219,2.0,1,1,0
842873,2.0,1,0,1
832149,2.0,1,0,1
843031,2.0,1,1,0
827996,2.0,1,1,0
836101,2.0,1,0,1
826795,2.0,1,0,1
839290,2.0,1,0,1
832146,2.0,1,0,1
839549,2.0,1,0,1
837934,2.0,1,0,1
834953,2.0,1,1,0
822172,2.0,1,0,1
826735,2.0,1,0,1
821642,2.0,1,1,0
817039,2.0,1,0,1
820123,2.0,1,1,0
817006,2.0,1,0,1
842016,2.0,1,1,0
843827,2.0,1,0,1
816312,2.0,1,0,1
834140,2.0,1,0,1
832284,2.0,1,0,1
841874,2.0,1,0,1
817740,2.0,1,1,0
834624,2.0,1,0,1
820589,2.0,1,1,0
843771,2.0,1,1,0
835185,2.0,1,0,1
820316,2.0,1,1,0
822033,2.0,1,0,1
824270,2.0,1,0,1
831111,2.0,1,1,0
825486,2.0,1,1,0
838157,2.0,1,1,0
828044,2.0,1,0,1
831648,2.0,1,0,1
838319,2.0,1,0,1
823396,2.0,1,1,0
819823,2.0,1,1,0
835401,2.0,1,0,1
838662,2.0,1,1,0
836619,2.0,1,1,0
836359,2.0,1,1,0
819646,2.0,1,0,1
838945,2.0,1,1,0
814823,2.0,1,0,1
839681,2.0,1,1,0
818318,2.0,1,1,0
817013,2.0,1,0,1
839880,2.0,1,1,0
835780,2.0,1,1,0
824740,2.0,1,0,1
827330,2.0,1,0,1
828417,2.0,1,0,1
835514,2.0,1,1,0
842266,2.0,1,0,1
839558,2.0,1,1,0
821226,2.0,1,1,0
816946,2.0,1,1,0
844068,2.0,1,1,0
836729,2.0,1,0,1
835898,2.0,1,1,0
841167,2.0,1,1,0
832685,2.0,1,1,0
831376,2.0,1,0,1
843477,2.0,1,0,1
832021,2.0,1,1,0
839283,2.0,1,1,0
841860,2.0,1,0,1
815880,2.0,1,0,1
832291,2.0,1,0,1
841616,2.0,1,0,1
829891,2.0,1,0,1
839246,2.0,1,1,0
835691,2.0,1,0,1
831905,2.0,1,0,1
822143,2.0,1,0,1
817659,2.0,1,0,1
819403,2.0,1,0,1
827743,2.0,1,1,0
830058,2.0,1,0,1
824310,2.0,1,0,1
823667,2.0,1,0,1
817956,2.0,1,0,1
832497,2.0,1,1,0
830772,2.0,1,1,0
837893,2.0,1,1,0
827969,2.0,1,0,1
843943,2.0,1,0,1
827363,2.0,1,0,1
837592,2.0,1,1,0
820954,2.0,1,0,1
838863,2.0,1,0,1
830025,2.0,1,0,1
819713,2.0,1,1,0
818109,2.0,1,0,1
836166,2.0,1,0,1
821404,2.0,1,1,0
839540,2.0,1,0,1
823703,2.0,1,0,1
837989,2.0,1,0,1
825192,2.0,1,0,1
830378,2.0,1,1,0
823984,2.0,1,0,1
843838,2.0,1,1,0
829534,2.0,1,0,1
819248,2.0,1,0,1
839460,2.0,1,0,1
827984,2.0,1,0,1
843585,2.0,1,1,0
824228,2.0,1,0,1
831373,2.0,1,0,1
829353,2.0,1,1,0
821922,2.0,1,0,1
842756,2.0,1,0,1
825124,2.0,1,1,0
827152,2.0,1,1,0
835646,2.0,1,1,0
817436,2.0,1,1,0
833794,2.0,1,0,1
817349,2.0,1,1,0
841187,2.0,1,0,1
837499,2.0,1,0,1
832240,2.0,1,1,0
824383,2.0,1,1,0
832914,2.0,1,0,1
836553,2.0,1,1,0
824605,2.0,1,0,1
825866,2.0,1,1,0
816548,2.0,1,1,0
835129,2.0,1,0,1
829252,2.0,1,0,1
827568,2.0,1,0,1
841654,2.0,1,0,1
843672,2.0,1,1,0
843215,2.0,1,0,1
826626,2.0,1,1,0
835032,2.0,1,0,1
842436,2.0,1,0,1
832137,2.0,1,1,0
840016,2.0,1,0,1
826807,2.0,1,0,1
814938,2.0,1,0,1
818173,2.0,1,0,1
835276,2.0,1,0,1
840448,2.0,1,1,0
827121,2.0,1,1,0
831553,2.0,1,0,1
839627,2.0,1,0,1
823731,2.0,1,0,1
824375,2.0,1,1,0
831348,2.0,1,0,1
827854,2.0,1,1,0
828548,2.0,1,0,1
837974,2.0,1,1,0
819743,2.0,1,1,0
817248,2.0,1,0,1
833995,2.0,1,1,0
829406,2.0,1,1,0
844773,2.0,1,1,0
844351,2.0,1,0,1
835506,2.0,1,1,0
818994,2.0,1,1,0
820608,2.0,1,0,1
835388,2.0,1,1,0
837800,2.0,1,0,1
833980,2.0,1,1,0
825034,2.0,1,1,0
828938,2.0,1,0,1
824272,2.0,1,0,1
827497,2.0,1,1,0
835150,2.0,1,1,0
842103,2.0,1,1,0
835400,2.0,1,0,1
816772,2.0,1,1,0
832170,2.0,1,0,1
843557,2.0,1,1,0
824168,2.0,1,0,1
841896,2.0,1,0,1
827860,2.0,1,0,1
841923,2.0,1,0,1
826708,2.0,1,0,1
836577,2.0,1,0,1
843899,2.0,1,0,1
841506,2.0,1,1,0
837803,2.0,1,0,1
829075,2.0,1,1,0
830766,2.0,1,0,1
837784,2.0,1,1,0
828948,2.0,1,0,1
831795,2.0,1,0,1
829437,2.0,1,0,1
818230,2.0,1,0,1
824281,2.0,1,0,1
830415,2.0,1,0,1
818199,2.0,1,0,1
825089,2.0,1,0,1
836489,2.0,1,1,0
831591,2.0,1,1,0
834601,2.0,1,1,0
828599,2.0,1,1,0
820168,2.0,1,0,1
832459,2.0,1,1,0
823832,2.0,1,1,0
820879,2.0,1,1,0
832737,2.0,1,0,1
842384,2.0,1,1,0
829672,2.0,1,1,0
818385,2.0,1,1,0
836120,2.0,1,0,1
824985,2.0,1,1,0
837070,2.0,1,0,1
835615,2.0,1,1,0
827526,2.0,1,1,0
828390,2.0,1,0,1
814998,2.0,1,1,0
838294,2.0,1,0,1
838353,2.0,1,0,1
835413,2.0,1,0,1
833978,2.0,1,0,1
843810,2.0,1,1,0
821037,2.0,1,0,1
844076,2.0,1,0,1
826832,2.0,1,0,1
818303,2.0,1,0,1
818083,2.0,1,0,1
831501,2.0,1,0,1
829378,2.0,1,1,0
827271,2.0,1,1,0
841367,2.0,1,1,0
824080,2.0,1,0,1
817620,2.0,1,1,0
832376,2.0,1,0,1
814936,2.0,1,0,1
835141,2.0,1,0,1
821254,2.0,1,1,0
828396,2.0,1,1,0
831615,2.0,1,0,1
826714,2.0,1,0,1
827935,2.0,1,0,1
844787,2.0,1,1,0
824513,2.0,1,1,0
843407,2.0,1,0,1
836267,2.0,1,1,0
824770,2.0,1,1,0
820732,2.0,1,0,1
834301,2.0,1,0,1
827542,2.0,1,0,1
843722,2.0,1,1,0
840052,2.0,1,0,1
837964,2.0,1,0,1
828615,2.0,1,1,0
829892,2.0,1,1,0
817930,2.0,1,1,0
822001,2.0,1,0,1
836364,2.0,1,0,1
833692,2.0,1,1,0
823622,2.0,1,0,1
836313,2.0,1,0,1
832518,2.0,1,0,1
834596,2.0,1,0,1
825383,2.0,1,0,1
830076,2.0,1,1,0
843140,2.0,1,0,1
817448,2.0,1,0,1
841686,2.0,1,0,1
819958,2.0,1,0,1
820845,2.0,1,1,0
843550,2.0,1,0,1
833833,2.0,1,1,0
844263,2.0,1,0,1
844806,2.0,1,0,1
834243,2.0,1,0,1
838721,2.0,1,0,1
831895,2.0,1,0,1
827999,2.0,1,0,1
818830,2.0,1,0,1
825523,2.0,1,1,0
834288,2.0,1,0,1
824519,2.0,1,0,1
818332,2.0,1,0,1
829571,2.0,1,0,1
831433,2.0,1,1,0
821180,2.0,1,1,0
844790,2.0,1,1,0
818413,2.0,1,0,1
841649,2.0,1,0,1
822040,2.0,1,1,0
827871,2.0,1,1,0
844179,2.0,1,0,1
3769879,2.0,1,0,1
818827,2.0,1,0,1
836846,2.0,1,0,1
828495,2.0,1,0,1
834444,2.0,1,0,1
817515,2.0,1,0,1
816078,2.0,1,1,0
820193,2.0,1,1,0
829824,2.0,1,0,1
814648,2.0,1,0,1
829211,2.0,1,1,0
816576,2.0,1,1,0
827058,2.0,1,1,0
819839,2.0,1,0,1
838492,2.0,1,1,0
841414,2.0,1,1,0
830878,2.0,1,0,1
818971,2.0,1,0,1
816391,2.0,1,1,0
827639,2.0,1,1,0
836473,2.0,1,1,0
834082,2.0,1,1,0
831732,2.0,1,1,0
825869,2.0,1,1,0
835726,2.0,1,1,0
830911,2.0,1,1,0
837238,2.0,1,1,0
840149,2.0,1,1,0
833746,2.0,1,0,1
838861,2.0,1,0,1
838832,2.0,1,0,1
826739,2.0,1,0,1
844783,2.0,1,0,1
827001,2.0,1,0,1
838160,2.0,1,0,1
839349,2.0,1,0,1
819744,2.0,1,1,0
816121,2.0,1,0,1
817376,2.0,1,1,0
831831,2.0,1,1,0
838141,2.0,1,0,1
2746209,2.0,1,0,1
821594,2.0,1,1,0
843479,2.0,1,0,1
844781,2.0,1,1,0
822385,2.0,1,1,0
824952,2.0,1,0,1
816716,2.0,1,1,0
822428,2.0,1,0,1
843502,2.0,1,1,0
833957,2.0,1,0,1
830046,2.0,1,0,1
829727,2.0,1,1,0
838482,2.0,1,0,1
840114,2.0,1,1,0
842669,2.0,1,0,1
3770304,2.0,1,0,1
831017,2.0,1,0,1
837746,2.0,1,0,1
5007842,2.0,1,1,0
839417,2.0,1,0,1
819811,2.0,1,0,1
820653,2.0,1,1,0
837069,2.0,1,1,0
839256,2.0,1,0,1
844733,2.0,1,1,0
818008,2.0,1,0,1
839045,2.0,1,1,0
836700,2.0,1,0,1
841279,2.0,1,1,0
842597,2.0,1,0,1
843800,2.0,1,1,0
838442,2.0,1,0,1
821430,2.0,1,1,0
824185,2.0,1,0,1
838436,2.0,1,1,0
837160,2.0,1,1,0
836745,2.0,1,1,0
822184,2.0,1,0,1
816824,2.0,1,0,1
839851,2.0,1,0,1
837639,2.0,1,1,0
816816,2.0,1,0,1
830372,2.0,1,0,1
832456,2.0,1,1,0
842247,2.0,1,0,1
827651,2.0,1,1,0
835850,2.0,1,1,0
837843,2.0,1,0,1
842392,2.0,1,1,0
816959,2.0,1,0,1
842952,2.0,1,1,0
832648,2.0,1,0,1
841515,2.0,1,1,0
830284,2.0,1,1,0
844343,2.0,1,0,1
820165,2.0,1,1,0
818759,2.0,1,0,1
824576,2.0,1,0,1
829193,2.0,1,1,0
843251,2.0,1,0,1
816530,2.0,1,0,1
814772,2.0,1,0,1
843704,2.0,1,0,1
820616,2.0,1,0,1
838783,2.0,1,0,1
837799,2.0,1,1,0
843305,2.0,1,0,1
841218,2.0,1,0,1
836592,2.0,1,1,0
836208,2.0,1,1,0
836573,2.0,1,1,0
820601,2.0,1,1,0
835372,2.0,1,1,0
823907,2.0,1,1,0
825348,2.0,1,0,1
843105,2.0,1,1,0
828016,2.0,1,1,0
839932,2.0,1,1,0
835631,2.0,1,0,1
830631,2.0,1,0,1
819938,2.0,1,0,1
834803,2.0,1,0,1
818703,2.0,1,1,0
840475,2.0,1,0,1
816697,2.0,1,1,0
833502,2.0,1,0,1
834356,2.0,1,0,1
830434,2.0,1,1,0
830947,2.0,1,0,1
827584,2.0,1,1,0
823602,2.0,1,1,0
839297,2.0,1,1,0
838151,2.0,1,1,0
829921,2.0,1,0,1
821589,2.0,1,1,0
827146,2.0,1,1,0
824936,2.0,1,0,1
832970,2.0,1,1,0
842938,2.0,1,1,0
827577,2.0,1,0,1
820905,2.0,1,0,1
820122,2.0,1,0,1
834637,2.0,1,1,0
828653,2.0,1,0,1
816861,2.0,1,0,1
837270,2.0,1,0,1
838033,2.0,1,0,1
831846,2.0,1,1,0
839929,2.0,1,0,1
822242,1.0,1,0,0
828923,1.0,1,0,0
822021,1.0,1,0,0
6241212,1.0,1,0,0
828121,1.0,1,0,0
837169,1.0,1,0,0
3769734,1.0,1,0,0
816726,1.0,1,0,0
835773,1.0,1,0,0
820101,1.0,1,0,0
821295,1.0,1,0,0
830773,1.0,1,0,0
822578,1.0,1,0,0
28720017,1.0,1,0,0
818984,1.0,1,0,0
833876,1.0,1,0,0
832925,1.0,1,0,0
841026,1.0,1,0,0
818893,1.0,1,0,0
827573,1.0,1,0,0
838962,1.0,1,0,0
828231,1.0,1,0,0
6241378,1.0,1,0,0
831780,1.0,1,0,0
28721279,1.0,1,0,0
828711,1.0,1,0,0
2745995,1.0,1,0,0
5007982,1.0,1,0,0
818330,1.0,1,0,0
28716305,1.0,1,0,0
28716875,1.0,1,0,0
28719800,1.0,1,0,0
836414,1.0,1,0,0
830125,1.0,1,0,0
818813,1.0,1,0,0
831827,1.0,1,0,0
818864,1.0,1,0,0
840228,1.0,1,0,0
816675,1.0,1,0,0
28718113,1.0,1,0,0
822388,1.0,1,0,0
837045,1.0,1,0,0
823919,1.0,1,0,0
841947,1.0,1,0,0
817169,1.0,1,0,0
28716561,1.0,1,0,0
28719086,1.0,1,0,0
830985,1.0,1,0,0
831458,1.0,1,0,0
837816,1.0,1,0,0
841341,1.0,1,0,0
840024,1.0,1,0,0
825147,1.0,1,0,0
839524,1.0,1,0,0
28721214,1.0,1,0,0
841092,1.0,1,0,0
825380,1.0,1,0,0
824031,1.0,1,0,0
825737,1.0,1,0,0
841380,1.0,1,0,0
28718360,1.0,1,0,0
822601,1.0,1,0,0
832638,1.0,1,0,0
814661,1.0,1,0,0
839883,1.0,1,0,0
28719503,1.0,1,0,0
826603,1.0,1,0,0
818051,1.0,1,0,0
818853,1.0,1,0,0
815064,1.0,1,0,0
819989,1.0,1,0,0
828910,1.0,1,0,0
824861,1.0,1,0,0
843328,1.0,1,0,0
5008190,1.0,1,0,0
840360,1.0,1,0,0
28719641,1.0,1,0,0
821197,1.0,1,0,0
829082,1.0,1,0,0
831182,1.0,1,0,0
841481,1.0,1,0,0
830615,1.0,1,0,0
819987,1.0,1,0,0
838383,1.0,1,0,0
28716239,1.0,1,0,0
821918,1.0,1,0,0
843091,1.0,1,0,0
838412,1.0,1,0,0
820059,1.0,1,0,0
28719924,1.0,1,0,0
28720512,1.0,1,0,0
836278,1.0,1,0,0
819423,1.0,1,0,0
830537,1.0,1,0,0
829206,1.0,1,0,0
838595,1.0,1,0,0
835094,1.0,1,0,0
818087,1.0,1,0,0
828494,1.0,1,0,0
2745736,1.0,1,0,0
816820,1.0,1,0,0
2745754,1.0,1,0,0
28716356,1.0,1,0,0
818555,1.0,1,0,0
830526,1.0,1,0,0
835224,1.0,1,0,0
843383,1.0,1,0,0
815398,1.0,1,0,0
839230,1.0,1,0,0
836275,1.0,1,0,0
824167,1.0,1,0,0
844095,1.0,1,0,0
819984,1.0,1,0,0
28716708,1.0,1,0,0
826513,1.0,1,0,0
844235,1.0,1,0,0
843675,1.0,1,0,0
28716135,1.0,1,0,0
837658,1.0,1,0,0
832803,1.0,1,0,0
835128,1.0,1,0,0
818916,1.0,1,0,0
10723110,1.0,1,0,0
10723135,1.0,1,0,0
817997,1.0,1,0,0
818088,1.0,1,0,0
28717843,1.0,1,0,0
28717600,1.0,1,0,0
818728,1.0,1,0,0
835126,1.0,1,0,0
824812,1.0,1,0,0
835371,1.0,1,0,0
3768555,1.0,1,0,0
837065,1.0,1,0,0
835831,1.0,1,0,0
829123,1.0,1,0,0
832471,1.0,1,0,0
28719387,1.0,1,0,0
827915,1.0,1,0,0
817432,1.0,1,0,0
831848,1.0,1,0,0
835863,1.0,1,0,0
837586,1.0,1,0,0
838905,1.0,1,0,0
832625,1.0,1,0,0
835994,1.0,1,0,0
821467,1.0,1,0,0
819071,1.0,1,0,0
834861,1.0,1,0,0
821535,1.0,1,0,0
831851,1.0,1,0,0
819311,1.0,1,0,0
820330,1.0,1,0,0
836256,1.0,1,0,0
834609,1.0,1,0,0
6241068,1.0,1,0,0
829706,1.0,1,0,0
3770717,1.0,1,0,0
5007699,1.0,1,0,0
818217,1.0,1,0,0
839753,1.0,1,0,0
837294,1.0,1,0,0
836419,1.0,1,0,0
827867,1.0,1,0,0
832343,1.0,1,0,0
831605,1.0,1,0,0
822157,1.0,1,0,0
834480,1.0,1,0,0
821941,1.0,1,0,0
28718666,1.0,1,0,0
827483,1.0,1,0,0
832061,1.0,1,0,0
839076,1.0,1,0,0
816701,1.0,1,0,0
824297,1.0,1,0,0
824755,1.0,1,0,0
819843,1.0,1,0,0
842294,1.0,1,0,0
831202,1.0,1,0,0
831800,1.0,1,0,0
829488,1.0,1,0,0
838769,1.0,1,0,0
837201,1.0,1,0,0
827212,1.0,1,0,0
821036,1.0,1,0,0
829878,1.0,1,0,0
825174,1.0,1,0,0
6241311,1.0,1,0,0
828275,1.0,1,0,0
832528,1.0,1,0,0
814704,1.0,1,0,0
834479,1.0,1,0,0
837385,1.0,1,0,0
839108,1.0,1,0,0
817718,1.0,1,0,0
828010,1.0,1,0,0
830298,1.0,1,0,0
826317,1.0,1,0,0
835774,1.0,1,0,0
838643,1.0,1,0,0
836782,1.0,1,0,0
830976,1.0,1,0,0
837074,1.0,1,0,0
828173,1.0,1,0,0
28720569,1.0,1,0,0
824594,1.0,1,0,0
5007962,1.0,1,0,0
28719327,1.0,1,0,0
822299,1.0,1,0,0
843780,1.0,1,0,0
827866,1.0,1,0,0
843867,1.0,1,0,0
837288,1.0,1,0,0
816948,1.0,1,0,0
833870,1.0,1,0,0
28717554,1.0,1,0,0
843844,1.0,1,0,0
827712,1.0,1,0,0
830584,1.0,1,0,0
843231,1.0,1,0,0
831359,1.0,1,0,0
823455,1.0,1,0,0
841554,1.0,1,0,0
821543,1.0,1,0,0
833864,1.0,1,0,0
824357,1.0,1,0,0
28721159,1.0,1,0,0
827379,1.0,1,0,0
839320,1.0,1,0,0
820380,1.0,1,0,0
834852,1.0,1,0,0
820832,1.0,1,0,0
823818,1.0,1,0,0
839237,1.0,1,0,0
830692,1.0,1,0,0
816343,1.0,1,0,0
837240,1.0,1,0,0
828504,1.0,1,0,0
824249,1.0,1,0,0
814849,1.0,1,0,0
826533,1.0,1,0,0
28717421,1.0,1,0,0
823814,1.0,1,0,0
825303,1.0,1,0,0
834486,1.0,1,0,0
837471,1.0,1,0,0
818964,1.0,1,0,0
816292,1.0,1,0,0
824286,1.0,1,0,0
831602,1.0,1,0,0
818439,1.0,1,0,0
839862,1.0,1,0,0
821459,1.0,1,0,0
831813,1.0,1,0,0
818630,1.0,1,0,0
837220,1.0,1,0,0
836765,1.0,1,0,0
818257,1.0,1,0,0
28718132,1.0,1,0,0
5008113,1.0,1,0,0
818322,1.0,1,0,0
819037,1.0,1,0,0
825373,1.0,1,0,0
28718757,1.0,1,0,0
829336,1.0,1,0,0
841094,1.0,1,0,0
831772,1.0,1,0,0
814655,1.0,1,0,0
822206,1.0,1,0,0
827195,1.0,1,0,0
837902,1.0,1,0,0
814733,1.0,1,0,0
836193,1.0,1,0,0
830530,1.0,1,0,0
3766669,1.0,1,0,0
824840,1.0,1,0,0
825048,1.0,1,0,0
824172,1.0,1,0,0
838360,1.0,1,0,0
827916,1.0,1,0,0
826647,1.0,1,0,0
830674,1.0,1,0,0
835301,1.0,1,0,0
10723125,1.0,1,0,0
821275,1.0,1,0,0
838389,1.0,1,0,0
831380,1.0,1,0,0
835168,1.0,1,0,0
827908,1.0,1,0,0
28719250,1.0,1,0,0
834935,1.0,1,0,0
822132,1.0,1,0,0
832948,1.0,1,0,0
821862,1.0,1,0,0
826924,1.0,1,0,0
824547,1.0,1,0,0
826171,1.0,1,0,0
830162,1.0,1,0,0
843728,1.0,1,0,0
819239,1.0,1,0,0
830155,1.0,1,0,0
816971,1.0,1,0,0
842629,1.0,1,0,0
837226,1.0,1,0,0
839853,1.0,1,0,0
818059,1.0,1,0,0
828857,1.0,1,0,0
826648,1.0,1,0,0
838636,1.0,1,0,0
826806,1.0,1,0,0
837488,1.0,1,0,0
834772,1.0,1,0,0
827663,1.0,1,0,0
827880,1.0,1,0,0
820778,1.0,1,0,0
828467,1.0,1,0,0
841339,1.0,1,0,0
6241359,1.0,1,0,0
816307,1.0,1,0,0
840315,1.0,1,0,0
843487,1.0,1,0,0
837026,1.0,1,0,0
830672,1.0,1,0,0
838195,1.0,1,0,0
827823,1.0,1,0,0
828811,1.0,1,0,0
824996,1.0,1,0,0
818368,1.0,1,0,0
824350,1.0,1,0,0
841530,1.0,1,0,0
816405,1.0,1,0,0
825225,1.0,1,0,0
6240718,1.0,1,0,0
837715,1.0,1,0,0
825304,1.0,1,0,0
836449,1.0,1,0,0
819026,1.0,1,0,0
836319,1.0,1,0,0
819273,1.0,1,0,0
816923,1.0,1,0,0
826540,1.0,1,0,0
820877,1.0,1,0,0
831132,1.0,1,0,0
841971,1.0,1,0,0
832321,1.0,1,0,0
842628,1.0,1,0,0
817861,1.0,1,0,0
832871,1.0,1,0,0
822194,1.0,1,0,0
834163,1.0,1,0,0
828235,1.0,1,0,0
836850,1.0,1,0,0
837176,1.0,1,0,0
839798,1.0,1,0,0
5007887,1.0,1,0,0
819682,1.0,1,0,0
5008107,1.0,1,0,0
820128,1.0,1,0,0
840493,1.0,1,0,0
834362,1.0,1,0,0
821369,1.0,1,0,0
819264,1.0,1,0,0
821334,1.0,1,0,0
819846,1.0,1,0,0
820848,1.0,1,0,0
842919,1.0,1,0,0
822591,1.0,1,0,0
28716758,1.0,1,0,0
816974,1.0,1,0,0
826925,1.0,1,0,0
830127,1.0,1,0,0
841989,1.0,1,0,0
835812,1.0,1,0,0
837635,1.0,1,0,0
836260,1.0,1,0,0
821031,1.0,1,0,0
824440,1.0,1,0,0
834055,1.0,1,0,0
5008281,1.0,1,0,0
825126,1.0,1,0,0
