Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0046686,response to cadmium ion,19_GO:0050896 response to stimulus,-21,3.6,12,18982,319,1217,73,6,0.68,816664|816954|817014|817648|817784|818751|818978|819011|819042|820102|820356|820499|820816|820984|821160|821784|821861|821870|821983|822117|823955|824465|824530|824612|824930|825246|826624|826738|826765|826975|827039|827145|827837|827931|828363|828409|828531|829025|829246|829330|829697|829943|830626|830635|830726|830919|830986|831039|831462|832806|834169|835769|836546|837023|837330|837731|837733|837863|838301|838927|839503|839789|839866|840476|841221|841442|841868|842681|842697|842763|843185|844224|844333,AT2G21250|LAP1|ARF3|ASP1|AT2G32240|SFGH|OASB|AT2G44060|ATCS|AT3G09440|AT3G11830|SERAT2;2|PLDALPHA1|mtLPD2|AT3G02530|POP2|APS1|PKP-ALPHA|HSP60|ROF1|ALDH2B4|AT3G52990|PPa4|AT3G54470|ADSS|AT3G60750|AT4G10320|RHA1B|GPX6|IIL1|SBP1|OASA1|TUB9|GSTF2|HIP1|GSH1|cpHsc70-1|RPT2a|AT4G31180|ASP5|AKR2|PCK1|Tudor1|GDH2|AT5G08300|AT5G10540|UAP56a|NADP-ME2|GRF5|AT5G27470|AT5G41670|SYNC1|AT5G64250|RA-5|AT1G08110|GLX1|AT1G11860|PBE1|AlaAT1|PGM3|MAC3A|ATS9|AT1G29880|ANNAT1|mtLPD1|ALATS|EIF4A-2|AT1G63770|MDAR6|ABCF3|XYL1|UBC35|HSP91,-18,hits
GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-19,3,11,18982,444,1217,85,7,0.73,816664|816954|817014|817648|817784|817940|818751|818978|819011|819042|819293|819963|820102|820356|820499|820816|820984|821160|821784|821861|821870|821983|822112|822117|823955|824355|824465|824530|824612|824930|825246|826624|826738|826765|826975|827039|827145|827773|827837|827931|828363|828409|828531|828764|829025|829246|829330|829697|829943|829978|830626|830635|830726|830843|830919|830986|831039|831219|831462|832806|834169|834489|835769|836546|837023|837330|837731|837733|837863|838217|838301|838927|839503|839789|839866|840476|841221|841442|841868|842681|842697|842763|843185|844224|844333,AT2G21250|LAP1|ARF3|ASP1|AT2G32240|CUTA|SFGH|OASB|AT2G44060|ATCS|ZAT|AT3G07720|AT3G09440|AT3G11830|SERAT2;2|PLDALPHA1|mtLPD2|AT3G02530|POP2|APS1|PKP-ALPHA|HSP60|AT3G25190|ROF1|ALDH2B4|CAM9|AT3G52990|PPa4|AT3G54470|ADSS|AT3G60750|AT4G10320|RHA1B|GPX6|IIL1|SBP1|OASA1|PCAP1|TUB9|GSTF2|HIP1|GSH1|cpHsc70-1|CBL3|RPT2a|AT4G31180|ASP5|AKR2|PCK1|AQI|Tudor1|GDH2|AT5G08300|AT5G09830|AT5G10540|UAP56a|NADP-ME2|ZIF1|GRF5|AT5G27470|AT5G41670|MAP18|SYNC1|AT5G64250|RA-5|AT1G08110|GLX1|AT1G11860|PBE1|PAB1|AlaAT1|PGM3|MAC3A|ATS9|AT1G29880|ANNAT1|mtLPD1|ALATS|EIF4A-2|AT1G63770|MDAR6|ABCF3|XYL1|UBC35|HSP91,-16,hits
KEGG Pathway,24,ko03040,Spliceosome,,-15,3.8,10,18982,191,1217,47,3.9,0.55,814913|817576|817897|817938|818186|818311|819377|820102|820323|820510|820559|821116|824230|824518|824712|825150|825359|827792|828163|828333|828531|829285|829732|829822|830123|831923|834293|834945|835279|836117|836541|837131|837228|837505|837506|838690|838714|838997|839262|839503|839526|839657|843763|843963|844021|844055|844347,EMB2816|U2B''|MAC3B|AT2G33730|AT2G36130|RS2Z33|AT2G47640|AT3G09440|AT3G11500|EMB2769|SCL30A|DRH1|U1-70K|RS2Z32|SCL30|LSM6A|RS31|smB|AT4G02840|AT4G22380|cpHsc70-1|RSZ22|AT4G35785|ATU2AF65A|AT4G39680|AT5G02530|U2AF35B|SAD1|RS41|AT5G59950|SC35|MEE5|AT1G07170|U2A'|CDC5|emb1507|LSM3A|RSZ21|SR34|MAC3A|LSM2|ATU2AF35A|GR-RBP5|SmD3|LSM3B|SKIP|SUS2,-12,hits
KEGG Pathway,24,ath03040,Spliceosome,,-15,3.8,10,18982,191,1217,47,3.9,0.55,814913|817576|817897|817938|818186|818311|819377|820102|820323|820510|820559|821116|824230|824518|824712|825150|825359|827792|828163|828333|828531|829285|829732|829822|830123|831923|834293|834945|835279|836117|836541|837131|837228|837505|837506|838690|838714|838997|839262|839503|839526|839657|843763|843963|844021|844055|844347,EMB2816|U2B''|MAC3B|AT2G33730|AT2G36130|RS2Z33|AT2G47640|AT3G09440|AT3G11500|EMB2769|SCL30A|DRH1|U1-70K|RS2Z32|SCL30|LSM6A|RS31|smB|AT4G02840|AT4G22380|cpHsc70-1|RSZ22|AT4G35785|ATU2AF65A|AT4G39680|AT5G02530|U2AF35B|SAD1|RS41|AT5G59950|SC35|MEE5|AT1G07170|U2A'|CDC5|emb1507|LSM3A|RSZ21|SR34|MAC3A|LSM2|ATU2AF35A|GR-RBP5|SmD3|LSM3B|SKIP|SUS2,-12,hits
KEGG Pathway,24,ath01200,Carbon metabolism,,-14,3.2,9.4,18982,262,1217,54,4.4,0.59,817149|817648|818024|818231|818382|818751|818978|819022|819042|819364|820499|820951|820984|821163|821870|822139|822181|822359|823906|824465|824707|825145|825167|825246|825317|827145|828564|829310|829661|829715|829737|829943|830635|830726|830758|831024|831039|831884|832511|832736|833655|834169|836809|837733|838301|838445|839031|839429|839891|841221|841765|842043|842724|843741,GLDP2|ASP1|AT2G34590|AT2G36580|CAC3|SFGH|OASB|MTHFR2|ATCS|FUM1|SERAT2;2|LPD1|mtLPD2|AT3G02360|PKP-ALPHA|GLYR1|LTA2|SDH2-1|MDH|AT3G52990|AT3G55410|OASC|MTHFR1|AT3G60750|CYSC1|OASA1|PGI1|AT4G31810|CAT2|PSAT|ACO1|PCK1|GDH2|AT5G08300|AT5G08570|ASP3|NADP-ME2|IDH-V|EMB2024|SHM2|ACS|AT5G41670|SDH1-1|AT1G11860|AlaAT1|PSP|IAR4|PDH-E1 ALPHA|PDH-E1 BETA|mtLPD1|PPC1|SERAT2;1|AT1G64190|ENO1,-11,hits
KEGG Pathway,24,ko01200,Carbon metabolism,,-14,3.2,9.4,18982,262,1217,54,4.4,0.59,817149|817648|818024|818231|818382|818751|818978|819022|819042|819364|820499|820951|820984|821163|821870|822139|822181|822359|823906|824465|824707|825145|825167|825246|825317|827145|828564|829310|829661|829715|829737|829943|830635|830726|830758|831024|831039|831884|832511|832736|833655|834169|836809|837733|838301|838445|839031|839429|839891|841221|841765|842043|842724|843741,GLDP2|ASP1|AT2G34590|AT2G36580|CAC3|SFGH|OASB|MTHFR2|ATCS|FUM1|SERAT2;2|LPD1|mtLPD2|AT3G02360|PKP-ALPHA|GLYR1|LTA2|SDH2-1|MDH|AT3G52990|AT3G55410|OASC|MTHFR1|AT3G60750|CYSC1|OASA1|PGI1|AT4G31810|CAT2|PSAT|ACO1|PCK1|GDH2|AT5G08300|AT5G08570|ASP3|NADP-ME2|IDH-V|EMB2024|SHM2|ACS|AT5G41670|SDH1-1|AT1G11860|AlaAT1|PSP|IAR4|PDH-E1 ALPHA|PDH-E1 BETA|mtLPD1|PPC1|SERAT2;1|AT1G64190|ENO1,-11,hits
KEGG Pathway,24,ko03050,Proteasome,,-13,6.3,11,18982,59,1217,24,2,0.4,815135|816533|817833|821834|824289|827638|829025|830463|832121|833855|834056|834290|834532|834602|835941|836746|837863|838217|838609|838776|839789|841065|841812|844080,PAA2|RPT2b|AT2G32730|PBD1|PAD1|AT4G19006|RPT2a|RPN8A|RPT6A|AT5G38650|PBB2|PAF1|DSS1(V)|AT5G45620|RPT3|PAD2|PBE1|PAB1|EMB2719|PBC1|ATS9|AT1G45000|RPT1A|PBC2,-10,hits
KEGG Pathway,24,ath03050,Proteasome,,-13,6.3,11,18982,59,1217,24,2,0.4,815135|816533|817833|821834|824289|827638|829025|830463|832121|833855|834056|834290|834532|834602|835941|836746|837863|838217|838609|838776|839789|841065|841812|844080,PAA2|RPT2b|AT2G32730|PBD1|PAD1|AT4G19006|RPT2a|RPN8A|RPT6A|AT5G38650|PBB2|PAF1|DSS1(V)|AT5G45620|RPT3|PAD2|PBE1|PAB1|EMB2719|PBC1|ATS9|AT1G45000|RPT1A|PBC2,-10,hits
GO Biological Processes,19,GO:0006520,cellular amino acid metabolic process,19_GO:0008152 metabolic process,-13,2.6,8.8,18982,431,1217,72,5.9,0.68,814770|817149|817170|817180|817648|817738|818280|818302|818978|818986|819022|819804|820343|820499|820930|821049|821784|821977|822396|824015|824130|824526|824629|824872|825145|825167|825317|825385|825500|826624|826975|827122|827124|827145|828586|828958|829106|829246|829277|829310|829330|829510|829566|829715|829978|830635|830897|831024|831061|832718|832736|832741|832806|835005|835571|835769|837489|837733|838023|838046|838301|838445|838847|839866|839868|840076|840454|841442|842043|842935|843869|844264,GSTZ1|GLDP2|GP ALPHA 1|ARD3|ASP1|AT2G31810|PAL1|ADK|OASB|UGT74F2|MTHFR2|P4H2|ATKRS-1|SERAT2;2|AT3G02760|PYD1|POP2|AT3G23940|CARA|CSR1|BCAT3|AT3G53580|TSA1|CBL|OASC|MTHFR1|CYSC1|AT3G62120|HMT2|AT4G10320|IIL1|ATARD2|ARD1|OASA1|AT4G24830|AT4G28410|MTO2|AT4G31180|CYP83B1|AT4G31810|ASP5|AGD2|AT4G34180|PSAT|AQI|GDH2|HPA1|ASP3|AT5G11880|AT5G26710|SHM2|AT5G26830|AT5G27470|bZIP1|TSB1|SYNC1|AT1G09620|AT1G11860|TWN2|AT1G14810|AlaAT1|PSP|AT1G22410|AT1G29880|CARB|AT-IE|CINV1|ALATS|SERAT2;1|GSR2|OTC|MST1,-10,hits
GO Biological Processes,19,GO:0006888,ER to Golgi vesicle-mediated transport,19_GO:0051179 localization,-12,5,9.8,18982,88,1217,28,2.3,0.43,814675|816627|816678|817556|819661|821008|821046|821216|822095|825521|827368|827428|829275|829276|829596|831680|834264|835565|835915|837023|837961|838792|839208|841265|841539|842138|843278|844389,STL2P|AT2G20930|AT2G21390|AT2G30050|AT3G05000|NPSN13|AT3G17780|AT3G01340|ERD2B|AT3G63460|SAR2|RABB1C|AT4G31480|AT4G31490|AT4G34450|AT5G02280|AT5G42570|AT5G54750|AT5G58030|RA-5|AT1G14010|p24delta5|VTI1B|AT1G48440|AT1G51160|AT1G57620|AT1G69460|AT1G80500,-9.5,hits
