_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.7,GO:0072595,maintenance of protein localization in organelle,M1,1,0
1,-3,GO:0009199,ribonucleoside triphosphate metabolic process,M1,1,0
1,-4.1,GO:0017144,drug metabolic process,M1,1,0
1,-2.3,GO:0009636,response to toxic substance,M1,1,0
1,-2.9,GO:0046034,ATP metabolic process,M1,1,0
1,-6.8,GO:0042886,amide transport,M1,1,0
1,-9.3,GO:0048193,Golgi vesicle transport,M1,1,0
1,-4.3,ath00010,Glycolysis / Gluconeogenesis,M1,1,0
1,-4.5,GO:0043484,regulation of RNA splicing,M1,1,0
1,-2.8,GO:0009225,nucleotide-sugar metabolic process,M1,1,0
1,-2.4,M00095,"C5 isoprenoid biosynthesis, mevalonate pathway",M1,1,0
1,-2.6,GO:0009790,embryo development,M1,1,0
1,-7.2,GO:0006085,acetyl-CoA biosynthetic process,M1,1,0
1,-9,GO:0046907,intracellular transport,M1,1,0
1,-9.8,GO:0044272,sulfur compound biosynthetic process,M1,1,0
1,-2.1,GO:0009173,pyrimidine ribonucleoside monophosphate metabolic process,M1,1,0
1,-4.3,GO:0000380,"alternative mRNA splicing, via spliceosome",M1,1,0
1,-2.3,GO:0042773,ATP synthesis coupled electron transport,M1,1,0
1,-2.3,GO:0072598,protein localization to chloroplast,M1,1,0
1,-8,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-2.9,ath00220,Arginine biosynthesis,M1,1,0
1,-4.1,GO:0043039,tRNA aminoacylation,M1,1,0
1,-2.2,M00004,Pentose phosphate pathway (Pentose phosphate cycle),M1,1,0
1,-2.1,GO:0061727,methylglyoxal catabolic process to lactate,M1,1,0
1,-4.1,GO:0019637,organophosphate metabolic process,M1,1,0
1,-3.3,ath03013,RNA transport,M1,1,0
1,-2.4,GO:0006511,ubiquitin-dependent protein catabolic process,M1,1,0
1,-2.4,ath00061,Fatty acid biosynthesis,M1,1,0
1,-2.3,GO:0044270,cellular nitrogen compound catabolic process,M1,1,0
1,-2.8,ko03060,Protein export,M1,1,0
1,-4.5,GO:0009152,purine ribonucleotide biosynthetic process,M1,1,0
1,-3.2,GO:0006575,cellular modified amino acid metabolic process,M1,1,0
1,-2.1,GO:0045899,positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,M1,1,0
1,-8.9,GO:0008104,protein localization,M1,1,0
1,-4.4,GO:0033866,nucleoside bisphosphate biosynthetic process,M1,1,0
1,-2,GO:0051017,actin filament bundle assembly,M1,1,0
1,-9.3,GO:1901607,alpha-amino acid biosynthetic process,M1,1,0
1,-5.1,GO:0006979,response to oxidative stress,M1,1,0
1,-2.8,GO:0009144,purine nucleoside triphosphate metabolic process,M1,1,0
1,-5.9,M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA",M1,1,0
1,-2.9,GO:0009205,purine ribonucleoside triphosphate metabolic process,M1,1,0
1,-2.1,M00570,"Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine",M1,1,0
1,-6.4,GO:0034622,cellular protein-containing complex assembly,M1,1,0
1,-3,GO:0046177,D-gluconate catabolic process,M1,1,0
1,-2.6,GO:0042044,fluid transport,M1,1,0
1,-6.5,GO:0034613,cellular protein localization,M1,1,0
1,-2.6,GO:0044257,cellular protein catabolic process,M1,1,0
