_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,CHILD_GO_hits
1,-21.35451394910525,GO:0050896,response to stimulus,M1,1,GO:0046686 response to cadmium ion
1,-13.2740575947489,GO:0008152,metabolic process,M1,1,GO:0006520 cellular amino acid metabolic process
1,-12.295166633425325,GO:0051179,localization,M1,1,GO:0006888 ER to Golgi vesicle-mediated transport
1,-7.533084849732271,GO:0071840,cellular component organization or biogenesis,M1,1,GO:0022618 ribonucleoprotein complex assembly
1,-4.5296496950721,GO:0050789,regulation of biological process,M1,1,"GO:0000381 regulation of alternative mRNA splicing, via spliceosome"
1,-3.7068064271262577,GO:0009987,cellular process,M1,1,GO:0006457 protein folding
1,-3.2353238339821186,GO:0065007,biological regulation,M1,1,GO:0006878 cellular copper ion homeostasis
1,-2.9994480696607058,GO:0048518,positive regulation of biological process,M1,1,GO:1902916 positive regulation of protein polyubiquitination
1,-2.8864348696652242,GO:0022414,reproductive process,M1,1,GO:0009793 embryo development ending in seed dormancy
1,-2.6152997045619837,GO:0048519,negative regulation of biological process,M1,1,GO:0060548 negative regulation of cell death
1,-2.565114640707512,GO:0032501,multicellular organismal process,M1,1,GO:0009790 embryo development
