Cluster,Score,Type,Gene,Symbol,Network
1,2.0,Clustered,838997,RSZ21,hits_SUB1
1,2.0,Seed,839262,SR34,hits_SUB1
1,2.0,Clustered,818311,RS2Z33,hits_SUB1
1,2.0,Clustered,824712,SCL30,hits_SUB1
1,2.0,Clustered,820559,SCL30A,hits_SUB1
3,1.5,Clustered,832658,IAA28,hits_SUB1
3,1.5,Seed,834390,ATAUX2-11,hits_SUB1
3,1.5,Clustered,839568,AXR3,hits_SUB1
3,1.5,Clustered,819633,IAA16,hits_SUB1
4,1.5,Clustered,824230,U1-70K,hits_SUB1
4,1.5,Clustered,838230,SR45,hits_SUB1
4,1.5,Clustered,834293,U2AF35B,hits_SUB1
4,1.5,Clustered,839657,ATU2AF35A,hits_SUB1
5,1.25,Clustered,837506,CDC5,hits_SUB1
5,1.25,Clustered,839503,MAC3A,hits_SUB1
5,1.25,Clustered,844347,SUS2,hits_SUB1
5,1.25,Seed,838690,emb1507,hits_SUB1
2,1.2,Clustered,814728,AT2G01970,hits_SUB2
2,1.2,Clustered,830520,NHL3,hits_SUB2
2,1.2,Seed,839618,AT1G27290,hits_SUB2
2,1.2,Clustered,841173,AT1G47640,hits_SUB2
2,1.2,Clustered,841177,AT1G47670,hits_SUB2
6,1.0,Clustered,820729,RIP1,hits_SUB10
6,1.0,Clustered,840152,AT1G32580,hits_SUB10
6,1.0,Seed,818091,MORF6,hits_SUB10
