Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
819845,3.0,1,1,1
838598,3.0,1,1,1
827638,3.0,1,1,1
839429,3.0,1,1,1
821983,3.0,1,1,1
815135,3.0,1,1,1
829697,3.0,1,1,1
838046,3.0,1,1,1
837558,3.0,1,1,1
835279,3.0,1,1,1
833729,3.0,1,1,1
839503,3.0,1,1,1
839868,3.0,1,1,1
836746,3.0,1,1,1
820098,3.0,1,1,1
824529,3.0,1,1,1
839031,3.0,1,1,1
834791,3.0,1,1,1
825359,3.0,1,1,1
818179,3.0,1,1,1
834532,3.0,1,1,1
836378,3.0,1,1,1
817707,3.0,1,1,1
818042,3.0,1,1,1
837454,3.0,1,1,1
823938,3.0,1,1,1
827145,3.0,1,1,1
844347,3.0,1,1,1
816533,3.0,1,1,1
835941,3.0,1,1,1
818966,3.0,1,1,1
838230,3.0,1,1,1
827124,3.0,1,1,1
819364,3.0,1,1,1
818978,3.0,1,1,1
830337,3.0,1,1,1
841812,3.0,1,1,1
838776,3.0,1,1,1
819042,3.0,1,1,1
826746,3.0,1,1,1
834602,3.0,1,1,1
820559,3.0,1,1,1
821008,3.0,1,1,1
841221,3.0,1,1,1
843917,3.0,1,1,1
838614,3.0,1,1,1
820499,3.0,1,1,1
835565,3.0,1,1,1
822359,3.0,1,1,1
827529,3.0,1,1,1
825794,3.0,1,1,1
816186,3.0,1,1,1
817491,3.0,1,1,1
823955,3.0,1,1,1
834056,3.0,1,1,1
821834,3.0,1,1,1
829285,3.0,1,1,1
830463,3.0,1,1,1
817180,3.0,1,1,1
835701,3.0,1,1,1
835622,3.0,1,1,1
842043,3.0,1,1,1
829510,3.0,1,1,1
842138,3.0,1,1,1
818382,3.0,1,1,1
838609,3.0,1,1,1
829943,3.0,1,1,1
844169,3.0,1,1,1
833534,3.0,1,1,1
822594,3.0,1,1,1
821870,3.0,1,1,1
831832,3.0,1,1,1
829106,3.0,1,1,1
827934,3.0,1,1,1
825506,3.0,1,1,1
828163,3.0,1,1,1
825145,3.0,1,1,1
821216,3.0,1,1,1
844224,3.0,1,1,1
838217,3.0,1,1,1
839789,3.0,1,1,1
824712,3.0,1,1,1
844080,3.0,1,1,1
831547,3.0,1,1,1
836809,3.0,1,1,1
832121,3.0,1,1,1
818294,3.0,1,1,1
818311,3.0,1,1,1
817833,3.0,1,1,1
817897,3.0,1,1,1
823749,3.0,1,1,1
820560,3.0,1,1,1
840115,3.0,1,1,1
828439,3.0,1,1,1
817556,3.0,1,1,1
838997,3.0,1,1,1
822181,3.0,1,1,1
820951,3.0,1,1,1
843403,3.0,1,1,1
816413,3.0,1,1,1
841692,3.0,1,1,1
827931,3.0,1,1,1
824289,3.0,1,1,1
834758,3.0,1,1,1
817498,3.0,1,1,1
822396,3.0,1,1,1
837863,3.0,1,1,1
827837,3.0,1,1,1
816774,3.0,1,1,1
824071,3.0,1,1,1
827956,3.0,1,1,1
817576,3.0,1,1,1
840139,3.0,1,1,1
823843,3.0,1,1,1
836156,3.0,1,1,1
839262,3.0,1,1,1
841065,3.0,1,1,1
830095,3.0,1,1,1
824422,3.0,1,1,1
837369,3.0,1,1,1
834290,3.0,1,1,1
843869,3.0,1,1,1
843278,3.0,1,1,1
835915,3.0,1,1,1
829025,3.0,1,1,1
827835,3.0,1,1,1
836541,3.0,1,1,1
832950,3.0,1,1,1
830520,2.0,1,0,1
829012,2.0,1,0,1
829978,2.0,1,1,0
843741,2.0,1,1,0
814675,2.0,1,1,0
820587,2.0,1,1,0
832139,2.0,1,1,0
841829,2.0,1,0,1
819022,2.0,1,1,0
821784,2.0,1,1,0
829376,2.0,1,0,1
814728,2.0,1,0,1
819378,2.0,1,1,0
824578,2.0,1,1,0
835660,2.0,1,0,1
820816,2.0,1,0,1
818186,2.0,1,0,1
838170,2.0,1,0,1
840064,2.0,1,1,0
829462,2.0,1,1,0
844333,2.0,1,0,1
818686,2.0,1,1,0
837898,2.0,1,0,1
838104,2.0,1,0,1
825150,2.0,1,0,1
824612,2.0,1,1,0
817131,2.0,1,1,0
830843,2.0,1,0,1
835006,2.0,1,1,0
830008,2.0,1,1,0
839314,2.0,1,1,0
817101,2.0,1,1,0
841265,2.0,1,1,0
820001,2.0,1,0,1
830626,2.0,1,1,0
835426,2.0,1,0,1
839878,2.0,1,1,0
832451,2.0,1,1,0
834264,2.0,1,1,0
818562,2.0,1,1,0
819010,2.0,1,0,1
840023,2.0,1,0,1
837434,2.0,1,1,0
816863,2.0,1,1,0
824864,2.0,1,0,1
834489,2.0,1,1,0
838590,2.0,1,1,0
832806,2.0,1,1,0
829310,2.0,1,1,0
840152,2.0,1,0,1
841459,2.0,1,0,1
844135,2.0,1,0,1
819633,2.0,1,0,1
827428,2.0,1,1,0
825385,2.0,1,1,0
841813,2.0,1,1,0
838387,2.0,1,1,0
825042,2.0,1,1,0
824050,2.0,1,0,1
818339,2.0,1,0,1
836499,2.0,1,0,1
837232,2.0,1,0,1
840133,2.0,1,0,1
838690,2.0,1,0,1
828586,2.0,1,1,0
816698,2.0,1,1,0
842687,2.0,1,0,1
824015,2.0,1,1,0
824872,2.0,1,1,0
827528,2.0,1,0,1
827845,2.0,1,1,0
815972,2.0,1,0,1
816354,2.0,1,1,0
826932,2.0,1,1,0
828774,2.0,1,1,0
827257,2.0,1,1,0
841144,2.0,1,1,0
832746,2.0,1,1,0
840102,2.0,1,0,1
828958,2.0,1,1,0
824728,2.0,1,1,0
839238,2.0,1,1,0
