Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,ath03040,Spliceosome,,-9.4,2.9,7.4,18982,191,1461,42,2.9,0.44,816187|817576|817938|819371|819377|819745|819950|820559|822246|824230|824518|824853|825150|828253|828333|828531|828654|829285|829822|830123|831141|833711|834293|834443|834945|836117|836541|837131|837248|837433|837505|838685|838690|838714|838997|839503|839526|839567|841976|843763|843963|844055,AT2G16860|U2B''|AT2G33730|U1A|AT2G47640|AT3G05760|AT3G07590|SCL30A|ATRZ-1A|U1-70K|RS2Z32|UBA2A|LSM6A|AT4G21660|AT4G22380|cpHsc70-1|RS40|RSZ22|ATU2AF65A|AT4G39680|EMB3011|ATSRL1|U2AF35B|CBP20|SAD1|AT5G59950|SC35|MEE5|MAC5A|SR30|U2A'|AT1G20920|emb1507|LSM3A|RSZ21|MAC3A|LSM2|AT1G03140|SCL33|GR-RBP5|SmD3|SKIP,-6,hits
KEGG Pathway,24,ko03040,Spliceosome,,-9.4,2.9,7.4,18982,191,1461,42,2.9,0.44,816187|817576|817938|819371|819377|819745|819950|820559|822246|824230|824518|824853|825150|828253|828333|828531|828654|829285|829822|830123|831141|833711|834293|834443|834945|836117|836541|837131|837248|837433|837505|838685|838690|838714|838997|839503|839526|839567|841976|843763|843963|844055,AT2G16860|U2B''|AT2G33730|U1A|AT2G47640|AT3G05760|AT3G07590|SCL30A|ATRZ-1A|U1-70K|RS2Z32|UBA2A|LSM6A|AT4G21660|AT4G22380|cpHsc70-1|RS40|RSZ22|ATU2AF65A|AT4G39680|EMB3011|ATSRL1|U2AF35B|CBP20|SAD1|AT5G59950|SC35|MEE5|MAC5A|SR30|U2A'|AT1G20920|emb1507|LSM3A|RSZ21|MAC3A|LSM2|AT1G03140|SCL33|GR-RBP5|SmD3|SKIP,-6,hits
KEGG Pathway,24,ath01200,Carbon metabolism,,-9.2,2.5,7.2,18982,262,1461,51,3.5,0.48,815120|815842|815903|816218|816808|817149|817648|818024|818231|818382|818879|820606|820664|820951|820984|822139|822181|823906|824385|824465|825044|825145|828564|828805|829034|829310|829679|830726|830758|830819|831884|832512|832736|832872|833655|834076|834169|834823|835598|835735|838301|838445|838652|838850|838940|840953|841221|841765|842635|842724|843741,ACO3|NAD-ME1|ALDH6B2|IDH2|PMDH1|GLDP2|ASP1|AT2G34590|AT2G36580|CAC3|CSY3|AT3G13930|GOX2|LPD1|mtLPD2|GLYR1|LTA2|MDH|LTA3|AT3G52990|CSY2|OASC|PGI1|ACO2|HXK1|AT4G31810|IDH1|AT5G08300|AT5G08570|SDH3-1|IDH-V|PGL4|SHM2|CYSD2|ACS|G6PD6|AT5G41670|AACT1|AT5G55070|AT5G56350|AlaAT1|PSP|CAT1|AT1G22440|GGT1|FBP|mtLPD1|PPC1|AT1G63290|AT1G64190|ENO1,-6,hits
KEGG Pathway,24,ko01200,Carbon metabolism,,-9.2,2.5,7.2,18982,262,1461,51,3.5,0.48,815120|815842|815903|816218|816808|817149|817648|818024|818231|818382|818879|820606|820664|820951|820984|822139|822181|823906|824385|824465|825044|825145|828564|828805|829034|829310|829679|830726|830758|830819|831884|832512|832736|832872|833655|834076|834169|834823|835598|835735|838301|838445|838652|838850|838940|840953|841221|841765|842635|842724|843741,ACO3|NAD-ME1|ALDH6B2|IDH2|PMDH1|GLDP2|ASP1|AT2G34590|AT2G36580|CAC3|CSY3|AT3G13930|GOX2|LPD1|mtLPD2|GLYR1|LTA2|MDH|LTA3|AT3G52990|CSY2|OASC|PGI1|ACO2|HXK1|AT4G31810|IDH1|AT5G08300|AT5G08570|SDH3-1|IDH-V|PGL4|SHM2|CYSD2|ACS|G6PD6|AT5G41670|AACT1|AT5G55070|AT5G56350|AlaAT1|PSP|CAT1|AT1G22440|GGT1|FBP|mtLPD1|PPC1|AT1G63290|AT1G64190|ENO1,-6,hits
GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-9.1,2.1,6.9,18982,475,1461,76,5.2,0.58,814675|814689|816502|816627|816633|816678|817081|818264|818918|819128|819661|819692|819986|820001|820148|820326|820345|820580|820581|820600|821008|821046|821216|823405|824451|824529|824597|824649|825430|825521|825830|826741|827258|827494|828241|828557|828972|829037|829276|830077|830364|830501|830602|831546|832359|833474|833947|834264|834350|834706|834718|835105|835519|835565|835915|836733|837399|837454|837568|837794|837961|838158|838600|838765|838792|839520|839807|839973|841199|841539|841962|842138|842251|842372|843603|844297,STL2P|AT2G01600|SNF7.2|AT2G20930|SYTA|AT2G21390|AT2G25430|MEMB11|AT2G43160|GOS12|AT3G05000|AT3G05280|AT3G07950|AT3G08530|RABE1e|AT3G11530|ATFP8|PRA1.F4|PRA8|RHD3|NPSN13|AT3G17780|AT3G01340|ATMIN7|VSR1|RAB8|VAMP727|ARA6|AT3G62560|AT3G63460|NSF|AT4G11380|VAMP724|SYP23|VPS28-1|AT4G24550|CKL6|SNF7.1|AT4G31490|ATRER1A|VPS60.2|SNX1|PRA1.B6|SYP21|VPS24.1|AT5G35200|SGR4|AT5G42570|ckl8|AT5G46630|AGD9|CPI1|AGD5|AT5G54750|AT5G58030|ATGRIP|PRA1.E|AT1G09330|ADL6|AT1G12390|AT1G14010|GOS11|AT1G20110|AT1G21630|p24delta5|CKL13|ERD2|AT1G30890|AT1G47830|AT1G51160|PRA7|AT1G57620|DL3|HAP13|CKL2|SYP52,-6,hits
GO Biological Processes,19,GO:0046686,response to cadmium ion,19_GO:0050896 response to stimulus,-8.8,2.3,6.9,18982,319,1461,57,3.9,0.51,815120|816664|817648|817768|817925|818353|818881|819778|820356|820984|821160|821983|822117|822171|823557|824454|824465|824530|824612|824930|827012|827381|828255|828531|828794|828805|829330|829697|830626|830726|832206|833535|833874|834169|834473|835258|835756|835769|836138|836300|837330|837863|838301|838652|838927|839295|839503|841221|841263|841822|842681|842697|842763|843185|843830|843934|844333,ACO3|AT2G21250|ASP1|PUR ALPHA-1|CRL1|AKR4C8|PP5.2|PRXIIF|AT3G11830|mtLPD2|AT3G02530|HSP60|ROF1|PP2AA2|NIT3|MDAR1|AT3G52990|PPa4|AT3G54470|ADSS|AT4G13780|ACX1|NRT1.8|cpHsc70-1|AT4G26870|ACO2|ASP5|AKR2|Tudor1|AT5G08300|SUS1|GS2|AT5G38830|AT5G41670|CML43|AT5G51830|OXS3|SYNC1|AT5G60160|Tudor2|AT1G08110|PBE1|AlaAT1|CAT1|PGM3|GSTF7|MAC3A|mtLPD1|D-CDES|PAE1|AT1G63770|MDAR6|ABCF3|XYL1|AT1G74910|VAB1|HSP91,-5.7,hits
KEGG Pathway,24,ko00020,Citrate cycle (TCA cycle),,-8.4,4.3,7.6,18982,63,1461,21,1.4,0.31,815120|816218|816808|818024|818879|819845|820606|820951|820984|822181|823906|824385|825044|828805|829679|830726|830819|831884|835006|835598|841221,ACO3|IDH2|PMDH1|AT2G34590|CSY3|ACLB-1|AT3G13930|LPD1|mtLPD2|LTA2|MDH|LTA3|CSY2|ACO2|IDH1|AT5G08300|SDH3-1|IDH-V|ACLB-2|AT5G55070|mtLPD1,-5.5,hits
KEGG Pathway,24,ath00020,Citrate cycle (TCA cycle),,-8.4,4.3,7.6,18982,63,1461,21,1.4,0.31,815120|816218|816808|818024|818879|819845|820606|820951|820984|822181|823906|824385|825044|828805|829679|830726|830819|831884|835006|835598|841221,ACO3|IDH2|PMDH1|AT2G34590|CSY3|ACLB-1|AT3G13930|LPD1|mtLPD2|LTA2|MDH|LTA3|CSY2|ACO2|IDH1|AT5G08300|SDH3-1|IDH-V|ACLB-2|AT5G55070|mtLPD1,-5.5,hits
GO Biological Processes,19,GO:0006520,cellular amino acid metabolic process,19_GO:0008152 metabolic process,-8.4,2.1,6.5,18982,431,1461,69,4.7,0.55,815903|816281|816619|816765|817149|817290|817648|818588|819804|820343|820930|821977|822396|822833|824015|824130|824493|824526|824629|824727|824872|825145|825500|827012|827786|828586|828794|829106|829310|829330|829535|829549|829591|829675|830154|830159|831061|831093|831612|832008|832326|832718|832736|832741|832872|833535|833874|835263|835494|835598|835769|836558|837489|837543|838023|838046|838216|838301|838362|838445|838940|839868|840076|841263|841307|843236|843869|844264|844376,ALDH6B2|P4H5|LIP1|CYP79B3|GLDP2|NLP1|ASP1|HSPRO2|P4H2|ATKRS-1|AT3G02760|AT3G23940|CARA|ERD5|CSR1|BCAT3|PAL2|AT3G53580|TSA1|P5CS2|CBL|OASC|HMT2|AT4G13780|LSD1|AT4G24830|AT4G26870|MTO2|AT4G31810|ASP5|AT4G33910|MCCB|RRTF1|AT4G35220|CYP79B2|DHS1|AT5G11880|PYD2|AT5G17460|AT5G18900|ADT5|AT5G26710|SHM2|AT5G26830|CYSD2|GS2|AT5G38830|AT5G51880|HGO|AT5G55070|SYNC1|BETA-UP|AT1G09620|BCAT-2|TWN2|AT1G14810|RDH2|AlaAT1|MCCA|PSP|GGT1|CARB|AT-IE|D-CDES|EMB1144|ACR4|OTC|MST1|AT1G80360,-5.5,hits
GO Biological Processes,19,GO:1901605,alpha-amino acid metabolic process,19_GO:0008152 metabolic process,-8.4,2.3,6.7,18982,302,1461,54,3.7,0.49,815903|816281|816619|816765|817149|817290|817648|818588|819804|821977|822396|822833|824015|824130|824493|824526|824629|824727|824872|825145|825500|827786|828586|829106|829310|829330|829535|829549|829591|829675|830154|831061|831612|832008|832326|832736|832872|833535|835263|835494|835598|837543|838046|838216|838301|838362|838445|838940|839868|840076|841263|843869|844264|844376,ALDH6B2|P4H5|LIP1|CYP79B3|GLDP2|NLP1|ASP1|HSPRO2|P4H2|AT3G23940|CARA|ERD5|CSR1|BCAT3|PAL2|AT3G53580|TSA1|P5CS2|CBL|OASC|HMT2|LSD1|AT4G24830|MTO2|AT4G31810|ASP5|AT4G33910|MCCB|RRTF1|AT4G35220|CYP79B2|AT5G11880|AT5G17460|AT5G18900|ADT5|SHM2|CYSD2|GS2|AT5G51880|HGO|AT5G55070|BCAT-2|AT1G14810|RDH2|AlaAT1|MCCA|PSP|GGT1|CARB|AT-IE|D-CDES|OTC|MST1|AT1G80360,-5.5,hits
GO Biological Processes,19,GO:0006888,ER to Golgi vesicle-mediated transport,19_GO:0051179 localization,-8.2,3.7,7.3,18982,88,1461,25,1.7,0.34,814675|816627|816678|818264|819128|819661|820345|820600|821008|821046|821216|825430|825521|829276|833947|834264|835565|835915|837961|838158|838792|839807|839973|841539|842138,STL2P|AT2G20930|AT2G21390|MEMB11|GOS12|AT3G05000|ATFP8|RHD3|NPSN13|AT3G17780|AT3G01340|AT3G62560|AT3G63460|AT4G31490|SGR4|AT5G42570|AT5G54750|AT5G58030|AT1G14010|GOS11|p24delta5|ERD2|AT1G30890|AT1G51160|AT1G57620,-5.5,hits
