Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-13,3.7,9.4,18982,475,448,42,9.4,1.4,816502|818918|819128|819692|819986|820001|820345|820580|820581|821008|824451|824529|824649|825430|825830|826741|827494|828241|828972|829037|830364|830602|831546|832359|833947|834706|835105|835565|835915|836733|837399|837454|837568|837794|838600|838792|839807|841199|841962|842138|842251|844297,SNF7.2|AT2G43160|GOS12|AT3G05280|AT3G07950|AT3G08530|ATFP8|PRA1.F4|PRA8|NPSN13|VSR1|RAB8|ARA6|AT3G62560|NSF|AT4G11380|SYP23|VPS28-1|CKL6|SNF7.1|VPS60.2|PRA1.B6|SYP21|VPS24.1|SGR4|AT5G46630|CPI1|AT5G54750|AT5G58030|ATGRIP|PRA1.E|AT1G09330|ADL6|AT1G12390|AT1G20110|p24delta5|ERD2|AT1G47830|PRA7|AT1G57620|DL3|SYP52,-8.9
hits,GO Biological Processes,19,GO:0048583,regulation of response to stimulus,19_GO:0050789 regulation of biological process,-11,2.8,8,18982,762,448,51,11,1.5,814683|816133|817375|818265|818973|818982|819210|819383|819715|819969|820713|820940|821445|822593|823706|824143|824318|826884|827641|827786|828126|828747|829103|829282|829591|830708|831158|831547|833930|834158|834663|834786|835813|836111|836466|836865|837673|838544|838565|838683|839135|840158|841486|842083|842281|842928|843516|844055|844383|844423|5007942,AT2G01540|AT2G16365|SYD|ABCB1|SSI2|MPK6|BRM|RFI2|AT3G05500|OBE1|AT3G14840|RR1|AT3G19100|AHP2|MPK3|AT3G49810|FER|NUDT7|NLM1|LSD1|UNE12|AT4G26410|MKK2|WRKY11|RRTF1|BIM1|GILP|BPA1|AHP3|AT5G41560|CUL4|AT5G47390|EIR1|ADF4|NF-YC4|MYBR1|MLO2|DHAR1|PUP14|ESC|RCN1|MYC2|ERF3|AT1G56300|PEN3|ZFP4|PTP1|SKIP|AT1G80440|WRKY40|FHY1,-7.2
hits,GO Biological Processes,19,GO:0009755,hormone-mediated signaling pathway,19_GO:0023052 signaling,-10,3,7.9,18982,640,448,45,10,1.4,814683|816290|817375|817553|818265|818730|818973|818982|819010|820929|820940|821445|822296|822593|823706|824318|825473|826601|827463|827786|828025|828151|829012|829282|829591|829597|830708|830915|833930|834158|834663|835813|836466|836699|836865|838144|838518|838565|839135|839568|840158|841486|842281|842928|844383,AT2G01540|ARAC1|SYD|AT2G30020|ABCB1|RR3|SSI2|MPK6|COS1|EBP|RR1|AT3G19100|AFB2|AHP2|MPK3|FER|TIR1|CNX7|ERF6|LSD1|BSK3|MPK4|NINJA|WRKY11|RRTF1|AGB1|BIM1|AIL6|AHP3|AT5G41560|CUL4|EIR1|NF-YC4|BAM1|MYBR1|TPL|BES1|PUP14|RCN1|AXR3|MYC2|ERF3|PEN3|ZFP4|AT1G80440,-6.9
hits,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-9.5,2.7,7.4,18982,749,448,48,11,1.5,814683|816290|817375|817553|818265|818730|818973|818982|819010|820530|820929|820940|821445|822296|822593|823706|824318|825473|826601|827463|827786|828025|828151|829012|829282|829591|829597|830708|830915|832990|833930|834158|834663|835813|836466|836699|836865|838144|838518|838544|838565|839135|839568|840158|841486|842281|842928|844383,AT2G01540|ARAC1|SYD|AT2G30020|ABCB1|RR3|SSI2|MPK6|COS1|VCS|EBP|RR1|AT3G19100|AFB2|AHP2|MPK3|FER|TIR1|CNX7|ERF6|LSD1|BSK3|MPK4|NINJA|WRKY11|RRTF1|AGB1|BIM1|AIL6|BZO2H3|AHP3|AT5G41560|CUL4|EIR1|NF-YC4|BAM1|MYBR1|TPL|BES1|DHAR1|PUP14|RCN1|AXR3|MYC2|ERF3|PEN3|ZFP4|AT1G80440,-6.4
hits,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-8.8,2.6,7.1,18982,785,448,48,11,1.5,814683|816290|817375|817553|818265|818730|818973|818982|819010|820530|820929|820940|821445|822296|822593|823706|824318|825473|826601|827463|827786|828025|828151|829012|829282|829591|829597|830708|830915|832990|833930|834158|834663|835813|836466|836699|836865|838144|838518|838544|838565|839135|839568|840158|841486|842281|842928|844383,AT2G01540|ARAC1|SYD|AT2G30020|ABCB1|RR3|SSI2|MPK6|COS1|VCS|EBP|RR1|AT3G19100|AFB2|AHP2|MPK3|FER|TIR1|CNX7|ERF6|LSD1|BSK3|MPK4|NINJA|WRKY11|RRTF1|AGB1|BIM1|AIL6|BZO2H3|AHP3|AT5G41560|CUL4|EIR1|NF-YC4|BAM1|MYBR1|TPL|BES1|DHAR1|PUP14|RCN1|AXR3|MYC2|ERF3|PEN3|ZFP4|AT1G80440,-6
hits,KEGG Pathway,24,ath03040,Spliceosome,,-7.5,4.4,7.4,18982,191,448,20,4.5,0.98,817576|819745|820559|824230|825150|828531|829285|829822|834293|834945|836541|837248|837433|837505|838690|838997|839503|839567|841976|844055,U2B''|AT3G05760|SCL30A|U1-70K|LSM6A|cpHsc70-1|RSZ22|ATU2AF65A|U2AF35B|SAD1|SC35|MAC5A|SR30|U2A'|emb1507|RSZ21|MAC3A|AT1G03140|SCL33|SKIP,-5
hits,KEGG Pathway,24,ko03040,Spliceosome,,-7.5,4.4,7.4,18982,191,448,20,4.5,0.98,817576|819745|820559|824230|825150|828531|829285|829822|834293|834945|836541|837248|837433|837505|838690|838997|839503|839567|841976|844055,U2B''|AT3G05760|SCL30A|U1-70K|LSM6A|cpHsc70-1|RSZ22|ATU2AF65A|U2AF35B|SAD1|SC35|MAC5A|SR30|U2A'|emb1507|RSZ21|MAC3A|AT1G03140|SCL33|SKIP,-5
hits,GO Biological Processes,19,GO:0000398,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-7.2,4,7.1,18982,220,448,21,4.7,1,817576|819745|820559|824230|829285|829822|834293|834945|836456|836541|837246|837433|837494|837505|838690|838997|839503|839567|841976|844055|844433,U2B''|AT3G05760|SCL30A|U1-70K|RSZ22|ATU2AF65A|U2AF35B|SAD1|AT5G63370|SC35|SR45a|SR30|AT1G09660|U2A'|emb1507|RSZ21|MAC3A|AT1G03140|SCL33|SKIP|AT1G80930,-4.8
hits,GO Biological Processes,19,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0008152 metabolic process,-7.1,3.8,6.9,18982,244,448,22,4.9,1,817576|819745|820559|821983|824230|829285|829822|834293|834945|836456|836541|837246|837433|837494|837505|838690|838997|839503|839567|841976|844055|844433,U2B''|AT3G05760|SCL30A|HSP60|U1-70K|RSZ22|ATU2AF65A|U2AF35B|SAD1|AT5G63370|SC35|SR45a|SR30|AT1G09660|U2A'|emb1507|RSZ21|MAC3A|AT1G03140|SCL33|SKIP|AT1G80930,-4.7
hits,GO Biological Processes,19,GO:0000375,"RNA splicing, via transesterification reactions",19_GO:0008152 metabolic process,-7.1,3.8,6.9,18982,244,448,22,4.9,1,817576|819745|820559|821983|824230|829285|829822|834293|834945|836456|836541|837246|837433|837494|837505|838690|838997|839503|839567|841976|844055|844433,U2B''|AT3G05760|SCL30A|HSP60|U1-70K|RSZ22|ATU2AF65A|U2AF35B|SAD1|AT5G63370|SC35|SR45a|SR30|AT1G09660|U2A'|emb1507|RSZ21|MAC3A|AT1G03140|SCL33|SKIP|AT1G80930,-4.7
