Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
835598,3.0,1,1,1
829652,3.0,1,1,1
841733,3.0,1,1,1
819122,3.0,1,1,1
831546,3.0,1,1,1
825654,3.0,1,1,1
837433,3.0,1,1,1
839331,3.0,1,1,1
833509,3.0,1,1,1
828747,3.0,1,1,1
835969,3.0,1,1,1
843934,3.0,1,1,1
816952,3.0,1,1,1
5007942,3.0,1,1,1
817149,3.0,1,1,1
816290,3.0,1,1,1
828972,3.0,1,1,1
816910,3.0,1,1,1
819128,3.0,1,1,1
817715,3.0,1,1,1
828805,3.0,1,1,1
830019,3.0,1,1,1
830626,3.0,1,1,1
828534,3.0,1,1,1
826724,3.0,1,1,1
836466,3.0,1,1,1
831547,3.0,1,1,1
843459,3.0,1,1,1
827086,3.0,1,1,1
819847,3.0,1,1,1
823706,3.0,1,1,1
824451,3.0,1,1,1
836541,3.0,1,1,1
837763,3.0,1,1,1
818879,3.0,1,1,1
818966,3.0,1,1,1
835689,3.0,1,1,1
844383,3.0,1,1,1
838565,3.0,1,1,1
832645,3.0,1,1,1
838652,3.0,1,1,1
835915,3.0,1,1,1
824727,3.0,1,1,1
820559,3.0,1,1,1
819383,3.0,1,1,1
837357,3.0,1,1,1
825473,3.0,1,1,1
820001,3.0,1,1,1
829597,3.0,1,1,1
821008,3.0,1,1,1
839868,3.0,1,1,1
830000,3.0,1,1,1
835813,3.0,1,1,1
841765,3.0,1,1,1
839135,3.0,1,1,1
825430,3.0,1,1,1
843859,3.0,1,1,1
833947,3.0,1,1,1
827786,3.0,1,1,1
839567,3.0,1,1,1
822296,3.0,1,1,1
834791,3.0,1,1,1
820951,3.0,1,1,1
837483,3.0,1,1,1
831241,3.0,1,1,1
834532,3.0,1,1,1
838046,3.0,1,1,1
818918,3.0,1,1,1
818265,3.0,1,1,1
816133,3.0,1,1,1
822593,3.0,1,1,1
824529,3.0,1,1,1
835565,3.0,1,1,1
836865,3.0,1,1,1
837454,3.0,1,1,1
833535,3.0,1,1,1
818583,3.0,1,1,1
815135,3.0,1,1,1
819048,3.0,1,1,1
834706,3.0,1,1,1
817833,3.0,1,1,1
824385,3.0,1,1,1
842615,3.0,1,1,1
818231,3.0,1,1,1
823906,3.0,1,1,1
833791,3.0,1,1,1
827230,3.0,1,1,1
838217,3.0,1,1,1
825830,3.0,1,1,1
838226,3.0,1,1,1
829591,3.0,1,1,1
827494,3.0,1,1,1
829679,3.0,1,1,1
818429,3.0,1,1,1
831158,3.0,1,1,1
833930,3.0,1,1,1
840957,3.0,1,1,1
818982,3.0,1,1,1
841221,3.0,1,1,1
829549,3.0,1,1,1
829034,3.0,1,1,1
838792,3.0,1,1,1
816502,3.0,1,1,1
829037,3.0,1,1,1
832174,3.0,1,1,1
841232,3.0,1,1,1
842251,3.0,1,1,1
836378,3.0,1,1,1
829285,3.0,1,1,1
820530,3.0,1,1,1
832359,3.0,1,1,1
839807,3.0,1,1,1
817576,3.0,1,1,1
822181,3.0,1,1,1
821942,3.0,1,1,1
821460,3.0,1,1,1
838600,3.0,1,1,1
820940,3.0,1,1,1
825044,3.0,1,1,1
822519,3.0,1,1,1
827641,3.0,1,1,1
820345,3.0,1,1,1
835735,3.0,1,1,1
818382,3.0,1,1,1
837494,3.0,1,1,1
837246,3.0,1,1,1
838454,3.0,1,1,1
822594,3.0,1,1,1
839568,3.0,1,1,1
830708,3.0,1,1,1
826601,3.0,1,1,1
818390,3.0,1,1,1
838609,3.0,1,1,1
837673,3.0,1,1,1
842281,3.0,1,1,1
838997,3.0,1,1,1
835105,3.0,1,1,1
835553,3.0,1,1,1
825285,3.0,1,1,1
837568,3.0,1,1,1
822396,3.0,1,1,1
838300,3.0,1,1,1
834056,3.0,1,1,1
832990,3.0,1,1,1
834663,3.0,1,1,1
842138,3.0,1,1,1
831884,3.0,1,1,1
838683,3.0,1,1,1
835777,3.0,1,1,1
830915,3.0,1,1,1
825515,3.0,1,1,1
844297,3.0,1,1,1
819840,3.0,1,1,1
821216,2.0,1,1,0
822338,2.0,1,1,0
831402,2.0,1,1,0
820870,2.0,1,0,1
829847,2.0,1,0,1
820984,2.0,1,1,0
819210,2.0,1,0,1
832432,2.0,1,1,0
829103,2.0,1,0,1
819200,2.0,1,0,1
824613,2.0,1,0,1
820591,2.0,1,0,1
827147,2.0,1,0,1
838368,2.0,1,1,0
819010,2.0,1,0,1
839314,2.0,1,1,0
821135,2.0,1,1,0
819043,2.0,1,0,1
839238,2.0,1,0,1
818339,2.0,1,0,1
828760,2.0,1,0,1
817799,2.0,1,0,1
817699,2.0,1,0,1
829982,2.0,1,0,1
828151,2.0,1,0,1
824015,2.0,1,1,0
820713,2.0,1,0,1
822105,2.0,1,1,0
832008,2.0,1,1,0
824493,2.0,1,1,0
828654,2.0,1,1,0
825042,2.0,1,0,1
