Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0046686,response to cadmium ion,19_GO:0050896 response to stimulus,-15,2.9,9.6,18982,319,1407,68,4.8,0.57,815120|816664|816954|817648|817925|818881|818978|819042|819137|819778|820083|820356|820499|820984|821147|821160|821983|822117|823557|824454|824465|824530|824612|824930|826624|826738|827012|827381|828531|828794|828805|829330|829697|830120|830626|830726|830919|831935|833535|833874|834169|834473|835756|835769|836138|836300|837330|837733|837863|837953|838301|838927|839295|839503|839602|841221|841442|841470|841822|842284|842365|842681|842697|842763|843185|843830|843934|844333,ACO3|AT2G21250|LAP1|ASP1|CRL1|PP5.2|OASB|ATCS|AT2G45290|PRXIIF|GSTU8|AT3G11830|SERAT2;2|mtLPD2|MS2|AT3G02530|HSP60|ROF1|NIT3|MDAR1|AT3G52990|PPa4|AT3G54470|ADSS|AT4G10320|RHA1B|AT4G13780|ACX1|cpHsc70-1|AT4G26870|ACO2|ASP5|AKR2|AGT2|Tudor1|AT5G08300|AT5G10540|GDH1|GS2|AT5G38830|AT5G41670|CML43|OXS3|SYNC1|AT5G60160|Tudor2|AT1G08110|AT1G11860|PBE1|AT1G13930|AlaAT1|PGM3|GSTF7|MAC3A|GSTU13|mtLPD1|ALATS|THFS|PAE1|E1 ALPHA|ATB2|AT1G63770|MDAR6|ABCF3|XYL1|AT1G74910|VAB1|HSP91,-11,hits
GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-14,2.5,9,18982,444,1407,82,5.8,0.62,815120|816664|816954|817194|817648|817813|817830|817925|817940|818881|818978|819042|819137|819778|819963|820083|820356|820499|820984|821147|821160|821983|822117|823557|824355|824454|824465|824530|824612|824930|826624|826738|827012|827381|828531|828764|828794|828805|829330|829697|829978|830120|830525|830626|830726|830843|830919|831935|833535|833755|833874|834169|834473|834489|835756|835769|836138|836300|837330|837733|837863|837953|838217|838301|838927|839295|839503|839602|840339|841221|841442|841470|841822|842284|842365|842681|842697|842763|843185|843830|843934|844333,ACO3|AT2G21250|LAP1|AR781|ASP1|AT2G32520|LUH|CRL1|CUTA|PP5.2|OASB|ATCS|AT2G45290|PRXIIF|AT3G07720|GSTU8|AT3G11830|SERAT2;2|mtLPD2|MS2|AT3G02530|HSP60|ROF1|NIT3|CAM9|MDAR1|AT3G52990|PPa4|AT3G54470|ADSS|AT4G10320|RHA1B|AT4G13780|ACX1|cpHsc70-1|CBL3|AT4G26870|ACO2|ASP5|AKR2|AQI|AGT2|AT5G06370|Tudor1|AT5G08300|AT5G09830|AT5G10540|GDH1|GS2|TCH2|AT5G38830|AT5G41670|CML43|MAP18|OXS3|SYNC1|AT5G60160|Tudor2|AT1G08110|AT1G11860|PBE1|AT1G13930|PAB1|AlaAT1|PGM3|GSTF7|MAC3A|GSTU13|STOP1|mtLPD1|ALATS|THFS|PAE1|E1 ALPHA|ATB2|AT1G63770|MDAR6|ABCF3|XYL1|AT1G74910|VAB1|HSP91,-11,hits
GO Biological Processes,19,GO:0006520,cellular amino acid metabolic process,19_GO:0008152 metabolic process,-12,2.4,8.4,18982,431,1407,77,5.5,0.61,815822|815903|816281|817149|817180|817290|817648|817738|818566|818978|819804|820343|820499|821049|821147|821977|822396|822833|823668|824015|824130|824526|824629|824872|825145|825500|826624|827012|827122|827786|828459|828586|828794|829106|829310|829330|829452|829510|829978|830154|830159|831024|831061|831169|831612|831935|832008|832326|832718|832736|832741|832872|833535|833874|835005|835263|835598|835769|835778|837168|837489|837733|838023|838216|838301|838445|838523|839103|839868|840076|841307|841442|843236|843587|843869|844264|844376,AGT|ALDH6B2|P4H5|GLDP2|ARD3|NLP1|ASP1|AT2G31810|P5CS1|OASB|P4H2|ATKRS-1|SERAT2;2|PYD1|MS2|AT3G23940|CARA|ERD5|IVD|CSR1|BCAT3|AT3G53580|TSA1|CBL|OASC|HMT2|AT4G10320|AT4G13780|ATARD2|LSD1|AT4G23590|AT4G24830|AT4G26870|MTO2|AT4G31810|ASP5|AT4G33150|AGD2|AQI|CYP79B2|DHS1|ASP3|AT5G11880|AK-LYS1|AT5G17460|GDH1|AT5G18900|ADT5|AT5G26710|SHM2|AT5G26830|CYSD2|GS2|AT5G38830|bZIP1|AT5G51880|AT5G55070|SYNC1|SERAT1;1|PDS1|AT1G09620|AT1G11860|TWN2|RDH2|AlaAT1|PSP|AT1G19400|ASB1|CARB|AT-IE|EMB1144|ALATS|ACR4|AT1G72550|OTC|MST1|AT1G80360,-9.3,hits
KEGG Pathway,24,ko01200,Carbon metabolism,,-12,2.9,8.7,18982,262,1407,56,4,0.52,815120|815822|815842|815903|816218|816808|817149|817648|818024|818231|818382|818978|819042|819137|820499|820606|820723|820951|820984|821163|822139|822181|824465|825044|825145|828564|828805|829034|829310|829679|830726|830758|830819|831024|831690|831884|831935|832736|832872|833655|834076|834169|835598|835778|837733|838301|838445|838850|839891|841221|841470|841765|842284|842724|843741|844755,ACO3|AGT|NAD-ME1|ALDH6B2|IDH2|PMDH1|GLDP2|ASP1|AT2G34590|AT2G36580|CAC3|OASB|ATCS|AT2G45290|SERAT2;2|AT3G13930|PPC3|LPD1|mtLPD2|AT3G02360|GLYR1|LTA2|AT3G52990|CSY2|OASC|PGI1|ACO2|HXK1|AT4G31810|IDH1|AT5G08300|AT5G08570|SDH3-1|ASP3|MLS|IDH-V|GDH1|SHM2|CYSD2|ACS|G6PD6|AT5G41670|AT5G55070|SERAT1;1|AT1G11860|AlaAT1|PSP|AT1G22440|PDH-E1 BETA|mtLPD1|THFS|PPC1|E1 ALPHA|AT1G64190|ENO1|accD,-9.3,hits
KEGG Pathway,24,ath01200,Carbon metabolism,,-12,2.9,8.7,18982,262,1407,56,4,0.52,815120|815822|815842|815903|816218|816808|817149|817648|818024|818231|818382|818978|819042|819137|820499|820606|820723|820951|820984|821163|822139|822181|824465|825044|825145|828564|828805|829034|829310|829679|830726|830758|830819|831024|831690|831884|831935|832736|832872|833655|834076|834169|835598|835778|837733|838301|838445|838850|839891|841221|841470|841765|842284|842724|843741|844755,ACO3|AGT|NAD-ME1|ALDH6B2|IDH2|PMDH1|GLDP2|ASP1|AT2G34590|AT2G36580|CAC3|OASB|ATCS|AT2G45290|SERAT2;2|AT3G13930|PPC3|LPD1|mtLPD2|AT3G02360|GLYR1|LTA2|AT3G52990|CSY2|OASC|PGI1|ACO2|HXK1|AT4G31810|IDH1|AT5G08300|AT5G08570|SDH3-1|ASP3|MLS|IDH-V|GDH1|SHM2|CYSD2|ACS|G6PD6|AT5G41670|AT5G55070|SERAT1;1|AT1G11860|AlaAT1|PSP|AT1G22440|PDH-E1 BETA|mtLPD1|THFS|PPC1|E1 ALPHA|AT1G64190|ENO1|accD,-9.3,hits
KEGG Pathway,24,ath03040,Spliceosome,,-11,3.1,8.3,18982,191,1407,44,3.1,0.46,816187|817576|817938|818186|819371|819377|819745|820559|822246|824230|824518|824712|825150|825359|828163|828253|828333|828531|829285|829732|829822|830123|831141|832834|834293|834443|834945|835279|836117|836541|837228|837248|837433|837505|838690|838714|838997|839503|839526|843763|843963|844021|844055|844347,AT2G16860|U2B''|AT2G33730|AT2G36130|U1A|AT2G47640|AT3G05760|SCL30A|ATRZ-1A|U1-70K|RS2Z32|SCL30|LSM6A|RS31|AT4G02840|AT4G21660|AT4G22380|cpHsc70-1|RSZ22|AT4G35785|ATU2AF65A|AT4G39680|EMB3011|emb1644|U2AF35B|CBP20|SAD1|RS41|AT5G59950|SC35|AT1G07170|MAC5A|SR30|U2A'|emb1507|LSM3A|RSZ21|MAC3A|LSM2|GR-RBP5|SmD3|LSM3B|SKIP|SUS2,-8.1,hits
KEGG Pathway,24,ko03040,Spliceosome,,-11,3.1,8.3,18982,191,1407,44,3.1,0.46,816187|817576|817938|818186|819371|819377|819745|820559|822246|824230|824518|824712|825150|825359|828163|828253|828333|828531|829285|829732|829822|830123|831141|832834|834293|834443|834945|835279|836117|836541|837228|837248|837433|837505|838690|838714|838997|839503|839526|843763|843963|844021|844055|844347,AT2G16860|U2B''|AT2G33730|AT2G36130|U1A|AT2G47640|AT3G05760|SCL30A|ATRZ-1A|U1-70K|RS2Z32|SCL30|LSM6A|RS31|AT4G02840|AT4G21660|AT4G22380|cpHsc70-1|RSZ22|AT4G35785|ATU2AF65A|AT4G39680|EMB3011|emb1644|U2AF35B|CBP20|SAD1|RS41|AT5G59950|SC35|AT1G07170|MAC5A|SR30|U2A'|emb1507|LSM3A|RSZ21|MAC3A|LSM2|GR-RBP5|SmD3|LSM3B|SKIP|SUS2,-8.1,hits
GO Biological Processes,19,GO:1901605,alpha-amino acid metabolic process,19_GO:0008152 metabolic process,-10,2.5,7.7,18982,302,1407,57,4.1,0.53,815822|815903|816281|817149|817180|817290|817648|817738|818566|818978|819804|820499|821147|821977|822396|822833|823668|824015|824130|824526|824629|824872|825145|825500|827122|827786|828586|829106|829310|829330|829452|829510|830154|831024|831061|831169|831612|831935|832008|832326|832736|832872|833535|835263|835598|835778|837168|837733|838216|838301|838445|839103|839868|840076|843869|844264|844376,AGT|ALDH6B2|P4H5|GLDP2|ARD3|NLP1|ASP1|AT2G31810|P5CS1|OASB|P4H2|SERAT2;2|MS2|AT3G23940|CARA|ERD5|IVD|CSR1|BCAT3|AT3G53580|TSA1|CBL|OASC|HMT2|ATARD2|LSD1|AT4G24830|MTO2|AT4G31810|ASP5|AT4G33150|AGD2|CYP79B2|ASP3|AT5G11880|AK-LYS1|AT5G17460|GDH1|AT5G18900|ADT5|SHM2|CYSD2|GS2|AT5G51880|AT5G55070|SERAT1;1|PDS1|AT1G11860|RDH2|AlaAT1|PSP|ASB1|CARB|AT-IE|OTC|MST1|AT1G80360,-7.4,hits
GO Biological Processes,19,GO:0006084,acetyl-CoA metabolic process,19_GO:0008152 metabolic process,-9.5,7.6,9.3,18982,25,1407,14,1,0.26,818024|818452|819845|820951|822181|826788|829452|832804|833655|835006|835598|837466|839891|842284,AT2G34590|MVD1|ACLB-1|LPD1|LTA2|HMGS|AT4G33150|MK|ACS|ACLB-2|AT5G55070|ACLA-3|PDH-E1 BETA|E1 ALPHA,-6.7,hits
KEGG Pathway,24,ath00020,Citrate cycle (TCA cycle),,-9.5,4.7,8.3,18982,63,1407,22,1.6,0.33,815120|816218|816808|818024|819042|819845|820606|820951|820984|822181|825044|828805|829679|830726|830819|831884|835006|835598|837466|839891|841221|842284,ACO3|IDH2|PMDH1|AT2G34590|ATCS|ACLB-1|AT3G13930|LPD1|mtLPD2|LTA2|CSY2|ACO2|IDH1|AT5G08300|SDH3-1|IDH-V|ACLB-2|AT5G55070|ACLA-3|PDH-E1 BETA|mtLPD1|E1 ALPHA,-6.7,hits
