_MEMBER_hits,_LogP_hits,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-9.5,ko00020,Citrate cycle (TCA cycle),M1,1,0
1,-5.1,GO:0072350,tricarboxylic acid metabolic process,M1,1,0
1,-2.8,GO:0070925,organelle assembly,M1,1,0
1,-2.1,GO:0071333,cellular response to glucose stimulus,M1,1,0
1,-5,ath00520,Amino sugar and nucleotide sugar metabolism,M1,1,0
1,-3.2,GO:0009926,auxin polar transport,M1,1,0
1,-2.4,GO:0009966,regulation of signal transduction,M1,1,0
1,-5.4,GO:0008652,cellular amino acid biosynthetic process,M1,1,0
1,-5.9,GO:0036294,cellular response to decreased oxygen levels,M1,1,0
1,-6.3,ko01210,2-Oxocarboxylic acid metabolism,M1,1,0
1,-12,ath01200,Carbon metabolism,M1,1,0
1,-3.5,GO:0046217,indole phytoalexin metabolic process,M1,1,0
1,-2.4,GO:0031396,regulation of protein ubiquitination,M1,1,0
1,-5.6,GO:0071456,cellular response to hypoxia,M1,1,0
1,-2.4,M00170,"C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type",M1,1,0
1,-2.4,GO:0042350,GDP-L-fucose biosynthetic process,M1,1,0
1,-2.3,ath_M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",M1,1,0
1,-11,ath03040,Spliceosome,M1,1,0
1,-2.6,GO:0009099,valine biosynthetic process,M1,1,0
1,-2.2,GO:1903320,regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-5.4,GO:0006101,citrate metabolic process,M1,1,0
1,-4.7,ath00270,Cysteine and methionine metabolism,M1,1,0
1,-6.3,GO:0071616,acyl-CoA biosynthetic process,M1,1,0
1,-2.6,GO:0030308,negative regulation of cell growth,M1,1,0
1,-2,GO:1901137,carbohydrate derivative biosynthetic process,M1,1,0
1,-3.9,ath_M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",M1,1,0
1,-4.5,GO:0034032,purine nucleoside bisphosphate metabolic process,M1,1,0
1,-3.3,GO:0006575,cellular modified amino acid metabolic process,M1,1,0
1,-2.2,ko04145,Phagosome,M1,1,0
1,-2.9,M00012,Glyoxylate cycle,M1,1,0
1,-4.4,GO:0045292,"mRNA cis splicing, via spliceosome",M1,1,0
1,-3,ko01040,Biosynthesis of unsaturated fatty acids,M1,1,0
1,-6,GO:0006397,mRNA processing,M1,1,0
1,-3,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,M1,1,0
1,-2.3,M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",M1,1,0
1,-9.5,ath00020,Citrate cycle (TCA cycle),M1,1,0
1,-2.1,GO:0055114,oxidation-reduction process,M1,1,0
1,-2.6,GO:0019395,fatty acid oxidation,M1,1,0
1,-2.2,GO:0033319,UDP-D-xylose metabolic process,M1,1,0
1,-2.3,GO:0072330,monocarboxylic acid biosynthetic process,M1,1,0
1,-6.6,GO:0070482,response to oxygen levels,M1,1,0
1,-2.8,GO:0009409,response to cold,M1,1,0
1,-4.8,GO:0009225,nucleotide-sugar metabolic process,M1,1,0
1,-11,ko03040,Spliceosome,M1,1,0
1,-4.3,GO:0042886,amide transport,M1,1,0
1,-14,GO:0010038,response to metal ion,M1,1,0
1,-5.6,GO:0071826,ribonucleoprotein complex subunit organization,M1,1,0
1,-9.5,GO:0006084,acetyl-CoA metabolic process,M1,1,0
1,-2,GO:0009092,homoserine metabolic process,M1,1,0
1,-2.9,GO:0006605,protein targeting,M1,1,0
1,-3.8,GO:0006753,nucleoside phosphate metabolic process,M1,1,0
1,-3,GO:0009070,serine family amino acid biosynthetic process,M1,1,0
1,-4.9,ath00010,Glycolysis / Gluconeogenesis,M1,1,0
1,-2.6,GO:0001505,regulation of neurotransmitter levels,M1,1,0
1,-2.9,GO:0009062,fatty acid catabolic process,M1,1,0
1,-2.9,GO:0048585,negative regulation of response to stimulus,M1,1,0
1,-5,GO:0044283,small molecule biosynthetic process,M1,1,0
1,-6.4,GO:0001666,response to hypoxia,M1,1,0
1,-2,GO:0000038,very long-chain fatty acid metabolic process,M1,1,0
1,-5.5,ko00480,Glutathione metabolism,M1,1,0
1,-2.9,ath_M00012,Glyoxylate cycle,M1,1,0
1,-2.6,GO:0031348,negative regulation of defense response,M1,1,0
1,-2.8,GO:0019521,D-gluconate metabolic process,M1,1,0
1,-3,GO:0048364,root development,M1,1,0
1,-3.4,GO:0006665,sphingolipid metabolic process,M1,1,0
1,-2.4,ath_M00021,"Cysteine biosynthesis, serine => cysteine",M1,1,0
1,-6.1,GO:0022618,ribonucleoprotein complex assembly,M1,1,0
1,-2,GO:0009617,response to bacterium,M1,1,0
1,-2.2,GO:0009097,isoleucine biosynthetic process,M1,1,0
1,-2.8,GO:0010394,homogalacturonan metabolic process,M1,1,0
1,-2.7,ath00260,"Glycine, serine and threonine metabolism",M1,1,0
1,-4.9,GO:0070972,protein localization to endoplasmic reticulum,M1,1,0
1,-12,ko01200,Carbon metabolism,M1,1,0
1,-6.2,ko00620,Pyruvate metabolism,M1,1,0
1,-2.2,ath_M00050,"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",M1,1,0
1,-2.2,GO:0006549,isoleucine metabolic process,M1,1,0
1,-2,GO:0006222,UMP biosynthetic process,M1,1,0
