Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
hits,GO Biological Processes,19,GO:0009755,hormone-mediated signaling pathway,19_GO:0023052 signaling,-13,3.5,9.4,18982,640,397,47,12,1.6,814683|814686|816775|817087|818265|818936|818973|818982|819010|820752|821705|822593|823706|824214|824318|825473|825506|826601|827510|827786|828025|828151|828714|829012|830708|830915|832214|833752|833930|834158|835397|835813|836699|836865|838144|838518|838565|839135|839568|840115|840158|841486|842281|842928|843685|843987|844193,AT2G01540|RGA1|HB6|EBF1|ABCB1|GPX3|SSI2|MPK6|COS1|ERF4|AHP1|AHP2|MPK3|SNRK2.2|FER|TIR1|BIL4|CNX7|PYR1|LSD1|BSK3|MPK4|ABI1|NINJA|BIM1|AIL6|JAZ12|AT5G37740|AHP3|AT5G41560|RCAR3|EIR1|BAM1|MYBR1|TPL|BES1|PUP14|RCN1|AXR3|RCD1|MYC2|ERF3|PEN3|ZFP4|MKK9|CDKB2;1|RHM1,-9.4
hits,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-11,3.1,8.4,18982,749,397,48,12,1.6,814683|814686|816775|817087|818265|818936|818973|818982|819010|820530|820752|821705|822593|823706|824214|824318|825473|825506|826601|827510|827786|828025|828151|828714|829012|830708|830915|832214|833752|833930|834158|835397|835813|836699|836865|838144|838518|838565|839135|839568|840115|840158|841486|842281|842928|843685|843987|844193,AT2G01540|RGA1|HB6|EBF1|ABCB1|GPX3|SSI2|MPK6|COS1|VCS|ERF4|AHP1|AHP2|MPK3|SNRK2.2|FER|TIR1|BIL4|CNX7|PYR1|LSD1|BSK3|MPK4|ABI1|NINJA|BIM1|AIL6|JAZ12|AT5G37740|AHP3|AT5G41560|RCAR3|EIR1|BAM1|MYBR1|TPL|BES1|PUP14|RCN1|AXR3|RCD1|MYC2|ERF3|PEN3|ZFP4|MKK9|CDKB2;1|RHM1,-7.8
hits,KEGG Pathway,24,ath03040,Spliceosome,,-11,5.8,9.7,18982,191,397,23,5.8,1.2,817576|818186|819745|820559|824230|824712|825150|825359|828531|829285|829822|834293|834945|835279|836541|837248|837433|837505|838690|838997|839503|844055|844347,U2B''|AT2G36130|AT3G05760|SCL30A|U1-70K|SCL30|LSM6A|RS31|cpHsc70-1|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|SC35|MAC5A|SR30|U2A'|emb1507|RSZ21|MAC3A|SKIP|SUS2,-7.6
hits,KEGG Pathway,24,ko03040,Spliceosome,,-11,5.8,9.7,18982,191,397,23,5.8,1.2,817576|818186|819745|820559|824230|824712|825150|825359|828531|829285|829822|834293|834945|835279|836541|837248|837433|837505|838690|838997|839503|844055|844347,U2B''|AT2G36130|AT3G05760|SCL30A|U1-70K|SCL30|LSM6A|RS31|cpHsc70-1|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|SC35|MAC5A|SR30|U2A'|emb1507|RSZ21|MAC3A|SKIP|SUS2,-7.6
hits,GO Biological Processes,19,GO:0071495,cellular response to endogenous stimulus,19_GO:0050896 response to stimulus,-11,2.9,8,18982,785,397,48,12,1.6,814683|814686|816775|817087|818265|818936|818973|818982|819010|820530|820752|821705|822593|823706|824214|824318|825473|825506|826601|827510|827786|828025|828151|828714|829012|830708|830915|832214|833752|833930|834158|835397|835813|836699|836865|838144|838518|838565|839135|839568|840115|840158|841486|842281|842928|843685|843987|844193,AT2G01540|RGA1|HB6|EBF1|ABCB1|GPX3|SSI2|MPK6|COS1|VCS|ERF4|AHP1|AHP2|MPK3|SNRK2.2|FER|TIR1|BIL4|CNX7|PYR1|LSD1|BSK3|MPK4|ABI1|NINJA|BIM1|AIL6|JAZ12|AT5G37740|AHP3|AT5G41560|RCAR3|EIR1|BAM1|MYBR1|TPL|BES1|PUP14|RCN1|AXR3|RCD1|MYC2|ERF3|PEN3|ZFP4|MKK9|CDKB2;1|RHM1,-7.5
hits,GO Biological Processes,19,GO:0048583,regulation of response to stimulus,19_GO:0050789 regulation of biological process,-10,2.9,7.8,18982,762,397,46,12,1.6,814683|814686|816133|816775|817087|818265|818973|818982|819210|820752|821705|822593|823706|824143|824214|824318|827510|827641|827786|828714|828747|829103|830708|831158|832214|833752|833930|834158|835397|835660|835813|836111|836865|837113|837673|838565|839135|840158|841486|842083|842281|842928|843516|844055|844193|844423,AT2G01540|RGA1|AT2G16365|HB6|EBF1|ABCB1|SSI2|MPK6|BRM|ERF4|AHP1|AHP2|MPK3|AT3G49810|SNRK2.2|FER|PYR1|NLM1|LSD1|ABI1|AT4G26410|MKK2|BIM1|GILP|JAZ12|AT5G37740|AHP3|AT5G41560|RCAR3|AT5G55660|EIR1|ADF4|MYBR1|STO|MLO2|PUP14|RCN1|MYC2|ERF3|AT1G56300|PEN3|ZFP4|PTP1|SKIP|RHM1|WRKY40,-6.9
hits,GO Biological Processes,19,GO:0009966,regulation of signal transduction,19_GO:0023052 signaling,-9.2,4,8.1,18982,336,397,28,7.1,1.3,814683|814686|816775|817087|818265|818973|820752|821705|822593|824214|824318|827786|828714|828747|829103|832214|833752|833930|834158|835397|835813|836865|838565|839135|841486|842281|842928|844193,AT2G01540|RGA1|HB6|EBF1|ABCB1|SSI2|ERF4|AHP1|AHP2|SNRK2.2|FER|LSD1|ABI1|AT4G26410|MKK2|JAZ12|AT5G37740|AHP3|AT5G41560|RCAR3|EIR1|MYBR1|PUP14|RCN1|ERF3|PEN3|ZFP4|RHM1,-6.3
hits,GO Biological Processes,19,GO:0023051,regulation of signaling,19_GO:0023052 signaling,-9.1,3.9,7.9,18982,342,397,28,7.1,1.3,814683|814686|816775|817087|818265|818973|820752|821705|822593|824214|824318|827786|828714|828747|829103|832214|833752|833930|834158|835397|835813|836865|838565|839135|841486|842281|842928|844193,AT2G01540|RGA1|HB6|EBF1|ABCB1|SSI2|ERF4|AHP1|AHP2|SNRK2.2|FER|LSD1|ABI1|AT4G26410|MKK2|JAZ12|AT5G37740|AHP3|AT5G41560|RCAR3|EIR1|MYBR1|PUP14|RCN1|ERF3|PEN3|ZFP4|RHM1,-6.2
hits,GO Biological Processes,19,GO:0010646,regulation of cell communication,19_GO:0050789 regulation of biological process,-9,3.9,7.9,18982,345,397,28,7.1,1.3,814683|814686|816775|817087|818265|818973|820752|821705|822593|824214|824318|827786|828714|828747|829103|832214|833752|833930|834158|835397|835813|836865|838565|839135|841486|842281|842928|844193,AT2G01540|RGA1|HB6|EBF1|ABCB1|SSI2|ERF4|AHP1|AHP2|SNRK2.2|FER|LSD1|ABI1|AT4G26410|MKK2|JAZ12|AT5G37740|AHP3|AT5G41560|RCAR3|EIR1|MYBR1|PUP14|RCN1|ERF3|PEN3|ZFP4|RHM1,-6.1
hits,GO Biological Processes,19,GO:0000398,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-8.1,4.6,7.8,18982,220,397,21,5.3,1.1,817576|819745|820559|824230|824712|825359|829285|829822|834293|834945|835279|836541|837433|837494|837505|838690|838997|839503|844055|844347|844433,U2B''|AT3G05760|SCL30A|U1-70K|SCL30|RS31|RSZ22|ATU2AF65A|U2AF35B|SAD1|RS41|SC35|SR30|AT1G09660|U2A'|emb1507|RSZ21|MAC3A|SKIP|SUS2|AT1G80930,-5.4
