Cluster,Score,Type,Gene,Symbol,Network
1,1.6363636363636365,Clustered,819847,AT3G66654,hits_SUB1
1,1.6363636363636365,Clustered,830951,EMP1,hits_SUB1
1,1.6363636363636365,Clustered,829660,AT4G35080,hits_SUB1
1,1.6363636363636365,Clustered,820042,AT3G08930,hits_SUB1
1,1.6363636363636365,Clustered,820814,AT3G15710,hits_SUB1
1,1.6363636363636365,Clustered,821152,AT3G02420,hits_SUB1
1,1.6363636363636365,Clustered,839807,ERD2,hits_SUB1
1,1.6363636363636365,Clustered,838469,NRT1.9,hits_SUB1
1,1.6363636363636365,Clustered,835015,AT5G49540,hits_SUB1
1,1.6363636363636365,Clustered,817231,BASS2,hits_SUB1
1,1.6363636363636365,Clustered,814735,PTR2,hits_SUB1
3,1.5,Clustered,824036,CDC2,hits_SUB1
3,1.5,Clustered,843987,CDKB2;1,hits_SUB1
3,1.5,Seed,836861,CYCD3;2,hits_SUB1
3,1.5,Clustered,817340,CKS1,hits_SUB1
2,1.1666666666666667,Clustered,821008,NPSN13,hits_SUB1
2,1.1666666666666667,Seed,828400,UTR2,hits_SUB1
2,1.1666666666666667,Clustered,829054,DER1,hits_SUB1
2,1.1666666666666667,Clustered,838226,AT1G16560,hits_SUB1
2,1.1666666666666667,Clustered,830399,CEV1,hits_SUB1
2,1.1666666666666667,Clustered,821460,LOH2,hits_SUB1
4,1.0,Clustered,824627,BZIP25,hits_SUB1
4,1.0,Clustered,825415,BZIP53,hits_SUB1
4,1.0,Seed,816329,bZIP2,hits_SUB1
5,1.0,Clustered,820729,RIP1,hits_SUB1
5,1.0,Clustered,840152,AT1G32580,hits_SUB1
5,1.0,Seed,819864,MORF3,hits_SUB1
6,1.0,Clustered,826741,AT4G11380,hits_SUB1
6,1.0,Clustered,834706,AT5G46630,hits_SUB1
6,1.0,Seed,820284,AT3G11130,hits_SUB1
7,1.0,Clustered,831546,SYP21,hits_SUB1
7,1.0,Seed,833947,SGR4,hits_SUB1
7,1.0,Clustered,838193,SYP51,hits_SUB1
8,1.0,Clustered,834390,ATAUX2-11,hits_SUB1
8,1.0,Seed,839568,AXR3,hits_SUB1
8,1.0,Clustered,821877,IAA2,hits_SUB1
9,1.0,Clustered,824712,SCL30,hits_SUB1
9,1.0,Clustered,838997,RSZ21,hits_SUB1
9,1.0,Seed,820559,SCL30A,hits_SUB1
