Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
837494,3.0,1,1,1
842083,3.0,1,1,1
821008,3.0,1,1,1
816133,3.0,1,1,1
839208,3.0,1,1,1
833947,3.0,1,1,1
818429,3.0,1,1,1
842603,3.0,1,1,1
833930,3.0,1,1,1
828794,3.0,1,1,1
838792,3.0,1,1,1
830169,3.0,1,1,1
823706,3.0,1,1,1
817576,3.0,1,1,1
839389,3.0,1,1,1
822181,3.0,1,1,1
843516,3.0,1,1,1
831158,3.0,1,1,1
824318,3.0,1,1,1
825830,3.0,1,1,1
835778,3.0,1,1,1
829037,3.0,1,1,1
820499,3.0,1,1,1
822519,3.0,1,1,1
832718,3.0,1,1,1
820559,3.0,1,1,1
839331,3.0,1,1,1
828747,3.0,1,1,1
837454,3.0,1,1,1
835689,3.0,1,1,1
822594,3.0,1,1,1
825359,3.0,1,1,1
824529,3.0,1,1,1
823938,3.0,1,1,1
818978,3.0,1,1,1
835598,3.0,1,1,1
836378,3.0,1,1,1
834532,3.0,1,1,1
835565,3.0,1,1,1
827086,3.0,1,1,1
835813,3.0,1,1,1
824451,3.0,1,1,1
824712,3.0,1,1,1
821460,3.0,1,1,1
818973,3.0,1,1,1
822593,3.0,1,1,1
829106,3.0,1,1,1
815135,3.0,1,1,1
837763,3.0,1,1,1
838193,3.0,1,1,1
817715,3.0,1,1,1
835519,3.0,1,1,1
816502,3.0,1,1,1
835005,3.0,1,1,1
835279,3.0,1,1,1
819206,3.0,1,1,1
842138,3.0,1,1,1
818382,3.0,1,1,1
827641,3.0,1,1,1
837483,3.0,1,1,1
844080,3.0,1,1,1
825042,3.0,1,1,1
836760,3.0,1,1,1
842284,3.0,1,1,1
839868,3.0,1,1,1
843917,3.0,1,1,1
818982,3.0,1,1,1
825145,3.0,1,1,1
830912,3.0,1,1,1
817180,3.0,1,1,1
831546,3.0,1,1,1
831230,3.0,1,1,1
838997,3.0,1,1,1
819210,3.0,1,1,1
830000,3.0,1,1,1
818390,3.0,1,1,1
821942,3.0,1,1,1
834056,3.0,1,1,1
818936,3.0,1,1,1
839135,3.0,1,1,1
818566,3.0,1,1,1
844347,3.0,1,1,1
842281,3.0,1,1,1
837673,3.0,1,1,1
831884,3.0,1,1,1
844193,3.0,1,1,1
837433,3.0,1,1,1
817832,3.0,1,1,1
816533,3.0,1,1,1
818966,3.0,1,1,1
829679,3.0,1,1,1
841692,3.0,1,1,1
835915,3.0,1,1,1
818042,3.0,1,1,1
831169,3.0,1,1,1
840630,3.0,1,1,1
820345,3.0,1,1,1
841733,3.0,1,1,1
840115,3.0,1,1,1
818583,3.0,1,1,1
833535,3.0,1,1,1
832872,3.0,1,1,1
829652,3.0,1,1,1
843934,3.0,1,1,1
819042,3.0,1,1,1
822503,3.0,1,1,1
839807,3.0,1,1,1
843300,3.0,1,1,1
817833,3.0,1,1,1
829034,3.0,1,1,1
829285,3.0,1,1,1
838565,3.0,1,1,1
825285,3.0,1,1,1
837113,3.0,1,1,1
843403,3.0,1,1,1
821705,3.0,1,1,1
818265,3.0,1,1,1
834758,3.0,1,1,1
822396,3.0,1,1,1
820814,3.0,1,1,1
820951,3.0,1,1,1
836541,3.0,1,1,1
829463,3.0,1,1,1
843685,3.0,1,1,1
838609,3.0,1,1,1
844264,2.0,1,1,0
831157,2.0,1,0,1
835204,2.0,1,1,0
841409,2.0,1,1,0
824749,2.0,1,1,0
843440,2.0,1,1,0
837330,2.0,1,1,0
833855,2.0,1,1,0
843519,2.0,1,0,1
819378,2.0,1,1,0
826724,2.0,1,0,1
816993,2.0,1,0,1
821046,2.0,1,1,0
815822,2.0,1,1,0
816775,2.0,1,0,1
827940,2.0,1,1,0
832214,2.0,1,0,1
818186,2.0,1,0,1
841873,2.0,1,0,1
815907,2.0,1,0,1
838048,2.0,1,0,1
818621,2.0,1,0,1
830399,2.0,1,0,1
820723,2.0,1,1,0
829103,2.0,1,0,1
829962,2.0,1,0,1
832432,2.0,1,1,0
829847,2.0,1,0,1
829216,2.0,1,1,0
830034,2.0,1,1,0
839142,2.0,1,0,1
832834,2.0,1,1,0
838580,2.0,1,1,0
828754,2.0,1,1,0
839619,2.0,1,0,1
816808,2.0,1,1,0
817570,2.0,1,1,0
815372,2.0,1,1,0
822139,2.0,1,1,0
840339,2.0,1,0,1
820016,2.0,1,0,1
837248,2.0,1,0,1
825097,2.0,1,1,0
820606,2.0,1,1,0
818166,2.0,1,0,1
837794,2.0,1,0,1
826726,2.0,1,0,1
831935,2.0,1,1,0
825483,2.0,1,1,0
816655,2.0,1,1,0
824354,2.0,1,1,0
830726,2.0,1,1,0
820042,2.0,1,0,1
815145,2.0,1,0,1
835872,2.0,1,0,1
843185,2.0,1,1,0
832423,2.0,1,0,1
826741,2.0,1,0,1
816329,2.0,1,0,1
838204,2.0,1,1,0
824280,2.0,1,1,0
828951,2.0,1,1,0
829855,2.0,1,0,1
824627,2.0,1,0,1
834293,2.0,1,0,1
819809,2.0,1,1,0
837558,2.0,1,0,1
837387,2.0,1,0,1
821152,2.0,1,0,1
820398,2.0,1,1,0
815006,2.0,1,0,1
838106,2.0,1,1,0
819661,2.0,1,1,0
832451,2.0,1,1,0
843869,2.0,1,1,0
835426,2.0,1,0,1
817830,2.0,1,1,0
844755,2.0,1,1,0
818294,2.0,1,0,1
820001,2.0,1,0,1
828459,2.0,1,1,0
817101,2.0,1,1,0
832404,2.0,1,1,0
838606,2.0,1,1,0
818452,2.0,1,1,0
838690,2.0,1,0,1
838689,2.0,1,0,1
831966,2.0,1,1,0
818281,2.0,1,0,1
817046,2.0,1,1,0
835979,2.0,1,0,1
831123,2.0,1,0,1
842458,2.0,1,1,0
824534,2.0,1,0,1
821741,2.0,1,1,0
833752,2.0,1,0,1
832812,2.0,1,1,0
834067,2.0,1,0,1
28721282,2.0,1,1,0
838425,2.0,1,0,1
815012,2.0,1,0,1
833874,2.0,1,1,0
843741,2.0,1,1,0
829978,2.0,1,1,0
829012,2.0,1,0,1
830159,2.0,1,1,0
838170,2.0,1,0,1
840064,2.0,1,1,0
838927,2.0,1,0,1
835897,2.0,1,0,1
831832,2.0,1,1,0
828325,2.0,1,0,1
835660,2.0,1,0,1
829376,2.0,1,0,1
834353,2.0,1,0,1
825278,2.0,1,0,1
841529,2.0,1,0,1
841539,2.0,1,1,0
832826,2.0,1,0,1
834248,2.0,1,0,1
827962,2.0,1,0,1
831629,2.0,1,0,1
840152,2.0,1,0,1
822833,2.0,1,1,0
834489,2.0,1,1,0
817163,2.0,1,1,0
830002,2.0,1,0,1
830758,2.0,1,1,0
818790,2.0,1,0,1
829330,2.0,1,1,0
818840,2.0,1,0,1
817665,2.0,1,0,1
830602,2.0,1,0,1
843947,2.0,1,1,0
817214,2.0,1,0,1
816471,2.0,1,0,1
832243,2.0,1,0,1
819806,2.0,1,1,0
829909,2.0,1,0,1
819840,2.0,1,0,1
838518,2.0,1,0,1
819753,2.0,1,0,1
828571,2.0,1,0,1
824922,2.0,1,1,0
837428,2.0,1,1,0
816186,2.0,1,0,1
839998,2.0,1,0,1
839401,2.0,1,1,0
825794,2.0,1,0,1
816531,2.0,1,1,0
828772,2.0,1,0,1
816013,2.0,1,0,1
831061,2.0,1,1,0
818709,2.0,1,0,1
827147,2.0,1,0,1
825296,2.0,1,1,0
844071,2.0,1,0,1
826601,2.0,1,0,1
828534,2.0,1,0,1
818605,2.0,1,0,1
828760,2.0,1,0,1
818339,2.0,1,0,1
838217,2.0,1,1,0
829072,2.0,1,0,1
819408,2.0,1,0,1
824612,2.0,1,1,0
827934,2.0,1,0,1
832139,2.0,1,1,0
820296,2.0,1,1,0
828714,2.0,1,0,1
814683,2.0,1,0,1
837538,2.0,1,0,1
828602,2.0,1,0,1
817423,2.0,1,0,1
829822,2.0,1,0,1
824214,2.0,1,0,1
820338,2.0,1,0,1
832055,2.0,1,1,0
828025,2.0,1,0,1
836620,2.0,1,0,1
837917,2.0,1,0,1
821935,2.0,1,0,1
830626,2.0,1,1,0
841496,2.0,1,0,1
841265,2.0,1,1,0
820870,2.0,1,0,1
835860,2.0,1,1,0
821447,2.0,1,1,0
822105,2.0,1,1,0
817290,2.0,1,1,0
818979,2.0,1,0,1
817340,2.0,1,0,1
834017,2.0,1,0,1
819864,2.0,1,0,1
819869,2.0,1,1,0
821807,2.0,1,0,1
838226,2.0,1,0,1
820984,2.0,1,1,0
816678,2.0,1,1,0
843497,2.0,1,0,1
843874,2.0,1,0,1
828163,2.0,1,1,0
830880,2.0,1,1,0
838289,2.0,1,1,0
820643,2.0,1,0,1
834264,2.0,1,1,0
838013,2.0,1,0,1
816627,2.0,1,1,0
837218,2.0,1,0,1
818179,2.0,1,1,0
821163,2.0,1,1,0
834158,2.0,1,0,1
819151,2.0,1,1,0
831005,2.0,1,0,1
832736,2.0,1,1,0
837466,2.0,1,1,0
838445,2.0,1,1,0
842681,2.0,1,1,0
831677,2.0,1,0,1
820343,2.0,1,1,0
825506,2.0,1,0,1
816954,2.0,1,1,0
839314,2.0,1,1,0
830424,2.0,1,0,1
831604,2.0,1,1,0
835006,2.0,1,1,0
823817,2.0,1,0,1
837531,2.0,1,0,1
821216,2.0,1,1,0
834443,2.0,1,1,0
836300,2.0,1,1,0
831238,2.0,1,0,1
831612,2.0,1,1,0
842251,2.0,1,0,1
815903,2.0,1,1,0
824188,2.0,1,0,1
830019,2.0,1,1,0
819986,2.0,1,0,1
820729,2.0,1,0,1
843587,2.0,1,1,0
817426,2.0,1,1,0
828288,2.0,1,1,0
817250,2.0,1,0,1
842144,2.0,1,0,1
2745608,2.0,1,0,1
818231,2.0,1,1,0
826680,2.0,1,0,1
836673,2.0,1,0,1
820458,2.0,1,1,0
831690,2.0,1,1,0
827638,2.0,1,1,0
835015,2.0,1,0,1
835839,2.0,1,0,1
838469,2.0,1,0,1
825458,2.0,1,1,0
824593,2.0,1,0,1
838614,2.0,1,1,0
841157,2.0,1,1,0
841221,2.0,1,1,0
821983,2.0,1,0,1
831929,2.0,1,0,1
827122,2.0,1,1,0
830899,2.0,1,0,1
821977,2.0,1,1,0
841307,2.0,1,1,0
844376,2.0,1,1,0
841044,2.0,1,0,1
814735,2.0,1,0,1
837448,2.0,1,0,1
819945,2.0,1,1,0
838454,2.0,1,1,0
828673,2.0,1,0,1
827012,2.0,1,1,0
816173,2.0,1,0,1
836635,2.0,1,1,0
834893,2.0,1,0,1
821473,2.0,1,0,1
829054,2.0,1,0,1
834791,2.0,1,1,0
838368,2.0,1,1,0
824465,2.0,1,1,0
839602,2.0,1,1,0
839547,2.0,1,0,1
828024,2.0,1,1,0
831983,2.0,1,1,0
827528,2.0,1,0,1
830120,2.0,1,1,0
817344,2.0,1,0,1
825521,2.0,1,1,0
832326,2.0,1,1,0
823668,2.0,1,1,0
827529,2.0,1,0,1
816787,2.0,1,0,1
841177,2.0,1,0,1
818636,2.0,1,1,0
823813,2.0,1,0,1
820356,2.0,1,0,1
838103,2.0,1,0,1
824702,2.0,1,1,0
817648,2.0,1,1,0
839719,2.0,1,0,1
836423,2.0,1,0,1
842928,2.0,1,0,1
833755,2.0,1,1,0
825415,2.0,1,0,1
818878,2.0,1,0,1
831128,2.0,1,0,1
819043,2.0,1,0,1
819613,2.0,1,1,0
843987,2.0,1,0,1
834945,2.0,1,0,1
817488,2.0,1,1,0
839503,2.0,1,0,1
820255,2.0,1,1,0
824641,2.0,1,0,1
825044,2.0,1,1,0
819692,2.0,1,0,1
825817,2.0,1,0,1
821135,2.0,1,1,0
838301,2.0,1,1,0
841668,2.0,1,0,1
835504,2.0,1,1,0
837372,2.0,1,1,0
824981,2.0,1,0,1
835186,2.0,1,0,1
828586,2.0,1,1,0
835000,2.0,1,0,1
836337,2.0,1,0,1
830502,2.0,1,0,1
830154,2.0,1,1,0
827257,2.0,1,1,0
836885,2.0,1,1,0
818881,2.0,1,0,1
815842,2.0,1,1,0
829462,2.0,1,1,0
841765,2.0,1,1,0
841829,2.0,1,0,1
820290,2.0,1,0,1
839916,2.0,1,0,1
828531,2.0,1,0,1
814675,2.0,1,1,0
817231,2.0,1,0,1
829310,2.0,1,1,0
824050,2.0,1,0,1
817595,2.0,1,1,0
838714,2.0,1,1,0
830708,2.0,1,0,1
820148,2.0,1,1,0
827956,2.0,1,0,1
831174,2.0,1,0,1
829520,2.0,1,1,0
817081,2.0,1,1,0
828764,2.0,1,0,1
830915,2.0,1,0,1
824930,2.0,1,1,0
828392,2.0,1,1,0
836865,2.0,1,0,1
831766,2.0,1,0,1
820530,2.0,1,0,1
815247,2.0,1,1,0
824518,2.0,1,1,0
839295,2.0,1,1,0
824934,2.0,1,0,1
844423,2.0,1,0,1
828242,2.0,1,0,1
824629,2.0,1,1,0
838949,2.0,1,0,1
830501,2.0,1,1,0
826476,2.0,1,0,1
814728,2.0,1,0,1
825515,2.0,1,0,1
828805,2.0,1,1,0
832804,2.0,1,1,0
838186,2.0,1,0,1
837961,2.0,1,1,0
825496,2.0,1,0,1
838290,2.0,1,1,0
830819,2.0,1,1,0
819128,2.0,1,1,0
819384,2.0,1,0,1
836111,2.0,1,0,1
825473,2.0,1,0,1
838023,2.0,1,1,0
830149,2.0,1,0,1
820752,2.0,1,0,1
818701,2.0,1,0,1
818128,2.0,1,1,0
843805,2.0,1,1,0
832663,2.0,1,0,1
839805,2.0,1,1,0
844433,2.0,1,0,1
842514,2.0,1,1,0
824890,2.0,1,0,1
832242,2.0,1,1,0
834123,2.0,1,1,0
817601,2.0,1,0,1
822018,2.0,1,0,1
842724,2.0,1,1,0
840918,2.0,1,1,0
831040,2.0,1,0,1
821531,2.0,1,0,1
830063,2.0,1,1,0
825150,2.0,1,0,1
