"","X","WS_c1.which.mclass....2...1."
"2919",2919,"AT4G10590"
"1779",1779,"AT2G42760"
"2790",2790,"AT3G63070"
"2151",2151,"AT3G13226"
"614",614,"AT1G35470"
"304",304,"AT1G15960"
"582",582,"AT1G31930"
"1771",1771,"AT2G42230"
"12",12,"AT1G01770"
"2793",2793,"AT3G63150"
"3442",3442,"AT4G38400"
"3349",3349,"AT4G33480"
"3718",3718,"AT5G14610"
"1902",1902,"AT3G01510"
"1841",1841,"AT2G45910"
"2427",2427,"AT3G26950"
"4320",4320,"AT5G58560"
"2938",2938,"AT4G11740"
"2457",2457,"AT3G29180"
"1196",1196,"AT2G01620"
"885",885,"AT1G64330"
"350",350,"AT1G17980"
"3675",3675,"AT5G12310"
"4231",4231,"AT5G54280"
"3969",3969,"AT5G38880"
"745",745,"AT1G54060"
"1593",1593,"AT2G33435"
"3356",3356,"AT4G33920"
"2023",2023,"AT3G06770"
"2492",2492,"AT3G45310"
"4321",4321,"AT5G58590"
"321",321,"AT1G16800"
"4283",4283,"AT5G56650"
"4246",4246,"AT5G55160"
"6",6,"AT1G01510"
"1645",1645,"AT2G35860"
"50",50,"AT1G04200"
"4180",4180,"AT5G51140"
"2342",2342,"AT3G22210"
"993",993,"AT1G71270"
"4406",4406,"AT5G63620"
"1008",1008,"AT1G72250"
"3862",3862,"AT5G23300"
"3954",3954,"AT5G36890"
"2792",2792,"AT3G63130"
"2554",2554,"AT3G50340"
"2103",2103,"AT3G10930"
"3129",3129,"AT4G22140"
"3562",3562,"AT5G06260"
"740",740,"AT1G53645"
"2583",2583,"AT3G51880"
"1286",1286,"AT2G16370"
"4027",4027,"AT5G42890"
"2325",2325,"AT3G21150"
"3681",3681,"AT5G12480"
"10",10,"AT1G01710"
"1967",1967,"AT3G04710"
"1000",1000,"AT1G71840"
"2423",2423,"AT3G26670"
"2164",2164,"AT3G13772"
"928",928,"AT1G67360"
"2475",2475,"AT3G44100"
"1017",1017,"AT1G72510"
"1889",1889,"AT2G48120"
"3841",3841,"AT5G22010"
"2730",2730,"AT3G59890"
"4413",4413,"AT5G63850"
"2565",2565,"AT3G51120"
"2894",2894,"AT4G08685"
"744",744,"AT1G54050"
"2729",2729,"AT3G59820"
"3928",3928,"AT5G27950"
"1721",1721,"AT2G39950"
"2088",2088,"AT3G10360"
"2354",2354,"AT3G22630"
"1311",1311,"AT2G17720"
"1276",1276,"AT2G15320"
"253",253,"AT1G13280"
"2983",2983,"AT4G14110"
"3180",3180,"AT4G25500"
"3627",3627,"AT5G10240"
"434",434,"AT1G22750"
"1359",1359,"AT2G20370"
"1745",1745,"AT2G40950"
"1691",1691,"AT2G38330"
"762",762,"AT1G55110"
"1036",1036,"AT1G73470"
"1604",1604,"AT2G33740"
"527",527,"AT1G28580"
"990",990,"AT1G71090"
"2653",2653,"AT3G55340"
"3410",3410,"AT4G36890"
"1571",1571,"AT2G32600"
"3523",3523,"AT5G04290"
"2249",2249,"AT3G17510"
"811",811,"AT1G59359"
"3292",3292,"AT4G30910"
"693",693,"AT1G50500"
"3035",3035,"AT4G16580"
"1891",1891,"AT3G01090"
"1876",1876,"AT2G47600"
"1174",1174,"AT1G80770"
"3203",3203,"AT4G26660"
"4103",4103,"AT5G46860"
"1104",1104,"AT1G77440"
"720",720,"AT1G52420"
"3010",3010,"AT4G15430"
"3463",3463,"AT4G39510"
"2411",2411,"AT3G26180"
"3708",3708,"AT5G14240"
"2414",2414,"AT3G26310"
"127",127,"AT1G07360"
"4412",4412,"AT5G63800"
"4077",4077,"AT5G45420"
"405",405,"AT1G20850"
"1772",1772,"AT2G42300"
"1255",1255,"AT2G05380"
"2046",2046,"AT3G07610"
"3158",3158,"AT4G24270"
"2278",2278,"AT3G19290"
"4269",4269,"AT5G55940"
"1090",1090,"AT1G76550"
"2630",2630,"AT3G54560"
"3673",3673,"AT5G12210"
"242",242,"AT1G13080"
"3937",3937,"AT5G32440"
"4384",4384,"AT5G62280"
"2999",2999,"AT4G14910"
"3640",3640,"AT5G11040"
"2665",2665,"AT3G56210"
"2822",2822,"AT4G00990"
"2266",2266,"AT3G18500"
"3601",3601,"AT5G08470"
"1615",1615,"AT2G34470"
"1833",1833,"AT2G45640"
"979",979,"AT1G70230"
"2351",2351,"AT3G22425"
"2191",2191,"AT3G15160"
"2480",2480,"AT3G44450"
"126",126,"AT1G07310"
"3441",3441,"AT4G38360"
"2568",2568,"AT3G51160"
"4153",4153,"AT5G49555"
"4090",4090,"AT5G46180"
"188",188,"AT1G10180"
"2752",2752,"AT3G60980"
"1638",1638,"AT2G35635"
"2976",2976,"AT4G13615"
"799",799,"AT1G58025"
"286",286,"AT1G15030"
"1051",1051,"AT1G73940"
"2509",2509,"AT3G46790"
"165",165,"AT1G09150"
"3849",3849,"AT5G22360"
"1025",1025,"AT1G72820"
"893",893,"AT1G64710"
"2259",2259,"AT3G18210"
"3738",3738,"AT5G15980"
"2597",2597,"AT3G52640"
"2965",2965,"AT4G13050"
"3200",3200,"AT4G26620"
"547",547,"AT1G29965"
"2133",2133,"AT3G12480"
"2015",2015,"AT3G06450"
"4304",4304,"AT5G58090"
"3914",3914,"AT5G27330"
"2479",2479,"AT3G44430"
"1918",1918,"AT3G02130"
"664",664,"AT1G48750"
"2635",2635,"AT3G54720"
"4293",4293,"AT5G57120"
"2614",2614,"AT3G53610"
"128",128,"AT1G07370"
"889",889,"AT1G64530"
"3744",3744,"AT5G16210"
"323",323,"AT1G16840"
"4196",4196,"AT5G52010"
"429",429,"AT1G22200"
"3029",3029,"AT4G16360"
"3124",3124,"AT4G21850"
"272",272,"AT1G14510"
"3805",3805,"AT5G19620"
"114",114,"AT1G06720"
"3619",3619,"AT5G09880"
"2973",2973,"AT4G13500"
"2236",2236,"AT3G17000"
"3866",3866,"AT5G23440"
"935",935,"AT1G67785"
"1791",1791,"AT2G43350"
"2773",2773,"AT3G61860"
"942",942,"AT1G68070"
"4078",4078,"AT5G45470"
"2750",2750,"AT3G60910"
"1622",1622,"AT2G34780"
"3249",3249,"AT4G28710"
"750",750,"AT1G54340"
"1285",1285,"AT2G16070"
"71",71,"AT1G04980"
"1075",1075,"AT1G75370"
"697",697,"AT1G50670"
"181",181,"AT1G09900"
"4328",4328,"AT5G58960"
"4415",4415,"AT5G63910"
"2233",2233,"AT3G16840"
"1203",1203,"AT2G02040"
"925",925,"AT1G67310"
"2797",2797,"AT3G63250"
"2422",2422,"AT3G26630"
"3325",3325,"AT4G32320"
"4175",4175,"AT5G50870"
"760",760,"AT1G54990"
"164",164,"AT1G09023"
"1581",1581,"AT2G33050"
"3045",3045,"AT4G17250"
"4036",4036,"AT5G43130"
"3582",3582,"AT5G07690"
"2600",2600,"AT3G52870"
"1788",1788,"AT2G43235"
"4422",4422,"AT5G64220"
"4244",4244,"AT5G55100"
"1603",1603,"AT2G33700"
"3625",3625,"AT5G10160"
"3966",3966,"AT5G38560"
"797",797,"AT1G57820"
"3615",3615,"AT5G09770"
"3854",3854,"AT5G23050"
"184",184,"AT1G10020"
"2375",2375,"AT3G23900"
"2646",2646,"AT3G55140"
"3261",3261,"AT4G29190"
"877",877,"AT1G63780"
"3581",3581,"AT5G07630"
"493",493,"AT1G27370"
"2590",2590,"AT3G52155"
"432",432,"AT1G22690"
"963",963,"AT1G69410"
"1929",1929,"AT3G02740"
"3863",3863,"AT5G23340"
"4210",4210,"AT5G52820"
"1049",1049,"AT1G73920"
"1613",1613,"AT2G34300"
"1369",1369,"AT2G20950"
"2748",2748,"AT3G60830"
"1217",1217,"AT2G02860"
"3833",3833,"AT5G20730"
"992",992,"AT1G71260"
"51",51,"AT1G04240"
"976",976,"AT1G70100"
"421",421,"AT1G21770"
"1434",1434,"AT2G25310"
"2449",2449,"AT3G28720"
"4248",4248,"AT5G55310"
"3297",3297,"AT4G31080"
"2696",2696,"AT3G57810"
"4100",4100,"AT5G46750"
"2751",2751,"AT3G60950"
"3977",3977,"AT5G39850"
"1823",1823,"AT2G45140"
"725",725,"AT1G52930"
"3144",3144,"AT4G23270"
"2302",2302,"AT3G20270"
"1139",1139,"AT1G79210"
"1158",1158,"AT1G80040"
"3055",3055,"AT4G17720"
"1959",1959,"AT3G04590"
"1802",1802,"AT2G43900"
"1915",1915,"AT3G01860"
"380",380,"AT1G19580"
"629",629,"AT1G43130"
"264",264,"AT1G14280"
"1995",1995,"AT3G05750"
"1754",1754,"AT2G41475"
"4074",4074,"AT5G45350"
"3705",3705,"AT5G13840"
"4337",4337,"AT5G59710"
"1917",1917,"AT3G02110"
"4220",4220,"AT5G53420"
"3502",3502,"AT5G02230"
"417",417,"AT1G21660"
"3585",3585,"AT5G07940"
"2142",2142,"AT3G12760"
"2890",2890,"AT4G08480"
"2049",2049,"AT3G07780"
"896",896,"AT1G64810"
"4168",4168,"AT5G50370"
"3607",3607,"AT5G08660"
"102",102,"AT1G05910"
"677",677,"AT1G49740"
"2867",2867,"AT4G04570"
"2517",2517,"AT3G47490"
"1675",1675,"AT2G37520"
"1637",1637,"AT2G35620"
"541",541,"AT1G29530"
"4179",4179,"AT5G51120"
"2462",2462,"AT3G30300"
"2638",2638,"AT3G54826"
"2275",2275,"AT3G19180"
"249",249,"AT1G13220"
"5",5,"AT1G01470"
"3633",3633,"AT5G10630"
"1535",1535,"AT2G30740"
"1177",1177,"AT1G80860"
"109",109,"AT1G06360"
"1519",1519,"AT2G29720"
"4429",4429,"AT5G64430"
"2687",2687,"AT3G57340"
"310",310,"AT1G16460"
"306",306,"AT1G16020"
"2671",2671,"AT3G56590"
"2262",2262,"AT3G18270"
"2415",2415,"AT3G26370"
"2918",2918,"AT4G10570"
"545",545,"AT1G29890"
"3812",3812,"AT5G20000"
"2184",2184,"AT3G14900"
"2086",2086,"AT3G10140"
"1039",1039,"AT1G73530"
"3515",3515,"AT5G03610"
"3110",3110,"AT4G21110"
"686",686,"AT1G50360"
"3057",3057,"AT4G17770"
"233",233,"AT1G12640"
"1275",1275,"AT2G15090"
"2481",2481,"AT3G44480"
"3245",3245,"AT4G28570"
"4222",4222,"AT5G53450"
"2406",2406,"AT3G25890"
"3273",3273,"AT4G29810"
"113",113,"AT1G06700"
"3177",3177,"AT4G25230"
"3730",3730,"AT5G15530"
"4266",4266,"AT5G55740"
"2628",2628,"AT3G54460"
"3211",3211,"AT4G27060"
"821",821,"AT1G59910"
"2431",2431,"AT3G27180"
"122",122,"AT1G07220"
"1280",1280,"AT2G15690"
"3346",3346,"AT4G33410"
"2032",2032,"AT3G07020"
"3727",3727,"AT5G15390"
"4058",4058,"AT5G44530"
"4451",4451,"AT5G65685"
"1236",1236,"AT2G04230"
"932",932,"AT1G67550"
"3435",3435,"AT4G38090"
"3250",3250,"AT4G28730"
"1530",1530,"AT2G30500"
"3106",3106,"AT4G20860"
"474",474,"AT1G26160"
"231",231,"AT1G12500"
"3556",3556,"AT5G05980"
"60",60,"AT1G04680"
"1420",1420,"AT2G24600"
"498",498,"AT1G27520"
"261",261,"AT1G13940"
"3546",3546,"AT5G05480"
"1368",1368,"AT2G20930"
"2068",2068,"AT3G09180"
"4305",4305,"AT5G58120"
"1625",1625,"AT2G34970"
"1503",1503,"AT2G28790"
"3328",3328,"AT4G32570"
"4474",4474,"AT5G66558"
"611",611,"AT1G35140"
"2513",2513,"AT3G46960"
"173",173,"AT1G09660"
"2975",2975,"AT4G13530"
"4112",4112,"AT5G47390"
"1880",1880,"AT2G47790"
"1750",1750,"AT2G41160"
"584",584,"AT1G32210"
"3408",3408,"AT4G36860"
"1909",1909,"AT3G01720"
"984",984,"AT1G70710"
"801",801,"AT1G58110"
"401",401,"AT1G20810"
"3498",3498,"AT5G02050"
"4485",4485,"AT5G66900"
"1688",1688,"AT2G38020"
"3658",3658,"AT5G11840"
"3950",3950,"AT5G35840"
"500",500,"AT1G27595"
"3230",3230,"AT4G27900"
"3207",3207,"AT4G26780"
"145",145,"AT1G07990"
"3334",3334,"AT4G32820"
"2984",2984,"AT4G14220"
"964",964,"AT1G69460"
"370",370,"AT1G18890"
"3028",3028,"AT4G16310"
"1947",1947,"AT3G03630"
"567",567,"AT1G30970"
"537",537,"AT1G29310"
"1248",1248,"AT2G04790"
"2992",2992,"AT4G14510"
"4197",4197,"AT5G52030"
"3616",3616,"AT5G09820"
"3068",3068,"AT4G18220"
"2858",2858,"AT4G02860"
"958",958,"AT1G69160"
"2507",2507,"AT3G46630"
"3300",3300,"AT4G31170"
"2402",2402,"AT3G25760"
"1421",1421,"AT2G24650"
"2284",2284,"AT3G19553"
"2702",2702,"AT3G58050"
"4118",4118,"AT5G47680"
"4508",4508,"ATCG00120"
"397",397,"AT1G20670"
"4335",4335,"AT5G59500"
"2304",2304,"AT3G20310"
"3594",3594,"AT5G08275"
"1408",1408,"AT2G23780"
"3486",3486,"AT5G01460"
"915",915,"AT1G66340"
"1893",1893,"AT3G01130"
"516",516,"AT1G28320"
"557",557,"AT1G30490"
"3062",3062,"AT4G17900"
"2916",2916,"AT4G10180"
"2094",2094,"AT3G10490"
"4221",4221,"AT5G53430"
"3326",3326,"AT4G32390"
"4033",4033,"AT5G43020"
"245",245,"AT1G13160"
"4325",4325,"AT5G58800"
"1672",1672,"AT2G37460"
"2746",2746,"AT3G60630"
"1790",1790,"AT2G43330"
"2213",2213,"AT3G16050"
"3342",3342,"AT4G33260"
"628",628,"AT1G42990"
"4088",4088,"AT5G46030"
"3354",3354,"AT4G33740"
"2010",2010,"AT3G06330"
"548",548,"AT1G29980"
"1910",1910,"AT3G01740"
"1195",1195,"AT2G01590"
"3324",3324,"AT4G32300"
"2907",2907,"AT4G09680"
"3108",3108,"AT4G20940"
"329",329,"AT1G17080"
"2728",2728,"AT3G59660"
"1808",1808,"AT2G44520"
"2988",2988,"AT4G14365"
"1800",1800,"AT2G43800"
"3647",3647,"AT5G11280"
"900",900,"AT1G64990"
"586",586,"AT1G32380"
"3000",3000,"AT4G14920"
"1396",1396,"AT2G23000"
"3526",3526,"AT5G04420"
"4371",4371,"AT5G61590"
"4069",4069,"AT5G45140"
"1446",1446,"AT2G26170"
"115",115,"AT1G06870"
"8",8,"AT1G01630"
"2005",2005,"AT3G06190"
"663",663,"AT1G48635"
"2811",2811,"AT4G00440"
"3208",3208,"AT4G26910"
"4442",4442,"AT5G65250"
"2050",2050,"AT3G07880"
"196",196,"AT1G10522"
"4499",4499,"AT5G67480"
"4287",4287,"AT5G56790"
"3924",3924,"AT5G27730"
"19",19,"AT1G02100"
"1849",1849,"AT2G46250"
"3183",3183,"AT4G25660"
"4155",4155,"AT5G49650"
"2775",2775,"AT3G62130"
"4259",4259,"AT5G55610"
"4414",4414,"AT5G63870"
"13",13,"AT1G01820"
"2241",2241,"AT3G17310"
"639",639,"AT1G44760"
"3853",3853,"AT5G22920"
"1828",1828,"AT2G45270"
"4439",4439,"AT5G64920"
"3307",3307,"AT4G31550"
"2067",2067,"AT3G09070"
"3620",3620,"AT5G09890"
"4006",4006,"AT5G41685"
"1500",1500,"AT2G28630"
"3804",3804,"AT5G19600"
"1657",1657,"AT2G36410"
"2225",2225,"AT3G16460"
"1154",1154,"AT1G79950"
"1614",1614,"AT2G34310"
"2313",2313,"AT3G20630"
"90",90,"AT1G05523"
"2109",2109,"AT3G11280"
"3733",3733,"AT5G15810"
"3721",3721,"AT5G14950"
"1492",1492,"AT2G28370"
"4399",4399,"AT5G63040"
"857",857,"AT1G61850"
"4319",4319,"AT5G58470"
"2003",2003,"AT3G06150"
"2686",2686,"AT3G57280"
"1092",1092,"AT1G76580"
"3033",3033,"AT4G16500"
"3763",3763,"AT5G17160"
"544",544,"AT1G29850"
"518",518,"AT1G28340"
"4313",4313,"AT5G58350"
"410",410,"AT1G21380"
"3923",3923,"AT5G27720"
"950",950,"AT1G68550"
"131",131,"AT1G07570"
"3573",3573,"AT5G07180"
"1129",1129,"AT1G78680"
"2242",2242,"AT3G17340"
"1379",1379,"AT2G21370"
"2734",2734,"AT3G60130"
"2586",2586,"AT3G52050"
"3132",3132,"AT4G22290"
"2196",2196,"AT3G15410"
"620",620,"AT1G36280"
"136",136,"AT1G07720"
"194",194,"AT1G10450"
"1320",1320,"AT2G17990"
"1685",1685,"AT2G37970"
"2692",2692,"AT3G57560"
"2840",2840,"AT4G02150"
"2395",2395,"AT3G25220"
"1740",1740,"AT2G40820"
"3142",3142,"AT4G23250"
"347",347,"AT1G17820"
"2786",2786,"AT3G62830"
"265",265,"AT1G14350"
"1088",1088,"AT1G76350"
"1835",1835,"AT2G45680"
"3009",3009,"AT4G15415"
"3314",3314,"AT4G31920"
"3464",3464,"AT4G39540"
"1517",1517,"AT2G29690"
"1565",1565,"AT2G32295"
"32",32,"AT1G03090"
"4443",4443,"AT5G65260"
"438",438,"AT1G22940"
"3988",3988,"AT5G40610"
"1056",1056,"AT1G74160"
"2581",2581,"AT3G51780"
"653",653,"AT1G47900"
"3942",3942,"AT5G35430"
"34",34,"AT1G03230"
"3302",3302,"AT4G31310"
"3912",3912,"AT5G27280"
"2205",2205,"AT3G15680"
"3223",3223,"AT4G27680"
"4450",4450,"AT5G65683"
"2323",2323,"AT3G21110"
"3829",3829,"AT5G20610"
"788",788,"AT1G56120"
"995",995,"AT1G71350"
"343",343,"AT1G17620"
"2489",2489,"AT3G45090"
"2209",2209,"AT3G15900"
"2979",2979,"AT4G13750"
"11",11,"AT1G01720"
"3769",3769,"AT5G17520"
"3063",3063,"AT4G17940"
"4170",4170,"AT5G50380"
"819",819,"AT1G59860"
"856",856,"AT1G61780"
"3365",3365,"AT4G34250"
"3178",3178,"AT4G25280"
"1370",1370,"AT2G21050"
"987",987,"AT1G71030"
"1987",1987,"AT3G05490"
"4270",4270,"AT5G55960"
"4260",4260,"AT5G55620"
"3660",3660,"AT5G11860"
"3193",3193,"AT4G26500"
"4449",4449,"AT5G65490"
"66",66,"AT1G04870"
"3150",3150,"AT4G23750"
"4",4,"AT1G01430"
"27",27,"AT1G02920"
"3968",3968,"AT5G38840"
"2895",2895,"AT4G08900"
"3520",3520,"AT5G04130"
"4080",4080,"AT5G45490"
"1610",1610,"AT2G34070"
"2952",2952,"AT4G12300"
"2461",2461,"AT3G30180"
"3465",3465,"AT4G39620"
"960",960,"AT1G69250"
"2603",2603,"AT3G52940"
"1180",1180,"AT1G80950"
"3127",3127,"AT4G22120"
"3784",3784,"AT5G18525"
"3069",3069,"AT4G18370"
"670",670,"AT1G49430"
"2454",2454,"AT3G28940"
"1108",1108,"AT1G77480"
"2282",2282,"AT3G19520"
"3210",3210,"AT4G27040"
"3337",3337,"AT4G32915"
"1605",1605,"AT2G33840"
"2765",2765,"AT3G61540"
"3445",3445,"AT4G38470"
"4010",4010,"AT5G41970"
"3656",3656,"AT5G11720"
"4344",4344,"AT5G59970"
"3611",3611,"AT5G09400"
"1832",1832,"AT2G45590"
"3864",3864,"AT5G23390"
"1063",1063,"AT1G74840"
"4359",4359,"AT5G61010"
"746",746,"AT1G54090"
"3126",3126,"AT4G22000"
"1868",1868,"AT2G47060"
"2108",2108,"AT3G11210"
"4071",4071,"AT5G45190"
"1670",1670,"AT2G37400"
"2772",2772,"AT3G61830"
"2048",2048,"AT3G07680"
"274",274,"AT1G14685"
"1994",1994,"AT3G05727"
"4096",4096,"AT5G46410"
"4252",4252,"AT5G55480"
"940",940,"AT1G68020"
"2577",2577,"AT3G51640"
"2920",2920,"AT4G10730"
"1843",1843,"AT2G46060"
"1171",1171,"AT1G80670"
"4190",4190,"AT5G51600"
"2013",2013,"AT3G06410"
"1591",1591,"AT2G33330"
"4154",4154,"AT5G49580"
"3970",3970,"AT5G39040"
"68",68,"AT1G04950"
"1191",1191,"AT2G01440"
"4017",4017,"AT5G42400"
"2688",2688,"AT3G57400"
"1223",1223,"AT2G03340"
"2136",2136,"AT3G12570"
"1768",1768,"AT2G42010"
"1183",1183,"AT2G01100"
"3614",3614,"AT5G09760"
"1493",1493,"AT2G28380"
"139",139,"AT1G07810"
"3053",3053,"AT4G17640"
"637",637,"AT1G44100"
"2927",2927,"AT4G11120"
"1228",1228,"AT2G03550"
"1999",1999,"AT3G06060"
"2177",2177,"AT3G14620"
"86",86,"AT1G05410"
"2040",2040,"AT3G07320"
"2096",2096,"AT3G10620"
"2948",2948,"AT4G12040"
"3149",3149,"AT4G23730"
"3197",3197,"AT4G26555"
"3691",3691,"AT5G13360"
"2959",2959,"AT4G12640"
"1433",1433,"AT2G25280"
"1215",1215,"AT2G02790"
"3046",3046,"AT4G17270"
"4021",4021,"AT5G42720"
"1221",1221,"AT2G03220"
"955",955,"AT1G68990"
"277",277,"AT1G14720"
"2425",2425,"AT3G26810"
"74",74,"AT1G05120"
"3921",3921,"AT5G27650"
"3717",3717,"AT5G14590"
"1934",1934,"AT3G02890"
"1985",1985,"AT3G05400"
"3999",3999,"AT5G41190"
"633",633,"AT1G43860"
"2503",2503,"AT3G46540"
"1291",1291,"AT2G16780"
"2199",2199,"AT3G15480"
"1176",1176,"AT1G80830"
"3845",3845,"AT5G22080"
"353",353,"AT1G18160"
"2396",2396,"AT3G25410"
"865",865,"AT1G62660"
"1515",1515,"AT2G29560"
"578",578,"AT1G31780"
"1695",1695,"AT2G38710"
"2075",2075,"AT3G09580"
"4281",4281,"AT5G56530"
"3902",3902,"AT5G26280"
"4212",4212,"AT5G52960"
"514",514,"AT1G28240"
"1521",1521,"AT2G29960"
"2252",2252,"AT3G17770"
"3293",3293,"AT4G30930"
"3894",3894,"AT5G25265"
"84",84,"AT1G05380"
"2126",2126,"AT3G12145"
"1858",1858,"AT2G46540"
"4423",4423,"AT5G64250"
"1590",1590,"AT2G33310"
"729",729,"AT1G53050"
"3898",3898,"AT5G25780"
"4085",4085,"AT5G45800"
"2571",2571,"AT3G51310"
"2721",2721,"AT3G59290"
"3750",3750,"AT5G16510"
"1269",1269,"AT2G14170"
"4251",4251,"AT5G55450"
"3852",3852,"AT5G22850"
"1224",1224,"AT2G03420"
"1738",1738,"AT2G40770"
"785",785,"AT1G55930"
"947",947,"AT1G68400"
"3638",3638,"AT5G10940"
"78",78,"AT1G05213"
"436",436,"AT1G22882"
"3609",3609,"AT5G09330"
"444",444,"AT1G23480"
"978",978,"AT1G70210"
"3359",3359,"AT4G34060"
"3283",3283,"AT4G30290"
"2222",2222,"AT3G16230"
"21",21,"AT1G02130"
"952",952,"AT1G68580"
"416",416,"AT1G21650"
"3889",3889,"AT5G24890"
"1710",1710,"AT2G39650"
"3745",3745,"AT5G16250"
"2845",2845,"AT4G02350"
