"","WS_c1.which.mclass....6...1."
"1","AT1G01060"
"2","AT1G01090"
"3","AT1G01100"
"4","AT1G01620"
"5","AT1G01790"
"6","AT1G02150"
"7","AT1G02500"
"8","AT1G02560"
"9","AT1G03475"
"10","AT1G03600"
"11","AT1G03630"
"12","AT1G03680"
"13","AT1G03870"
"14","AT1G04040"
"15","AT1G04120"
"16","AT1G04270"
"17","AT1G04420"
"18","AT1G04480"
"19","AT1G04820"
"20","AT1G05010"
"21","AT1G06040"
"22","AT1G06410"
"23","AT1G06430"
"24","AT1G06570"
"25","AT1G06760"
"26","AT1G06950"
"27","AT1G07010"
"28","AT1G07110"
"29","AT1G07140"
"30","AT1G07180"
"31","AT1G07350"
"32","AT1G07770"
"33","AT1G08200"
"34","AT1G08360"
"35","AT1G08477"
"36","AT1G08520"
"37","AT1G08540"
"38","AT1G08930"
"39","AT1G09070"
"40","AT1G09130"
"41","AT1G09210"
"42","AT1G09590"
"43","AT1G09620"
"44","AT1G09640"
"45","AT1G09690"
"46","AT1G09750"
"47","AT1G09780"
"48","AT1G09927"
"49","AT1G09970"
"50","AT1G10370"
"51","AT1G10670"
"52","AT1G10760"
"53","AT1G10950"
"54","AT1G11650"
"55","AT1G11720"
"56","AT1G11840"
"57","AT1G11910"
"58","AT1G12110"
"59","AT1G12240"
"60","AT1G12410"
"61","AT1G12800"
"62","AT1G12840"
"63","AT1G13260"
"64","AT1G13930"
"65","AT1G14345"
"66","AT1G14610"
"67","AT1G15290"
"68","AT1G15500"
"69","AT1G15750"
"70","AT1G15930"
"71","AT1G15950"
"72","AT1G15980"
"73","AT1G16080"
"74","AT1G16410"
"75","AT1G16720"
"76","AT1G17050"
"77","AT1G17100"
"78","AT1G17360"
"79","AT1G18060"
"80","AT1G18070"
"81","AT1G18300"
"82","AT1G18540"
"83","AT1G18740"
"84","AT1G19000"
"85","AT1G19150"
"86","AT1G19350"
"87","AT1G19450"
"88","AT1G19660"
"89","AT1G19770"
"90","AT1G19920"
"91","AT1G20010"
"92","AT1G20260"
"93","AT1G20330"
"94","AT1G20440"
"95","AT1G20450"
"96","AT1G20960"
"97","AT1G21310"
"98","AT1G21500"
"99","AT1G22300"
"100","AT1G22410"
"101","AT1G22780"
"102","AT1G22850"
"103","AT1G22930"
"104","AT1G23080"
"105","AT1G23190"
"106","AT1G23290"
"107","AT1G23300"
"108","AT1G23490"
"109","AT1G23740"
"110","AT1G24020"
"111","AT1G24360"
"112","AT1G24510"
"113","AT1G25440"
"114","AT1G25560"
"115","AT1G26850"
"116","AT1G27400"
"117","AT1G27730"
"118","AT1G28290"
"119","AT1G29070"
"120","AT1G29470"
"121","AT1G29880"
"122","AT1G29900"
"123","AT1G30120"
"124","AT1G30230"
"125","AT1G30360"
"126","AT1G30400"
"127","AT1G30530"
"128","AT1G30580"
"129","AT1G31230"
"130","AT1G31420"
"131","AT1G31800"
"132","AT1G31812"
"133","AT1G31910"
"134","AT1G32220"
"135","AT1G32230"
"136","AT1G32630"
"137","AT1G32640"
"138","AT1G32900"
"139","AT1G32990"
"140","AT1G33110"
"141","AT1G33120"
"142","AT1G33590"
"143","AT1G35680"
"144","AT1G35720"
"145","AT1G36160"
"146","AT1G36370"
"147","AT1G36730"
"148","AT1G41880"
"149","AT1G42550"
"150","AT1G43670"
"151","AT1G44000"
"152","AT1G44446"
"153","AT1G45201"
"154","AT1G48350"
"155","AT1G48410"
"156","AT1G48600"
"157","AT1G48630"
"158","AT1G48650"
"159","AT1G48830"
"160","AT1G48920"
"161","AT1G49240"
"162","AT1G49750"
"163","AT1G49760"
"164","AT1G49970"
"165","AT1G50010"
"166","AT1G50200"
"167","AT1G50250"
"168","AT1G50320"
"169","AT1G50480"
"170","AT1G50900"
"171","AT1G50920"
"172","AT1G51110"
"173","AT1G51200"
"174","AT1G51400"
"175","AT1G51570"
"176","AT1G51680"
"177","AT1G51980"
"178","AT1G52220"
"179","AT1G52300"
"180","AT1G52510"
"181","AT1G52870"
"182","AT1G53210"
"183","AT1G53910"
"184","AT1G54270"
"185","AT1G54410"
"186","AT1G54500"
"187","AT1G54780"
"188","AT1G55360"
"189","AT1G55480"
"190","AT1G55850"
"191","AT1G55860"
"192","AT1G55960"
"193","AT1G56190"
"194","AT1G56220"
"195","AT1G56280"
"196","AT1G56340"
"197","AT1G56500"
"198","AT1G57660"
"199","AT1G57720"
"200","AT1G57990"
"201","AT1G58080"
"202","AT1G58380"
"203","AT1G58520"
"204","AT1G62180"
"205","AT1G62390"
"206","AT1G62480"
"207","AT1G63770"
"208","AT1G63940"
"209","AT1G63980"
"210","AT1G64140"
"211","AT1G64370"
"212","AT1G64500"
"213","AT1G64510"
"214","AT1G64680"
"215","AT1G64770"
"216","AT1G64780"
"217","AT1G64790"
"218","AT1G64860"
"219","AT1G65060"
"220","AT1G65260"
"221","AT1G65930"
"222","AT1G65960"
"223","AT1G65980"
"224","AT1G66180"
"225","AT1G66580"
"226","AT1G67280"
"227","AT1G67430"
"228","AT1G67700"
"229","AT1G67870"
"230","AT1G68530"
"231","AT1G68560"
"232","AT1G68590"
"233","AT1G68830"
"234","AT1G68840"
"235","AT1G69620"
"236","AT1G69740"
"237","AT1G70320"
"238","AT1G70370"
"239","AT1G70410"
"240","AT1G70490"
"241","AT1G70580"
"242","AT1G70600"
"243","AT1G70730"
"244","AT1G70760"
"245","AT1G70830"
"246","AT1G71500"
"247","AT1G72150"
"248","AT1G73540"
"249","AT1G73600"
"250","AT1G73660"
"251","AT1G74050"
"252","AT1G74060"
"253","AT1G74310"
"254","AT1G74670"
"255","AT1G74730"
"256","AT1G74920"
"257","AT1G74960"
"258","AT1G74970"
"259","AT1G75280"
"260","AT1G75350"
"261","AT1G75380"
"262","AT1G75500"
"263","AT1G75690"
"264","AT1G75750"
"265","AT1G75950"
"266","AT1G76010"
"267","AT1G76030"
"268","AT1G76100"
"269","AT1G76160"
"270","AT1G76180"
"271","AT1G76490"
"272","AT1G76680"
"273","AT1G76810"
"274","AT1G76930"
"275","AT1G76990"
"276","AT1G77490"
"277","AT1G77760"
"278","AT1G77940"
"279","AT1G78040"
"280","AT1G78080"
"281","AT1G78300"
"282","AT1G78510"
"283","AT1G78570"
"284","AT1G78820"
"285","AT1G78830"
"286","AT1G79560"
"287","AT1G79600"
"288","AT1G79750"
"289","AT1G79850"
"290","AT1G79920"
"291","AT1G79930"
"292","AT1G80070"
"293","AT1G80300"
"294","AT1G80380"
"295","AT1G80600"
"296","AT2G01110"
"297","AT2G01250"
"298","AT2G01570"
"299","AT2G04842"
"300","AT2G05520"
"301","AT2G05620"
"302","AT2G05710"
"303","AT2G05914"
"304","AT2G05920"
"305","AT2G05990"
"306","AT2G06850"
"307","AT2G14910"
"308","AT2G15620"
"309","AT2G16500"
"310","AT2G16600"
"311","AT2G17360"
"312","AT2G18440"
"313","AT2G18710"
"314","AT2G19480"
"315","AT2G19730"
"316","AT2G20360"
"317","AT2G20420"
"318","AT2G20570"
"319","AT2G20580"
"320","AT2G20610"
"321","AT2G20860"
"322","AT2G20990"
"323","AT2G21390"
"324","AT2G21660"
"325","AT2G21870"
"326","AT2G22125"
"327","AT2G22360"
"328","AT2G22430"
"329","AT2G22670"
"330","AT2G22990"
"331","AT2G23120"
"332","AT2G23350"
"333","AT2G23420"
"334","AT2G23600"
"335","AT2G23810"
"336","AT2G24090"
"337","AT2G24200"
"338","AT2G24280"
"339","AT2G24790"
"340","AT2G24820"
"341","AT2G25080"
"342","AT2G25450"
"343","AT2G25510"
"344","AT2G26140"
"345","AT2G26250"
"346","AT2G26690"
"347","AT2G26900"
"348","AT2G26910"
"349","AT2G27420"
"350","AT2G27530"
"351","AT2G27680"
"352","AT2G27710"
"353","AT2G27720"
"354","AT2G27860"
"355","AT2G28290"
"356","AT2G28800"
"357","AT2G28910"
"358","AT2G29450"
"359","AT2G29550"
"360","AT2G29630"
"361","AT2G29650"
"362","AT2G30110"
"363","AT2G30390"
"364","AT2G30490"
"365","AT2G30520"
"366","AT2G30600"
"367","AT2G30620"
"368","AT2G30870"
"369","AT2G31360"
"370","AT2G31610"
"371","AT2G31790"
"372","AT2G31880"
"373","AT2G31960"
"374","AT2G32060"
"375","AT2G32230"
"376","AT2G32240"
"377","AT2G32480"
"378","AT2G32730"
"379","AT2G33040"
"380","AT2G33150"
"381","AT2G33370"
"382","AT2G33450"
"383","AT2G34250"
"384","AT2G34460"
"385","AT2G34480"
"386","AT2G34660"
"387","AT2G34860"
"388","AT2G35050"
"389","AT2G35260"
"390","AT2G35390"
"391","AT2G35490"
"392","AT2G36160"
"393","AT2G36460"
"394","AT2G36630"
"395","AT2G36910"
"396","AT2G36990"
"397","AT2G37040"
"398","AT2G37190"
"399","AT2G37270"
"400","AT2G37660"
"401","AT2G38040"
"402","AT2G38140"
"403","AT2G38170"
"404","AT2G38230"
"405","AT2G39010"
"406","AT2G39190"
"407","AT2G39460"
"408","AT2G39470"
"409","AT2G40000"
"410","AT2G40100"
"411","AT2G40140"
"412","AT2G40400"
"413","AT2G40490"
"414","AT2G40840"
"415","AT2G41090"
"416","AT2G41100"
"417","AT2G41140"
"418","AT2G41430"
"419","AT2G41680"
"420","AT2G42220"
"421","AT2G42490"
"422","AT2G42590"
"423","AT2G42840"
"424","AT2G43090"
"425","AT2G43160"
"426","AT2G43460"
"427","AT2G43680"
"428","AT2G43710"
"429","AT2G43750"
"430","AT2G43910"
"431","AT2G44060"
"432","AT2G44100"
"433","AT2G44120"
"434","AT2G44160"
"435","AT2G45470"
"436","AT2G45740"
"437","AT2G46280"
"438","AT2G46340"
"439","AT2G46830"
"440","AT2G47070"
"441","AT2G47110"
"442","AT2G47170"
"443","AT2G47390"
"444","AT2G47450"
"445","AT2G47590"
"446","AT2G47610"
"447","AT2G47730"
"448","AT2G47800"
"449","AT2G47940"
"450","AT3G01060"
"451","AT3G01280"
"452","AT3G01480"
"453","AT3G01540"
"454","AT3G01910"
"455","AT3G02020"
"456","AT3G02080"
"457","AT3G02090"
"458","AT3G02260"
"459","AT3G02360"
"460","AT3G02560"
"461","AT3G02730"
"462","AT3G02830"
"463","AT3G03250"
"464","AT3G03710"
"465","AT3G03770"
"466","AT3G04340"
"467","AT3G04840"
"468","AT3G04870"
"469","AT3G04920"
"470","AT3G05560"
"471","AT3G05590"
"472","AT3G05730"
"473","AT3G05840"
"474","AT3G05900"
"475","AT3G06510"
"476","AT3G06650"
