Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:0009908,flower development,19_GO:0022414 reproductive process,-14,5.9,11,18982,487,190,29,15,2.6,814898|817679|818883|819173|820200|820748|821151|822401|824195|824601|825047|826750|827631|827785|830494|830575|830835|831256|831436|831683|832146|833556|834270|836307|836632|837353|841749|843244|843249,SEP4|AT2G31220|SHP2|AGL6|ROXY1|CUC1|SEP2|MYB21|HEC2|AP3|SHP1|NGA4|AG|TSF|RBE|TGA10|HEC3|ROXY2|SEP1|TFL1|PI|SAP|ATS|LFY|MAF5|TGA9|SPL4|AP1|CRC,-10
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:0090567,reproductive shoot system development,19_GO:0022414 reproductive process,-14,5.8,11,18982,500,190,29,15,2.6,814898|817679|818883|819173|820200|820748|821151|822401|824195|824601|825047|826750|827631|827785|830494|830575|830835|831256|831436|831683|832146|833556|834270|836307|836632|837353|841749|843244|843249,SEP4|AT2G31220|SHP2|AGL6|ROXY1|CUC1|SEP2|MYB21|HEC2|AP3|SHP1|NGA4|AG|TSF|RBE|TGA10|HEC3|ROXY2|SEP1|TFL1|PI|SAP|ATS|LFY|MAF5|TGA9|SPL4|AP1|CRC,-10
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:0048437,floral organ development,19_GO:0022414 reproductive process,-12,7.8,11,18982,255,190,20,11,2.2,814898|817679|818883|819173|820200|821151|822401|824195|824601|825047|827631|830494|830575|830835|831256|831436|832146|834270|837353|843249,SEP4|AT2G31220|SHP2|AGL6|ROXY1|SEP2|MYB21|HEC2|AP3|SHP1|AG|RBE|TGA10|HEC3|ROXY2|SEP1|PI|ATS|TGA9|CRC,-8.7
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:0009891,positive regulation of biosynthetic process,19_GO:0048518 positive regulation of biological process,-12,4.9,9.6,18982,596,190,29,15,2.6,814898|815843|816286|817674|818199|818414|818628|818883|819173|819332|819359|821151|824601|825047|825435|827631|829929|831327|831436|832146|834133|834818|834925|842120|842880|842999|843244|843296|843524,SEP4|NF-YB7|BZIP27|MYB14|ABI5|DREB19|AT2G40350|SHP2|AGL6|MYB2|MYB12|SEP2|AP3|SHP1|MYB11|AG|bZIP7|MYB66|SEP1|PI|GL3|NF-YB6|AGL80|PAP1|AT1G65690|AT1G66810|AP1|ZFHD1|VND7,-8.7
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:0048438,floral whorl development,19_GO:0022414 reproductive process,-12,8.9,11,18982,201,190,18,9.5,2.1,814898|817679|818883|820200|820748|821151|822401|824195|825047|827631|830494|830575|830835|831256|831436|834270|837353|843249,SEP4|AT2G31220|SHP2|ROXY1|CUC1|SEP2|MYB21|HEC2|SHP1|AG|RBE|TGA10|HEC3|ROXY2|SEP1|ATS|TGA9|CRC,-8.7
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:0045893,"positive regulation of transcription, DNA-templated",19_GO:0048518 positive regulation of biological process,-10,5,9.1,18982,502,190,25,13,2.5,814898|815843|816286|817674|818199|818414|818628|818883|819173|819332|819359|821151|824601|825047|827631|829929|831327|831436|832146|834818|834925|842999|843244|843296|843524,SEP4|NF-YB7|BZIP27|MYB14|ABI5|DREB19|AT2G40350|SHP2|AGL6|MYB2|MYB12|SEP2|AP3|SHP1|AG|bZIP7|MYB66|SEP1|PI|NF-YB6|AGL80|AT1G66810|AP1|ZFHD1|VND7,-7.5
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:1903508,positive regulation of nucleic acid-templated transcription,19_GO:0048518 positive regulation of biological process,-10,5,9.1,18982,504,190,25,13,2.5,814898|815843|816286|817674|818199|818414|818628|818883|819173|819332|819359|821151|824601|825047|827631|829929|831327|831436|832146|834818|834925|842999|843244|843296|843524,SEP4|NF-YB7|BZIP27|MYB14|ABI5|DREB19|AT2G40350|SHP2|AGL6|MYB2|MYB12|SEP2|AP3|SHP1|AG|bZIP7|MYB66|SEP1|PI|NF-YB6|AGL80|AT1G66810|AP1|ZFHD1|VND7,-7.5
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:1902680,positive regulation of RNA biosynthetic process,19_GO:0048518 positive regulation of biological process,-10,5,9.1,18982,504,190,25,13,2.5,814898|815843|816286|817674|818199|818414|818628|818883|819173|819332|819359|821151|824601|825047|827631|829929|831327|831436|832146|834818|834925|842999|843244|843296|843524,SEP4|NF-YB7|BZIP27|MYB14|ABI5|DREB19|AT2G40350|SHP2|AGL6|MYB2|MYB12|SEP2|AP3|SHP1|AG|bZIP7|MYB66|SEP1|PI|NF-YB6|AGL80|AT1G66810|AP1|ZFHD1|VND7,-7.5
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:0010628,positive regulation of gene expression,19_GO:0048518 positive regulation of biological process,-9.9,4.5,8.7,18982,571,190,26,14,2.5,814898|815843|816286|817674|818199|818414|818628|818883|819173|819332|819359|821151|824601|825047|827631|829929|831327|831436|832146|834818|834925|835511|842999|843244|843296|843524,SEP4|NF-YB7|BZIP27|MYB14|ABI5|DREB19|AT2G40350|SHP2|AGL6|MYB2|MYB12|SEP2|AP3|SHP1|AG|bZIP7|MYB66|SEP1|PI|NF-YB6|AGL80|MYB49|AT1G66810|AP1|ZFHD1|VND7,-7.2
WS_c1_which_mclass____3___1_,GO Biological Processes,19,GO:0051254,positive regulation of RNA metabolic process,19_GO:0048518 positive regulation of biological process,-9.9,4.7,8.7,18982,530,190,25,13,2.5,814898|815843|816286|817674|818199|818414|818628|818883|819173|819332|819359|821151|824601|825047|827631|829929|831327|831436|832146|834818|834925|842999|843244|843296|843524,SEP4|NF-YB7|BZIP27|MYB14|ABI5|DREB19|AT2G40350|SHP2|AGL6|MYB2|MYB12|SEP2|AP3|SHP1|AG|bZIP7|MYB66|SEP1|PI|NF-YB6|AGL80|AT1G66810|AP1|ZFHD1|VND7,-7.2
