_MEMBER_WS_c1_which_mclass____4___1_,_LogP_WS_c1_which_mclass____4___1_,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-12,ath03050,Proteasome,M1,1,0
1,-2.2,GO:0010016,shoot system morphogenesis,M1,1,0
1,-2.9,ko01212,Fatty acid metabolism,M1,1,0
1,-3.7,M00527,"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",M1,1,0
1,-6.7,GO:1901293,nucleoside phosphate biosynthetic process,M1,1,0
1,-2.7,GO:0046898,response to cycloheximide,M1,1,0
1,-2.4,GO:0009072,aromatic amino acid family metabolic process,M1,1,0
1,-2.6,GO:0009141,nucleoside triphosphate metabolic process,M1,1,0
1,-2.7,GO:0046033,AMP metabolic process,M1,1,0
1,-2.3,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",M1,1,0
1,-3.4,ko04145,Phagosome,M1,1,0
1,-2.2,GO:0001666,response to hypoxia,M1,1,0
1,-2.4,ath00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",M1,1,0
1,-2.3,ath00450,Selenocompound metabolism,M1,1,0
1,-3.9,GO:0072521,purine-containing compound metabolic process,M1,1,0
1,-3.7,GO:0044255,cellular lipid metabolic process,M1,1,0
1,-2.4,GO:0051236,establishment of RNA localization,M1,1,0
1,-3.7,GO:0006401,RNA catabolic process,M1,1,0
1,-2.3,GO:0048467,gynoecium development,M1,1,0
1,-2.5,GO:0006119,oxidative phosphorylation,M1,1,0
1,-2.3,GO:0051172,negative regulation of nitrogen compound metabolic process,M1,1,0
1,-2.5,GO:0006081,cellular aldehyde metabolic process,M1,1,0
1,-2.1,GO:1903798,regulation of production of miRNAs involved in gene silencing by miRNA,M1,1,0
1,-3,GO:0019761,glucosinolate biosynthetic process,M1,1,0
1,-8.2,GO:0009658,chloroplast organization,M1,1,0
1,-3.5,GO:0046700,heterocycle catabolic process,M1,1,0
1,-2.3,GO:0000902,cell morphogenesis,M1,1,0
1,-2.6,GO:0017148,negative regulation of translation,M1,1,0
1,-4,GO:0072598,protein localization to chloroplast,M1,1,0
1,-7.2,ko00020,Citrate cycle (TCA cycle),M1,1,0
1,-3.1,GO:0009294,DNA mediated transformation,M1,1,0
1,-3.3,GO:0006551,leucine metabolic process,M1,1,0
1,-4.4,ko00190,Oxidative phosphorylation,M1,1,0
1,-2.6,GO:0043484,regulation of RNA splicing,M1,1,0
1,-3.7,GO:0009089,lysine biosynthetic process via diaminopimelate,M1,1,0
1,-3.5,GO:0090567,reproductive shoot system development,M1,1,0
1,-2.6,GO:0009611,response to wounding,M1,1,0
1,-3.5,GO:0044265,cellular macromolecule catabolic process,M1,1,0
