Gene,TotalEvidenceCounts,EvidenceHit:WS_c1_which_mclass____4___1_,EvidenceGO:WS_c1_which_mclass____4___1_,EvidencePPI:WS_c1_which_mclass____4___1_
837448,3.0,1,1,1
832060,3.0,1,1,1
827055,3.0,1,1,1
840346,3.0,1,1,1
817306,3.0,1,1,1
821445,3.0,1,1,1
838077,3.0,1,1,1
820313,3.0,1,1,1
840169,3.0,1,1,1
827368,3.0,1,1,1
821855,3.0,1,1,1
834383,3.0,1,1,1
834747,3.0,1,1,1
827605,3.0,1,1,1
832075,3.0,1,1,1
816394,3.0,1,1,1
824129,3.0,1,1,1
820236,3.0,1,1,1
841576,3.0,1,1,1
836668,3.0,1,1,1
831223,3.0,1,1,1
844423,3.0,1,1,1
825025,3.0,1,1,1
817244,3.0,1,1,1
843898,3.0,1,1,1
835397,3.0,1,1,1
832341,3.0,1,1,1
841743,3.0,1,1,1
818115,3.0,1,1,1
819114,3.0,1,1,1
816502,3.0,1,1,1
841327,3.0,1,1,1
830019,3.0,1,1,1
835621,3.0,1,1,1
836554,3.0,1,1,1
828585,3.0,1,1,1
831328,3.0,1,1,1
831077,3.0,1,1,1
818562,3.0,1,1,1
815840,3.0,1,1,1
836402,3.0,1,1,1
820831,3.0,1,1,1
835421,3.0,1,1,1
818167,3.0,1,1,1
821625,3.0,1,1,1
841575,3.0,1,1,1
835941,3.0,1,1,1
829679,3.0,1,1,1
835728,3.0,1,1,1
839409,3.0,1,1,1
842098,3.0,1,1,1
836801,3.0,1,1,1
841044,3.0,1,1,1
836163,3.0,1,1,1
838348,3.0,1,1,1
818024,3.0,1,1,1
835532,3.0,1,1,1
826728,3.0,1,1,1
829308,3.0,1,1,1
835842,3.0,1,1,1
827302,3.0,1,1,1
843830,3.0,1,1,1
814747,3.0,1,1,1
843972,3.0,1,1,1
818821,3.0,1,1,1
818029,3.0,1,1,1
838889,3.0,1,1,1
821216,3.0,1,1,1
830730,3.0,1,1,1
831935,3.0,1,1,1
830307,3.0,1,1,1
818524,3.0,1,1,1
820984,3.0,1,1,1
824728,3.0,1,1,1
832216,3.0,1,1,1
843915,3.0,1,1,1
839238,3.0,1,1,1
843634,3.0,1,1,1
836620,3.0,1,1,1
829009,3.0,1,1,1
817252,3.0,1,1,1
827661,3.0,1,1,1
830144,3.0,1,1,1
829037,3.0,1,1,1
837673,3.0,1,1,1
828964,3.0,1,1,1
837587,3.0,1,1,1
839789,3.0,1,1,1
827463,3.0,1,1,1
814643,3.0,1,1,1
835797,3.0,1,1,1
843251,3.0,1,1,1
835598,3.0,1,1,1
829388,3.0,1,1,1
834706,3.0,1,1,1
838544,3.0,1,1,1
828353,3.0,1,1,1
829285,3.0,1,1,1
822264,3.0,1,1,1
835735,3.0,1,1,1
832438,3.0,1,1,1
821138,3.0,1,1,1
843512,3.0,1,1,1
834307,3.0,1,1,1
842855,3.0,1,1,1
819857,3.0,1,1,1
827863,3.0,1,1,1
842760,3.0,1,1,1
835689,3.0,1,1,1
817155,3.0,1,1,1
829034,3.0,1,1,1
830498,3.0,1,1,1
844267,3.0,1,1,1
821160,3.0,1,1,1
830366,3.0,1,1,1
839031,3.0,1,1,1
836263,3.0,1,1,1
818594,3.0,1,1,1
842251,3.0,1,1,1
820234,3.0,1,1,1
834975,3.0,1,1,1
829782,3.0,1,1,1
834290,3.0,1,1,1
822287,3.0,1,1,1
844231,3.0,1,1,1
827119,3.0,1,1,1
827640,3.0,1,1,1
837433,3.0,1,1,1
839378,3.0,1,1,1
831253,3.0,1,1,1
819244,3.0,1,1,1
827759,3.0,1,1,1
818877,3.0,1,1,1
840981,3.0,1,1,1
817556,3.0,1,1,1
818340,3.0,1,1,1
818411,3.0,1,1,1
817208,3.0,1,1,1
818580,3.0,1,1,1
832420,3.0,1,1,1
839636,3.0,1,1,1
820572,3.0,1,1,1
824957,3.0,1,1,1
832121,3.0,1,1,1
830625,3.0,1,1,1
817483,3.0,1,1,1
821774,3.0,1,1,1
842284,3.0,1,1,1
819767,3.0,1,1,1
817052,3.0,1,1,1
819190,3.0,1,1,1
827529,3.0,1,1,1
838609,3.0,1,1,1
824853,3.0,1,1,1
825807,3.0,1,1,1
825075,3.0,1,1,1
820936,3.0,1,1,1
832328,3.0,1,1,1
836538,3.0,1,1,1
841384,3.0,1,1,1
833590,3.0,1,1,1
829390,3.0,1,1,1
834758,3.0,1,1,1
828465,3.0,1,1,1
818231,3.0,1,1,1
820606,3.0,1,1,1
839135,3.0,1,1,1
831766,3.0,1,1,1
836551,3.0,1,1,1
825298,3.0,1,1,1
827001,3.0,1,1,1
841147,3.0,1,1,1
823744,3.0,1,1,1
825253,3.0,1,1,1
830169,3.0,1,1,1
842700,3.0,1,1,1
830959,3.0,1,1,1
843607,3.0,1,1,1
829969,3.0,1,1,1
817173,3.0,1,1,1
831547,3.0,1,1,1
832242,3.0,1,1,1
817857,3.0,1,1,1
824896,3.0,1,1,1
832252,3.0,1,1,1
828259,3.0,1,1,1
819260,3.0,1,1,1
833763,3.0,1,1,1
820560,3.0,1,1,1
831185,3.0,1,1,1
831809,3.0,1,1,1
837579,3.0,1,1,1
818629,3.0,1,1,1
819814,3.0,1,1,1
842414,3.0,1,1,1
837483,3.0,1,1,1
819551,3.0,1,1,1
823706,3.0,1,1,1
819261,3.0,1,1,1
818760,3.0,1,1,1
824667,3.0,1,1,1
831303,3.0,1,1,1
824441,3.0,1,1,1
829277,3.0,1,1,1
836895,3.0,1,1,1
821268,3.0,1,1,1
842086,3.0,1,1,1
824385,3.0,1,1,1
829750,3.0,1,1,1
820201,3.0,1,1,1
821081,3.0,1,1,1
835279,3.0,1,1,1
838761,3.0,1,1,1
839529,3.0,1,1,1
842083,3.0,1,1,1
844066,3.0,1,1,1
828678,3.0,1,1,1
818429,3.0,1,1,1
831884,3.0,1,1,1
820478,3.0,1,1,1
837479,3.0,1,1,1
834255,3.0,1,1,1
844020,3.0,1,1,1
838431,3.0,1,1,1
829025,3.0,1,1,1
816605,3.0,1,1,1
816533,3.0,1,1,1
836470,3.0,1,1,1
820294,3.0,1,1,1
837627,3.0,1,1,1
839574,3.0,1,1,1
841876,3.0,1,1,1
830493,3.0,1,1,1
824576,3.0,1,1,1
823559,3.0,1,1,1
824348,3.0,1,1,1
836244,3.0,1,1,1
829352,3.0,1,1,1
818311,3.0,1,1,1
822105,3.0,1,1,1
838039,3.0,1,1,1
833524,3.0,1,1,1
833534,3.0,1,1,1
818317,3.0,1,1,1
829387,3.0,1,1,1
835841,3.0,1,1,1
817485,3.0,1,1,1
841129,3.0,1,1,1
817830,3.0,1,1,1
827510,3.0,1,1,1
832741,3.0,1,1,1
815211,3.0,1,1,1
844388,3.0,1,1,1
831112,3.0,1,1,1
821027,3.0,1,1,1
822181,3.0,1,1,1
832718,3.0,1,1,1
824479,3.0,1,1,1
817221,3.0,1,1,1
836699,3.0,1,1,1
828457,3.0,1,1,1
834868,3.0,1,1,1
818197,3.0,1,1,1
838598,3.0,1,1,1
822833,3.0,1,1,1
822364,3.0,1,1,1
838883,3.0,1,1,1
831976,3.0,1,1,1
832477,3.0,1,1,1
831169,3.0,1,1,1
819042,3.0,1,1,1
818937,3.0,1,1,1
837863,3.0,1,1,1
839503,3.0,1,1,1
837377,3.0,1,1,1
827837,3.0,1,1,1
824289,3.0,1,1,1
814697,3.0,1,1,1
839152,3.0,1,1,1
829106,3.0,1,1,1
820871,3.0,1,1,1
839262,3.0,1,1,1
835429,3.0,1,1,1
835046,3.0,1,1,1
827538,3.0,1,1,1
836809,3.0,1,1,1
841427,3.0,1,1,1
825285,3.0,1,1,1
819210,3.0,1,1,1
838046,3.0,1,1,1
843319,3.0,1,1,1
830463,3.0,1,1,1
835824,3.0,1,1,1
831043,3.0,1,1,1
838057,3.0,1,1,1
841822,3.0,1,1,1
820951,3.0,1,1,1
821781,3.0,1,1,1
820728,3.0,1,1,1
822503,3.0,1,1,1
838455,3.0,1,1,1
836506,3.0,1,1,1
843519,3.0,1,1,1
816837,3.0,1,1,1
834842,3.0,1,1,1
841065,3.0,1,1,1
825525,3.0,1,1,1
844241,3.0,1,1,1
830635,3.0,1,1,1
830427,3.0,1,1,1
819718,3.0,1,1,1
832530,3.0,1,1,1
834876,3.0,1,1,1
837465,3.0,1,1,1
829257,3.0,1,1,1
819010,3.0,1,1,1
820132,3.0,1,1,1
823906,3.0,1,1,1
841812,3.0,1,1,1
841164,3.0,1,1,1
815135,3.0,1,1,1
819364,3.0,1,1,1
844268,3.0,1,1,1
829597,3.0,1,1,1
820117,3.0,1,1,1
836519,3.0,1,1,1
824702,3.0,1,1,1
833559,3.0,1,1,1
830850,3.0,1,1,1
839081,2.0,1,1,0
832138,2.0,1,1,0
816495,2.0,1,0,1
844343,2.0,1,0,1
843603,2.0,1,1,0
820408,2.0,1,0,1
820740,2.0,1,0,1
837892,2.0,1,0,1
825655,2.0,1,0,1
823966,2.0,1,1,0
817456,2.0,1,0,1
825042,2.0,1,1,0
829939,2.0,1,1,0
816547,2.0,1,1,0
834169,2.0,1,1,0
816539,2.0,1,1,0
821576,2.0,1,0,1
828023,2.0,1,0,1
829922,2.0,1,0,1
839062,2.0,1,1,0
836351,2.0,1,0,1
839808,2.0,1,1,0
816737,2.0,1,1,0
821339,2.0,1,0,1
843767,2.0,1,1,0
827367,2.0,1,1,0
841465,2.0,1,0,1
831271,2.0,1,0,1
828586,2.0,1,1,0
822336,2.0,1,0,1
824109,2.0,1,0,1
827446,2.0,1,0,1
830953,2.0,1,0,1
838793,2.0,1,1,0
820366,2.0,1,0,1
844376,2.0,1,1,0
832305,2.0,1,1,0
830714,2.0,1,1,0
830744,2.0,1,0,1
834875,2.0,1,1,0
819931,2.0,1,1,0
830159,2.0,1,1,0
832270,2.0,1,1,0
838849,2.0,1,1,0
836656,2.0,1,0,1
821054,2.0,1,1,0
820767,2.0,1,0,1
830541,2.0,1,1,0
832136,2.0,1,0,1
815842,2.0,1,1,0
824578,2.0,1,1,0
820533,2.0,1,1,0
840234,2.0,1,1,0
835603,2.0,1,1,0
830810,2.0,1,0,1
836289,2.0,1,1,0
831087,2.0,1,1,0
835702,2.0,1,0,1
844250,2.0,1,1,0
823469,2.0,1,1,0
819056,2.0,1,1,0
830360,2.0,1,1,0
822429,2.0,1,0,1
828130,2.0,1,1,0
820662,2.0,1,0,1
829244,2.0,1,0,1
840133,2.0,1,0,1
835736,2.0,1,0,1
828005,2.0,1,1,0
816733,2.0,1,1,0
829676,2.0,1,0,1
829978,2.0,1,1,0
828751,2.0,1,0,1
835713,2.0,1,1,0
824872,2.0,1,1,0
824981,2.0,1,0,1
824424,2.0,1,0,1
835183,2.0,1,1,0
843869,2.0,1,1,0
831846,2.0,1,1,0
829685,2.0,1,1,0
826680,2.0,1,0,1
817246,2.0,1,1,0
829833,2.0,1,0,1
827307,2.0,1,1,0
828079,2.0,1,0,1
818751,2.0,1,1,0
841451,2.0,1,0,1
839374,2.0,1,1,0
840105,2.0,1,0,1
816165,2.0,1,1,0
837340,2.0,1,1,0
832018,2.0,1,0,1
835895,2.0,1,1,0
822171,2.0,1,0,1
826665,2.0,1,0,1
821346,2.0,1,0,1
844273,2.0,1,1,0
842553,2.0,1,1,0
830082,2.0,1,1,0
820179,2.0,1,1,0
817081,2.0,1,1,0
