_MEMBER_WS_c1_which_mclass____6___1_,_LogP_WS_c1_which_mclass____6___1_,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-60.399614913472604,ath03010,M1,1,0,KEGG Pathway,24,Ribosome,,-60.399614913472604,6.102605738946589,23.291731047580154,18982,356,1031,118,11.445198836081474,0.9914901281945191,814652|816243|816492|816943|817299|817317|817318|817719|817766|817900|817910|818011|818188|818295|818304|818531|818947|819018|819323|819374|819644|819652|819722|819725|819897|820324|820367|820500|820750|821120|821308|821405|821787|822081|822405|823623|824054|824062|824153|824425|824468|824511|824541|824554|825195|825248|825398|825462|826569|827159|827451|827471|827535|827607|827947|828099|828167|828679|828817|829298|829619|829770|830075|830600|830900|831195|831282|831470|831724|831907|832439|832848|832878|833518|833970|834097|834154|834617|834765|834821|835342|835834|835955|836107|836238|836647|837291|837356|837486|837497|838163|838435|838938|839410|839511|839564|839630|839781|840194|840208|840472|840799|841255|841305|841660|842142|842207|842759|842976|843063|843298|843397|843744|843746|843836|843871|844129|844324,AT2G01250|AT2G17360|AT2G19730|PRPL35|PGY1|AT2G27710|AT2G27720|AT2G31610|AT2G32060|AT2G33370|PRPL28|AT2G34480|AT2G36160|AT2G37190|RPS5B|RPL23AA|AT2G43460|AT2G44120|UBQ6|AT2G47610|AT3G04840|AT3G04920|AT3G05560|RPL18|AT3G07110|AT3G11510|RPS5A|AT3G13120|PRPS20|AT3G02080|AT3G02560|RLK902|AT3G22230|AT3G24830|RPL12-C|RPL9|EMB1080|BBC1|AT3G49910|UBQ1|STV1|AT3G53430|AT3G53740|AT3G53870|AT3G60245|AT3G60770|UBQ5|AT3G62870|RPS18C|AT4G15000|AT4G17390|AT4G17560|AT4G18100|RPL16B|AT4G01310|AT4G02230|RPS13A|AT4G25740|AT4G27090|RPS6|AT4G34670|AT4G36130|AT4G39200|AT5G07090|EMB3010|EMB3136|EMB3137|AT5G16130|AT5G02960|AT5G02450|RPS11-BETA|AT5G27850|AT5G28060|AT5G35530|RPL5B|RPL27|RPS10B|AT5G45775|AT5G47190|AT5G47700|AT5G52650|AT5G57290|AT5G58420|AT5G59850|AT5G61170|AT5G65220|RPS15A|AT1G08360|AT1G09590|AT1G09690|AT1G15930|AT1G18540|RPL27AB|AT1G01100|AT1G04480|RPS15|AT1G27400|AT1G29070|PRPL11|AT1G33120|RPL21C|AT1G41880|EMB3105|AT1G48830|AT1G52300|AT1G57660|XW6|AT1G64510|SAG24|AT1G67430|RPL34|AT1G70600|AT1G74050|AT1G74060|RPS9|emb2184|AT1G77940|RPS17,-56.89732438555783,0,1,1,1,-60.399614913472604,6.102605738946589,
1,-60.399614913472604,ko03010,M1,1,0,KEGG Pathway,24,Ribosome,,-60.399614913472604,6.102605738946589,23.291731047580154,18982,356,1031,118,11.445198836081474,0.9914901281945191,814652|816243|816492|816943|817299|817317|817318|817719|817766|817900|817910|818011|818188|818295|818304|818531|818947|819018|819323|819374|819644|819652|819722|819725|819897|820324|820367|820500|820750|821120|821308|821405|821787|822081|822405|823623|824054|824062|824153|824425|824468|824511|824541|824554|825195|825248|825398|825462|826569|827159|827451|827471|827535|827607|827947|828099|828167|828679|828817|829298|829619|829770|830075|830600|830900|831195|831282|831470|831724|831907|832439|832848|832878|833518|833970|834097|834154|834617|834765|834821|835342|835834|835955|836107|836238|836647|837291|837356|837486|837497|838163|838435|838938|839410|839511|839564|839630|839781|840194|840208|840472|840799|841255|841305|841660|842142|842207|842759|842976|843063|843298|843397|843744|843746|843836|843871|844129|844324,AT2G01250|AT2G17360|AT2G19730|PRPL35|PGY1|AT2G27710|AT2G27720|AT2G31610|AT2G32060|AT2G33370|PRPL28|AT2G34480|AT2G36160|AT2G37190|RPS5B|RPL23AA|AT2G43460|AT2G44120|UBQ6|AT2G47610|AT3G04840|AT3G04920|AT3G05560|RPL18|AT3G07110|AT3G11510|RPS5A|AT3G13120|PRPS20|AT3G02080|AT3G02560|RLK902|AT3G22230|AT3G24830|RPL12-C|RPL9|EMB1080|BBC1|AT3G49910|UBQ1|STV1|AT3G53430|AT3G53740|AT3G53870|AT3G60245|AT3G60770|UBQ5|AT3G62870|RPS18C|AT4G15000|AT4G17390|AT4G17560|AT4G18100|RPL16B|AT4G01310|AT4G02230|RPS13A|AT4G25740|AT4G27090|RPS6|AT4G34670|AT4G36130|AT4G39200|AT5G07090|EMB3010|EMB3136|EMB3137|AT5G16130|AT5G02960|AT5G02450|RPS11-BETA|AT5G27850|AT5G28060|AT5G35530|RPL5B|RPL27|RPS10B|AT5G45775|AT5G47190|AT5G47700|AT5G52650|AT5G57290|AT5G58420|AT5G59850|AT5G61170|AT5G65220|RPS15A|AT1G08360|AT1G09590|AT1G09690|AT1G15930|AT1G18540|RPL27AB|AT1G01100|AT1G04480|RPS15|AT1G27400|AT1G29070|PRPL11|AT1G33120|RPL21C|AT1G41880|EMB3105|AT1G48830|AT1G52300|AT1G57660|XW6|AT1G64510|SAG24|AT1G67430|RPL34|AT1G70600|AT1G74050|AT1G74060|RPS9|emb2184|AT1G77940|RPS17,-56.89732438555783,0,1,0,0,-60.399614913472604,6.102605738946589,
1,-50.39766941964925,GO:0046686,M1,1,0,GO Biological Processes,19,response to cadmium ion,19_GO:0050896 response to stimulus,-50.39766941964925,5.886983146289477,21.095508994838653,18982,319,1031,102,9.893307468477207,0.9298650936130329,815120|816467|816561|816705|816867|816954|817504|817562|817637|817784|818220|818978|819011|819236|820006|820140|820722|820816|821451|821584|821784|821870|821983|822117|823850|823955|824060|824454|824459|824790|826479|826515|826624|827027|827039|827145|827931|828409|828467|828805|829246|829330|829551|829697|829943|829947|830029|830626|830769|830818|830824|830909|831039|831330|831419|831596|831774|831798|831856|832098|832123|832124|832376|834207|835369|835427|836110|836390|836400|836618|837507|837731|837953|838163|838927|838957|839405|839501|839866|839903|839938|840476|840543|841399|841442|841470|841868|842072|842087|842147|842545|842681|842697|842905|842910|843185|843410|843865|843928|843934|844001|844333,ACO3|NAP1;2|AT2G20420|GRP7|PAB4|LAP1|TUB7|UBA1|GSTF10|AT2G32240|FBA6|OASB|AT2G44060|TRIP-1|iPGAM2|ADK1|HEME1|PLDALPHA1|PREP1|AT3G20390|POP2|PKP-ALPHA|HSP60|ROF1|PHS2|ALDH2B4|AAE3|MDAR1|FBA8|CCH|GRF1|NDPK1|AT4G10320|SHM4|SBP1|OASA1|GSTF2|GSH1|AT4G23670|ACO2|AT4G31180|ASP5|CCoAOMT1|AKR2|PCK1|mtHsc70-1|ROC1|Tudor1|AT5G08680|MTHSC70-2|PPa6|GRF6|NADP-ME2|FDH|RGP2|UGP2|ATMDAR2|GSTL3|Hsp70-2|TUA5|RAN-1|RAN2|HCF136|BIP2|PKP-BETA1|GLT1|ADF3|TUB2|DXR|ATH13|iPGAM1|GLX1|AT1G13930|AT1G15930|PGM3|ARF1|TUA4|SAM1|AT1G29880|eEF-1Bb1|AT1G30580|ANNAT1|SHM7|PAB8|ALATS|THFS|EIF4A-2|AT1G56190|CRT1a|AT1G57720|AT1G62480|AT1G63770|MDAR6|cICDH|TPX1|XYL1|PGM2|AT1G75280|SKP1|VAB1|OPR1|HSP91,-47.071470150790155,0,2,1,1,-50.39766941964925,5.886983146289477,
1,-40.70473295782081,GO:0010038,M1,1,0,GO Biological Processes,19,response to metal ion,19_GO:0050896 response to stimulus,-40.70473295782081,4.478412457073951,17.774020537268683,18982,444,1031,108,10.475266731328807,0.9537284332473672,815101|815120|816467|816561|816705|816747|816867|816954|817504|817562|817637|817784|818220|818978|819011|819236|820006|820140|820263|820722|820816|821451|821584|821784|821870|821983|822117|823850|823955|824060|824454|824459|824790|826479|826515|826624|827027|827039|827145|827773|827931|828409|828467|828805|829246|829330|829551|829697|829943|829947|830029|830626|830769|830818|830824|830909|831039|831330|831419|831596|831720|831774|831798|831856|832098|832123|832124|832376|834207|835369|835427|836110|836390|836400|836618|837507|837731|837953|838163|838927|838957|839405|839501|839866|839903|839938|840476|840543|841399|841442|841470|841868|842072|842087|842147|842545|842681|842697|842905|842910|843185|843410|843865|843928|843934|843942|844001|844333,GRP-3|ACO3|NAP1;2|AT2G20420|GRP7|CSI1|PAB4|LAP1|TUB7|UBA1|GSTF10|AT2G32240|FBA6|OASB|AT2G44060|TRIP-1|iPGAM2|ADK1|MSD1|HEME1|PLDALPHA1|PREP1|AT3G20390|POP2|PKP-ALPHA|HSP60|ROF1|PHS2|ALDH2B4|AAE3|MDAR1|FBA8|CCH|GRF1|NDPK1|AT4G10320|SHM4|SBP1|OASA1|PCAP1|GSTF2|GSH1|AT4G23670|ACO2|AT4G31180|ASP5|CCoAOMT1|AKR2|PCK1|mtHsc70-1|ROC1|Tudor1|AT5G08680|MTHSC70-2|PPa6|GRF6|NADP-ME2|FDH|RGP2|UGP2|FER1|ATMDAR2|GSTL3|Hsp70-2|TUA5|RAN-1|RAN2|HCF136|BIP2|PKP-BETA1|GLT1|ADF3|TUB2|DXR|ATH13|iPGAM1|GLX1|AT1G13930|AT1G15930|PGM3|ARF1|TUA4|SAM1|AT1G29880|eEF-1Bb1|AT1G30580|ANNAT1|SHM7|PAB8|ALATS|THFS|EIF4A-2|AT1G56190|CRT1a|AT1G57720|AT1G62480|AT1G63770|MDAR6|cICDH|TPX1|XYL1|PGM2|AT1G75280|SKP1|VAB1|PETE1|OPR1|HSP91,-37.50347242557002,0,2,0,0,-50.39766941964925,5.886983146289477,
1,-24.707489610398333,GO:0051186,M1,1,0,GO Biological Processes,19,cofactor metabolic process,19_GO:0008152 metabolic process,-24.707489610398333,3.273111326651579,12.842753025057108,18982,540,1031,96,9.311348205625606,0.9050100958952402,816555|816561|816579|816619|816874|817494|817513|817589|817599|818093|818220|818382|818402|818633|818644|818708|818766|819022|819845|820006|820118|820185|820628|820722|821163|821181|821784|821870|821964|822003|822033|822402|824034|824345|824454|824459|824631|825109|825167|825814|826396|826470|826480|826987|827027|827479|827991|828409|828564|828611|828759|828851|828853|829266|829330|829652|830517|830724|831039|831984|833002|833497|833840|834442|834757|835157|835185|835369|835937|835945|836476|837168|837374|837507|837576|837610|838275|839009|839429|839489|839501|839891|840081|840114|840521|840543|841029|841470|841883|842072|842905|842910|843310|843982|844085|844187,AT2G20360|AT2G20420|GPRI1|LIP1|NAPRT2|GSTU5|THIC|FC2|C4H|AT2G35260|FBA6|CAC3|PDX1.1|AT2G40400|HEME2|AT2G41090|NTRC|MTHFR2|ACLB-1|iPGAM2|SOX|LYC|FLU|HEME1|AT3G02360|RIF10|POP2|PKP-ALPHA|SAHH2|GR1|HCF101|MDAR4|GSA2|G4|MDAR1|FBA8|GR|GUN4|MTHFR1|ABCI8|SAPX|CRY1|TL29|SAM-2|SHM4|LIL3:1|PPOX|GSH1|PGI1|CHLM|FBA5|CIP7|PORB|ACDO1|ASP5|APX3|2-Cys Prx B|HEMC|NADP-ME2|PCB2|GME|CAC2|AT5G38520|GLK2|LIL3:2|MAB1|AT5G51110|PKP-BETA1|EMB3143|AT5G58330|GSA1|PDS1|ALB1|iPGAM1|ERD9|ACLA-1|SPS2|POR C|PDH-E1 ALPHA|LIN2|SAM1|PDH-E1 BETA|AT1G31910|AT1G32220|ACC1|SHM7|CH1|THFS|AT1G54410|AT1G56190|cICDH|TPX1|HEMB1|HMG1|TAPX|SPS1,-21.603139091155597,0,3,1,1,-24.707489610398333,3.989104429356612,
1,-21.5253268065457,GO:0051188,M1,1,0,GO Biological Processes,19,cofactor biosynthetic process,19_GO:0008152 metabolic process,-21.5253268065457,3.989104429356612,12.506465383552484,18982,300,1031,65,6.304558680892337,0.7569326584294724,816555|816579|816619|816874|817513|817589|817599|818093|818220|818382|818402|818633|818644|818708|818766|819845|820006|820185|820628|820722|821181|821784|821870|824034|824345|824459|825109|826987|827479|827991|828409|828564|828611|828759|828851|828853|829266|830724|831984|833002|833497|834442|834757|835157|835185|835369|835937|836476|837168|837374|837507|837610|838275|839009|839429|839489|839501|839891|840114|840521|841029|841883|842072|843310|844187,AT2G20360|GPRI1|LIP1|NAPRT2|THIC|FC2|C4H|AT2G35260|FBA6|CAC3|PDX1.1|AT2G40400|HEME2|AT2G41090|NTRC|ACLB-1|iPGAM2|LYC|FLU|HEME1|RIF10|POP2|PKP-ALPHA|GSA2|G4|FBA8|GUN4|SAM-2|LIL3:1|PPOX|GSH1|PGI1|CHLM|FBA5|CIP7|PORB|ACDO1|HEMC|PCB2|GME|CAC2|GLK2|LIL3:2|MAB1|AT5G51110|PKP-BETA1|EMB3143|GSA1|PDS1|ALB1|iPGAM1|ACLA-1|SPS2|POR C|PDH-E1 ALPHA|LIN2|SAM1|PDH-E1 BETA|AT1G32220|ACC1|CH1|AT1G54410|AT1G56190|HEMB1|SPS1,-18.50015753335059,0,3,0,0,-24.707489610398333,3.989104429356612,
1,-10.116971812473043,GO:0006732,M1,1,0,GO Biological Processes,19,coenzyme metabolic process,19_GO:0008152 metabolic process,-10.116971812473043,2.8144587840634596,7.7697597341079785,18982,314,1031,48,4.655674102812803,0.6561594375586343,816555|816561|816619|816874|817513|817599|818220|818382|818402|818708|819022|819845|820006|820185|821163|821784|821870|821964|824459|825167|826470|826987|827027|828564|828759|831039|833002|833497|835157|835185|835369|835945|837168|837507|837610|838275|839429|839501|839891|840081|840114|840521|840543|841470|842072|842905|843982|844187,AT2G20360|AT2G20420|LIP1|NAPRT2|THIC|C4H|FBA6|CAC3|PDX1.1|AT2G41090|MTHFR2|ACLB-1|iPGAM2|LYC|AT3G02360|POP2|PKP-ALPHA|SAHH2|FBA8|MTHFR1|CRY1|SAM-2|SHM4|PGI1|FBA5|NADP-ME2|GME|CAC2|MAB1|AT5G51110|PKP-BETA1|AT5G58330|PDS1|iPGAM1|ACLA-1|SPS2|PDH-E1 ALPHA|SAM1|PDH-E1 BETA|AT1G31910|AT1G32220|ACC1|SHM7|THFS|AT1G56190|cICDH|HMG1|SPS1,-7.7608093202365085,0,3,0,0,-24.707489610398333,3.989104429356612,
1,-7.726601601426866,GO:0009108,M1,1,0,GO Biological Processes,19,coenzyme biosynthetic process,19_GO:0008152 metabolic process,-7.726601601426866,2.9115467033586717,6.755403118507147,18982,215,1031,34,3.297769156159069,0.5561590898987497,816555|816619|816874|817513|817599|818220|818382|818402|818708|819845|820006|820185|821784|821870|824459|826987|828564|828759|833002|833497|835157|835185|835369|837168|837507|837610|838275|839429|839501|839891|840114|840521|842072|844187,AT2G20360|LIP1|NAPRT2|THIC|C4H|FBA6|CAC3|PDX1.1|AT2G41090|ACLB-1|iPGAM2|LYC|POP2|PKP-ALPHA|FBA8|SAM-2|PGI1|FBA5|GME|CAC2|MAB1|AT5G51110|PKP-BETA1|PDS1|iPGAM1|ACLA-1|SPS2|PDH-E1 ALPHA|SAM1|PDH-E1 BETA|AT1G32220|ACC1|AT1G56190|SPS1,-5.722621627301693,0,3,0,0,-24.707489610398333,3.989104429356612,
1,-19.989738596700846,GO:0015995,M1,1,0,GO Biological Processes,19,chlorophyll biosynthetic process,19_GO:0008152 metabolic process,-19.989738596700846,8.61171427677482,14.38673718903702,18982,62,1031,29,2.812803103782735,0.5149260482698772,816579|818093|818633|818644|818766|820628|820722|821181|824034|824345|825109|827479|827991|828611|828851|828853|829266|830724|831984|834442|834757|835937|836476|837374|837610|839009|839489|841029|843310,GPRI1|AT2G35260|AT2G40400|HEME2|NTRC|FLU|HEME1|RIF10|GSA2|G4|GUN4|LIL3:1|PPOX|CHLM|CIP7|PORB|ACDO1|HEMC|PCB2|GLK2|LIL3:2|EMB3143|GSA1|ALB1|ACLA-1|POR C|LIN2|CH1|HEMB1,-17.031516113136348,0,4,1,1,-19.989738596700846,9.819333979954736,
1,-19.295749675048707,GO:0006779,M1,1,0,GO Biological Processes,19,porphyrin-containing compound biosynthetic process,19_GO:0008152 metabolic process,-19.295749675048707,7.890536233892198,13.841331335853072,18982,70,1031,30,2.909796314258002,0.5234674336188324,816579|817589|818093|818633|818644|818766|820628|820722|821181|824034|824345|825109|827479|827991|828611|828851|828853|829266|830724|831984|834442|834757|835937|836476|837374|837610|839009|839489|841029|843310,GPRI1|FC2|AT2G35260|AT2G40400|HEME2|NTRC|FLU|HEME1|RIF10|GSA2|G4|GUN4|LIL3:1|PPOX|CHLM|CIP7|PORB|ACDO1|HEMC|PCB2|GLK2|LIL3:2|EMB3143|GSA1|ALB1|ACLA-1|POR C|LIN2|CH1|HEMB1,-16.395519138461896,0,4,0,0,-19.989738596700846,9.819333979954736,
