"","X","WS_c1.which.mclass....3...1."
"2894",2894,"AT4G29540"
"2676",2676,"AT4G16710"
"67",67,"AT1G04778"
"3906",3906,"AT5G63135"
"3079",3079,"AT5G01670"
"2400",2400,"AT3G60040"
"2455",2455,"AT4G00070"
"2913",2913,"AT4G30700"
"2478",2478,"AT4G01600"
"19",19,"AT1G02020"
"1136",1136,"AT2G05760"
"2733",2733,"AT4G20010"
"2175",2175,"AT3G45420"
"492",492,"AT1G31940"
"3283",3283,"AT5G12920"
"2856",2856,"AT4G27390"
"1916",1916,"AT3G14330"
"3390",3390,"AT5G19855"
"448",448,"AT1G29060"
"1168",1168,"AT2G14850"
"135",135,"AT1G08000"
"400",400,"AT1G24030"
"410",410,"AT1G25290"
"3373",3373,"AT5G19025"
"2764",2764,"AT4G21903"
"1011",1011,"AT1G77290"
"274",274,"AT1G15510"
"629",629,"AT1G53530"
"1217",1217,"AT2G18735"
"2528",2528,"AT4G04925"
"3485",3485,"AT5G27100"
"3599",3599,"AT5G42780"
"2848",2848,"AT4G26770"
"2219",2219,"AT3G48185"
"3477",3477,"AT5G26040"
"1158",1158,"AT2G13690"
"1384",1384,"AT2G30170"
"652",652,"AT1G54960"
"2612",2612,"AT4G13670"
"2863",2863,"AT4G27700"
"1475",1475,"AT2G35760"
"3542",3542,"AT5G39250"
"2403",2403,"AT3G60310"
"1341",1341,"AT2G27340"
"3038",3038,"AT4G39040"
"506",506,"AT1G33540"
"1327",1327,"AT2G26410"
"608",608,"AT1G52330"
"3325",3325,"AT5G16310"
"3717",3717,"AT5G50530"
"872",872,"AT1G69080"
"903",903,"AT1G70790"
"1544",1544,"AT2G39530"
"860",860,"AT1G68230"
"1838",1838,"AT3G09240"
"3522",3522,"AT5G37360"
"1110",1110,"AT2G03260"
"165",165,"AT1G09863"
"3332",3332,"AT5G16870"
"647",647,"AT1G54780"
"1632",1632,"AT2G45210"
"2414",2414,"AT3G61100"
"1066",1066,"AT1G80610"
"98",98,"AT1G06050"
"1227",1227,"AT2G19660"
"3190",3190,"AT5G06810"
"3708",3708,"AT5G50160"
"556",556,"AT1G48140"
"646",646,"AT1G54650"
"347",347,"AT1G20020"
"59",59,"AT1G04580"
"1258",1258,"AT2G21550"
"593",593,"AT1G51310"
"808",808,"AT1G64970"
"2531",2531,"AT4G05120"
"3345",3345,"AT5G17570"
"112",112,"AT1G06460"
"2078",2078,"AT3G24820"
"3596",3596,"AT5G42630"
"1568",1568,"AT2G41170"
"2879",2879,"AT4G28640"
"2597",2597,"AT4G12760"
"3490",3490,"AT5G27390"
"3478",3478,"AT5G26160"
"2739",2739,"AT4G20480"
"1344",1344,"AT2G27430"
"2332",2332,"AT3G55800"
"3273",3273,"AT5G11690"
"3660",3660,"AT5G46870"
"1777",1777,"AT3G05980"
"261",261,"AT1G14580"
"452",452,"AT1G29355"
"1883",1883,"AT3G12540"
"2204",2204,"AT3G47400"
"3931",3931,"AT5G65060"
"2294",2294,"AT3G52630"
"1271",1271,"AT2G22630"
"1636",1636,"AT2G45320"
"1782",1782,"AT3G06180"
"2522",2522,"AT4G04370"
"115",115,"AT1G06510"
"3250",3250,"AT5G10600"
"811",811,"AT1G65120"
"1478",1478,"AT2G35960"
"1378",1378,"AT2G30000"
"3923",3923,"AT5G64690"
"424",424,"AT1G26970"
"3323",3323,"AT5G16235"
"144",144,"AT1G08710"
"731",731,"AT1G61215"
"3161",3161,"AT5G05740"
"3006",3006,"AT4G36840"
"2",2,"AT1G01170"
"670",670,"AT1G55673"
"870",870,"AT1G68795"
"2778",2778,"AT4G22710"
"1263",1263,"AT2G21880"
"2189",2189,"AT3G46580"
"3413",3413,"AT5G22290"
"2861",2861,"AT4G27480"
"2792",2792,"AT4G23515"
"2462",2462,"AT4G00770"
"2088",2088,"AT3G25580"
"908",908,"AT1G70895"
"2977",2977,"AT4G34412"
"2961",2961,"AT4G33690"
"1132",1132,"AT2G05180"
"3245",3245,"AT5G10278"
"2450",2450,"AT3G63480"
"124",124,"AT1G07150"
"2971",2971,"AT4G34190"
"3814",3814,"AT5G56620"
"313",313,"AT1G17840"
"1043",1043,"AT1G79080"
"1607",1607,"AT2G43570"
"1390",1390,"AT2G30480"
"1474",1474,"AT2G35750"
"466",466,"AT1G30290"
"2594",2594,"AT4G12680"
"3513",3513,"AT5G35960"
"789",789,"AT1G64110"
"3173",3173,"AT5G06270"
"265",265,"AT1G14770"
"2549",2549,"AT4G09225"
"523",523,"AT1G35420"
"2398",2398,"AT3G59900"
"3253",3253,"AT5G10625"
"222",222,"AT1G12340"
"1904",1904,"AT3G13682"
"47",47,"AT1G03760"
"3329",3329,"AT5G16570"
"1694",1694,"AT3G01900"
"3916",3916,"AT5G64120"
"2108",2108,"AT3G26740"
"2348",2348,"AT3G57140"
"3174",3174,"AT5G06280"
"1301",1301,"AT2G24040"
"2581",2581,"AT4G11440"
"1285",1285,"AT2G23093"
"2059",2059,"AT3G23605"
"1282",1282,"AT2G22990"
"2740",2740,"AT4G20740"
"1922",1922,"AT3G14530"
"3774",3774,"AT5G54090"
"3205",3205,"AT5G07660"
"2563",2563,"AT4G10170"
"3647",3647,"AT5G45660"
"1246",1246,"AT2G20770"
"1719",1719,"AT3G02990"
"2060",2060,"AT3G23610"
"696",696,"AT1G58210"
"3804",3804,"AT5G55840"
"3084",3084,"AT5G01895"
"3795",3795,"AT5G55590"
"950",950,"AT1G73410"
"690",690,"AT1G56720"
"2677",2677,"AT4G16765"
"769",769,"AT1G62914"
"897",897,"AT1G70420"
"736",736,"AT1G61420"
"1076",1076,"AT2G01275"
"1586",1586,"AT2G42290"
"3099",3099,"AT5G02370"
"1149",1149,"AT2G08650"
"2254",2254,"AT3G50130"
"861",861,"AT1G68260"
"1447",1447,"AT2G34200"
"1275",1275,"AT2G22760"
"2543",2543,"AT4G08570"
"3352",3352,"AT5G17840"
"3172",3172,"AT5G06240"
"943",943,"AT1G73210"
"1666",1666,"AT2G47485"
"2910",2910,"AT4G30510"
"2585",2585,"AT4G11980"
"1527",1527,"AT2G38500"
"1045",1045,"AT1G79160"
"709",709,"AT1G59860"
"397",397,"AT1G23880"
"915",915,"AT1G71430"
"977",977,"AT1G74590"
"2703",2703,"AT4G18372"
