"","WS_c1.which.mclass....7...1."
"1","AT1G01060"
"2","AT1G01190"
"3","AT1G01220"
"4","AT1G01230"
"5","AT1G01260"
"6","AT1G01320"
"7","AT1G01340"
"8","AT1G01360"
"9","AT1G01430"
"10","AT1G01490"
"11","AT1G01630"
"12","AT1G01650"
"13","AT1G01710"
"14","AT1G01790"
"15","AT1G01820"
"16","AT1G01920"
"17","AT1G01950"
"18","AT1G02000"
"19","AT1G02090"
"20","AT1G02110"
"21","AT1G02130"
"22","AT1G02145"
"23","AT1G02150"
"24","AT1G02170"
"25","AT1G02205"
"26","AT1G02280"
"27","AT1G02400"
"28","AT1G02720"
"29","AT1G02860"
"30","AT1G02870"
"31","AT1G02920"
"32","AT1G02990"
"33","AT1G03000"
"34","AT1G03040"
"35","AT1G03090"
"36","AT1G03110"
"37","AT1G03210"
"38","AT1G03280"
"39","AT1G03350"
"40","AT1G03365"
"41","AT1G03475"
"42","AT1G03530"
"43","AT1G03590"
"44","AT1G03730"
"45","AT1G03830"
"46","AT1G03930"
"47","AT1G03970"
"48","AT1G04160"
"49","AT1G04247"
"50","AT1G04340"
"51","AT1G04520"
"52","AT1G04530"
"53","AT1G04550"
"54","AT1G04630"
"55","AT1G04770"
"56","AT1G04910"
"57","AT1G04950"
"58","AT1G04970"
"59","AT1G04990"
"60","AT1G05010"
"61","AT1G05055"
"62","AT1G05120"
"63","AT1G05180"
"64","AT1G05213"
"65","AT1G05320"
"66","AT1G05350"
"67","AT1G05360"
"68","AT1G05410"
"69","AT1G05430"
"70","AT1G05470"
"71","AT1G05720"
"72","AT1G05767"
"73","AT1G05790"
"74","AT1G05805"
"75","AT1G05840"
"76","AT1G05870"
"77","AT1G06070"
"78","AT1G06150"
"79","AT1G06190"
"80","AT1G06200"
"81","AT1G06210"
"82","AT1G06400"
"83","AT1G06430"
"84","AT1G06490"
"85","AT1G06530"
"86","AT1G06540"
"87","AT1G06560"
"88","AT1G06620"
"89","AT1G06780"
"90","AT1G06820"
"91","AT1G06870"
"92","AT1G07000"
"93","AT1G07030"
"94","AT1G07040"
"95","AT1G07110"
"96","AT1G07230"
"97","AT1G07250"
"98","AT1G07260"
"99","AT1G07310"
"100","AT1G07320"
"101","AT1G07370"
"102","AT1G07380"
"103","AT1G07470"
"104","AT1G07480"
"105","AT1G07520"
"106","AT1G07530"
"107","AT1G07630"
"108","AT1G07640"
"109","AT1G07660"
"110","AT1G07705"
"111","AT1G07780"
"112","AT1G07830"
"113","AT1G07840"
"114","AT1G07893"
"115","AT1G07910"
"116","AT1G07960"
"117","AT1G07970"
"118","AT1G08030"
"119","AT1G08040"
"120","AT1G08043"
"121","AT1G08060"
"122","AT1G08130"
"123","AT1G08210"
"124","AT1G08280"
"125","AT1G08290"
"126","AT1G08320"
"127","AT1G08350"
"128","AT1G08370"
"129","AT1G08410"
"130","AT1G08460"
"131","AT1G08520"
"132","AT1G08560"
"133","AT1G08620"
"134","AT1G08640"
"135","AT1G08657"
"136","AT1G08660"
"137","AT1G08680"
"138","AT1G08700"
"139","AT1G08720"
"140","AT1G08760"
"141","AT1G08770"
"142","AT1G08820"
"143","AT1G08890"
"144","AT1G08970"
"145","AT1G08990"
"146","AT1G09060"
"147","AT1G09090"
"148","AT1G09130"
"149","AT1G09150"
"150","AT1G09160"
"151","AT1G09280"
"152","AT1G09420"
"153","AT1G09460"
"154","AT1G09580"
"155","AT1G09630"
"156","AT1G09730"
"157","AT1G09830"
"158","AT1G09850"
"159","AT1G09870"
"160","AT1G09920"
"161","AT1G09940"
"162","AT1G09950"
"163","AT1G09960"
"164","AT1G09980"
"165","AT1G10030"
"166","AT1G10050"
