"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
8.80028524652626e-15,304,3648,"Response to stress ","AT1G08830 AT1G14040 AT1G16890 AT1G17380 AT1G51660 AT1G53570 AT1G54710 AT1G63700 AT1G65970 AT1G72450 AT1G73500 AT1G74950 AT1G78580 AT2G03510 AT2G17520 AT2G18700 AT2G30050 AT2G36060 AT2G43710 AT2G44450 AT2G44490 AT3G01340 AT3G12500 AT3G24520 AT3G56090 AT3G57300 AT4G05200 AT4G10730 AT4G17770 AT4G18880 AT4G21980 AT4G25130 AT4G31880 AT4G32620 AT4G35000 AT4G36080 AT5G06460 AT5G07470 AT5G09600 AT5G15400 AT5G16270 AT5G41370 AT5G43010 AT5G55660 AT5G56220 AT5G61140 AT5G62020 AT1G79350 AT2G43790 AT2G47900 AT3G08730 AT3G45640 AT3G54560 AT4G04340 AT5G10010 AT5G66210 AT1G01470 AT1G08600 AT1G10170 AT1G18670 AT1G18870 AT1G20823 AT1G30870 AT1G50030 AT1G50640 AT1G73080 AT1G73260 AT1G79090 AT1G79650 AT1G80680 AT2G01180 AT2G01530 AT2G02120 AT2G17265 AT2G18730 AT2G18980 AT2G19590 AT2G25140 AT2G27500 AT2G36490 AT2G39260 AT2G43535 AT2G43610 AT2G44840 AT3G02540 AT3G04570 AT3G04880 AT3G05200 AT3G09100 AT3G19190 AT3G20310 AT3G25560 AT3G28200 AT3G28730 AT3G29160 AT3G46000 AT3G50950 AT3G52430 AT3G52450 AT3G54670 AT3G63070 AT3G63310 AT4G00830 AT4G02640 AT4G03190 AT4G08780 AT4G08920 AT4G10710 AT4G12560 AT4G14060 AT4G15900 AT4G17490 AT4G21830 AT4G28910 AT4G36430 AT4G37070 AT4G37520 AT4G38360 AT5G02310 AT5G04560 AT5G05780 AT5G07920 AT5G13020 AT5G19890 AT5G24530 AT5G26860 AT5G27420 AT5G35580 AT5G42100 AT5G42180 AT5G44750 AT5G45100 AT5G46760 AT5G47220 AT5G55390 AT5G67400 AT1G01720 AT1G03230 AT1G04220 AT1G06680 AT1G07820 AT1G08920 AT1G09750 AT1G09760 AT1G12200 AT1G14360 AT1G18910 AT1G20510 AT1G21910 AT1G25220 AT1G31180 AT1G33240 AT1G35140 AT1G43850 AT1G45145 AT1G49480 AT1G49670 AT1G52410 AT1G55490 AT1G59960 AT1G61340 AT1G74020 AT1G74930 AT1G75280 AT1G76650 AT1G80840 AT2G03150 AT2G05830 AT2G16720 AT2G17840 AT2G35040 AT2G39800 AT2G44670 AT2G46510 AT2G47060 AT3G04740 AT3G05970 AT3G06510 AT3G14050 AT3G15020 AT3G19580 AT3G22310 AT3G22330 AT3G22550 AT3G23050 AT3G27740 AT3G43190 AT3G44540 AT3G49810 AT3G61140 AT4G02450 AT4G12400 AT4G12720 AT4G13850 AT4G17090 AT4G20140 AT4G24800 AT4G25470 AT4G26840 AT4G31300 AT4G31800 AT4G31920 AT4G34150 AT4G34410 AT5G05410 AT5G05730 AT5G19000 AT5G22250 AT5G26880 AT5G39730 AT5G42650 AT5G47060 AT5G55160 AT5G56980 AT5G57090 AT5G59690 AT5G63160 AT5G64940 AT5G66570 AT1G04300 AT1G07360 AT1G71040 AT2G02220 AT3G12810 AT3G16940 AT3G48680 AT3G49870 AT1G01040 AT1G01510 AT1G07240 AT1G08450 AT1G10370 AT1G13340 AT1G16920 AT1G18260 AT1G24460 AT1G27130 AT1G29340 AT1G29850 AT1G49040 AT1G58440 AT1G60490 AT1G62300 AT1G73660 AT1G77300 AT2G18790 AT2G19520 AT2G26190 AT2G33580 AT2G37230 AT2G37570 AT2G37860 AT2G38170 AT3G06550 AT3G06930 AT3G12360 AT3G15010 AT3G17510 AT3G18990 AT3G23400 AT3G25040 AT3G25710 AT3G27960 AT3G47620 AT3G51770 AT3G54920 AT3G56860 AT4G02150 AT4G04920 AT4G04950 AT4G11830 AT4G14300 AT4G17040 AT4G18360 AT4G19020 AT4G22820 AT4G24020 AT4G33070 AT4G33680 AT4G35920 AT5G03740 AT5G05660 AT5G09410 AT5G12080 AT5G13650 AT5G13680 AT5G14950 AT5G18525 AT5G18620 AT5G25620 AT5G26742 AT5G35620 AT5G37370 AT5G45340 AT5G53170 AT5G54310 AT5G57630 AT5G64960 AT5G65010 AT5G67320 AT1G47490 AT1G47500 AT5G19350 AT3G27060"
3.24415800987663e-14,96,727,"Intracellular transport ","AT1G01910 AT1G02690 AT1G05520 AT1G14850 AT1G16240 AT1G16920 AT1G22200 AT1G24706 AT1G26670 AT1G27970 AT1G36980 AT1G48440 AT1G51160 AT1G69460 AT1G71270 AT1G73030 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24765 AT2G30050 AT2G35190 AT2G38020 AT2G41620 AT2G46520 AT3G01340 AT3G03160 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G15640 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G22290 AT3G23660 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G01810 AT4G02150 AT4G17530 AT4G19490 AT4G19640 AT4G20110 AT4G27080 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G24740 AT5G27540 AT5G41940 AT5G46860 AT5G53570 AT5G54440 AT5G56290 AT5G64813 AT2G28800 AT2G45140 AT2G45980 AT3G04340 AT5G06140 AT5G22640 AT5G55500 AT1G12470 AT1G23900 AT1G48900 AT2G05170 AT2G17380 AT2G40430 AT3G16270 AT4G24550 AT4G32640 AT5G22770 AT5G22780 AT5G50460 AT5G61970 AT1G24560 AT5G21990 AT5G24350 AT1G79560 AT5G18525 AT2G42810 AT3G63130 AT5G42890"
4.51865718390942e-14,100,783,"Establishment of localization in cell ","AT1G01910 AT1G02690 AT1G05520 AT1G14850 AT1G16240 AT1G16920 AT1G22200 AT1G24706 AT1G26670 AT1G27970 AT1G36980 AT1G48440 AT1G51160 AT1G69460 AT1G71270 AT1G73030 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24765 AT2G26570 AT2G30050 AT2G35190 AT2G38020 AT2G41620 AT2G46520 AT3G01340 AT3G03160 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G15640 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G22290 AT3G23660 AT3G25040 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G51720 AT3G55620 AT3G62560 AT4G01810 AT4G02150 AT4G17530 AT4G19490 AT4G19640 AT4G20110 AT4G27080 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G24740 AT5G27540 AT5G41940 AT5G46860 AT5G53570 AT5G54440 AT5G56290 AT5G62050 AT5G64813 AT2G28800 AT2G45140 AT2G45980 AT3G04340 AT5G06140 AT5G22640 AT5G55500 AT1G12470 AT1G23900 AT1G48900 AT2G05170 AT2G17380 AT2G40430 AT3G16270 AT4G24550 AT4G32640 AT5G22770 AT5G22780 AT5G50460 AT5G61970 AT1G24560 AT5G21990 AT5G24350 AT1G79560 AT5G04990 AT5G18525 AT2G42810 AT3G63130 AT5G42890"
2.3393150045509e-13,130,1189,"Nitrogen compound transport ","AT1G01910 AT1G02690 AT1G06470 AT1G09330 AT1G14360 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G44100 AT1G58360 AT1G69460 AT1G73030 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24765 AT2G35190 AT2G41620 AT2G46520 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G24300 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G63850 AT5G64813 AT1G27970 AT1G72130 AT2G26510 AT2G28800 AT2G39510 AT2G45140 AT3G04340 AT5G13490 AT5G22640 AT5G55500 AT5G64290 AT1G05520 AT1G05940 AT1G12470 AT1G13340 AT1G21170 AT1G23900 AT1G44750 AT1G48440 AT1G48900 AT1G51510 AT1G54710 AT1G57990 AT1G71270 AT1G73220 AT2G05170 AT2G17380 AT2G17980 AT2G19830 AT2G30050 AT2G30200 AT2G38020 AT2G40430 AT2G45810 AT2G45980 AT3G01340 AT3G03160 AT3G11320 AT3G12740 AT3G16270 AT3G19190 AT3G21865 AT3G23660 AT3G25040 AT3G61240 AT4G00660 AT4G01395 AT4G01810 AT4G14300 AT4G15780 AT4G19490 AT4G21980 AT4G24550 AT4G29160 AT4G32640 AT4G35380 AT4G38200 AT5G02530 AT5G06140 AT5G11980 AT5G21990 AT5G22770 AT5G22780 AT5G24350 AT5G40480 AT5G50460 AT5G57460 AT5G61970 AT5G62050 AT3G60320 AT1G79560 AT2G39970 AT4G39850 AT5G18525 AT3G63130"
4.37105203577405e-13,104,866,"Establishment of protein localization ","AT1G01910 AT1G02690 AT1G09330 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G69460 AT1G73030 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24765 AT2G28800 AT2G35190 AT2G41620 AT2G46520 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G62050 AT5G64813 AT1G27970 AT2G45140 AT3G04340 AT5G22640 AT5G55500 AT1G05520 AT1G12470 AT1G13340 AT1G21170 AT1G23900 AT1G48440 AT1G48900 AT1G54710 AT1G71270 AT2G05170 AT2G17380 AT2G17980 AT2G19830 AT2G30050 AT2G38020 AT2G40430 AT2G45980 AT3G01340 AT3G03160 AT3G16270 AT3G19190 AT3G21865 AT3G23660 AT3G25040 AT4G01395 AT4G01810 AT4G15780 AT4G19490 AT4G21980 AT4G24550 AT4G29160 AT4G32640 AT4G35380 AT4G38200 AT5G06140 AT5G11980 AT5G21990 AT5G22770 AT5G22780 AT5G24350 AT5G40480 AT5G50460 AT5G57460 AT5G61970 AT1G79560 AT4G20140 AT5G18525 AT3G63130"
4.42727538562705e-13,103,858,"Protein transport ","AT1G01910 AT1G02690 AT1G09330 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G69460 AT1G73030 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24765 AT2G35190 AT2G41620 AT2G46520 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G64813 AT1G27970 AT2G28800 AT2G45140 AT3G04340 AT5G22640 AT5G55500 AT1G05520 AT1G12470 AT1G13340 AT1G21170 AT1G23900 AT1G48440 AT1G48900 AT1G54710 AT1G71270 AT2G05170 AT2G17380 AT2G17980 AT2G19830 AT2G30050 AT2G38020 AT2G40430 AT2G45980 AT3G01340 AT3G03160 AT3G16270 AT3G19190 AT3G21865 AT3G23660 AT3G25040 AT4G01395 AT4G01810 AT4G15780 AT4G19490 AT4G21980 AT4G24550 AT4G29160 AT4G32640 AT4G35380 AT4G38200 AT5G06140 AT5G11980 AT5G21990 AT5G22770 AT5G22780 AT5G24350 AT5G40480 AT5G50460 AT5G57460 AT5G61970 AT5G62050 AT1G79560 AT5G18525 AT3G63130"
4.42727538562705e-13,73,501,"Vesicle-mediated transport ","AT1G05520 AT1G09330 AT1G12470 AT1G13210 AT1G16240 AT1G21170 AT1G21660 AT1G22200 AT1G26670 AT1G36980 AT1G48440 AT1G51160 AT1G60490 AT1G69460 AT1G71270 AT1G71820 AT1G73030 AT2G05170 AT2G17790 AT2G24765 AT2G25760 AT2G30050 AT2G35190 AT2G38020 AT3G01340 AT3G03160 AT3G07950 AT3G17440 AT3G22290 AT3G23660 AT3G25040 AT3G27530 AT3G62560 AT4G01810 AT4G12770 AT4G12780 AT4G17530 AT4G19490 AT4G20110 AT4G27080 AT4G35380 AT4G38200 AT5G05570 AT5G08080 AT5G11980 AT5G16830 AT5G18190 AT5G44100 AT5G46860 AT5G54440 AT1G16920 AT2G45980 AT3G13710 AT4G29160 AT5G06140 AT1G23900 AT2G17380 AT2G17980 AT3G05280 AT4G01395 AT4G15780 AT4G24550 AT4G32640 AT5G22770 AT5G22780 AT5G24350 AT5G54280 AT1G24560 AT4G38360 AT3G16270 AT4G19640 AT5G54310 AT5G57460"
4.99991196002633e-13,265,3194,"Response to chemical ","AT1G08650 AT1G08830 AT1G17380 AT1G18890 AT1G32440 AT1G65970 AT1G70940 AT1G72450 AT1G73590 AT1G74950 AT2G01420 AT2G17520 AT2G30050 AT2G47160 AT3G01340 AT3G19580 AT3G27740 AT3G51850 AT3G54030 AT3G56090 AT4G04720 AT4G17870 AT4G21910 AT4G25130 AT4G28910 AT4G30850 AT4G33580 AT4G35000 AT4G37680 AT5G04340 AT5G05440 AT5G07470 AT5G15400 AT5G19450 AT5G43010 AT5G48880 AT5G53160 AT5G57090 AT5G63680 AT5G66210 AT1G02100 AT1G50030 AT2G01530 AT2G14835 AT2G25070 AT2G26510 AT2G39450 AT2G39510 AT2G43790 AT3G06550 AT3G45640 AT3G52430 AT4G00830 AT4G33680 AT4G39460 AT5G08080 AT5G16840 AT5G30510 AT5G42270 AT5G42890 AT5G54430 AT5G64290 AT1G01470 AT1G10370 AT1G21910 AT1G25560 AT1G27130 AT1G28370 AT1G30870 AT1G36060 AT1G50640 AT1G59750 AT1G62300 AT1G67120 AT1G74930 AT1G75080 AT2G03510 AT2G18980 AT2G27210 AT2G29420 AT2G29440 AT2G29490 AT2G41310 AT2G41530 AT2G44840 AT2G44940 AT2G46510 AT3G20310 AT3G21560 AT3G23050 AT3G28200 AT3G48100 AT3G50740 AT3G51770 AT3G54660 AT3G60320 AT3G63070 AT3G63310 AT4G03190 AT4G08780 AT4G17490 AT4G18010 AT4G31920 AT4G34410 AT4G35890 AT4G36430 AT4G37520 AT5G02790 AT5G13490 AT5G13680 AT5G19890 AT5G26860 AT5G37020 AT5G42180 AT5G47220 AT5G50320 AT5G51060 AT5G51300 AT5G60450 AT5G63980 AT5G64940 AT5G67400 AT1G07820 AT1G08110 AT1G08920 AT1G14360 AT1G15440 AT1G20823 AT1G28330 AT1G33240 AT1G34550 AT1G43850 AT1G45145 AT1G61340 AT1G62740 AT1G63840 AT1G66160 AT1G73080 AT1G73260 AT1G74020 AT1G74910 AT1G75280 AT1G80840 AT2G05830 AT2G16720 AT2G17840 AT2G19590 AT2G21790 AT2G23980 AT2G24765 AT2G26980 AT2G33580 AT2G35940 AT2G36390 AT2G39800 AT2G42810 AT2G47900 AT3G03990 AT3G05200 AT3G05970 AT3G12500 AT3G12670 AT3G12810 AT3G13235 AT3G13860 AT3G14050 AT3G19170 AT3G22550 AT3G29160 AT3G52450 AT3G55120 AT3G55620 AT3G63210 AT4G12400 AT4G12720 AT4G13850 AT4G14800 AT4G18880 AT4G21830 AT4G26870 AT4G31300 AT4G31800 AT5G01040 AT5G02240 AT5G03740 AT5G05410 AT5G19000 AT5G24530 AT5G27420 AT5G38830 AT5G47060 AT5G48070 AT5G56980 AT5G59450 AT5G59690 AT5G60160 AT5G62020 AT5G63160 AT5G64250 AT5G65750 AT1G25220 AT1G80680 AT2G25760 AT3G48680 AT3G51670 AT4G02020 AT4G02450 AT4G08850 AT4G08920 AT4G28650 AT4G38360 AT5G05730 AT5G18190 AT1G01720 AT1G07200 AT1G07240 AT1G10170 AT1G16890 AT1G18260 AT1G18670 AT1G24190 AT1G27595 AT1G31930 AT1G58360 AT1G58440 AT1G71960 AT1G73500 AT1G73660 AT1G78580 AT2G13540 AT2G18790 AT2G26190 AT2G37860 AT2G39260 AT3G06930 AT3G17410 AT3G17510 AT3G22310 AT3G23400 AT3G47620 AT4G02640 AT4G04920 AT4G14300 AT4G15900 AT4G17040 AT4G24020 AT4G24800 AT4G32910 AT5G02310 AT5G09410 AT5G12080 AT5G13650 AT5G25620 AT5G37370 AT5G42650 AT5G45340 AT5G46760 AT5G56290 AT5G58220 AT5G61230 AT5G64960 AT2G37280 AT4G26570 AT2G43710 AT3G56860"
2.95298889033806e-12,105,912,"Peptide transport ","AT1G01910 AT1G02690 AT1G09330 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G69460 AT1G73030 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24765 AT2G35190 AT2G41620 AT2G46520 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G64813 AT1G27970 AT2G28800 AT2G45140 AT3G04340 AT5G22640 AT5G55500 AT1G05520 AT1G12470 AT1G13340 AT1G21170 AT1G23900 AT1G48440 AT1G48900 AT1G54710 AT1G71270 AT1G72130 AT2G05170 AT2G17380 AT2G17980 AT2G19830 AT2G30050 AT2G30200 AT2G38020 AT2G40430 AT2G45980 AT3G01340 AT3G03160 AT3G16270 AT3G19190 AT3G21865 AT3G23660 AT3G25040 AT4G01395 AT4G01810 AT4G15780 AT4G19490 AT4G21980 AT4G24550 AT4G29160 AT4G32640 AT4G35380 AT4G38200 AT5G06140 AT5G11980 AT5G21990 AT5G22770 AT5G22780 AT5G24350 AT5G40480 AT5G50460 AT5G57460 AT5G61970 AT5G62050 AT1G79560 AT5G18525 AT3G63130"
4.42740054853321e-12,106,932,"Amide transport ","AT1G01910 AT1G02690 AT1G09330 AT1G14850 AT1G16240 AT1G16920 AT1G24706 AT1G26670 AT1G69460 AT1G73030 AT1G80680 AT2G03820 AT2G13540 AT2G17790 AT2G24765 AT2G35190 AT2G41620 AT2G46520 AT3G07560 AT3G08960 AT3G10650 AT3G13860 AT3G16310 AT3G16480 AT3G17340 AT3G17440 AT3G20920 AT3G27530 AT3G46830 AT3G48760 AT3G50380 AT3G55620 AT3G62560 AT4G02150 AT4G17530 AT4G19640 AT4G20110 AT4G32910 AT4G38760 AT5G01590 AT5G06120 AT5G08080 AT5G16830 AT5G24740 AT5G41940 AT5G46860 AT5G53570 AT5G56290 AT5G64813 AT1G27970 AT2G28800 AT2G45140 AT3G04340 AT5G22640 AT5G55500 AT1G05520 AT1G12470 AT1G13340 AT1G21170 AT1G23900 AT1G48440 AT1G48900 AT1G54710 AT1G71270 AT1G72130 AT2G05170 AT2G17380 AT2G17980 AT2G19830 AT2G30050 AT2G30200 AT2G38020 AT2G40430 AT2G45980 AT3G01340 AT3G03160 AT3G16270 AT3G19190 AT3G21865 AT3G23660 AT3G25040 AT4G01395 AT4G01810 AT4G15780 AT4G19490 AT4G21980 AT4G24550 AT4G29160 AT4G32640 AT4G35380 AT4G38200 AT5G06140 AT5G11980 AT5G21990 AT5G22770 AT5G22780 AT5G24350 AT5G40480 AT5G50460 AT5G57460 AT5G61970 AT5G62050 AT1G79560 AT4G39850 AT5G18525 AT3G63130"
