Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0046907,intracellular transport,19_GO:0051179 localization,-12,2.2,8.1,18982,679,1198,93,7.8,0.77,814908|815065|816245|816289|816310|816502|817014|817429|817556|818086|818380|818760|818881|819122|819206|819263|819589|819945|820048|820234|820806|820873|820878|820997|821008|821066|821216|821641|821946|822095|822375|824037|824728|825430|825488|827472|827690|827706|827757|828105|828557|828991|829037|829399|829427|830031|830369|830499|830501|830702|831546|832259|832327|832340|832341|832505|834199|834300|834730|835114|835439|835516|835532|835643|835728|836318|836325|836603|837054|837804|838050|838193|838263|839001|839070|839081|839208|839305|839401|839517|839690|840608|841265|841312|841539|843032|843278|843468|843634|844294|844407|2745988|3768764,NMD3|VPS11|AP19|VPS35A|ATSLY1|SNF7.2|ARF3|ALB3|AT2G30050|NPSN11|VCL1|AT2G41620|PP5.2|PVA12|ATI1|AT2G46520|emb2458|PEX13|AT3G08960|NUP1|AT3G15640|AT3G16270|AT3G16310|AT3G17340|NPSN13|AT3G03160|AT3G01340|AT3G20920|AT3G23660|ERD2B|GC6|AT3G48760|eIF6A|AT3G62560|RANGAP1|MOS6|VPS54|ARA7|VSR7|AT4G01810|AT4G24550|XIH|SNF7.1|AT4G32640|AT4G32910|AT4G38760|AT5G01590|AT5G06120|SNX1|SYP132|SYP21|TPR7|emb1211|alpha-ADR|AT5G22780|AT5G24350|AT5G41940|SCP2|VAM3|AT5G50460|AT5G53570|ATM2|CLUB|XYLT|PEX5|AT5G61970|OXA1|LIP1|AT1G05520|AT1G12470|NUP155|SYP51|RABA1b|GAMMA-ADAPTIN 1|AT1G24560|THO2|VTI1B|AT1G01910|AN|IMPA-6|NTF2B|AT1G36980|AT1G48440|AT1G48900|AT1G51160|AT1G67120|AT1G69460|POK|VPS46.2|FTSH12|SAR3|AT5G18525|AT3G08943,-8.5,WS_c1_which_mclass____4___1_
GO Biological Processes,19,GO:0051649,establishment of localization in cell,19_GO:0051179 localization,-12,2.1,8,18982,723,1198,97,8.1,0.79,814908|815065|816245|816289|816310|816502|817014|817198|817429|817556|818086|818380|818760|818881|819122|819206|819263|819589|819945|820048|820234|820806|820873|820878|820997|821008|821066|821216|821641|821946|822095|822375|824037|824335|824728|825430|825488|827472|827690|827706|827757|828105|828557|828991|829037|829399|829427|830031|830369|830381|830499|830501|830702|831546|832259|832327|832340|832341|832505|834199|834300|834730|835114|835439|835516|835532|835643|835728|836318|836325|836603|837054|837804|838050|838193|838263|839001|839062|839070|839081|839208|839305|839401|839517|839690|840608|841265|841312|841539|843032|843278|843468|843634|844294|844407|2745988|3768764,NMD3|VPS11|AP19|VPS35A|ATSLY1|SNF7.2|ARF3|WEB1|ALB3|AT2G30050|NPSN11|VCL1|AT2G41620|PP5.2|PVA12|ATI1|AT2G46520|emb2458|PEX13|AT3G08960|NUP1|AT3G15640|AT3G16270|AT3G16310|AT3G17340|NPSN13|AT3G03160|AT3G01340|AT3G20920|AT3G23660|ERD2B|GC6|AT3G48760|AT3G51720|eIF6A|AT3G62560|RANGAP1|MOS6|VPS54|ARA7|VSR7|AT4G01810|AT4G24550|XIH|SNF7.1|AT4G32640|AT4G32910|AT4G38760|AT5G01590|SUN1|AT5G06120|SNX1|SYP132|SYP21|TPR7|emb1211|alpha-ADR|AT5G22780|AT5G24350|AT5G41940|SCP2|VAM3|AT5G50460|AT5G53570|ATM2|CLUB|XYLT|PEX5|AT5G61970|OXA1|LIP1|AT1G05520|AT1G12470|NUP155|SYP51|RABA1b|GAMMA-ADAPTIN 1|TNO1|AT1G24560|THO2|VTI1B|AT1G01910|AN|IMPA-6|NTF2B|AT1G36980|AT1G48440|AT1G48900|AT1G51160|AT1G67120|AT1G69460|POK|VPS46.2|FTSH12|SAR3|AT5G18525|AT3G08943,-8.5,WS_c1_which_mclass____4___1_
GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-9.6,2.2,7.1,18982,522,1198,72,6,0.69,814908|815065|816245|816289|816310|817014|817429|818086|818380|818760|819122|819206|819263|819589|819945|820048|820234|820873|820878|820997|821008|821641|821946|822375|824037|824728|825430|825488|827472|827706|827757|828105|828557|829399|829427|830031|830369|830499|830501|830702|831546|832327|832340|832341|832505|834199|834730|835114|835439|835643|835728|836318|836325|836603|837054|837804|838050|838193|838263|839001|839081|839208|839305|839517|839690|841312|843032|843278|844294|844407|2745988|3768764,NMD3|VPS11|AP19|VPS35A|ATSLY1|ARF3|ALB3|NPSN11|VCL1|AT2G41620|PVA12|ATI1|AT2G46520|emb2458|PEX13|AT3G08960|NUP1|AT3G16270|AT3G16310|AT3G17340|NPSN13|AT3G20920|AT3G23660|GC6|AT3G48760|eIF6A|AT3G62560|RANGAP1|MOS6|ARA7|VSR7|AT4G01810|AT4G24550|AT4G32640|AT4G32910|AT4G38760|AT5G01590|AT5G06120|SNX1|SYP132|SYP21|emb1211|alpha-ADR|AT5G22780|AT5G24350|AT5G41940|VAM3|AT5G50460|AT5G53570|XYLT|PEX5|AT5G61970|OXA1|LIP1|AT1G05520|AT1G12470|NUP155|SYP51|RABA1b|GAMMA-ADAPTIN 1|THO2|VTI1B|AT1G01910|IMPA-6|NTF2B|AT1G48900|AT1G67120|AT1G69460|FTSH12|SAR3|AT5G18525|AT3G08943,-6.2,WS_c1_which_mclass____4___1_
GO Biological Processes,19,GO:0015031,protein transport,19_GO:0051179 localization,-9,2.1,6.8,18982,579,1198,76,6.3,0.7,814908|815065|816245|816289|816310|817014|817107|817429|818086|818380|818760|819122|819206|819263|819589|819945|820048|820234|820873|820878|820997|821008|821641|821946|822375|824037|824728|825430|825488|827472|827706|827757|828105|828557|829399|829427|830031|830369|830499|830501|830702|831546|832327|832340|832341|832505|834199|834730|835114|835439|835643|835728|836318|836325|836603|837054|837454|837804|837894|838050|838193|838263|839001|839081|839208|839305|839517|839690|841312|843032|843278|843634|844294|844407|2745988|3768764,NMD3|VPS11|AP19|VPS35A|ATSLY1|ARF3|emb2410|ALB3|NPSN11|VCL1|AT2G41620|PVA12|ATI1|AT2G46520|emb2458|PEX13|AT3G08960|NUP1|AT3G16270|AT3G16310|AT3G17340|NPSN13|AT3G20920|AT3G23660|GC6|AT3G48760|eIF6A|AT3G62560|RANGAP1|MOS6|ARA7|VSR7|AT4G01810|AT4G24550|AT4G32640|AT4G32910|AT4G38760|AT5G01590|AT5G06120|SNX1|SYP132|SYP21|emb1211|alpha-ADR|AT5G22780|AT5G24350|AT5G41940|VAM3|AT5G50460|AT5G53570|XYLT|PEX5|AT5G61970|OXA1|LIP1|AT1G05520|AT1G09330|AT1G12470|AT1G13340|NUP155|SYP51|RABA1b|GAMMA-ADAPTIN 1|THO2|VTI1B|AT1G01910|IMPA-6|NTF2B|AT1G48900|AT1G67120|AT1G69460|VPS46.2|FTSH12|SAR3|AT5G18525|AT3G08943,-5.9,WS_c1_which_mclass____4___1_
GO Biological Processes,19,GO:0045184,establishment of protein localization,19_GO:0051179 localization,-9,2.1,6.8,18982,591,1198,77,6.4,0.71,814908|815065|816245|816289|816310|817014|817107|817429|818086|818380|818760|819122|819206|819263|819589|819945|820048|820234|820873|820878|820997|821008|821641|821946|822375|824037|824728|825430|825488|827472|827706|827757|827760|828105|828557|829399|829427|830031|830369|830499|830501|830702|831546|832327|832340|832341|832505|834199|834730|835114|835439|835643|835728|836318|836325|836603|837054|837454|837804|837894|838050|838193|838263|839001|839081|839208|839305|839517|839690|841312|843032|843278|843634|844294|844407|2745988|3768764,NMD3|VPS11|AP19|VPS35A|ATSLY1|ARF3|emb2410|ALB3|NPSN11|VCL1|AT2G41620|PVA12|ATI1|AT2G46520|emb2458|PEX13|AT3G08960|NUP1|AT3G16270|AT3G16310|AT3G17340|NPSN13|AT3G20920|AT3G23660|GC6|AT3G48760|eIF6A|AT3G62560|RANGAP1|MOS6|ARA7|VSR7|GSO1|AT4G01810|AT4G24550|AT4G32640|AT4G32910|AT4G38760|AT5G01590|AT5G06120|SNX1|SYP132|SYP21|emb1211|alpha-ADR|AT5G22780|AT5G24350|AT5G41940|VAM3|AT5G50460|AT5G53570|XYLT|PEX5|AT5G61970|OXA1|LIP1|AT1G05520|AT1G09330|AT1G12470|AT1G13340|NUP155|SYP51|RABA1b|GAMMA-ADAPTIN 1|THO2|VTI1B|AT1G01910|IMPA-6|NTF2B|AT1G48900|AT1G67120|AT1G69460|VPS46.2|FTSH12|SAR3|AT5G18525|AT3G08943,-5.9,WS_c1_which_mclass____4___1_
GO Biological Processes,19,GO:0015833,peptide transport,19_GO:0051179 localization,-8.3,2,6.5,18982,613,1198,77,6.4,0.71,814908|815065|816245|816289|816310|817014|817107|817429|818086|818380|818760|819122|819206|819263|819589|819945|820048|820234|820873|820878|820997|821008|821641|821946|822375|824037|824728|825430|825488|827472|827706|827757|828105|828557|829399|829427|830031|830369|830499|830501|830702|831546|832327|832340|832341|832505|834199|834730|835114|835439|835643|835728|836318|836325|836603|837054|837454|837804|837894|838050|838193|838263|839001|839081|839208|839305|839517|839690|841312|843032|843278|843544|843634|844294|844407|2745988|3768764,NMD3|VPS11|AP19|VPS35A|ATSLY1|ARF3|emb2410|ALB3|NPSN11|VCL1|AT2G41620|PVA12|ATI1|AT2G46520|emb2458|PEX13|AT3G08960|NUP1|AT3G16270|AT3G16310|AT3G17340|NPSN13|AT3G20920|AT3G23660|GC6|AT3G48760|eIF6A|AT3G62560|RANGAP1|MOS6|ARA7|VSR7|AT4G01810|AT4G24550|AT4G32640|AT4G32910|AT4G38760|AT5G01590|AT5G06120|SNX1|SYP132|SYP21|emb1211|alpha-ADR|AT5G22780|AT5G24350|AT5G41940|VAM3|AT5G50460|AT5G53570|XYLT|PEX5|AT5G61970|OXA1|LIP1|AT1G05520|AT1G09330|AT1G12470|AT1G13340|NUP155|SYP51|RABA1b|GAMMA-ADAPTIN 1|THO2|VTI1B|AT1G01910|IMPA-6|NTF2B|AT1G48900|AT1G67120|AT1G69460|AT1G72130|VPS46.2|FTSH12|SAR3|AT5G18525|AT3G08943,-5.3,WS_c1_which_mclass____4___1_
GO Biological Processes,19,GO:0016192,vesicle-mediated transport,19_GO:0051179 localization,-8.1,2.1,6.5,18982,475,1198,64,5.3,0.65,815065|816245|816289|816310|816502|817014|817118|817556|818086|818380|819206|819692|819986|820580|821008|821058|821066|821216|821946|822095|822375|825430|826889|826890|827258|827690|827706|828105|828557|829037|829993|830440|830501|830702|831071|831546|831937|832340|832341|832505|834433|834730|835519|835532|835851|837054|837454|837804|838193|838263|838713|838768|839001|839062|839070|839208|840608|841265|841539|842344|843278|843468|843512|843634,VPS11|AP19|VPS35A|ATSLY1|SNF7.2|ARF3|AT2G25760|AT2G30050|NPSN11|VCL1|ATI1|AT3G05280|AT3G07950|PRA1.F4|NPSN13|AT3G17900|AT3G03160|AT3G01340|AT3G23660|ERD2B|GC6|AT3G62560|AT4G12770|AT4G12780|VAMP724|VPS54|ARA7|AT4G01810|AT4G24550|SNF7.1|LAZ1|AT5G05570|SNX1|SYP132|AT5G11980|SYP21|AT5G18190|alpha-ADR|AT5G22780|AT5G24350|ckl7|VAM3|AGD5|CLUB|AT5G57460|AT1G05520|AT1G09330|AT1G12470|SYP51|RABA1b|SEC5B|AT1G21660|GAMMA-ADAPTIN 1|TNO1|AT1G24560|VTI1B|AT1G36980|AT1G48440|AT1G51160|VPS34|AT1G69460|POK|SEC6|VPS46.2,-5.2,WS_c1_which_mclass____4___1_
GO Biological Processes,19,GO:0042886,amide transport,19_GO:0051179 localization,-8.1,2,6.4,18982,630,1198,78,6.5,0.71,814908|815065|816245|816289|816310|817014|817107|817429|818086|818380|818760|819122|819206|819263|819589|819945|820048|820234|820873|820878|820997|821008|821641|821946|822375|824037|824728|825430|825488|827472|827706|827757|828105|828557|829399|829427|830031|830144|830369|830499|830501|830702|831546|832327|832340|832341|832505|834199|834730|835114|835439|835643|835728|836318|836325|836603|837054|837454|837804|837894|838050|838193|838263|839001|839081|839208|839305|839517|839690|841312|843032|843278|843544|843634|844294|844407|2745988|3768764,NMD3|VPS11|AP19|VPS35A|ATSLY1|ARF3|emb2410|ALB3|NPSN11|VCL1|AT2G41620|PVA12|ATI1|AT2G46520|emb2458|PEX13|AT3G08960|NUP1|AT3G16270|AT3G16310|AT3G17340|NPSN13|AT3G20920|AT3G23660|GC6|AT3G48760|eIF6A|AT3G62560|RANGAP1|MOS6|ARA7|VSR7|AT4G01810|AT4G24550|AT4G32640|AT4G32910|AT4G38760|ABCD1|AT5G01590|AT5G06120|SNX1|SYP132|SYP21|emb1211|alpha-ADR|AT5G22780|AT5G24350|AT5G41940|VAM3|AT5G50460|AT5G53570|XYLT|PEX5|AT5G61970|OXA1|LIP1|AT1G05520|AT1G09330|AT1G12470|AT1G13340|NUP155|SYP51|RABA1b|GAMMA-ADAPTIN 1|THO2|VTI1B|AT1G01910|IMPA-6|NTF2B|AT1G48900|AT1G67120|AT1G69460|AT1G72130|VPS46.2|FTSH12|SAR3|AT5G18525|AT3G08943,-5.2,WS_c1_which_mclass____4___1_
GO Biological Processes,19,GO:0034613,cellular protein localization,19_GO:0051179 localization,-8,1.9,6.3,18982,655,1198,80,6.7,0.72,814908|815065|816245|816289|816310|816951|817014|817429|818086|818380|818760|819122|819206|819263|819589|819945|820048|820234|820414|820873|820878|820997|821008|821066|821641|821946|822095|822375|824037|824728|825430|825488|827472|827706|827757|828105|828557|829399|829427|830031|830034|830369|830381|830499|830501|830702|831546|832327|832340|832341|832505|834199|834730|835114|835439|835643|835728|836318|836325|836603|837054|837804|838050|838193|838263|839001|839081|839208|839305|839517|839690|841265|841312|841372|843032|843278|844294|844407|2745988|3768764,NMD3|VPS11|AP19|VPS35A|ATSLY1|AT2G24170|ARF3|ALB3|NPSN11|VCL1|AT2G41620|PVA12|ATI1|AT2G46520|emb2458|PEX13|AT3G08960|NUP1|ITN1|AT3G16270|AT3G16310|AT3G17340|NPSN13|AT3G03160|AT3G20920|AT3G23660|ERD2B|GC6|AT3G48760|eIF6A|AT3G62560|RANGAP1|MOS6|ARA7|VSR7|AT4G01810|AT4G24550|AT4G32640|AT4G32910|AT4G38760|AT4G38790|AT5G01590|SUN1|AT5G06120|SNX1|SYP132|SYP21|emb1211|alpha-ADR|AT5G22780|AT5G24350|AT5G41940|VAM3|AT5G50460|AT5G53570|XYLT|PEX5|AT5G61970|OXA1|LIP1|AT1G05520|AT1G12470|NUP155|SYP51|RABA1b|GAMMA-ADAPTIN 1|THO2|VTI1B|AT1G01910|IMPA-6|NTF2B|AT1G48440|AT1G48900|RTV1|AT1G67120|AT1G69460|FTSH12|SAR3|AT5G18525|AT3G08943,-5.2,WS_c1_which_mclass____4___1_
GO Biological Processes,19,GO:0070727,cellular macromolecule localization,19_GO:0051179 localization,-8,1.9,6.3,18982,691,1198,83,6.9,0.73,814908|815065|816245|816289|816310|816951|817014|817429|818086|818380|818760|819056|819122|819206|819263|819589|819945|820048|820234|820414|820873|820878|820997|821008|821066|821641|821946|822095|822375|824037|824728|825430|825488|827472|827706|827757|828105|828557|829399|829427|830031|830034|830369|830381|830499|830501|830702|831546|832327|832340|832341|832505|833577|834199|834730|835114|835439|835643|835728|836318|836325|836603|837054|837804|838050|838193|838263|839001|839081|839208|839305|839517|839567|839690|841265|841312|841372|843032|843278|844294|844407|2745988|3768764,NMD3|VPS11|AP19|VPS35A|ATSLY1|AT2G24170|ARF3|ALB3|NPSN11|VCL1|AT2G41620|PEN2|PVA12|ATI1|AT2G46520|emb2458|PEX13|AT3G08960|NUP1|ITN1|AT3G16270|AT3G16310|AT3G17340|NPSN13|AT3G03160|AT3G20920|AT3G23660|ERD2B|GC6|AT3G48760|eIF6A|AT3G62560|RANGAP1|MOS6|ARA7|VSR7|AT4G01810|AT4G24550|AT4G32640|AT4G32910|AT4G38760|AT4G38790|AT5G01590|SUN1|AT5G06120|SNX1|SYP132|SYP21|emb1211|alpha-ADR|AT5G22780|AT5G24350|AT5G35910|AT5G41940|VAM3|AT5G50460|AT5G53570|XYLT|PEX5|AT5G61970|OXA1|LIP1|AT1G05520|AT1G12470|NUP155|SYP51|RABA1b|GAMMA-ADAPTIN 1|THO2|VTI1B|AT1G01910|IMPA-6|AT1G03140|NTF2B|AT1G48440|AT1G48900|RTV1|AT1G67120|AT1G69460|FTSH12|SAR3|AT5G18525|AT3G08943,-5.2,WS_c1_which_mclass____4___1_
