Cluster,Score,Type,Gene,Symbol,Network
3,1.5,Clustered,825286,FUS6,WS_c1_which_mclass____4___1__SUB1
3,1.5,Clustered,831275,COP13,WS_c1_which_mclass____4___1__SUB1
3,1.5,Clustered,834312,COP8,WS_c1_which_mclass____4___1__SUB1
3,1.5,Seed,817241,FUS12,WS_c1_which_mclass____4___1__SUB1
2,1.0,Clustered,830083,AT4G39270,WS_c1_which_mclass____4___1__SUB1
2,1.0,Seed,843915,CLV1,WS_c1_which_mclass____4___1__SUB1
2,1.0,Clustered,822143,NIK2,WS_c1_which_mclass____4___1__SUB1
2,1.0,Clustered,830865,AT5G10020,WS_c1_which_mclass____4___1__SUB1
2,1.0,Clustered,828760,AT4G26540,WS_c1_which_mclass____4___1__SUB1
4,1.0,Clustered,836519,SAL1,WS_c1_which_mclass____4___1__SUB1
4,1.0,Clustered,841459,FYPP1,WS_c1_which_mclass____4___1__SUB1
4,1.0,Seed,835813,EIR1,WS_c1_which_mclass____4___1__SUB1
5,1.0,Clustered,823916,TCP14,WS_c1_which_mclass____4___1__SUB1
5,1.0,Seed,843845,BZR1,WS_c1_which_mclass____4___1__SUB1
5,1.0,Clustered,819176,TCP9,WS_c1_which_mclass____4___1__SUB1
1,2.0,Clustered,843577,JAZ6,WS_c1_which_mclass____4___1__SUB3
1,2.0,Clustered,843834,TIFY10B,WS_c1_which_mclass____4___1__SUB3
1,2.0,Clustered,829012,NINJA,WS_c1_which_mclass____4___1__SUB3
1,2.0,Clustered,838310,JAZ5,WS_c1_which_mclass____4___1__SUB3
1,2.0,Clustered,834719,MYC3,WS_c1_which_mclass____4___1__SUB3
1,2.0,Seed,819262,AIB,WS_c1_which_mclass____4___1__SUB3
6,1.0,Clustered,835532,CLUB,WS_c1_which_mclass____4___1__SUB6
6,1.0,Clustered,843512,SEC6,WS_c1_which_mclass____4___1__SUB6
6,1.0,Seed,830971,TRS120,WS_c1_which_mclass____4___1__SUB6
7,1.0,Clustered,838095,AT1G15280,WS_c1_which_mclass____4___1__SUB7
7,1.0,Clustered,841576,Y14,WS_c1_which_mclass____4___1__SUB7
7,1.0,Seed,831923,AT5G02530,WS_c1_which_mclass____4___1__SUB7
