_MEMBER_WS_c1_which_mclass____5___1_,_LogP_WS_c1_which_mclass____5___1_,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.4,ko03050,Proteasome,M1,1,0
1,-2.8,ko04145,Phagosome,M1,1,0
1,-2.3,GO:0006119,oxidative phosphorylation,M1,1,0
1,-2.2,GO:0022900,electron transport chain,M1,1,0
1,-2.3,GO:0008104,protein localization,M1,1,0
1,-2.5,GO:0040008,regulation of growth,M1,1,0
1,-2.6,GO:0048545,response to steroid hormone,M1,1,0
1,-2.5,GO:0006848,pyruvate transport,M1,1,0
1,-2.7,GO:0045184,establishment of protein localization,M1,1,0
1,-3.2,GO:0000919,cell plate assembly,M1,1,0
1,-2.1,GO:0031669,cellular response to nutrient levels,M1,1,0
1,-3.4,GO:0046903,secretion,M1,1,0
1,-2.6,GO:0009880,embryonic pattern specification,M1,1,0
1,-2.3,GO:0034220,ion transmembrane transport,M1,1,0
1,-2.6,GO:1901606,alpha-amino acid catabolic process,M1,1,0
1,-3.1,GO:0046777,protein autophosphorylation,M1,1,0
1,-2.3,GO:0022904,respiratory electron transport chain,M1,1,0
1,-2.6,GO:0006897,endocytosis,M1,1,0
1,-2.3,GO:1904481,response to tetrahydrofolate,M1,1,0
1,-2.4,GO:0019637,organophosphate metabolic process,M1,1,0
1,-2.6,GO:0051510,regulation of unidimensional cell growth,M1,1,0
1,-2,GO:0000911,cytokinesis by cell plate formation,M1,1,0
1,-2.6,GO:0071383,cellular response to steroid hormone stimulus,M1,1,0
1,-2.3,GO:0010102,lateral root morphogenesis,M1,1,0
1,-6.3,GO:0016192,vesicle-mediated transport,M1,1,0
1,-2.5,GO:0140029,exocytic process,M1,1,0
1,-2.7,GO:0016053,organic acid biosynthetic process,M1,1,0
1,-3.4,GO:0043094,cellular metabolic compound salvage,M1,1,0
1,-2.8,GO:0098655,cation transmembrane transport,M1,1,0
1,-2.1,GO:0061014,positive regulation of mRNA catabolic process,M1,1,0
1,-2.2,GO:0010101,post-embryonic root morphogenesis,M1,1,0
1,-3.2,GO:0010256,endomembrane system organization,M1,1,0
1,-2.1,GO:0055086,nucleobase-containing small molecule metabolic process,M1,1,0
1,-2,GO:0042273,ribosomal large subunit biogenesis,M1,1,0
1,-2.1,GO:0009205,purine ribonucleoside triphosphate metabolic process,M1,1,0
1,-2.4,ath03040,Spliceosome,M1,1,0
1,-3.2,GO:0071407,cellular response to organic cyclic compound,M1,1,0
1,-2.7,GO:0010383,cell wall polysaccharide metabolic process,M1,1,0
1,-2.8,GO:0015031,protein transport,M1,1,0
1,-2.8,GO:0044264,cellular polysaccharide metabolic process,M1,1,0
1,-2.3,GO:0098660,inorganic ion transmembrane transport,M1,1,0
1,-2.1,GO:0006006,glucose metabolic process,M1,1,0
1,-3.2,GO:0006887,exocytosis,M1,1,0
1,-2.1,GO:0044265,cellular macromolecule catabolic process,M1,1,0
