_MEMBER_WS_c1_which_mclass____5___1_,_LogP_WS_c1_which_mclass____5___1_,GO,Description,_PATTERN_,_RANK_,CHILD_GO_WS_c1_which_mclass____5___1_
1,-6.2753396552160625,GO:0051179,localization,M1,1,GO:0016192 vesicle-mediated transport
1,-4.576368632880708,GO:0008152,metabolic process,M1,1,GO:0009853 photorespiration
1,-4.549154572415177,GO:0032501,multicellular organismal process,M1,1,GO:0048364 root development
1,-4.363047842151045,GO:0050896,response to stimulus,M1,1,GO:0010038 response to metal ion
1,-3.5702610411127935,GO:0051704,multi-organism process,M1,1,GO:0060321 acceptance of pollen
1,-3.331187552341672,GO:0032502,developmental process,M1,1,GO:0010014 meristem initiation
1,-3.2260646587997686,GO:0071840,cellular component organization or biogenesis,M1,1,GO:0010256 endomembrane system organization
1,-3.168563402987511,GO:0065007,biological regulation,M1,1,GO:0042136 neurotransmitter biosynthetic process
1,-3.1366723295629533,GO:0040007,growth,M1,1,GO:0009826 unidimensional cell growth
1,-2.6357151767845903,GO:0023052,signaling,M1,1,GO:0009742 brassinosteroid mediated signaling pathway
1,-2.5416738563101013,GO:0048518,positive regulation of biological process,M1,1,GO:1903313 positive regulation of mRNA metabolic process
1,-2.406020644795836,GO:0048519,negative regulation of biological process,M1,1,GO:0060548 negative regulation of cell death
1,-2.245439165710599,GO:0050789,regulation of biological process,M1,1,GO:0043487 regulation of RNA stability
1,-2.237562939630244,GO:0022414,reproductive process,M1,1,GO:0048508 embryonic meristem development
1,-2.0007085731579717,GO:0009987,cellular process,M1,1,GO:0000911 cytokinesis by cell plate formation
