_MEMBER_WS_c1_which_mclass____5___1_,_LogP_WS_c1_which_mclass____5___1_,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.2753396552160625,GO:0016192,M1,1,0,GO Biological Processes,19,vesicle-mediated transport,19_GO:0051179 localization,-6.2753396552160625,2.054308030016846,5.5768743586723035,18982,475,1031,53,5.1406401551891365,0.6877322087796878,814675|814689|815211|815962|817874|818594|819069|819551|819959|820132|821081|821415|821856|823749|823935|824294|824529|826411|827368|827512|828005|828060|828445|828587|828972|829362|829815|831021|831112|831171|831197|831488|831817|833946|833947|834200|834706|835046|835217|835918|836733|837791|837958|838077|838666|838792|839419|839520|840065|841164|841472|843677|844020,STL2P|AT2G01600|VPS2.1|VSR3|SAR1|CLC2|RAB6A|AT3G03940|p24beta2|SYP71|TPLATE|RAB7B|AT3G22845|RABE1c|MAG1|VPS35C|RAB8|AT4G08520|SAR2|AGD8|SETH5|SEC15B|AT4G23460|AT4G24840|CKL6|AT4G32285|EMB2754|AT5G11490|SEC10|SFC|KEG|AT5G16280|RAB8C|GNL1|SGR4|AT5G41950|AT5G46630|EXO84B|EYE|YKT61|ATGRIP|KEU|GN|AT1G15130|AT1G20760|p24delta5|VAMP721|CKL13|AT1G31780|SEC3A|HIT1|AT1G73430|SEC5A,-2.4720191316373086,0,1,1,1,-6.2753396552160625,2.5315470417070807,
1,-4.256273503786989,GO:0048193,M1,1,0,GO Biological Processes,19,Golgi vesicle transport,19_GO:0051179 localization,-4.256273503786989,2.5315470417070807,4.6623191751439235,18982,160,1031,22,2.133850630455868,0.4500584556627831,814675|815962|819069|819959|821856|826411|827368|827512|828060|828587|831488|833946|833947|835046|835217|836733|837958|838792|840065|841472|843677|844020,STL2P|VSR3|RAB6A|p24beta2|AT3G22845|AT4G08520|SAR2|AGD8|SEC15B|AT4G24840|AT5G16280|GNL1|SGR4|EXO84B|EYE|ATGRIP|GN|p24delta5|AT1G31780|HIT1|AT1G73430|SEC5A,-1.3560429672001786,0,1,0,0,-6.2753396552160625,2.5315470417070807,
1,-3.009346185956221,GO:0015833,M1,1,0,GO Biological Processes,19,peptide transport,19_GO:0051179 localization,-3.009346185956221,1.5618027129618055,3.3885653533099975,18982,613,1031,52,5.04364694471387,0.6815614525106765,814675|814735|815211|815962|818377|818594|818668|819069|819114|819959|820132|821415|821856|823710|823713|823749|823827|823935|824294|824529|824668|825321|826411|827172|827368|828005|828445|829118|829412|829697|829815|831021|831817|831870|833947|834706|834750|835217|837791|837874|838077|838737|838792|839620|839805|840234|840987|842418|842684|843564|843607|843677,STL2P|PTR2|VPS2.1|VSR3|AT2G37990|CLC2|CTEXP|RAB6A|SEC61 BETA|p24beta2|SYP71|RAB7B|AT3G22845|AT3G45680|AT3G45710|RABE1c|TOC75-III|MAG1|VPS35C|RAB8|AT3G55020|AT3G61480|AT4G08520|AT4G15080|SAR2|SETH5|AT4G23460|AT4G29950|AT4G32760|AKR2|EMB2754|AT5G11490|RAB8C|AtCDC48C|SGR4|AT5G46630|LON2|EYE|KEU|AT1G13160|AT1G15130|AT1G21380|p24delta5|NTF2A|AT1G29310|SAR1|RAB18|SC3|AT1G63810|PUM23|TIM23-2|AT1G73430,-0.6973873562117396,0,1,0,0,-6.2753396552160625,2.5315470417070807,
1,-2.911407686217409,GO:0046907,M1,1,0,GO Biological Processes,19,intracellular transport,19_GO:0051179 localization,-2.911407686217409,1.5184537082404232,3.297070899148543,18982,679,1031,56,5.431619786614937,0.7058433434996062,814675|815211|815962|817557|818377|818594|818668|819069|819114|819959|820132|821415|821856|823827|823935|824294|824668|825321|826411|826966|827172|827368|828005|828445|829118|829412|829697|829815|831021|831197|831480|831488|831870|832448|833947|834706|834750|834833|835217|837791|837874|837958|838077|838666|838737|838792|839620|839805|840234|840987|841472|842684|843564|843607|843677|844363,STL2P|VPS2.1|VSR3|AT2G30060|AT2G37990|CLC2|CTEXP|RAB6A|SEC61 BETA|p24beta2|SYP71|RAB7B|AT3G22845|TOC75-III|MAG1|VPS35C|AT3G55020|AT3G61480|AT4G08520|NIG|AT4G15080|SAR2|SETH5|AT4G23460|AT4G29950|AT4G32760|AKR2|EMB2754|AT5G11490|KEG|AT5G16210|AT5G16280|AtCDC48C|AT5G23830|SGR4|AT5G46630|LON2|FRA1|EYE|KEU|AT1G13160|GN|AT1G15130|AT1G20760|AT1G21380|p24delta5|NTF2A|AT1G29310|SAR1|RAB18|HIT1|AT1G63810|PUM23|TIM23-2|AT1G73430|AT1G80230,-0.6677679041393348,0,1,0,0,-6.2753396552160625,2.5315470417070807,
1,-2.8473588267598307,GO:0015031,M1,1,0,GO Biological Processes,19,protein transport,19_GO:0051179 localization,-2.8473588267598307,1.5581197053684652,3.2686384028085103,18982,579,1031,49,4.75266731328807,0.6626219008235603,814675|815211|815962|818377|818594|818668|819069|819114|819959|820132|821415|821856|823749|823827|823935|824294|824529|824668|825321|826411|827172|827368|828005|828445|829118|829412|829697|829815|831021|831817|831870|833947|834706|834750|835217|837791|837874|838077|838737|838792|839620|839805|840234|840987|842418|842684|843564|843607|843677,STL2P|VPS2.1|VSR3|AT2G37990|CLC2|CTEXP|RAB6A|SEC61 BETA|p24beta2|SYP71|RAB7B|AT3G22845|RABE1c|TOC75-III|MAG1|VPS35C|RAB8|AT3G55020|AT3G61480|AT4G08520|AT4G15080|SAR2|SETH5|AT4G23460|AT4G29950|AT4G32760|AKR2|EMB2754|AT5G11490|RAB8C|AtCDC48C|SGR4|AT5G46630|LON2|EYE|KEU|AT1G13160|AT1G15130|AT1G21380|p24delta5|NTF2A|AT1G29310|SAR1|RAB18|SC3|AT1G63810|PUM23|TIM23-2|AT1G73430,-0.6677679041393348,0,1,0,0,-6.2753396552160625,2.5315470417070807,
1,-2.7511891308570204,GO:0042886,M1,1,0,GO Biological Processes,19,amide transport,19_GO:0051179 localization,-2.7511891308570204,1.51965883023109,3.179006673423906,18982,630,1031,52,5.04364694471387,0.6815614525106765,814675|814735|815211|815962|818377|818594|818668|819069|819114|819959|820132|821415|821856|823710|823713|823749|823827|823935|824294|824529|824668|825321|826411|827172|827368|828005|828445|829118|829412|829697|829815|831021|831817|831870|833947|834706|834750|835217|837791|837874|838077|838737|838792|839620|839805|840234|840987|842418|842684|843564|843607|843677,STL2P|PTR2|VPS2.1|VSR3|AT2G37990|CLC2|CTEXP|RAB6A|SEC61 BETA|p24beta2|SYP71|RAB7B|AT3G22845|AT3G45680|AT3G45710|RABE1c|TOC75-III|MAG1|VPS35C|RAB8|AT3G55020|AT3G61480|AT4G08520|AT4G15080|SAR2|SETH5|AT4G23460|AT4G29950|AT4G32760|AKR2|EMB2754|AT5G11490|RAB8C|AtCDC48C|SGR4|AT5G46630|LON2|EYE|KEU|AT1G13160|AT1G15130|AT1G21380|p24delta5|NTF2A|AT1G29310|SAR1|RAB18|SC3|AT1G63810|PUM23|TIM23-2|AT1G73430,-0.6554387833762028,0,1,0,0,-6.2753396552160625,2.5315470417070807,
1,-2.7176242154163384,GO:0051649,M1,1,0,GO Biological Processes,19,establishment of localization in cell,19_GO:0051179 localization,-2.7176242154163384,1.4769745094330258,3.133793519426748,18982,723,1031,58,5.62560620756547,0.7175999817488591,814675|815211|815962|817557|818377|818594|818643|818668|819069|819114|819959|820132|821415|821856|823827|823935|824294|824668|825321|826411|826966|827172|827368|827512|828005|828445|829118|829412|829697|829815|831021|831197|831480|831488|831870|832448|833947|834706|834750|834833|835217|837791|837874|837958|838077|838666|838737|838792|839620|839805|840234|840987|841472|842684|843564|843607|843677|844363,STL2P|VPS2.1|VSR3|AT2G30060|AT2G37990|CLC2|AT2G40480|CTEXP|RAB6A|SEC61 BETA|p24beta2|SYP71|RAB7B|AT3G22845|TOC75-III|MAG1|VPS35C|AT3G55020|AT3G61480|AT4G08520|NIG|AT4G15080|SAR2|AGD8|SETH5|AT4G23460|AT4G29950|AT4G32760|AKR2|EMB2754|AT5G11490|KEG|AT5G16210|AT5G16280|AtCDC48C|AT5G23830|SGR4|AT5G46630|LON2|FRA1|EYE|KEU|AT1G13160|GN|AT1G15130|AT1G20760|AT1G21380|p24delta5|NTF2A|AT1G29310|SAR1|RAB18|HIT1|AT1G63810|PUM23|TIM23-2|AT1G73430|AT1G80230,-0.6519385887477049,0,1,0,0,-6.2753396552160625,2.5315470417070807,
1,-2.664298081170109,GO:0045184,M1,1,0,GO Biological Processes,19,establishment of protein localization,19_GO:0051179 localization,-2.664298081170109,1.5264827570361106,3.1161601833817216,18982,591,1031,49,4.75266731328807,0.6626219008235603,814675|815211|815962|818377|818594|818668|819069|819114|819959|820132|821415|821856|823749|823827|823935|824294|824529|824668|825321|826411|827172|827368|828005|828445|829118|829412|829697|829815|831021|831817|831870|833947|834706|834750|835217|837791|837874|838077|838737|838792|839620|839805|840234|840987|842418|842684|843564|843607|843677,STL2P|VPS2.1|VSR3|AT2G37990|CLC2|CTEXP|RAB6A|SEC61 BETA|p24beta2|SYP71|RAB7B|AT3G22845|RABE1c|TOC75-III|MAG1|VPS35C|RAB8|AT3G55020|AT3G61480|AT4G08520|AT4G15080|SAR2|SETH5|AT4G23460|AT4G29950|AT4G32760|AKR2|EMB2754|AT5G11490|RAB8C|AtCDC48C|SGR4|AT5G46630|LON2|EYE|KEU|AT1G13160|AT1G15130|AT1G21380|p24delta5|NTF2A|AT1G29310|SAR1|RAB18|SC3|AT1G63810|PUM23|TIM23-2|AT1G73430,-0.6519385887477049,0,1,0,0,-6.2753396552160625,2.5315470417070807,
1,-2.3572286824949162,GO:0006886,M1,1,0,GO Biological Processes,19,intracellular protein transport,19_GO:0051179 localization,-2.3572286824949162,1.5166356362717446,2.868456818109933,18982,522,1031,43,4.1707080504364695,0.6226223440568037,815962|818377|818594|818668|819069|819114|819959|820132|821415|821856|823827|823935|824294|824668|825321|826411|827172|827368|828005|828445|829118|829412|829697|829815|831021|831870|833947|834706|834750|835217|837791|837874|838077|838737|838792|839620|839805|840234|840987|842684|843564|843607|843677,VSR3|AT2G37990|CLC2|CTEXP|RAB6A|SEC61 BETA|p24beta2|SYP71|RAB7B|AT3G22845|TOC75-III|MAG1|VPS35C|AT3G55020|AT3G61480|AT4G08520|AT4G15080|SAR2|SETH5|AT4G23460|AT4G29950|AT4G32760|AKR2|EMB2754|AT5G11490|AtCDC48C|SGR4|AT5G46630|LON2|EYE|KEU|AT1G13160|AT1G15130|AT1G21380|p24delta5|NTF2A|AT1G29310|SAR1|RAB18|AT1G63810|PUM23|TIM23-2|AT1G73430,-0.5419822579116264,0,1,0,0,-6.2753396552160625,2.5315470417070807,
1,-2.315524358367461,GO:0008104,M1,1,0,GO Biological Processes,19,protein localization,19_GO:0051179 localization,-2.315524358367461,1.4200829757884474,2.7916034453480356,18982,739,1031,57,5.528612997090204,0.711752347729172,814675|815211|815962|817649|818377|818594|818668|819069|819114|819959|820132|821415|821856|823749|823827|823935|824294|824529|824668|825321|826411|827172|827368|828005|828445|828587|829118|829412|829697|829815|831021|831488|831809|831817|831870|833705|833947|834706|834750|835046|835217|837150|837791|837874|838077|838324|838737|838792|839620|839805|840234|840987|842418|842684|843564|843607|843677,STL2P|VPS2.1|VSR3|SKdZeta|AT2G37990|CLC2|CTEXP|RAB6A|SEC61 BETA|p24beta2|SYP71|RAB7B|AT3G22845|RABE1c|TOC75-III|MAG1|VPS35C|RAB8|AT3G55020|AT3G61480|AT4G08520|AT4G15080|SAR2|SETH5|AT4G23460|AT4G24840|AT4G29950|AT4G32760|AKR2|EMB2754|AT5G11490|AT5G16280|EXO70A1|RAB8C|AtCDC48C|AT5G37310|SGR4|AT5G46630|LON2|EXO84B|EYE|GSK1|KEU|AT1G13160|AT1G15130|AT1G17500|AT1G21380|p24delta5|NTF2A|AT1G29310|SAR1|RAB18|SC3|AT1G63810|PUM23|TIM23-2|AT1G73430,-0.537509700053477,0,1,0,0,-6.2753396552160625,2.5315470417070807,
