Gene,TotalEvidenceCounts,EvidenceHit:WS_c1_which_mclass____5___1_,EvidenceGO:WS_c1_which_mclass____5___1_,EvidencePPI:WS_c1_which_mclass____5___1_
819969,3.0,1,1,1
826724,3.0,1,1,1
835046,3.0,1,1,1
826983,3.0,1,1,1
817649,3.0,1,1,1
829676,3.0,1,1,1
815135,3.0,1,1,1
829387,3.0,1,1,1
831123,3.0,1,1,1
838792,3.0,1,1,1
841164,3.0,1,1,1
834892,3.0,1,1,1
822364,3.0,1,1,1
824036,3.0,1,1,1
832196,3.0,1,1,1
835421,3.0,1,1,1
844105,3.0,1,1,1
834868,3.0,1,1,1
837246,3.0,1,1,1
827784,3.0,1,1,1
819778,3.0,1,1,1
816556,3.0,1,1,1
830366,3.0,1,1,1
823749,3.0,1,1,1
836269,3.0,1,1,1
828972,3.0,1,1,1
820940,3.0,1,1,1
837150,3.0,1,1,1
836895,3.0,1,1,1
837381,3.0,1,1,1
825525,3.0,1,1,1
822112,3.0,1,1,1
818594,3.0,1,1,1
834162,3.0,1,1,1
820936,3.0,1,1,1
837637,3.0,1,1,1
827122,3.0,1,1,1
831112,3.0,1,1,1
830000,3.0,1,1,1
838039,3.0,1,1,1
837791,3.0,1,1,1
827124,3.0,1,1,1
828587,3.0,1,1,1
838345,3.0,1,1,1
828060,3.0,1,1,1
834842,3.0,1,1,1
834706,3.0,1,1,1
831330,3.0,1,1,1
835177,3.0,1,1,1
833947,3.0,1,1,1
819114,3.0,1,1,1
830708,3.0,1,1,1
843917,3.0,1,1,1
823804,3.0,1,1,1
828151,3.0,1,1,1
824920,3.0,1,1,1
819959,3.0,1,1,1
832150,3.0,1,1,1
831197,3.0,1,1,1
831809,3.0,1,1,1
827641,3.0,1,1,1
837362,3.0,1,1,1
822503,3.0,1,1,1
821081,3.0,1,1,1
824529,3.0,1,1,1
818761,3.0,1,1,1
839419,3.0,1,1,1
832658,3.0,1,1,1
840895,3.0,1,1,1
831976,3.0,1,1,1
838916,3.0,1,1,1
817874,3.0,1,1,1
829480,3.0,1,1,1
843898,3.0,1,1,1
838609,3.0,1,1,1
819069,3.0,1,1,1
836470,2.0,1,1,0
824578,2.0,1,1,0
828313,2.0,1,0,1
827752,2.0,1,1,0
829390,2.0,1,1,0
839467,2.0,1,1,0
829949,2.0,1,1,0
840065,2.0,1,0,1
838529,2.0,1,0,1
843321,2.0,1,0,1
842710,2.0,1,1,0
821856,2.0,1,1,0
819667,2.0,1,0,1
821874,2.0,1,0,1
834290,2.0,1,1,0
832138,2.0,1,1,0
834227,2.0,1,0,1
830849,2.0,1,1,0
832216,2.0,1,0,1
830409,2.0,1,0,1
818781,2.0,1,0,1
839621,2.0,1,0,1
820335,2.0,1,1,0
817032,2.0,1,0,1
827777,2.0,1,0,1
844204,2.0,1,0,1
817371,2.0,1,0,1
841472,2.0,1,1,0
826476,2.0,1,0,1
836873,2.0,1,0,1
820898,2.0,1,0,1
842930,2.0,1,0,1
815211,2.0,1,1,0
824956,2.0,1,0,1
834065,2.0,1,1,0
827228,2.0,1,0,1
836733,2.0,1,0,1
822444,2.0,1,0,1
836117,2.0,1,0,1
830912,2.0,1,0,1
819110,2.0,1,1,0
839805,2.0,1,1,0
826872,2.0,1,0,1
817715,2.0,1,0,1
835052,2.0,1,0,1
829043,2.0,1,0,1
843564,2.0,1,1,0
829660,2.0,1,0,1
828026,2.0,1,1,0
820042,2.0,1,0,1
817319,2.0,1,1,0
844020,2.0,1,1,0
827230,2.0,1,0,1
822241,2.0,1,0,1
829564,2.0,1,0,1
822296,2.0,1,0,1
840032,2.0,1,0,1
820139,2.0,1,0,1
826411,2.0,1,0,1
831817,2.0,1,1,0
843864,2.0,1,1,0
832773,2.0,1,0,1
829235,2.0,1,1,0
819551,2.0,1,1,0
823827,2.0,1,0,1
822402,2.0,1,1,0
844363,2.0,1,1,0
832409,2.0,1,1,0
832539,2.0,1,0,1
841263,2.0,1,1,0
833002,2.0,1,1,0
818377,2.0,1,1,0
818215,2.0,1,0,1
837673,2.0,1,0,1
843576,2.0,1,0,1
831924,2.0,1,0,1
843859,2.0,1,0,1
829775,2.0,1,0,1
817685,2.0,1,0,1
844285,2.0,1,0,1
840543,2.0,1,1,0
819261,2.0,1,0,1
831998,2.0,1,1,0
817646,2.0,1,1,0
831677,2.0,1,0,1
816291,2.0,1,0,1
818470,2.0,1,0,1
821705,2.0,1,0,1
814994,2.0,1,0,1
839623,2.0,1,0,1
824565,2.0,1,0,1
831935,2.0,1,1,0
830060,2.0,1,0,1
837639,2.0,1,1,0
816150,2.0,1,1,0
832059,2.0,1,1,0
815903,2.0,1,1,0
820015,2.0,1,0,1
836805,2.0,1,0,1
817832,2.0,1,0,1
817365,2.0,1,1,0
834200,2.0,1,1,0
843607,2.0,1,0,1
814749,2.0,1,1,0
838801,2.0,1,0,1
816337,2.0,1,0,1
836413,2.0,1,0,1
6240759,2.0,1,0,1
826765,2.0,1,1,0
829362,2.0,1,1,0
838226,2.0,1,0,1
843677,2.0,1,1,0
826967,2.0,1,1,0
835526,2.0,1,1,0
818294,2.0,1,0,1
830556,2.0,1,0,1
828751,2.0,1,0,1
840105,2.0,1,1,0
814736,2.0,1,1,0
827787,2.0,1,0,1
840272,2.0,1,0,1
830621,2.0,1,1,0
832875,2.0,1,1,0
837917,2.0,1,0,1
814689,2.0,1,1,0
831171,2.0,1,1,0
840987,2.0,1,0,1
835437,2.0,1,0,1
820166,2.0,1,1,0
828126,2.0,1,0,1
819241,2.0,1,0,1
818230,2.0,1,0,1
819979,2.0,1,0,1
817403,2.0,1,0,1
828221,2.0,1,1,0
831521,2.0,1,0,1
821569,2.0,1,1,0
828579,2.0,1,1,0
831411,2.0,1,1,0
837560,2.0,1,0,1
829029,2.0,1,0,1
818371,2.0,1,0,1
832791,2.0,1,0,1
838365,2.0,1,0,1
823492,2.0,1,0,1
828267,2.0,1,1,0
828445,2.0,1,0,1
836558,2.0,1,1,0
815247,2.0,1,0,1
835791,2.0,1,0,1
842193,2.0,1,1,0
844399,2.0,1,1,0
835062,2.0,1,0,1
843972,2.0,1,0,1
824514,2.0,1,1,0
824214,2.0,1,0,1
836190,2.0,1,1,0
827078,2.0,1,1,0
832733,2.0,1,1,0
814698,2.0,1,0,1
817245,2.0,1,0,1
839142,2.0,1,0,1
843377,2.0,1,0,1
830009,2.0,1,0,1
829909,2.0,1,0,1
819625,2.0,1,0,1
831093,2.0,1,1,0
828242,2.0,1,0,1
824050,2.0,1,0,1
824900,2.0,1,1,0
823944,2.0,1,0,1
820327,2.0,1,0,1
844087,2.0,1,1,0
829388,2.0,1,1,0
818411,2.0,1,0,1
825025,2.0,1,0,1
841269,2.0,1,0,1
833752,2.0,1,0,1
821723,2.0,1,0,1
828097,2.0,1,1,0
829622,2.0,1,1,0
834549,2.0,1,0,1
828326,2.0,1,1,0
816344,2.0,1,0,1
821531,2.0,1,0,1
