Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0010089,xylem development,19_GO:0032502 developmental process,-5.2,3.9,5.8,18982,43,1581,14,0.89,0.24,816318|819150|826934|828084|829773|836359|836574|836762|841515|842568|843524|844350|844441|3768762,VND1|LBD18|CLE44|JLO|NAC076|NAC101|XND1|NAC105|AT1G50930|ANAC026|VND7|HP6|AT1G64625|AT3G20557,-1.4,WS_c1_which_mclass____8___1_
GO Biological Processes,19,GO:0009451,RNA modification,19_GO:0008152 metabolic process,-4.8,1.8,4.7,18982,341,1581,52,3.3,0.45,814804|814827|814914|816226|816576|816742|817307|817942|818272|818309|819097|819688|819698|820319|820586|821701|822097|822494|823940|824800|824822|826774|827825|828630|831229|831382|831936|833735|834796|835172|836038|837123|837825|838009|839402|839466|839478|840066|841424|842263|842737|842970|843175|843226|843585|843687|843776|843949|844037|844155|6240220|10723034,AT2G02750|OTP85|REME1|AT2G17210|MEF21|AT2G22070|AT2G27610|AT2G33760|AT2G36980|AT2G37320|AHG11|MEF19|AT3G05340|AT3G11460|AT3G13770|AT3G21470|AT3G25060|AT3G28640|AT3G47840|AT3G56330|AT3G56550|AT4G11690|AT4G20770|OTP70|AT5G13830|AT5G15300|AT5G18180|AT5G37570|AT5G47460|AT5G50990|OTP80|MEF3|RPF1|AT1G14470|AT1G04840|AT1G03540|AT1G03510|AT1G31790|AT1G50000|CRR28|AT1G64310|pde194|IPT1|AT1G68930|AT1G72530|AT1G73530|AT1G74350|AT1G76170|AT1G77010|AT1G78190|AT4G19191|AT3G49142,-1.3,WS_c1_which_mclass____8___1_
GO Biological Processes,19,GO:1901348,positive regulation of secondary cell wall biogenesis,19_GO:0048518 positive regulation of biological process,-4.1,8.6,6,18982,7,1581,5,0.32,0.14,816318|829773|831127|836762|842568,VND1|NAC076|MYB46|NAC105|ANAC026,-0.81,WS_c1_which_mclass____8___1_
GO Biological Processes,19,GO:0048759,xylem vessel member cell differentiation,19_GO:0032502 developmental process,-4,6.5,5.5,18982,11,1581,6,0.38,0.15,816318|829773|836359|836762|842568|843524,VND1|NAC076|NAC101|NAC105|ANAC026|VND7,-0.77,WS_c1_which_mclass____8___1_
GO Biological Processes,19,GO:1903340,positive regulation of cell wall organization or biogenesis,19_GO:0048518 positive regulation of biological process,-3.7,7.5,5.5,18982,8,1581,5,0.32,0.14,816318|829773|831127|836762|842568,VND1|NAC076|MYB46|NAC105|ANAC026,-0.64,WS_c1_which_mclass____8___1_
GO Biological Processes,19,GO:1905177,tracheary element differentiation,19_GO:0032502 developmental process,-3.6,4.9,4.9,18982,17,1581,7,0.44,0.17,816318|818641|829773|836359|836762|842568|843524,VND1|LBD15|NAC076|NAC101|NAC105|ANAC026|VND7,-0.64,WS_c1_which_mclass____8___1_
GO Biological Processes,19,GO:0007129,synapsis,19_GO:0022414 reproductive process,-3.5,3.5,4.5,18982,34,1581,10,0.63,0.2,821860|827058|827450|835166|837614|837893|838831|838834|841784|842702,DMC1|PRD1|MSH4|AT5G50930|PHS1|AHP2|ZYP1a|ZYP1b|HEI10|SPO11-2,-0.64,WS_c1_which_mclass____8___1_
GO Biological Processes,19,GO:0035825,homologous recombination,19_GO:0008152 metabolic process,-3.5,2.8,4.2,18982,60,1581,14,0.89,0.24,821860|827058|827450|834894|835166|836473|837835|837893|838831|838834|841784|842341|842702|2745578,DMC1|PRD1|MSH4|AtSPO22|AT5G50930|RMI1|AT1G12790|AHP2|ZYP1a|ZYP1b|HEI10|AT1G60460|SPO11-2|AT2G33793,-0.64,WS_c1_which_mclass____8___1_
GO Biological Processes,19,GO:0007131,reciprocal meiotic recombination,19_GO:0022414 reproductive process,-3.5,2.8,4.2,18982,60,1581,14,0.89,0.24,821860|827058|827450|834894|835166|836473|837835|837893|838831|838834|841784|842341|842702|2745578,DMC1|PRD1|MSH4|AtSPO22|AT5G50930|RMI1|AT1G12790|AHP2|ZYP1a|ZYP1b|HEI10|AT1G60460|SPO11-2|AT2G33793,-0.64,WS_c1_which_mclass____8___1_
GO Biological Processes,19,GO:0010087,phloem or xylem histogenesis,19_GO:0032502 developmental process,-3.4,2.3,4,18982,105,1581,20,1.3,0.28,816318|817173|819150|826934|828084|829773|831302|832610|836359|836574|836762|840078|841515|842568|843105|843524|844350|844441|3768762|5007842,VND1|ER|LBD18|CLE44|JLO|NAC076|AT5G14510|CYCA2;1|NAC101|XND1|NAC105|BRX|AT1G50930|ANAC026|AT1G67790|VND7|HP6|AT1G64625|AT3G20557|CLE45,-0.64,WS_c1_which_mclass____8___1_
