Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0090567,reproductive shoot system development,19_GO:0022414 reproductive process,-15,5.4,11,18982,500,232,33,14,2.3,816209|816579|817173|817679|821298|821667|821744|823622|824251|825047|825370|828556|829814|830619|831224|831441|831442|831974|832146|833556|833957|834140|835788|836121|836767|836841|839256|839321|840368|841721|842873|843244|843388,NAC036|GPRI1|ER|AT2G31220|COL2|BBX32|BBX31|ACD1|MNP|SHP1|NGA2|AGL24|GATA19|EMS1|AGL15|CO|COL1|PUCHI|PI|SAP|NAC6|AT5G41380|GNC|AT5G59990|SHI|HEC1|HDG2|NGA3|AT1G34640|NAM|AS2|AP1|KNAT2,-11
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0009908,flower development,19_GO:0022414 reproductive process,-13,5.2,10,18982,487,232,31,13,2.2,816579|817679|821298|821667|821744|823622|824251|825047|825370|828556|829814|830619|831224|831441|831442|831974|832146|833556|833957|834140|835788|836121|836767|836841|839256|839321|840368|841721|842873|843244|843388,GPRI1|AT2G31220|COL2|BBX32|BBX31|ACD1|MNP|SHP1|NGA2|AGL24|GATA19|EMS1|AGL15|CO|COL1|PUCHI|PI|SAP|NAC6|AT5G41380|GNC|AT5G59990|SHI|HEC1|HDG2|NGA3|AT1G34640|NAM|AS2|AP1|KNAT2,-9.8
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,19_GO:0048518 positive regulation of biological process,-10,4.2,8.6,18982,561,232,29,12,2.2,816579|816875|817273|818199|818843|819150|819332|824272|825047|827101|828084|828556|829482|831031|831224|832146|833957|834925|836767|836803|836841|838457|838567|838680|841047|841923|843244|843524|843704,GPRI1|ICK1|NTL8|ABI5|LBD16|LBD18|MYB2|GATA6|SHP1|NF-YB3|JLO|AGL24|MYB69|TINY2|AGL15|PI|NAC6|AGL80|SHI|HB53|HEC1|AGL65|SRS7|AT1G20870|AT1G44830|AT1G54840|AP1|VND7|CDKD1;1,-6.9
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0009891,positive regulation of biosynthetic process,19_GO:0048518 positive regulation of biological process,-9.6,4,8.2,18982,596,232,29,12,2.2,816579|816875|817273|818199|818843|819150|819332|824272|825047|827101|828084|828556|829482|831031|831224|832146|833957|834925|835788|836767|836803|836841|838457|838567|841047|842120|843244|843524|843704,GPRI1|ICK1|NTL8|ABI5|LBD16|LBD18|MYB2|GATA6|SHP1|NF-YB3|JLO|AGL24|MYB69|TINY2|AGL15|PI|NAC6|AGL80|GNC|SHI|HB53|HEC1|AGL65|SRS7|AT1G44830|PAP1|AP1|VND7|CDKD1;1,-6.4
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0031328,positive regulation of cellular biosynthetic process,19_GO:0048518 positive regulation of biological process,-9.2,4,8,18982,579,232,28,12,2.1,816579|816875|817273|818199|818843|819150|819332|824272|825047|827101|828084|828556|829482|831031|831224|832146|833957|834925|835788|836767|836803|836841|838457|838567|841047|843244|843524|843704,GPRI1|ICK1|NTL8|ABI5|LBD16|LBD18|MYB2|GATA6|SHP1|NF-YB3|JLO|AGL24|MYB69|TINY2|AGL15|PI|NAC6|AGL80|GNC|SHI|HB53|HEC1|AGL65|SRS7|AT1G44830|AP1|VND7|CDKD1;1,-6.3
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0045893,"positive regulation of transcription, DNA-templated",19_GO:0048518 positive regulation of biological process,-9.2,4.2,8.2,18982,502,232,26,11,2.1,816579|817273|818199|818843|819150|819332|824272|825047|827101|828084|828556|829482|831031|831224|832146|833957|834925|836767|836803|836841|838457|838567|841047|843244|843524|843704,GPRI1|NTL8|ABI5|LBD16|LBD18|MYB2|GATA6|SHP1|NF-YB3|JLO|AGL24|MYB69|TINY2|AGL15|PI|NAC6|AGL80|SHI|HB53|HEC1|AGL65|SRS7|AT1G44830|AP1|VND7|CDKD1;1,-6.3
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:1903508,positive regulation of nucleic acid-templated transcription,19_GO:0048518 positive regulation of biological process,-9.2,4.2,8.2,18982,504,232,26,11,2.1,816579|817273|818199|818843|819150|819332|824272|825047|827101|828084|828556|829482|831031|831224|832146|833957|834925|836767|836803|836841|838457|838567|841047|843244|843524|843704,GPRI1|NTL8|ABI5|LBD16|LBD18|MYB2|GATA6|SHP1|NF-YB3|JLO|AGL24|MYB69|TINY2|AGL15|PI|NAC6|AGL80|SHI|HB53|HEC1|AGL65|SRS7|AT1G44830|AP1|VND7|CDKD1;1,-6.3
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:1902680,positive regulation of RNA biosynthetic process,19_GO:0048518 positive regulation of biological process,-9.2,4.2,8.2,18982,504,232,26,11,2.1,816579|817273|818199|818843|819150|819332|824272|825047|827101|828084|828556|829482|831031|831224|832146|833957|834925|836767|836803|836841|838457|838567|841047|843244|843524|843704,GPRI1|NTL8|ABI5|LBD16|LBD18|MYB2|GATA6|SHP1|NF-YB3|JLO|AGL24|MYB69|TINY2|AGL15|PI|NAC6|AGL80|SHI|HB53|HEC1|AGL65|SRS7|AT1G44830|AP1|VND7|CDKD1;1,-6.3
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0010557,positive regulation of macromolecule biosynthetic process,19_GO:0048518 positive regulation of biological process,-9.1,4.1,8,18982,545,232,27,12,2.1,816579|816875|817273|818199|818843|819150|819332|824272|825047|827101|828084|828556|829482|831031|831224|832146|833957|834925|836767|836803|836841|838457|838567|841047|843244|843524|843704,GPRI1|ICK1|NTL8|ABI5|LBD16|LBD18|MYB2|GATA6|SHP1|NF-YB3|JLO|AGL24|MYB69|TINY2|AGL15|PI|NAC6|AGL80|SHI|HB53|HEC1|AGL65|SRS7|AT1G44830|AP1|VND7|CDKD1;1,-6.3
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0050793,regulation of developmental process,19_GO:0032502 developmental process,-9.1,3.4,7.7,18982,794,232,33,14,2.3,816312|816579|816671|817173|817273|818199|821134|821298|821667|821744|824251|824293|825370|825481|827542|828556|831224|831441|831442|831974|833556|833957|834140|834301|835788|836121|838457|839256|839321|840078|840452|841721|843293,TAF14|GPRI1|BBX18|ER|NTL8|ABI5|CA1|COL2|BBX32|BBX31|MNP|ROP1|NGA2|EDL3|WRKY28|AGL24|AGL15|CO|COL1|PUCHI|SAP|NAC6|AT5G41380|COR27|GNC|AT5G59990|AGL65|HDG2|NGA3|BRX|AT1G35560|NAM|AT1G69570,-6.3
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0051239,regulation of multicellular organismal process,19_GO:0032501 multicellular organismal process,-9.1,3.8,7.9,18982,629,232,29,12,2.2,816312|816579|816671|817173|817273|818199|821134|821298|821667|821744|824251|825370|825481|827542|831224|831441|831442|831974|833556|833957|834140|834301|835788|836121|838457|839321|840078|841721|843293,TAF14|GPRI1|BBX18|ER|NTL8|ABI5|CA1|COL2|BBX32|BBX31|MNP|NGA2|EDL3|WRKY28|AGL15|CO|COL1|PUCHI|SAP|NAC6|AT5G41380|COR27|GNC|AT5G59990|AGL65|NGA3|BRX|NAM|AT1G69570,-6.3
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0051173,positive regulation of nitrogen compound metabolic process,19_GO:0048518 positive regulation of biological process,-9,3.5,7.7,18982,717,232,31,13,2.2,816579|816875|817273|818199|818843|818895|819150|819332|824272|825047|827101|828084|828556|829482|831031|831224|832146|833957|834925|835788|836767|836803|836841|838457|838567|838680|841047|841923|843244|843524|843704,GPRI1|ICK1|NTL8|ABI5|LBD16|AT2G42940|LBD18|MYB2|GATA6|SHP1|NF-YB3|JLO|AGL24|MYB69|TINY2|AGL15|PI|NAC6|AGL80|GNC|SHI|HB53|HEC1|AGL65|SRS7|AT1G20870|AT1G44830|AT1G54840|AP1|VND7|CDKD1;1,-6.3
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:0051254,positive regulation of RNA metabolic process,19_GO:0048518 positive regulation of biological process,-8.7,4,7.8,18982,530,232,26,11,2.1,816579|817273|818199|818843|819150|819332|824272|825047|827101|828084|828556|829482|831031|831224|832146|833957|834925|836767|836803|836841|838457|838567|841047|843244|843524|843704,GPRI1|NTL8|ABI5|LBD16|LBD18|MYB2|GATA6|SHP1|NF-YB3|JLO|AGL24|MYB69|TINY2|AGL15|PI|NAC6|AGL80|SHI|HB53|HEC1|AGL65|SRS7|AT1G44830|AP1|VND7|CDKD1;1,-6.1
WS_c1_which_mclass____8___1_,GO Biological Processes,19,GO:2000026,regulation of multicellular organismal development,19_GO:0032501 multicellular organismal process,-8.7,3.9,7.7,18982,571,232,27,12,2.1,816312|816579|816671|817173|817273|818199|821134|821298|821667|821744|824251|825370|825481|827542|831224|831441|831442|831974|833957|834140|834301|835788|836121|839321|840078|841721|843293,TAF14|GPRI1|BBX18|ER|NTL8|ABI5|CA1|COL2|BBX32|BBX31|MNP|NGA2|EDL3|WRKY28|AGL15|CO|COL1|PUCHI|NAC6|AT5G41380|COR27|GNC|AT5G59990|NGA3|BRX|NAM|AT1G69570,-6.1
