"","WS_c1.which.mclass....4...1."
"1","AT1G01010"
"2","AT1G01070"
"3","AT1G01160"
"4","AT1G01190"
"5","AT1G01210"
"6","AT1G01220"
"7","AT1G01230"
"8","AT1G01260"
"9","AT1G01290"
"10","AT1G01340"
"11","AT1G01350"
"12","AT1G01360"
"13","AT1G01440"
"14","AT1G01470"
"15","AT1G01630"
"16","AT1G01640"
"17","AT1G01710"
"18","AT1G01750"
"19","AT1G01770"
"20","AT1G01780"
"21","AT1G01820"
"22","AT1G01830"
"23","AT1G01860"
"24","AT1G01900"
"25","AT1G01920"
"26","AT1G01930"
"27","AT1G01940"
"28","AT1G01950"
"29","AT1G02000"
"30","AT1G02090"
"31","AT1G02110"
"32","AT1G02130"
"33","AT1G02145"
"34","AT1G02170"
"35","AT1G02205"
"36","AT1G02270"
"37","AT1G02300"
"38","AT1G02330"
"39","AT1G02360"
"40","AT1G02410"
"41","AT1G02520"
"42","AT1G02640"
"43","AT1G02660"
"44","AT1G02720"
"45","AT1G02816"
"46","AT1G02860"
"47","AT1G02870"
"48","AT1G02880"
"49","AT1G02920"
"50","AT1G02960"
"51","AT1G02990"
"52","AT1G03000"
"53","AT1G03030"
"54","AT1G03040"
"55","AT1G03090"
"56","AT1G03110"
"57","AT1G03150"
"58","AT1G03210"
"59","AT1G03250"
"60","AT1G03280"
"61","AT1G03330"
"62","AT1G03360"
"63","AT1G03365"
"64","AT1G03430"
"65","AT1G03457"
"66","AT1G03530"
"67","AT1G03590"
"68","AT1G03610"
"69","AT1G03687"
"70","AT1G03730"
"71","AT1G03740"
"72","AT1G03780"
"73","AT1G03830"
"74","AT1G03840"
"75","AT1G03930"
"76","AT1G03970"
"77","AT1G04010"
"78","AT1G04020"
"79","AT1G04030"
"80","AT1G04130"
"81","AT1G04160"
"82","AT1G04180"
"83","AT1G04230"
"84","AT1G04240"
"85","AT1G04247"
"86","AT1G04340"
"87","AT1G04360"
"88","AT1G04390"
"89","AT1G04503"
"90","AT1G04520"
"91","AT1G04550"
"92","AT1G04590"
"93","AT1G04630"
"94","AT1G04710"
"95","AT1G04770"
"96","AT1G04830"
"97","AT1G04833"
"98","AT1G04900"
"99","AT1G04910"
"100","AT1G04950"
"101","AT1G04960"
"102","AT1G04970"
"103","AT1G04980"
"104","AT1G04985"
"105","AT1G04990"
"106","AT1G05030"
"107","AT1G05055"
"108","AT1G05070"
"109","AT1G05120"
"110","AT1G05170"
"111","AT1G05205"
"112","AT1G05213"
"113","AT1G05270"
"114","AT1G05320"
"115","AT1G05350"
