"","X","WS_c1.which.mclass....8...1."
"2181",2181,"AT4G14760"
"1329",1329,"AT2G47250"
"2084",2084,"AT4G03585"
"1607",1607,"AT3G17790"
"459",459,"AT1G47490"
"227",227,"AT1G17110"
"435",435,"AT1G34320"
"1323",1323,"AT2G46750"
"9",9,"AT1G01610"
"2086",2086,"AT4G04340"
"2570",2570,"AT5G02050"
"2500",2500,"AT4G37070"
"2776",2776,"AT5G16590"
"1420",1420,"AT3G05500"
"1374",1374,"AT3G02250"
"1812",1812,"AT3G46640"
"3224",3224,"AT5G58270"
"2193",2193,"AT4G15900"
"1834",1834,"AT3G49430"
"892",892,"AT2G16005"
"660",660,"AT1G68720"
"261",261,"AT1G18870"
"2741",2741,"AT5G14330"
"3156",3156,"AT5G54430"
"2960",2960,"AT5G37690"
"556",556,"AT1G55840"
"1188",1188,"AT2G37860"
"2502",2502,"AT4G37250"
"1508",1508,"AT3G12020"
"1858",1858,"AT3G51630"
"3221",3221,"AT5G58100"
"239",239,"AT1G17880"
"3192",3192,"AT5G56630"
"3165",3165,"AT5G54960"
"4",4,"AT1G01300"
"1226",1226,"AT2G40540"
"37",37,"AT1G04220"
"3114",3114,"AT5G50320"
"1744",1744,"AT3G27570"
"740",740,"AT1G75270"
"3282",3282,"AT5G62270"
"751",751,"AT1G76140"
"2877",2877,"AT5G23430"
"2945",2945,"AT5G35680"
"2079",2079,"AT4G03200"
"1901",1901,"AT3G54620"
"1566",1566,"AT3G15020"
"2330",2330,"AT4G26870"
"2652",2652,"AT5G08540"
"551",551,"AT1G55320"
"1923",1923,"AT3G56090"
"958",958,"AT2G20725"
"2997",2997,"AT5G41970"
"1731",1731,"AT3G26935"
"2739",2739,"AT5G14250"
"8",8,"AT1G01540"
"1464",1464,"AT3G08680"
"744",744,"AT1G75560"
"1803",1803,"AT3G46030"
"1610",1610,"AT3G17900"
"690",690,"AT1G71270"
"1840",1840,"AT3G49940"
"757",757,"AT1G76880"
"1404",1404,"AT3G04520"
"2855",2855,"AT5G21060"
"2029",2029,"AT4G00450"
"3281",3281,"AT5G62220"
"1906",1906,"AT3G54810"
"2151",2151,"AT4G12780"
"553",553,"AT1G55330"
"2028",2028,"AT4G00440"
"2919",2919,"AT5G26751"
"1279",1279,"AT2G43950"
"1552",1552,"AT3G14200"
"1749",1749,"AT3G28050"
"974",974,"AT2G22250"
"948",948,"AT2G20270"
"188",188,"AT1G14620"
"2215",2215,"AT4G17890"
"2362",2362,"AT4G28940"
"2693",2693,"AT5G11950"
"322",322,"AT1G24280"
"1009",1009,"AT2G25060"
"1296",1296,"AT2G45140"
"1255",1255,"AT2G42270"
"566",566,"AT1G58030"
"769",769,"AT1G77670"
"1191",1191,"AT2G38020"
"391",391,"AT1G30440"
"735",735,"AT1G74690"
"1969",1969,"AT3G59210"
"2530",2530,"AT4G38810"
"1166",1166,"AT2G36720"
"2614",2614,"AT5G05570"
"1668",1668,"AT3G22520"
"601",601,"AT1G61850"
"2442",2442,"AT4G33300"
"514",514,"AT1G52670"
"2251",2251,"AT4G20820"
"1402",1402,"AT3G04240"
"1391",1391,"AT3G03150"
"871",871,"AT2G06050"
"2374",2374,"AT4G29690"
"3042",3042,"AT5G44320"
"818",818,"AT1G80530"
"533",533,"AT1G53645"
"2230",2230,"AT4G19020"
"2566",2566,"AT5G01800"
"1786",1786,"AT3G45010"
"2747",2747,"AT5G14640"
"1788",1788,"AT3G45070"
"94",94,"AT1G08420"
"1389",1389,"AT3G03070"
"3020",3020,"AT5G43310"
"300",300,"AT1G22190"
"1312",1312,"AT2G46170"
"929",929,"AT2G18370"
"1515",1515,"AT3G12570"
"2338",2338,"AT4G27560"
"1686",1686,"AT3G23750"
"3160",3160,"AT5G54670"
"807",807,"AT1G80000"
"1947",1947,"AT3G57560"
"2718",2718,"AT5G13300"
"179",179,"AT1G13560"
"2913",2913,"AT5G25820"
"3243",3243,"AT5G59730"
"2219",2219,"AT4G18070"
"3291",3291,"AT5G62930"
"1971",1971,"AT3G59540"
"2087",2087,"AT4G04720"
"1676",1676,"AT3G23090"
"2663",2663,"AT5G09620"
"1195",1195,"AT2G38470"
"1355",1355,"AT3G01310"
"724",724,"AT1G73960"
"1738",1738,"AT3G27260"
"1619",1619,"AT3G18520"
"1833",1833,"AT3G49390"
"93",93,"AT1G08260"
"2543",2543,"AT4G39540"
"1898",1898,"AT3G54460"
"3068",3068,"AT5G46840"
"3022",3022,"AT5G43370"
"139",139,"AT1G10910"
"2033",2033,"AT4G00630"
"1210",1210,"AT2G39580"
"2198",2198,"AT4G16310"
"590",590,"AT1G60780"
"211",211,"AT1G15740"
"776",776,"AT1G78090"
"1853",1853,"AT3G51270"
"122",122,"AT1G09730"
"2841",2841,"AT5G20200"
"3309",3309,"AT5G64130"
"659",659,"AT1G68580"
"1667",1667,"AT3G22370"
"2759",2759,"AT5G15580"
"1916",1916,"AT3G55360"
"2188",2188,"AT4G15180"
"2361",2361,"AT4G28910"
"404",404,"AT1G31050"
"1573",1573,"AT3G15450"
"1487",1487,"AT3G10660"
"3174",3174,"AT5G55390"
"2887",2887,"AT5G24030"
"1828",1828,"AT3G48760"
"1415",1415,"AT3G05090"
"490",490,"AT1G50140"
"1943",1943,"AT3G57470"
"3338",3338,"AT5G65770"
"1927",1927,"AT3G56360"
"95",95,"AT1G08450"
"656",656,"AT1G68140"
"2760",2760,"AT5G15610"
"238",238,"AT1G17860"
"3092",3092,"AT5G48380"
"316",316,"AT1G23900"
"2232",2232,"AT4G19120"
"2302",2302,"AT4G25230"
"200",200,"AT1G15060"
"2803",2803,"AT5G18410"
"84",84,"AT1G07420"
"2665",2665,"AT5G09760"
"2189",2189,"AT4G15230"
"1647",1647,"AT3G20320"
"2846",2846,"AT5G20610"
"688",688,"AT1G71090"
"1318",1318,"AT2G46520"
"2041",2041,"AT4G00860"
"693",693,"AT1G71820"
"3002",3002,"AT5G42180"
"2024",2024,"AT3G63500"
"1194",1194,"AT2G38440"
"2391",2391,"AT4G30890"
"552",552,"AT1G55325"
"945",945,"AT2G20060"
"52",52,"AT1G05347"
"791",791,"AT1G79010"
"513",513,"AT1G52420"
"133",133,"AT1G10580"
"2186",2186,"AT4G15093"
"510",510,"AT1G52060"
"1642",1642,"AT3G20100"
"884",884,"AT2G14170"
"680",680,"AT1G70300"
"2056",2056,"AT4G02010"
"1780",1780,"AT3G44340"
"2443",2443,"AT4G33350"
"3229",3229,"AT5G58450"
"559",559,"AT1G56145"
"121",121,"AT1G09660"
"1162",1162,"AT2G36390"
"2237",2237,"AT4G19610"
"2964",2964,"AT5G37790"
"2631",2631,"AT5G07300"
"1910",1910,"AT3G55120"
"1313",1313,"AT2G46230"
"1948",1948,"AT3G57630"
"3116",3116,"AT5G50760"
"1177",1177,"AT2G37280"
"2661",2661,"AT5G09595"
"2911",2911,"AT5G25770"
"585",585,"AT1G60390"
"2653",2653,"AT5G08560"
"2828",2828,"AT5G19550"
"135",135,"AT1G10630"
"1742",1742,"AT3G27430"
"1941",1941,"AT3G57400"
"2392",2392,"AT4G30930"
"644",644,"AT1G67310"
"2627",2627,"AT5G06700"
"362",362,"AT1G27970"
"1899",1899,"AT3G54480"
"317",317,"AT1G24050"
"706",706,"AT1G72510"
"1414",1414,"AT3G05050"
"2832",2832,"AT5G19860"
"3086",3086,"AT5G48020"
"3285",3285,"AT5G62630"
"1182",1182,"AT2G37480"
"1003",1003,"AT2G24180"
"2014",2014,"AT3G63070"
"3352",3352,"AT5G66510"
"2808",2808,"AT5G18620"
"727",727,"AT1G74090"
"3335",3335,"AT5G65683"
"715",715,"AT1G73390"
"308",308,"AT1G23030"
"1050",1050,"AT2G27450"
"1794",1794,"AT3G45630"
"3110",3110,"AT5G49970"
"2414",2414,"AT4G32285"
"1974",1974,"AT3G59760"
"3180",3180,"AT5G55730"
"3129",3129,"AT5G52040"
"3149",3149,"AT5G53570"
"1335",1335,"AT2G47460"
"531",531,"AT1G53580"
"2301",2301,"AT4G25210"
"1684",1684,"AT3G23690"
"833",833,"AT2G01470"
"847",847,"AT2G02510"
"2235",2235,"AT4G19420"
"1433",1433,"AT3G06300"
"3183",3183,"AT5G55920"
"1400",1400,"AT3G04090"
"278",278,"AT1G20200"
"460",460,"AT1G47500"
"193",193,"AT1G14730"
"1458",1458,"AT3G07810"
"1282",1282,"AT2G44090"
"2978",2978,"AT5G39590"
"2708",2708,"AT5G12850"
"236",236,"AT1G17620"
"1401",1401,"AT3G04140"
"3083",3083,"AT5G47880"
"2559",2559,"AT5G01220"
"305",305,"AT1G22610"
"2619",2619,"AT5G05980"
"1565",1565,"AT3G15010"
"2111",2111,"AT4G09030"
"1496",1496,"AT3G11280"
"654",654,"AT1G67930"
"3044",3044,"AT5G44550"
"2634",2634,"AT5G07460"
"75",75,"AT1G06780"
"495",495,"AT1G50490"
"2092",2092,"AT4G04970"
"1837",1837,"AT3G49500"
"1222",1222,"AT2G40430"
"3238",3238,"AT5G59420"
"395",395,"AT1G30590"
"3049",3049,"AT5G44800"
"1796",1796,"AT3G45680"
"1924",1924,"AT3G56130"
"1660",1660,"AT3G21510"
"182",182,"AT1G13730"
"3337",3337,"AT5G65750"
"2649",2649,"AT5G08330"
"1119",1119,"AT2G33570"
"859",859,"AT2G03820"
"80",80,"AT1G07080"
"1108",1108,"AT2G32560"
"1272",1272,"AT2G43535"
"1958",1958,"AT3G58460"
"226",226,"AT1G16920"
"223",223,"AT1G16860"
"1946",1946,"AT3G57550"
"1648",1648,"AT3G20330"
"1759",1759,"AT3G29180"
"2125",2125,"AT4G10730"
"397",397,"AT1G30680"
"3359",3359,"AT5G67240"
"1591",1591,"AT3G16830"
"1519",1519,"AT3G12670"
"756",756,"AT1G76878"
"3094",3094,"AT5G48480"
"2264",2264,"AT4G21910"
"499",499,"AT1G51160"
