$RNA_seq	FLT_Light_Rep1	FLT_Light_Rep2	FLT_Light_Rep3	FLT_Dark_Rep1	FLT_Dark_Rep2	FLT_Dark_Rep3	GC_Light_Rep1	GC_Light_Rep2	GC_Light_Rep3	GC_Dark_Rep1	GC_Dark_Rep2	GC_Dark_Rep3
AT1G01020	281.1455835	240.5884624	264.0038989	216.3844949	318.711079	423.2570057	301.2102923	280.7288606	246.714005	306.5568875	285.0940731	289.0310919
AT1G01070	295.6498001	291.073589	165.4943782	122.0516606	87.53276942	195.6838922	148.0103625	180.3886792	255.9747771	122.7956211	72.31943629	412.4433561
AT1G01110	322.7210149	314.1752837	229.5419043	199.0842115	257.1922868	210.9814938	328.2955337	145.2904323	181.692411	296.8263263	434.9540785	268.6342948
AT1G01160	358.8464289	360.3880996	388.2991126	390.959999	398.1650611	406.6035443	562.1144579	524.2831163	435.6980323	379.1595303	568.3893481	312.744438
AT1G01170	124.230493	103.8101928	140.7673758	89.93640645	55.48595275	325.8421301	161.2690147	122.6018126	110.1564265	67.60031935	68.86690754	60.83273975
AT1G01350	184.2954349	201.6280251	189.4402469	182.5967258	193.619212	285.0156636	210.4179038	256.4990163	252.7618717	197.6633926	221.2150782	184.7635353
AT1G01360	223.9481484	211.3181096	314.8618247	242.6936127	209.1093314	323.6046388	387.2003623	247.0185885	276.6639101	213.205198	358.289789	274.5282972
AT1G01630	217.1017555	191.6919862	224.2578537	305.7387893	162.6909266	182.0415805	147.7546534	279.1258157	307.8199565	221.134865	78.50437243	163.0902395
AT1G01650	219.6660342	249.4040268	276.3664899	208.7070779	191.2289391	314.2751662	249.8515778	116.5245266	170.3992206	201.8761921	242.2583057	173.2938696
AT1G01725	98.86009309	87.50020954	170.4571433	98.35868846	60.56751679	405.000142	161.0003568	238.0826023	279.3168406	88.05835955	100.8847073	120.5853495
AT1G01750	160.660393	204.7168477	221.9691885	214.0210155	42.55448947	260.6822528	109.4473038	240.8713553	245.6391191	15.65841	32.42802191	36.9328993
AT1G01910	436.2398895	424.0039948	362.0553423	437.0593316	409.3196389	351.0055011	373.9988367	419.8890802	389.7094613	387.5156984	398.7503639	282.866601
AT1G01920	259.8143326	256.3466369	225.4432347	279.4468345	363.8486952	194.364625	335.1006109	186.1724219	181.5121113	272.335139	352.7263726	260.1713299
AT1G01960	291.5942631	320.3614587	327.2548466	276.5758819	283.5792744	179.7118597	261.0614245	163.983822	183.8215029	378.2869223	370.2064424	382.0550549
AT1G02090	349.7794513	435.0850949	299.0448074	386.4948697	420.1509289	449.0453484	368.7063368	348.7320148	446.9176804	394.8262876	368.2253308	285.5178719
AT1G02100	400.5365595	473.9411122	456.1944975	406.7959839	384.9416989	389.0098808	474.6660858	326.6802008	313.6804961	352.7875425	346.4416602	460.8402674
AT1G02120	250.8528281	304.3440908	274.9725163	282.4616848	209.6901972	285.7909468	279.9442868	192.9166138	204.0545308	182.1654637	291.1590564	232.8186827
AT1G02170	239.8308084	219.3688424	223.4446292	270.7508738	190.9287025	248.0302405	231.2498079	127.6174557	243.2631284	234.9190688	181.9750281	216.7631665
AT1G02330	280.3476531	261.1286048	246.065034	318.9349963	202.3837991	359.5918458	218.8463948	308.1686437	337.9450819	274.8027777	279.873728	211.5745095
AT1G02335	160.8860277	382.226437	186.9308535	225.8328809	65.90230518	336.0979855	59.50134968	363.3266595	250.883144	355.3538148	28.49386102	845.1234005
AT1G02410	266.1620353	255.2974658	262.1630156	341.1025224	277.3339623	304.6133222	331.8390591	279.513289	287.1269654	232.7928777	286.0722399	280.5257346
AT1G02560	284.4201293	269.2552176	273.6431573	318.332149	296.4739613	314.0717378	292.9018718	401.6059658	398.7908028	295.6565045	331.8593926	306.5683616
AT1G02680	165.9898295	169.9689916	211.1774687	157.2821979	157.3715136	286.9774739	186.7571457	268.6237782	289.5829484	219.1575216	242.0579706	164.0554567
AT1G02870	314.3678234	277.9099874	261.3059182	318.0035829	464.7502695	575.5073131	415.4599299	356.7017916	401.8899847	378.4008887	523.0140787	345.6218447
AT1G02930	72.90153699	60.9685477	175.87907	318.6463256	160.1110412	495.3520768	4.290162343	23.42191359	20.78254008	15.15584143	62.0981546	434.7521592
AT1G03040	304.9962504	298.9893885	334.0755235	307.7553596	312.5284147	340.1941311	338.6619657	231.4223449	303.5708847	324.5444977	281.5115856	278.532407
AT1G03080	277.9640739	332.5031644	560.4060636	308.795818	276.6553126	241.8325025	255.9108348	299.167995	255.8379517	265.004483	166.0054376	341.0160307
AT1G03090	172.6746232	171.8911213	391.5490008	149.6655462	79.37053812	175.0763671	138.8493003	121.1859591	200.4112812	106.0376847	98.17141587	148.7161327
AT1G03110	316.3579835	239.4224478	218.6019425	307.160965	387.889462	261.1482339	357.8053096	231.5372126	238.1017727	403.3126651	422.9447116	223.9986725
AT1G03140	437.5286819	434.4718663	548.9272359	435.8951683	397.3043588	368.1800449	520.3024092	408.2069503	385.1595064	411.4293523	492.5184867	411.8652833
AT1G03150	277.3379352	259.0085308	245.9130079	271.8412981	341.009637	359.2380295	351.7966392	449.8382508	353.2551323	346.83747	280.9750554	276.4765506
AT1G03210	327.4302261	386.2969049	490.5111308	425.1063466	533.5194936	373.1991098	421.0826267	534.9730704	473.4059748	477.7445361	398.9872484	436.273199
AT1G03280	227.0082725	188.0111898	272.9891399	217.2257415	230.0771556	297.5899433	195.1019592	222.6967169	236.4782637	272.87589	252.6260523	245.9700803
AT1G03290	193.2990338	215.5699776	339.3312487	196.65673	118.6103003	260.4321867	161.6887558	195.4950292	188.8287511	121.218879	165.1544062	221.5121199
AT1G03350	266.6506338	258.4508259	245.3452735	282.0147085	248.0423466	205.2576571	273.1267411	222.0852518	242.5344248	240.4372302	189.2481703	239.4987251
AT1G03590	396.0854303	286.3993305	375.7507578	440.2363436	258.1041502	338.6723476	320.2690337	270.7932649	222.606328	278.3715524	223.2738686	311.7831834
AT1G03730	133.8389262	185.9736087	207.2269805	155.9858586	164.7236046	267.8145107	161.1359433	196.9939177	208.1573786	113.4602973	133.7355045	161.0105457
AT1G03910	372.4776619	344.2840614	349.0498976	401.7805114	344.1210993	367.8952436	400.3489744	349.8690703	234.3927829	368.1012727	441.3150909	274.6285678
AT1G04030	203.558744	180.8153817	226.7236267	289.0161682	155.9497563	161.21155	228.8758011	246.6384054	341.0542292	213.7151378	241.0323692	189.9483195
AT1G04260	243.2598645	261.2711947	235.5618338	244.8253931	235.3174288	307.8123821	254.2845152	330.2943026	392.0510286	276.3442204	272.8349302	233.2608907
AT1G04400	185.3441857	187.925822	332.5873449	169.9449117	78.28689919	147.3652526	110.6712023	205.1232117	174.4912555	105.8060854	148.4426275	114.6731726
AT1G04440	354.0043013	421.9431534	357.1387794	363.2678096	282.2929645	263.5920277	306.2326936	250.853992	279.9355883	231.4025931	209.0190491	347.9255706
AT1G04537	197.3892387	187.6307248	197.6442998	234.0166563	236.3660524	293.042398	223.2528891	286.7978434	214.777331	225.9849573	236.007566	214.1575556
AT1G04590	343.3087463	361.0685332	230.6922492	327.3611011	436.2584421	272.9485623	390.7228855	356.2886901	268.5548527	393.6730993	317.4850661	300.3241309
AT1G04810	237.8862603	291.1901438	276.1905038	338.134396	319.2264162	143.4504341	237.3946603	158.6074289	221.8539503	277.3797908	361.0758257	309.7516291
AT1G04940	404.9423091	352.9773455	339.9598913	320.33602	420.9032263	446.506761	455.9705832	458.0912967	385.4825895	370.4506728	525.8876174	328.1995653
AT1G04960	231.9706074	188.4717889	298.5853897	229.9093673	211.8829644	247.7336571	214.4709111	263.0314353	272.6371534	191.0954303	167.6375139	195.6955591
AT1G04980	323.898706	205.1190052	236.4236564	300.881754	334.7716485	240.2017421	162.2989988	263.8892877	263.5852258	264.7854983	139.2211872	183.745827
AT1G04985	231.9346447	245.6328686	306.9133054	241.0705629	215.2389561	269.7766237	320.6159357	314.3415118	325.3418185	187.7852505	303.499501	262.4076228
AT1G05010	157.3466281	98.6344938	306.0353016	263.7713303	34.9577113	223.0909353	65.15871667	43.20162378	198.9091546	92.33282255	28.55031225	124.9004805
AT1G05070	235.0107641	184.4868347	186.931142	203.4597889	209.8112335	333.1091777	239.7501857	315.1869948	265.6439854	221.4865158	286.7212283	218.7623338
AT1G05147	87.85562913	36.12081696	268.2427797	99.76899058	0.672938413	145.3119248	61.61630192	104.5823576	248.2553318	2.445164157	0	16.49188467
AT1G05180	252.5359876	268.682299	257.1651346	281.9179531	316.7818235	216.1423995	277.1444435	197.3535249	219.7363976	295.5112351	236.2289202	256.0748508
AT1G05210	221.7466612	198.2559933	205.4445381	221.4891506	275.1103602	248.6186504	181.4468871	469.2363744	297.3036691	245.3892296	227.5301123	161.9534928
AT1G05270	220.4030478	188.5280754	205.6625339	192.4330112	168.0542687	228.2386131	196.0535099	202.6553751	238.2380909	133.591976	183.8674787	172.3942456
AT1G05340	131.5164795	107.9795658	321.9361631	71.972518	24.88692862	240.7490954	175.1356883	137.5176212	167.1076912	34.12041307	72.89759391	79.4327026
AT1G05350	374.2951962	369.4450688	303.6534834	426.1882117	346.1766308	272.3922967	370.0787544	235.0605475	289.1990352	384.4976582	298.1902926	299.37879
AT1G05360	267.1845277	274.4701604	256.3585931	234.5562835	304.7190052	271.9855385	390.9148367	353.1382382	371.1396488	293.1792189	247.9107522	249.7753449
AT1G05500	302.704766	240.2447079	283.2086719	253.2297877	212.8870512	181.8461313	263.5531385	299.7418792	272.4136695	257.0400137	233.0868347	214.4624127
AT1G05560	346.1802907	319.0968408	418.4629164	405.509837	111.6506785	214.3618725	255.6761614	109.234694	86.93134667	93.196138	37.27554419	132.5559917
AT1G05562	349.8501745	285.250298	381.4120811	428.3259823	84.01953234	220.4086852	242.4400136	125.3552328	95.38770881	78.50012505	37.5068789	131.1124844
AT1G05620	436.734393	398.5119545	404.4422835	479.2237525	436.3302132	310.292707	358.7781089	475.4593865	475.7343642	427.5325258	247.6637183	336.4636517
AT1G05785	268.5142323	227.7156678	255.5736133	211.6626414	259.383286	383.8201842	212.5635893	398.6754666	380.8912828	242.5155983	221.4770182	285.1599083
AT1G05840	225.4596991	192.9411718	235.6172331	198.0261474	231.2455641	236.2200775	278.5392479	320.7102819	265.7315915	208.9025945	305.2335556	333.4294429
AT1G05890	297.5737224	369.6970944	317.3756327	290.5241948	270.209543	235.5814018	379.805995	296.724371	224.7651549	197.3546742	364.3698717	369.5099458
AT1G05940	177.9360129	184.041745	278.9271836	230.3338846	181.6518212	218.8291848	208.9006917	197.1258691	273.8065923	201.1857348	261.5911471	211.5656435
AT1G06130	287.2280981	277.7882599	270.711372	339.1884106	318.6505603	202.1670514	296.578019	247.1618283	216.3721492	269.4071531	311.2654771	303.624068
AT1G06210	347.885271	304.1941428	263.4038707	311.1470195	281.3117018	242.5217713	290.50419	324.2823222	280.6750585	280.4918966	231.6447799	208.8416375
AT1G06220	505.8104175	540.4751081	398.4099699	430.8862824	521.9241217	359.1884565	404.4922072	225.5074855	381.7872544	528.6066525	599.4748627	390.9670269
AT1G06230	454.6131234	449.6115121	490.2073724	324.5888249	339.3320111	334.5045151	425.4256584	348.787126	308.7855679	446.0376333	535.5459588	437.1586938
AT1G06290	310.2638518	269.8596578	338.5191593	405.27584	250.6991096	244.5824638	233.4932524	219.8640421	186.6540941	223.2944042	200.103868	342.7678259
AT1G06410	340.6806616	431.4414911	420.7758667	370.976057	417.8721403	156.227988	421.9789135	249.2844048	207.7822315	533.405947	290.586592	378.9712964
AT1G06470	250.3949553	342.2548943	215.5728775	282.4130044	340.4888497	178.5273675	235.0819421	289.3451233	211.3350887	367.4595107	318.1756301	321.5763645
AT1G06530	307.1647865	263.653039	304.3972702	326.7114268	270.9339396	276.0006941	299.1428858	364.0977462	296.1041209	228.4536827	290.7810435	268.3701804
AT1G06540	335.598959	300.672473	314.1820663	330.3163239	276.2678364	315.4673997	327.5790247	361.6534585	340.0641093	242.8349608	328.5536691	280.7977846
AT1G06550	202.7703752	178.4625627	218.6026835	259.583778	279.6561963	161.0950537	263.9979058	239.2844249	303.7201931	396.8287809	481.8426457	601.8042346
AT1G06620	312.8423854	216.5224383	478.8198402	436.2096883	160.8043814	277.085694	300.7408991	103.1616424	179.7853417	218.2834958	110.2002824	160.234238
AT1G06670	270.1175538	291.9890412	303.4477212	225.0534886	323.9974179	383.2765892	296.8137895	261.9831625	305.5208198	334.0682686	485.5454626	426.1524444
AT1G06720	288.1421096	290.3460877	305.0698425	237.3546017	373.8697573	371.9154476	254.520287	165.0779419	202.8050572	274.7022415	343.4968916	333.2482729
AT1G06870	410.5123176	391.4988191	409.7095571	426.8572958	336.106191	346.3840665	190.8203711	224.6196765	285.9074088	300.3688616	242.7862859	307.6275734
AT1G06900	320.254307	345.6782075	357.9988055	339.540276	345.433287	355.1435357	328.8378027	200.7104554	183.6575325	347.7196635	416.509617	358.2819822
