RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01020,309.7536627,275.6647056,271.5197339,270.261115,369.7035121,323.7874912,321.676426,235.5221196,331.1268412,289.2079356,262.0638677,266.89372
AT1G01160,349.0829968,404.783152,356.1122285,414.8987827,523.5671849,522.327407,422.0563061,310.0677995,400.3099026,293.0763646,359.844212,417.9425275
AT1G01170,155.9745197,218.6641124,369.395222,133.7933727,322.5759794,181.3394806,135.7096735,393.1955537,169.6515393,127.6767446,49.85860566,29.6059733
AT1G01210,170.9905594,208.7944235,176.7291666,239.079174,404.992985,202.7912048,355.5495115,113.0525353,190.433895,277.4453061,295.4850833,336.5663841
AT1G01300,349.5333257,238.5263987,364.4737123,444.7057105,357.9466176,566.2359525,610.9631032,267.294715,328.7122775,456.0371617,425.0084892,470.9074473
AT1G01350,193.5961339,238.8625352,216.7780932,247.6685156,174.3221719,205.9230905,246.2057832,219.6233867,200.2987611,221.9570119,243.9969105,217.2849561
AT1G01360,245.9195858,240.1391648,304.2229109,331.1499308,347.2935467,494.1395295,381.429555,409.1452076,314.3054112,283.332485,159.110091,176.2065267
AT1G01448,167.586671,153.4507435,178.1255574,199.6983571,146.2037249,260.3446053,103.1960358,281.0960711,187.4131544,167.3161358,119.0635487,111.0243611
AT1G01630,192.132781,150.4575988,197.4481093,279.3144118,102.1570752,77.5975047,145.6974713,272.3312104,212.331643,361.6112918,342.7308599,218.8605833
AT1G01640,222.5178582,186.3709331,263.1105562,271.294316,293.2524585,259.7082916,376.4266046,197.2452699,175.0950464,346.9940405,158.1566575,182.5060823
AT1G01650,199.8380241,186.9373819,269.4209136,246.8640423,326.0199892,396.7552546,266.7587117,304.3127862,197.175549,235.5465031,202.7984806,200.1397932
AT1G01725,228.3634432,231.2270663,313.5960555,221.6866292,271.2959114,190.2949644,169.2940356,407.9153088,279.953975,123.9892705,75.40275201,72.39319897
AT1G01750,123.6929036,79.03079618,232.60277,255.736142,33.41136267,24.00463416,16.73036649,283.674252,143.6417597,172.1737507,79.694499,28.89000079
