RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01020,206.4035169,311.1001943,242.8744523,212.4804308,247.6493697,193.8531788,277.8969012,235.5014163,250.2943106,217.42795,233.2722136,244.5345394
AT1G01070,203.9753061,329.9571833,245.137274,41.25743507,204.5486616,285.1817285,148.047447,65.41872204,333.5741824,22.58673346,115.6962847,147.676652
AT1G01160,406.2883834,405.4038848,431.473964,432.8188224,382.4178271,411.2676544,498.775582,407.6039817,420.6326986,398.3126926,487.0346145,372.7831214
AT1G01170,194.997015,354.2142573,250.2455923,44.30688489,136.0714497,103.7711839,105.6655802,134.2377207,237.7391533,35.34131498,32.69874826,85.67841184
AT1G01210,281.5087335,387.7165586,356.7211266,412.2862457,373.1792776,262.2181951,292.4352952,242.3422151,253.7886921,544.4171242,546.0397121,406.5757208
AT1G01230,478.6276831,468.0161325,530.4822729,339.957673,364.1574645,328.3792008,299.3226164,445.2910604,477.56536,293.0219497,307.9067433,340.8429711
AT1G01300,560.8509489,381.6753679,443.1832308,653.1386799,405.4320927,553.1598919,375.0247324,324.8881562,283.3351895,599.0223304,540.4611441,482.6323653
AT1G01360,202.2919243,367.5424933,250.4236571,188.084814,328.8272441,290.8412855,275.9917575,419.8782589,434.2183767,185.5589489,151.8750983,314.4048929
AT1G01490,322.8571623,442.5906949,348.355506,223.7023683,361.797756,281.7399266,207.9040453,358.0611704,354.090265,159.2713121,190.3568396,288.7522667
AT1G01510,365.6232028,330.7939683,415.0290398,560.9731646,594.920952,552.6211768,656.1225248,429.3141873,459.4221998,543.5041951,609.3616636,289.0064751
AT1G01730,441.4676321,710.8333246,527.8414167,346.8701857,458.5921616,483.6695926,539.048692,408.9738982,479.947877,397.7845251,387.7414894,355.3774134
AT1G01750,510.0594691,476.9259791,462.2831817,210.4537121,246.3242177,208.162241,4.408557136,333.1460455,49.48568587,14.33418888,10.86677072,12.4712842
AT1G01820,365.1022667,606.7445763,532.9604794,307.2816488,342.3249288,343.5367487,259.2826713,458.6606273,423.2555066,280.5389325,234.6321056,272.4415238
AT1G01910,438.4913542,294.8545963,452.4265957,447.4089987,377.7767748,442.2292327,415.7337563,322.4928297,280.9565847,488.2931757,624.7529776,331.6854461
AT1G01920,252.3387553,209.4944498,269.2729244,368.287258,255.7524452,249.8905977,310.7284647,283.6102171,297.3212782,449.0904505,336.6343499,283.4300979
AT1G01940,272.0919772,355.9289522,360.9342651,352.0109013,359.6914388,413.6060635,394.1766665,386.7800531,287.2331065,442.4433037,500.3574128,487.2122614
AT1G01960,220.773524,196.0315801,178.3567574,317.2634158,262.3412689,371.0809676,265.44983,320.1405102,312.6293179,393.7357067,310.0046903,454.1261231
AT1G02080,184.7268127,267.2636174,236.3709148,303.4288305,257.8553297,401.0504658,309.8180548,296.2658262,365.707814,301.8138599,337.2679381,471.5162506
AT1G02090,521.7980104,483.3072693,491.4313524,590.5332584,465.3690749,568.2569834,569.1419361,394.0273608,368.1858567,687.5983948,657.1994814,509.5987349
AT1G02100,427.1797907,358.1686713,416.6197529,357.4688529,361.8853072,391.4518204,457.9851087,369.5237181,456.8665139,405.0112774,386.4615445,354.069776
AT1G02170,279.7783047,188.1387839,294.9511484,186.5863175,313.3630431,278.8164937,243.3621219,288.9754091,233.498449,224.9368877,233.5816611,208.9748501
AT1G02280,316.2953653,380.9767378,340.6652928,363.1876617,496.5448264,285.3817645,449.799459,364.2187471,330.2134196,346.6205347,260.0372167,282.9203998
AT1G02330,289.5133329,264.3803774,261.8450464,254.5384306,203.5678877,203.043099,308.0400986,299.7795159,222.2528115,273.7829967,255.8207127,253.9861082
AT1G02335,302.7915792,461.7908401,297.3486895,22.40245385,62.59126791,260.6574365,4.595526113,284.7484702,381.1156818,19.113469,78.44148347,361.4097733
AT1G02410,362.7031753,316.2747986,293.4775994,309.8581927,338.7669813,212.8780146,313.1319456,285.6953105,459.3828754,288.1191694,248.656185,201.2866381
AT1G02560,388.6491664,351.9351906,373.8661237,394.806384,333.5241492,380.5724975,385.1032933,288.9850998,364.780089,476.5781865,329.7331973,403.6165075
AT1G02680,223.6366655,294.8131792,284.9668811,163.5800325,204.4556097,239.8768876,192.3678621,245.9813795,178.6119475,240.8074334,216.44557,209.8468847
AT1G02690,297.5752313,117.0318645,216.6404646,495.293934,308.8803022,218.0912523,254.277893,237.4032319,202.5870626,411.2058131,474.2528628,273.8332023
AT1G02816,563.2849626,356.7643594,485.9459523,443.353386,467.9191096,323.6184308,289.7708373,530.3722572,384.2097395,469.2544819,419.4217628,373.9384699
AT1G02850,747.4434636,406.3311337,591.9492811,271.0452413,327.4838626,352.9444173,467.9323934,375.5163778,714.9405404,226.3172297,391.2124806,459.9443381
AT1G02870,434.5506613,553.2602647,451.4950896,543.7410368,617.6150522,428.1400944,419.3157454,449.2010594,365.585385,642.2679131,652.6214003,668.3266159
AT1G03040,250.3912842,342.2090602,220.2971598,224.9539073,398.1001213,306.9329195,330.1174994,291.5831583,233.7234935,203.5740249,266.6889839,272.2681873
AT1G03080,195.0322756,318.778661,246.3785466,212.8505753,326.2618346,454.0964429,241.5378109,288.8509861,263.2044969,171.5286037,311.5875596,443.2271675
AT1G03110,436.3957208,210.319474,333.3194803,512.4555728,298.8752771,368.1753544,376.6598557,225.4522759,318.098193,560.8987731,702.5200416,335.0028607
AT1G03140,497.5639186,363.6665269,323.9841107,521.06018,389.5312384,363.561831,498.316164,428.0508045,481.021811,482.522491,511.4741652,255.0901096
