RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01130,11.02504818,4.323334707,6.45015818,2.784853147,7.410107143,6.839468113,4.590969652,13.71756102,13.37551348,9.842630069,10.54885366,2.058405455
AT1G01200,9.26046018,11.06574056,3.237740631,16.08693817,12.1025829,11.98740473,2.615183451,50.18808107,16.89895522,25.12829574,14.2618517,7.224560024
AT1G01340,4.139064667,12.76874033,17.63728783,17.56119223,18.26865539,16.77771362,0,14.00726594,11.48600362,10.35467406,12.31340799,37.60955094
AT1G01380,5.827425102,5.434790108,7.546284776,0.689731177,32.31314908,8.912512355,7.832786051,10.43651212,8.293513259,20.03858511,18.57027805,5.091737492
AT1G01480,2.624099868,6.918446099,3.59882399,1.244122124,1.397912798,24.98020933,3.608167433,18.11835255,8.807394608,0,0,5.505717532
AT1G01700,4.888708281,1.074473063,13.58895063,9.489865316,11.77293093,16.48798394,23.28464983,9.05457452,15.40303613,21.1106278,16.48011354,18.07518574
AT1G01810,8.438601536,2.196926079,13.74388599,10.47413931,14.800984,16.86232704,12.4044555,15.92321396,9.425809243,11.3908837,3.549240792,8.249668148
AT1G01880,1.016685545,4.311756129,13.20592462,6.798534053,16.68518415,0,10.94115686,14.77209142,12.59930617,23.68313008,36.30628285,13.21736752
AT1G01900,7.567138799,5.553233533,8.098659162,3.499864425,6.721079484,20.0497061,3.458368067,3.233756611,6.363954567,14.56186923,12.50726941,2.064885258
AT1G02030,3.363946009,1.109921434,14.57625435,3.499394039,1.344312769,8.014848062,7.792744712,11.63086993,6.359168023,6.474243145,0,14.45334247
AT1G02310,0,0,6.423958796,1.387830938,0,10.11957971,1.725188323,13.42254346,8.391220397,0.819969893,0,0
