RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01230,335.3941153,345.3207739,355.9815642,324.323004,319.4625963,381.4959721,315.0462841,565.7878175,553.6433445,318.2455814,263.3519302,315.7164156
AT1G01300,566.0097111,357.34819,445.3773664,503.8991687,488.6646102,551.9535963,431.3244154,253.8943667,485.3437463,511.5013136,485.764214,371.6529367
AT1G01470,115.3049125,283.5000074,644.3842035,174.1872525,14.79092836,341.8927948,241.9266692,536.55619,488.3871871,38.89253974,107.0143434,123.8591423
AT1G01490,320.2412605,207.8229391,314.4098062,325.2992024,244.3339219,404.9266998,287.9035984,548.8671098,525.408647,164.0418777,132.9826202,300.9858205
AT1G01510,516.2409916,469.8190919,424.3716876,513.0835978,569.2733305,247.6217405,628.5117184,218.6120836,371.2448256,618.8682718,557.4781146,496.6063714
AT1G01730,435.2507627,375.1052285,525.3184761,437.1391711,366.4415304,724.1956247,435.9244465,340.9919361,577.6916518,409.3615109,452.7963971,401.476569
AT1G01820,441.9284128,444.986174,621.6763188,467.2530985,316.6742748,525.6108308,442.5196147,426.7905687,462.7803321,263.396907,361.9663601,354.0150057
AT1G02160,345.0657656,380.0109016,388.6956283,302.3640566,444.8428206,773.9201924,579.7441677,555.409186,492.2634132,476.6797989,633.7425831,538.23122
AT1G02305,508.3050293,376.6245957,682.4591217,506.5011841,291.1044896,486.9731194,614.0209064,548.3561174,598.5120164,322.4378566,283.6348506,579.0568596
AT1G02816,416.4701079,467.7990141,411.3004201,490.4864921,432.9266499,601.3889166,330.8221667,684.3711708,552.4484167,447.0256308,323.0247153,389.1620582
AT1G02850,877.6117332,808.7175738,799.849298,934.3235678,451.1194799,775.3597063,605.9783445,473.2517186,298.4012261,323.9337363,356.8656517,495.1265584
AT1G02900,229.2366748,315.4374651,531.5195008,453.6022237,349.0641805,717.9600216,204.6102299,870.4225204,963.8053579,198.1224869,78.27911656,330.1499885
AT1G02920,166.6862152,91.84902813,374.7705585,497.999611,55.80615482,981.0040262,25.27803235,41.18207878,90.83572816,13.77976519,12.47940341,71.21378725
AT1G03330,423.2456387,388.8376685,425.4546181,410.1478778,512.5491094,712.1066453,405.0907107,838.8504458,762.7743355,520.0060782,759.0696538,492.0551025
