RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01070,239.3094924,372.201278,329.6177269,95.28994574,272.7223777,45.57255703,138.5259402,471.0049835,327.121764,405.2016932,221.0574021,293.8323593
AT1G01230,406.1760312,393.9628095,488.0955819,359.6553154,415.8143054,367.5729685,316.9061566,401.6458756,416.9331564,326.75767,379.6533564,385.3297382
AT1G01470,515.0058278,309.8025225,484.4062711,64.46408651,82.08817868,90.05545983,122.3502282,636.2889436,227.3050232,40.18788632,29.19205157,43.80077601
AT1G01490,321.9239103,337.1110789,377.2753777,374.8424395,203.0500802,231.2131283,340.7111954,466.7645087,403.4605201,303.5235138,263.2555722,221.5383766
AT1G01510,427.7275613,357.306333,432.7527328,514.3157292,434.0889172,694.9152003,452.2143391,259.755918,513.2733163,456.8435274,361.8174366,417.1057096
AT1G01730,479.1231707,491.0729995,636.9497278,577.5526272,672.4873071,475.4473337,490.6467797,689.018128,573.5833718,393.3934956,421.7641793,366.168489
AT1G02100,371.7570955,432.6808222,492.5131176,525.2435705,329.6332088,326.167972,424.5294454,502.28197,545.3050608,565.6932707,314.1640029,366.9164007
AT1G02160,486.2585857,468.4299997,501.0237473,524.7379132,791.0057263,642.0944228,712.0374337,545.2388286,620.5627437,552.7446322,441.7052423,421.7013567
AT1G02816,445.5378475,462.3574344,527.2518658,444.8612012,311.8532005,404.3942654,241.9121099,581.0474115,365.6329933,558.5842717,532.6047853,457.7540668
AT1G02850,587.7033471,871.4575309,935.315591,639.6343787,816.0763137,1146.239258,357.314006,531.181713,360.6478263,610.8770324,311.1132064,615.1336352
AT1G02920,297.138193,538.1799254,518.9310584,596.5282073,14.89332808,0,88.81600527,217.1216066,95.10043023,11.48550187,127.1593237,103.9117463
AT1G03080,379.9005969,344.7663269,334.1784409,290.7380912,290.8900741,247.9283347,315.3571139,426.7410221,383.207658,378.4545899,279.3474054,228.9334547
AT1G03090,201.1929173,458.337995,297.3803033,155.9082359,221.7328544,180.3595994,103.4241093,589.0235901,418.6259136,108.0968572,65.50842099,60.5541176
AT1G03140,460.520961,416.7852812,465.1474041,467.6742375,413.9412201,520.302529,447.3538226,461.828907,348.5812405,510.7932875,357.3658463,385.7213927
AT1G03210,510.7593229,481.7042783,622.8262469,601.0982963,416.5128329,359.4093925,465.06063,566.5143474,456.2950152,719.5320903,569.3227943,434.3454967
AT1G03230,966.5894355,701.9991658,858.1784817,565.3949421,667.5529901,537.4835254,603.5496991,395.3015551,408.8234128,367.1821532,728.8774669,718.8307958
AT1G03330,569.1885474,596.0145812,506.2343905,607.8087888,680.9172728,536.4639754,504.0133567,497.0480858,572.5507268,535.9607585,598.6135784,641.4557986
AT1G03410,433.171417,458.7007295,365.6252943,420.5812155,779.780118,632.9360642,598.4376859,467.231517,634.4577331,580.4162513,650.6548492,494.726824
