RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01090,1134.144916,499.0048226,979.9041133,1176.169554,699.8828079,817.3443542,995.1248937,591.097839,776.4879801,1276.934164,1361.233645,854.5458088
AT1G01550,1076.038642,1069.879036,1072.98561,584.523132,987.3991914,881.1919646,842.2487739,1183.18016,1222.143865,481.0522084,646.3966433,846.0650424
AT1G01720,1130.245087,867.0887348,952.105763,595.5416555,834.0292348,984.7881585,795.982971,1209.783511,1171.789183,425.1375289,753.5186139,796.0509991
AT1G01800,978.8275623,989.247097,1080.83762,782.5911211,889.0043145,671.2036973,754.1096123,1307.830188,961.7208955,702.3981126,561.7187264,639.2610177
AT1G02130,983.3854551,1186.591211,1004.991148,816.7031113,881.1565827,826.3672939,978.1763464,911.0898504,897.5745404,963.1760336,906.663084,687.1218436
AT1G02160,518.5381208,790.6962628,636.8032651,389.2332976,492.1552762,556.6613928,460.4831818,491.2245572,541.8768239,496.0052044,391.1667156,541.3139889
AT1G02305,480.3535833,527.1385871,439.3414983,212.4669689,352.5046813,291.3141093,209.5721179,746.7263669,531.1444312,175.7562698,121.4322293,266.3314535
AT1G02840,852.3214695,658.6906587,750.7128076,774.4633785,759.8697027,772.6983482,1066.522695,546.7462817,841.863357,868.7008505,782.2169699,701.0200006
AT1G02900,559.3736767,1288.012846,835.3401657,400.0977659,1145.934657,955.2097279,24.87857426,1329.796456,297.3144369,87.13689359,149.9109236,132.0304174
AT1G03230,1727.278085,488.5023021,1142.90115,901.1073383,567.7302777,581.4820143,691.1742735,500.6858369,822.0144493,804.8200567,826.3020425,880.1523885
AT1G03330,559.9589676,892.7755187,774.3180849,556.9429341,709.9320944,521.5831466,625.9600208,773.1789211,483.2563142,862.123663,727.0840952,885.1031313
