"","WS_FLT_c1.which.mclass....2...1."
"1","AT1G01070"
"2","AT1G01160"
"3","AT1G01210"
"4","AT1G01260"
"5","AT1G01290"
"6","AT1G01350"
"7","AT1G01440"
"8","AT1G01830"
"9","AT1G01860"
"10","AT1G01900"
"11","AT1G01920"
"12","AT1G01930"
"13","AT1G02000"
"14","AT1G02010"
"15","AT1G02145"
"16","AT1G02270"
"17","AT1G02300"
"18","AT1G02570"
"19","AT1G02720"
"20","AT1G02816"
"21","AT1G02820"
"22","AT1G02960"
"23","AT1G03030"
"24","AT1G03110"
"25","AT1G03150"
"26","AT1G03330"
"27","AT1G03360"
"28","AT1G03365"
"29","AT1G03400"
"30","AT1G03430"
"31","AT1G03440"
"32","AT1G03687"
"33","AT1G03780"
"34","AT1G03970"
"35","AT1G04020"
"36","AT1G04130"
"37","AT1G04240"
"38","AT1G04340"
"39","AT1G04370"
"40","AT1G04390"
"41","AT1G04503"
"42","AT1G04743"
"43","AT1G04980"
"44","AT1G05030"
"45","AT1G05055"
"46","AT1G05170"
"47","AT1G05347"
"48","AT1G05360"
"49","AT1G05460"
"50","AT1G05470"
"51","AT1G05680"
"52","AT1G05720"
"53","AT1G05860"
"54","AT1G05927"
"55","AT1G06070"
"56","AT1G06240"
"57","AT1G06560"
"58","AT1G06640"
"59","AT1G06645"
"60","AT1G06730"
"61","AT1G06840"
"62","AT1G07040"
"63","AT1G07070"
"64","AT1G07090"
"65","AT1G07220"
"66","AT1G07380"
"67","AT1G07420"
"68","AT1G07470"
"69","AT1G07610"
"70","AT1G07630"
"71","AT1G07830"
"72","AT1G07960"
"73","AT1G07980"
"74","AT1G08010"
"75","AT1G08030"
"76","AT1G08040"
"77","AT1G08043"
"78","AT1G08125"
"79","AT1G08250"
"80","AT1G08280"
"81","AT1G08430"
"82","AT1G08460"
"83","AT1G08650"
"84","AT1G08720"
"85","AT1G08760"
"86","AT1G08800"
"87","AT1G08830"
"88","AT1G08900"
"89","AT1G08910"
"90","AT1G08960"
"91","AT1G09023"
"92","AT1G09290"
"93","AT1G09520"
"94","AT1G09580"
"95","AT1G09630"
"96","AT1G09810"
"97","AT1G09963"
"98","AT1G10050"
"99","AT1G10090"
"100","AT1G10150"
"101","AT1G10155"
"102","AT1G10240"
"103","AT1G10410"
"104","AT1G10570"
"105","AT1G10600"
"106","AT1G10720"
"107","AT1G10820"
"108","AT1G10920"
"109","AT1G10970"
"110","AT1G11020"
"111","AT1G11060"
"112","AT1G11290"
"113","AT1G11360"
"114","AT1G11400"
"115","AT1G11410"
"116","AT1G11475"
"117","AT1G11530"
"118","AT1G11545"
"119","AT1G11670"
"120","AT1G11700"
"121","AT1G11780"
"122","AT1G11800"
"123","AT1G11960"
"124","AT1G12010"
"125","AT1G12064"
"126","AT1G12200"
"127","AT1G12280"
"128","AT1G12350"
"129","AT1G12380"
"130","AT1G12650"
"131","AT1G12680"
"132","AT1G12810"
"133","AT1G13000"
"134","AT1G13030"
"135","AT1G13130"
"136","AT1G13280"
"137","AT1G13450"
"138","AT1G13570"
"139","AT1G13620"
"140","AT1G13690"
"141","AT1G13860"
"142","AT1G13960"
"143","AT1G13990"
"144","AT1G14010"
"145","AT1G14020"
"146","AT1G14200"
"147","AT1G14290"
"148","AT1G14300"
"149","AT1G14330"
"150","AT1G14440"
"151","AT1G14560"
"152","AT1G14580"
"153","AT1G14590"
"154","AT1G14790"
"155","AT1G14820"
"156","AT1G14900"
"157","AT1G15230"
"158","AT1G15260"
"159","AT1G15400"
"160","AT1G15420"
"161","AT1G15430"
"162","AT1G15470"
"163","AT1G15480"
"164","AT1G15510"
"165","AT1G15570"
"166","AT1G15660"
"167","AT1G15960"
"168","AT1G15970"
"169","AT1G16030"
"170","AT1G16190"
"171","AT1G16280"
"172","AT1G16340"
"173","AT1G16400"
"174","AT1G16630"
"175","AT1G16900"
"176","AT1G16970"
"177","AT1G17070"
"178","AT1G17160"
"179","AT1G17232"
"180","AT1G17340"
"181","AT1G17530"
"182","AT1G17600"
"183","AT1G17710"
"184","AT1G17730"
"185","AT1G17760"
"186","AT1G17780"
"187","AT1G17820"
"188","AT1G17890"
"189","AT1G17970"
"190","AT1G18020"
"191","AT1G18190"
"192","AT1G18280"
"193","AT1G18480"
"194","AT1G18485"
"195","AT1G18490"
"196","AT1G18580"
"197","AT1G18600"
"198","AT1G18850"
"199","AT1G18880"
"200","AT1G19050"
"201","AT1G19100"
"202","AT1G19120"
"203","AT1G19170"
"204","AT1G19220"
"205","AT1G19300"
"206","AT1G19690"
"207","AT1G19860"
"208","AT1G20190"
"209","AT1G20225"
"210","AT1G20270"
"211","AT1G20300"
"212","AT1G20410"
"213","AT1G20430"
"214","AT1G20540"
"215","AT1G20575"
"216","AT1G20830"
"217","AT1G20910"
"218","AT1G21060"
"219","AT1G21110"
"220","AT1G21160"
"221","AT1G21190"
"222","AT1G21410"
"223","AT1G21480"
"224","AT1G21710"
"225","AT1G21760"
"226","AT1G22140"
"227","AT1G22400"
"228","AT1G22520"
"229","AT1G22550"
"230","AT1G22630"
"231","AT1G22660"
"232","AT1G22790"
"233","AT1G22860"
"234","AT1G22870"
"235","AT1G22910"
"236","AT1G22950"
"237","AT1G22970"
"238","AT1G23020"
"239","AT1G23160"
"240","AT1G23260"
"241","AT1G23330"
"242","AT1G23360"
"243","AT1G23970"
"244","AT1G24150"
"245","AT1G24260"
"246","AT1G24310"
"247","AT1G24350"
"248","AT1G25240"
"249","AT1G25290"
"250","AT1G25530"
"251","AT1G25580"
"252","AT1G26090"
"253","AT1G26120"
"254","AT1G26130"
"255","AT1G26190"
"256","AT1G26210"
"257","AT1G26470"
"258","AT1G26570"
"259","AT1G26690"
"260","AT1G26740"
"261","AT1G26750"
"262","AT1G26910"
"263","AT1G26920"
"264","AT1G27030"
"265","AT1G27070"
"266","AT1G27120"
"267","AT1G27130"
"268","AT1G27150"
"269","AT1G27200"
"270","AT1G27290"
"271","AT1G27330"
"272","AT1G27350"
"273","AT1G27360"
"274","AT1G27370"
"275","AT1G27435"
"276","AT1G27461"
"277","AT1G27630"
"278","AT1G27680"
"279","AT1G27690"
"280","AT1G27840"
"281","AT1G28010"
"282","AT1G28090"
"283","AT1G28410"
"284","AT1G28570"
"285","AT1G28610"
"286","AT1G28685"
"287","AT1G29220"
"288","AT1G29320"
"289","AT1G29395"
"290","AT1G29760"
"291","AT1G29790"
"292","AT1G29800"
"293","AT1G29820"
"294","AT1G29970"
"295","AT1G30460"
"296","AT1G30480"
"297","AT1G30620"
"298","AT1G30890"
"299","AT1G31120"
"300","AT1G31170"
"301","AT1G31500"
"302","AT1G31550"
"303","AT1G31830"
"304","AT1G31940"
"305","AT1G32190"
"306","AT1G32330"
"307","AT1G32340"
"308","AT1G32510"
"309","AT1G32540"
"310","AT1G32870"
"311","AT1G33060"
"312","AT1G33265"
"313","AT1G33270"
"314","AT1G33330"
"315","AT1G33400"
"316","AT1G33415"
"317","AT1G33520"
"318","AT1G33970"
"319","AT1G34020"
"320","AT1G34110"
"321","AT1G34210"
"322","AT1G34300"
"323","AT1G34418"
"324","AT1G34510"
"325","AT1G34750"
"326","AT1G34780"
"327","AT1G35190"
"328","AT1G35350"
"329","AT1G35460"
"330","AT1G35516"
"331","AT1G35660"
"332","AT1G38131"
"333","AT1G42480"
"334","AT1G43130"
"335","AT1G44110"
"336","AT1G44542"
"337","AT1G44790"
"338","AT1G45010"
"339","AT1G45145"
"340","AT1G45207"
"341","AT1G45249"
"342","AT1G45332"
"343","AT1G45976"
"344","AT1G47210"
"345","AT1G47240"
"346","AT1G47250"
"347","AT1G47290"
"348","AT1G47310"
"349","AT1G47330"
"350","AT1G47670"
"351","AT1G47970"
"352","AT1G48160"
"353","AT1G48240"
"354","AT1G48280"
"355","AT1G48315"
"356","AT1G48320"
"357","AT1G48430"
"358","AT1G49050"
"359","AT1G49400"
"360","AT1G49510"
"361","AT1G49590"
"362","AT1G49975"
"363","AT1G49980"
"364","AT1G50120"
"365","AT1G50260"
"366","AT1G50420"
"367","AT1G50440"
"368","AT1G50620"
"369","AT1G50710"
"370","AT1G50730"
"371","AT1G50910"
"372","AT1G51310"
"373","AT1G51340"
"374","AT1G51540"
"375","AT1G51600"
"376","AT1G51745"
"377","AT1G52030"
"378","AT1G52160"
"379","AT1G52200"
"380","AT1G52320"
"381","AT1G52370"
"382","AT1G52720"
"383","AT1G52770"
"384","AT1G53165"
"385","AT1G53190"
"386","AT1G53460"
"387","AT1G53580"
"388","AT1G53710"
"389","AT1G53720"
"390","AT1G53760"
"391","AT1G53880"
"392","AT1G53920"
"393","AT1G54310"
"394","AT1G54380"
"395","AT1G54385"
"396","AT1G54390"
"397","AT1G54400"
"398","AT1G54440"
"399","AT1G54510"
"400","AT1G54570"
"401","AT1G54730"
"402","AT1G54740"
"403","AT1G54830"
"404","AT1G55250"
"405","AT1G55265"
"406","AT1G55520"
"407","AT1G55535"
"408","AT1G55870"
"409","AT1G55880"
"410","AT1G55900"
"411","AT1G56140"
"412","AT1G56170"
"413","AT1G56230"
"414","AT1G56290"
"415","AT1G56300"
"416","AT1G56423"
"417","AT1G56430"
"418","AT1G56440"
"419","AT1G56520"
"420","AT1G56590"
"421","AT1G58180"
"422","AT1G58220"
"423","AT1G58684"
"424","AT1G58807"
"425","AT1G59124"
"426","AT1G59540"
"427","AT1G59650"
"428","AT1G59710"
"429","AT1G59790"
"430","AT1G59960"
"431","AT1G60560"
"432","AT1G60650"
"433","AT1G60660"
"434","AT1G60750"
"435","AT1G60790"
"436","AT1G60850"
"437","AT1G60860"
"438","AT1G60995"
"439","AT1G61030"
"440","AT1G61350"
"441","AT1G61580"
"442","AT1G61990"
"443","AT1G62600"
"444","AT1G62800"
"445","AT1G63260"
"446","AT1G63450"
"447","AT1G63470"
"448","AT1G63670"
"449","AT1G63750"
"450","AT1G63850"
"451","AT1G64010"
"452","AT1G64060"
"453","AT1G64110"
"454","AT1G64200"
"455","AT1G64350"
