"","WS_GC_c1.which.mclass....4...1."
"1","AT1G01560"
"2","AT1G01810"
"3","AT1G02440"
"4","AT1G02450"
"5","AT1G02470"
"6","AT1G02650"
"7","AT1G02700"
"8","AT1G02820"
"9","AT1G02980"
"10","AT1G03106"
"11","AT1G03170"
"12","AT1G03200"
"13","AT1G03710"
"14","AT1G04330"
"15","AT1G04380"
"16","AT1G04707"
"17","AT1G04880"
"18","AT1G04973"
"19","AT1G05005"
"20","AT1G05065"
"21","AT1G05230"
"22","AT1G05253"
"23","AT1G05550"
"24","AT1G05880"
"25","AT1G06213"
"26","AT1G06250"
"27","AT1G06260"
"28","AT1G06320"
"29","AT1G06645"
"30","AT1G06977"
"31","AT1G06980"
"32","AT1G07120"
"33","AT1G07143"
"34","AT1G07180"
"35","AT1G07430"
"36","AT1G07490"
"37","AT1G07513"
"38","AT1G07887"
"39","AT1G07985"
"40","AT1G08073"
"41","AT1G08087"
"42","AT1G08173"
"43","AT1G08270"
"44","AT1G08317"
"45","AT1G08387"
"46","AT1G08597"
"47","AT1G08727"
"48","AT1G08810"
"49","AT1G09180"
"50","AT1G09287"
"51","AT1G09400"
"52","AT1G09517"
"53","AT1G09650"
"54","AT1G09860"
"55","AT1G10060"
"56","AT1G10680"
"57","AT1G10710"
"58","AT1G10800"
"59","AT1G11070"
"60","AT1G11500"
"61","AT1G11570"
"62","AT1G12070"
"63","AT1G12130"
"64","AT1G12610"
"65","AT1G12805"
"66","AT1G13130"
"67","AT1G13550"
"68","AT1G14205"
"69","AT1G14453"
"70","AT1G14490"
"71","AT1G14500"
"72","AT1G14540"
"73","AT1G14687"
"74","AT1G15150"
"75","AT1G15180"
"76","AT1G15260"
"77","AT1G15330"
"78","AT1G15385"
"79","AT1G15405"
"80","AT1G15900"
"81","AT1G16022"
"82","AT1G16225"
"83","AT1G16705"
"84","AT1G16960"
"85","AT1G17065"
"86","AT1G17240"
"87","AT1G17420"
"88","AT1G17600"
"89","AT1G17710"
"90","AT1G18193"
"91","AT1G18265"
"92","AT1G18280"
"93","AT1G18730"
"94","AT1G18835"
"95","AT1G18990"
"96","AT1G19115"
"97","AT1G19320"
"98","AT1G19390"
"99","AT1G19397"
"100","AT1G19670"
"101","AT1G19750"
"102","AT1G20520"
"103","AT1G20530"
"104","AT1G21250"
"105","AT1G21320"
"106","AT1G21340"
"107","AT1G21400"
"108","AT1G21695"
"109","AT1G21990"
"110","AT1G22340"
"111","AT1G22370"
"112","AT1G22680"
"113","AT1G23110"
"114","AT1G23450"
"115","AT1G23465"
"116","AT1G23730"
"117","AT1G24070"
"118","AT1G24210"
"119","AT1G24270"
"120","AT1G24405"
"121","AT1G24600"
"122","AT1G25422"
"123","AT1G25425"
"124","AT1G26290"
"125","AT1G26590"
"126","AT1G26610"
"127","AT1G26700"
"128","AT1G26761"
"129","AT1G27180"
"130","AT1G27695"
"131","AT1G27890"
"132","AT1G28170"
"133","AT1G28430"
"134","AT1G29290"
"135","AT1G29395"
"136","AT1G29540"
"137","AT1G29740"
"138","AT1G29780"
"139","AT1G29860"
"140","AT1G30190"
"141","AT1G30220"
"142","AT1G30560"
"143","AT1G30757"
"144","AT1G30860"
"145","AT1G31040"
"146","AT1G31240"
"147","AT1G31430"
"148","AT1G31750"
"149","AT1G31920"
"150","AT1G32180"
"151","AT1G32540"
"152","AT1G32970"
"153","AT1G33030"
"154","AT1G33475"
"155","AT1G33500"
"156","AT1G33600"
"157","AT1G34460"
"158","AT1G34480"
"159","AT1G35170"
"160","AT1G35230"
"161","AT1G36640"
"162","AT1G36992"
"163","AT1G44020"
"164","AT1G45229"
"165","AT1G47395"
"166","AT1G47400"
"167","AT1G47510"
"168","AT1G47760"
"169","AT1G47890"
"170","AT1G47990"
"171","AT1G48000"
"172","AT1G48470"
"173","AT1G48700"
"174","AT1G48720"
"175","AT1G49330"
"176","AT1G49405"
"177","AT1G49700"
"178","AT1G49832"
"179","AT1G49900"
"180","AT1G49920"
"181","AT1G49975"
"182","AT1G50310"
"183","AT1G50720"
"184","AT1G51080"
"185","AT1G51460"
"186","AT1G51480"
"187","AT1G51820"
"188","AT1G52315"
"189","AT1G52690"
"190","AT1G52905"
"191","AT1G53130"
"192","AT1G53480"
"193","AT1G53540"
"194","AT1G53885"
"195","AT1G53903"
"196","AT1G54020"
"197","AT1G54050"
"198","AT1G54215"
"199","AT1G54400"
"200","AT1G55030"
"201","AT1G55440"
"202","AT1G55550"
"203","AT1G55640"
"204","AT1G55945"
"205","AT1G56165"
"206","AT1G56240"
"207","AT1G56260"
"208","AT1G58320"
"209","AT1G58848"
"210","AT1G59670"
"211","AT1G60360"
"212","AT1G60970"
"213","AT1G61415"
"214","AT1G61450"
"215","AT1G61720"
"216","AT1G61750"
"217","AT1G61760"
"218","AT1G61800"
"219","AT1G62240"
"220","AT1G62290"
"221","AT1G62420"
"222","AT1G62490"
"223","AT1G62540"
"224","AT1G62590"
"225","AT1G62720"
"226","AT1G63055"
"227","AT1G63630"
"228","AT1G64360"
"229","AT1G64540"
"230","AT1G64572"
"231","AT1G64940"
"232","AT1G65370"
"233","AT1G65570"
"234","AT1G65620"
"235","AT1G65680"
"236","AT1G66040"
"237","AT1G66130"
"238","AT1G66173"
"239","AT1G66420"
"240","AT1G66460"
"241","AT1G66465"
"242","AT1G66590"
"243","AT1G66650"
"244","AT1G66690"
"245","AT1G66810"
"246","AT1G66920"
"247","AT1G66940"
"248","AT1G68120"
"249","AT1G68460"
"250","AT1G68500"
"251","AT1G68520"
"252","AT1G68630"
"253","AT1G69325"
"254","AT1G69430"
"255","AT1G69560"
"256","AT1G69572"
"257","AT1G69730"
"258","AT1G69930"
"259","AT1G70475"
"260","AT1G70581"
"261","AT1G70640"
"262","AT1G70720"
"263","AT1G70985"
"264","AT1G71050"
"265","AT1G71140"
"266","AT1G71450"
"267","AT1G71520"
"268","AT1G71691"
"269","AT1G71760"
"270","AT1G72100"
"271","AT1G72270"
"272","AT1G72540"
"273","AT1G72720"
"274","AT1G72930"
"275","AT1G73066"
"276","AT1G73165"
"277","AT1G73490"
"278","AT1G73965"
"279","AT1G74385"
"280","AT1G74650"
"281","AT1G74810"
"282","AT1G75125"
"283","AT1G75240"
"284","AT1G75460"
"285","AT1G75550"
"286","AT1G75880"
"287","AT1G76220"
"288","AT1G76230"
"289","AT1G76480"
"290","AT1G76640"
"291","AT1G76705"
"292","AT1G77570"
"293","AT1G77730"
"294","AT1G77790"
"295","AT1G77860"
"296","AT1G77870"
"297","AT1G78172"
"298","AT1G78190"
"299","AT1G78476"
"300","AT1G78480"
"301","AT1G78840"
"302","AT1G78865"
"303","AT1G80160"
"304","AT2G01175"
"305","AT2G01590"
"306","AT2G01755"
"307","AT2G01870"
"308","AT2G01905"
"309","AT2G02010"
"310","AT2G02300"
"311","AT2G02310"
"312","AT2G02635"
"313","AT2G02690"
"314","AT2G03210"
"315","AT2G03360"
"316","AT2G03710"
"317","AT2G04039"
"318","AT2G04295"
"319","AT2G04621"
"320","AT2G04790"
"321","AT2G05215"
"322","AT2G05400"
"323","AT2G05518"
"324","AT2G05520"
"325","AT2G05585"
"326","AT2G07275"
"327","AT2G07687"
"328","AT2G07708"
"329","AT2G08060"
"330","AT2G08470"
"331","AT2G08685"
"332","AT2G08750"
"333","AT2G09090"
"334","AT2G09190"
"335","AT2G09740"
"336","AT2G10615"
"337","AT2G11810"
"338","AT2G13660"
"339","AT2G13900"
"340","AT2G14080"
"341","AT2G14290"
"342","AT2G14620"
"343","AT2G14760"
"344","AT2G15020"
"345","AT2G15590"
"346","AT2G15830"
"347","AT2G16245"
"348","AT2G17040"
"349","AT2G17690"
"350","AT2G18120"
"351","AT2G18680"
"352","AT2G18938"
"353","AT2G18969"
"354","AT2G19190"
"355","AT2G19330"
"356","AT2G20250"
"357","AT2G20470"
"358","AT2G20510"
"359","AT2G21080"
"360","AT2G21200"
"361","AT2G21400"
"362","AT2G21450"
"363","AT2G21510"
"364","AT2G21610"
"365","AT2G21770"
"366","AT2G22460"
"367","AT2G22905"
"368","AT2G22950"
"369","AT2G23010"
"370","AT2G23270"
"371","AT2G23348"
"372","AT2G23400"
"373","AT2G23987"
"374","AT2G24000"
"375","AT2G24130"
"376","AT2G24395"
"377","AT2G24645"
"378","AT2G24720"
"379","AT2G25200"
"380","AT2G25770"
"381","AT2G26370"
"382","AT2G26400"
"383","AT2G26520"
"384","AT2G26560"
"385","AT2G26740"
"386","AT2G27180"
"387","AT2G27300"
"388","AT2G27650"
"389","AT2G28040"
"390","AT2G28710"
"391","AT2G29000"
"392","AT2G29310"
"393","AT2G29380"
"394","AT2G30630"
"395","AT2G30750"
"396","AT2G30790"
"397","AT2G31082"
"398","AT2G31550"
"399","AT2G31930"
"400","AT2G31980"
"401","AT2G32140"
"402","AT2G32487"
"403","AT2G32620"
"404","AT2G32670"
"405","AT2G32765"
"406","AT2G32795"
"407","AT2G32830"
"408","AT2G34000"
"409","AT2G34230"
"410","AT2G34330"
"411","AT2G34430"
"412","AT2G34440"
"413","AT2G34960"
"414","AT2G35130"
"415","AT2G35310"
"416","AT2G35420"
"417","AT2G35550"
"418","AT2G35612"
"419","AT2G35700"
"420","AT2G35736"
"421","AT2G35935"
"422","AT2G36026"
"423","AT2G36110"
"424","AT2G36540"
"425","AT2G36550"
"426","AT2G36630"
"427","AT2G37000"
"428","AT2G37770"
"429","AT2G38220"
"430","AT2G38250"
"431","AT2G38920"
"432","AT2G39400"
"433","AT2G39470"
"434","AT2G39490"
"435","AT2G40050"
"436","AT2G40250"
"437","AT2G40710"
"438","AT2G40711"
"439","AT2G41240"
"440","AT2G41340"
"441","AT2G41451"
"442","AT2G42005"
"443","AT2G42395"
"444","AT2G42440"
"445","AT2G42975"
"446","AT2G43310"
"447","AT2G43510"
"448","AT2G43745"
"449","AT2G43890"
"450","AT2G43920"
"451","AT2G44990"
"452","AT2G45350"
"453","AT2G45360"
"454","AT2G45850"
"455","AT2G46050"
"456","AT2G46130"
"457","AT2G46870"
"458","AT2G46990"
"459","AT2G47190"
"460","AT2G47480"
"461","AT2G47750"
"462","AT2G48150"
"463","AT3G01015"
"464","AT3G01045"
"465","AT3G01065"
"466","AT3G01080"
"467","AT3G01175"
"468","AT3G01490"
"469","AT3G01505"
"470","AT3G01570"
"471","AT3G01660"
"472","AT3G02430"
"473","AT3G02493"
"474","AT3G02765"
"475","AT3G03290"
"476","AT3G03760"
"477","AT3G03800"
"478","AT3G03965"
"479","AT3G04000"
"480","AT3G04050"
"481","AT3G04181"
"482","AT3G04330"
"483","AT3G04800"
"484","AT3G04854"
"485","AT3G04960"
"486","AT3G05180"
"487","AT3G05260"
"488","AT3G05720"
"489","AT3G05820"
"490","AT3G05950"
"491","AT3G06025"
"492","AT3G06100"
"493","AT3G06640"
"494","AT3G06690"
"495","AT3G06710"
"496","AT3G06880"
"497","AT3G07120"
"498","AT3G07205"
"499","AT3G07425"
"500","AT3G08115"
"501","AT3G08225"
"502","AT3G08470"
"503","AT3G08520"
"504","AT3G08700"
"505","AT3G08810"
"506","AT3G08870"
"507","AT3G09310"
"508","AT3G09340"
"509","AT3G09400"
"510","AT3G09640"
"511","AT3G09655"
"512","AT3G10290"
"513","AT3G10600"
"514","AT3G10680"
"515","AT3G10780"
"516","AT3G10986"
"517","AT3G12685"
"518","AT3G13170"
"519","AT3G13210"
"520","AT3G13400"
"521","AT3G13437"
"522","AT3G13660"
"523","AT3G13970"
"524","AT3G14225"
"525","AT3G14490"
"526","AT3G14950"
"527","AT3G15050"
"528","AT3G15250"
"529","AT3G15500"
"530","AT3G15518"
"531","AT3G15570"
"532","AT3G15830"
"533","AT3G16030"
"534","AT3G16360"
"535","AT3G17220"
"536","AT3G17520"
"537","AT3G17655"
"538","AT3G17717"
"539","AT3G18870"
"540","AT3G19090"
"541","AT3G19700"
"542","AT3G20160"
"543","AT3G20710"
"544","AT3G20950"
"545","AT3G21210"
"546","AT3G21310"
"547","AT3G21351"
"548","AT3G21352"
"549","AT3G21460"
"550","AT3G21780"
"551","AT3G21781"
"552","AT3G21790"
"553","AT3G22415"
"554","AT3G22560"
"555","AT3G22961"
"556","AT3G23010"
"557","AT3G23060"
"558","AT3G23240"
"559","AT3G23260"
"560","AT3G23450"
"561","AT3G24130"
"562","AT3G25670"
"563","AT3G25795"
"564","AT3G25950"
"565","AT3G26170"
"566","AT3G26280"
"567","AT3G26310"
"568","AT3G27027"
"569","AT3G27040"
"570","AT3G27070"
"571","AT3G27250"
"572","AT3G27355"
"573","AT3G27415"
"574","AT3G27475"
"575","AT3G27490"
"576","AT3G27690"
"577","AT3G27950"
"578","AT3G28270"
"579","AT3G28330"
"580","AT3G28380"
"581","AT3G28500"
"582","AT3G28620"
"583","AT3G28750"
"584","AT3G28857"
"585","AT3G29110"
"586","AT3G29330"
"587","AT3G29370"
"588","AT3G29639"
"589","AT3G29780"
"590","AT3G30210"
"591","AT3G30340"
"592","AT3G30460"
"593","AT3G41762"
"594","AT3G42850"
"595","AT3G43930"
"596","AT3G44020"
"597","AT3G44490"
"598","AT3G44660"
"599","AT3G44713"
"600","AT3G44800"
"601","AT3G44860"
"602","AT3G44870"
"603","AT3G45140"
"604","AT3G45220"
"605","AT3G45530"
"606","AT3G45720"
"607","AT3G45920"
"608","AT3G46260"
"609","AT3G46370"
"610","AT3G46880"
"611","AT3G46890"
"612","AT3G47090"
"613","AT3G47100"
"614","AT3G47180"
"615","AT3G47380"
"616","AT3G47430"
"617","AT3G47480"
"618","AT3G48010"
"619","AT3G48320"
"620","AT3G48460"
"621","AT3G48475"
"622","AT3G48580"
"623","AT3G49230"
"624","AT3G49570"
"625","AT3G49580"
"626","AT3G50030"
"627","AT3G50160"
"628","AT3G50270"
"629","AT3G50470"
"630","AT3G50560"
"631","AT3G50610"
"632","AT3G50890"
"633","AT3G51070"
"634","AT3G51220"
"635","AT3G51325"
"636","AT3G51560"
"637","AT3G52680"
"638","AT3G52770"
"639","AT3G53160"
"640","AT3G53310"
"641","AT3G53470"
"642","AT3G53530"
"643","AT3G53590"
"644","AT3G53600"
"645","AT3G53820"
"646","AT3G54060"
"647","AT3G55500"
"648","AT3G55515"
"649","AT3G55550"
"650","AT3G55580"
"651","AT3G56380"
"652","AT3G56450"
"653","AT3G56600"
"654","AT3G56660"
"655","AT3G56780"
"656","AT3G56790"
"657","AT3G57130"
"658","AT3G57440"
"659","AT3G57740"
"660","AT3G58540"
"661","AT3G58860"
"662","AT3G59010"
"663","AT3G59068"
"664","AT3G59765"
"665","AT3G59930"
"666","AT3G60160"
"667","AT3G60470"
"668","AT3G60540"
"669","AT3G61080"
"670","AT3G61113"
"671","AT3G61550"
"672","AT3G61660"
