"","X","WS_FLT_c1.which.mclass....1...1."
"2883",2883,"AT4G12400"
"1757",1757,"AT2G45030"
"2755",2755,"AT4G01395"
"2124",2124,"AT3G15080"
"606",606,"AT1G43900"
"300",300,"AT1G15880"
"575",575,"AT1G33680"
"1749",1749,"AT2G44660"
"12",12,"AT1G01820"
"2759",2759,"AT4G01710"
"3399",3399,"AT5G02150"
"3307",3307,"AT4G37010"
"3672",3672,"AT5G16480"
"1879",1879,"AT3G04240"
"1819",1819,"AT2G48160"
"2397",2397,"AT3G44200"
"4266",4266,"AT5G59960"
"2902",2902,"AT4G14145"
"2427",2427,"AT3G47480"
"1181",1181,"AT2G03470"
"873",873,"AT1G67320"
"346",346,"AT1G18470"
"3629",3629,"AT5G14120"
"4178",4178,"AT5G55550"
"3919",3919,"AT5G38690"
"736",736,"AT1G54370"
"1574",1574,"AT2G34410"
"3314",3314,"AT4G37250"
"1997",1997,"AT3G10190"
"2461",2461,"AT3G49470"
"4267",4267,"AT5G60020"
"317",317,"AT1G16840"
"4229",4229,"AT5G58090"
"4193",4193,"AT5G56340"
"6",6,"AT1G01350"
"1624",1624,"AT2G37500"
"49",49,"AT1G03730"
"4127",4127,"AT5G52380"
"2312",2312,"AT3G25545"
"981",981,"AT1G72790"
"4351",4351,"AT5G63780"
"995",995,"AT1G73920"
"3814",3814,"AT5G24630"
"3905",3905,"AT5G37540"
"2757",2757,"AT4G01450"
"2522",2522,"AT3G52640"
"2077",2077,"AT3G13226"
"3090",3090,"AT4G26000"
"3518",3518,"AT5G08630"
"731",731,"AT1G54115"
"2551",2551,"AT3G54320"
"1270",1270,"AT2G17280"
"3977",3977,"AT5G43020"
"2296",2296,"AT3G24503"
"3635",3635,"AT5G14360"
"10",10,"AT1G01650"
"1943",1943,"AT3G07340"
"987",987,"AT1G72900"
"2393",2393,"AT3G43520"
"2137",2137,"AT3G15610"
"916",916,"AT1G69780"
"2443",2443,"AT3G48330"
"1005",1005,"AT1G74790"
"1865",1865,"AT3G03560"
"3792",3792,"AT5G23090"
"2695",2695,"AT3G62270"
"4358",4358,"AT5G63980"
"2532",2532,"AT3G53180"
"2857",2857,"AT4G10610"
"735",735,"AT1G54360"
"4391",4391,"AT5G65760"
"3879",3879,"AT5G32470"
"1700",1700,"AT2G41740"
"2062",2062,"AT3G12780"
"2324",2324,"AT3G26370"
"1294",1294,"AT2G18510"
"1260",1260,"AT2G17070"
"250",250,"AT1G13120"
"2945",2945,"AT4G16510"
"3140",3140,"AT4G28540"
"3581",3581,"AT5G12040"
"428",428,"AT1G23205"
"1342",1342,"AT2G20810"
"1723",1723,"AT2G43070"
"1669",1669,"AT2G39795"
"753",753,"AT1G55680"
"1023",1023,"AT1G75510"
"1584",1584,"AT2G34970"
"520",520,"AT1G29790"
"977",977,"AT1G72480"
"2620",2620,"AT3G58110"
"3367",3367,"AT4G39820"
"1552",1552,"AT2G32980"
"3479",3479,"AT5G06450"
"2220",2220,"AT3G20290"
"800",800,"AT1G61150"
"3250",3250,"AT4G34230"
"684",684,"AT1G51570"
"2997",2997,"AT4G19670"
"1867",1867,"AT3G03600"
"1852",1852,"AT3G02910"
"1159",1159,"AT2G02040"
"3162",3162,"AT4G30160"
"4051",4051,"AT5G47870"
"1090",1090,"AT1G79260"
"710",710,"AT1G53280"
"2971",2971,"AT4G17900"
"3419",3419,"AT5G03470"
"2380",2380,"AT3G30390"
"3660",3660,"AT5G15760"
"2383",2383,"AT3G33530"
"126",126,"AT1G07260"
"4356",4356,"AT5G63910"
"4025",4025,"AT5G46630"
"400",400,"AT1G21730"
"1750",1750,"AT2G44680"
"1239",1239,"AT2G15280"
"2020",2020,"AT3G11070"
"3118",3118,"AT4G27585"
"2248",2248,"AT3G21610"
"4215",4215,"AT5G57685"
"1076",1076,"AT1G78620"
"2597",2597,"AT3G56930"
"3626",3626,"AT5G14050"
"239",239,"AT1G12410"
"3887",3887,"AT5G35670"
"4328",4328,"AT5G63030"
"2961",2961,"AT4G17310"
"3594",3594,"AT5G12370"
"2631",2631,"AT3G58600"
"2786",2786,"AT4G02860"
"2237",2237,"AT3G21175"
"3555",3555,"AT5G10810"
"1595",1595,"AT2G35780"
"1810",1810,"AT2G47760"
"967",967,"AT1G72160"
"2320",2320,"AT3G25940"
"2163",2163,"AT3G17090"
