"","WS_FLT_c1.which.mclass....3...1."
"1","AT1G01090"
"2","AT1G01160"
"3","AT1G01230"
"4","AT1G01300"
"5","AT1G01510"
"6","AT1G01550"
"7","AT1G01720"
"8","AT1G01730"
"9","AT1G01800"
"10","AT1G01910"
"11","AT1G02090"
"12","AT1G02100"
"13","AT1G02130"
"14","AT1G02160"
"15","AT1G02816"
"16","AT1G02840"
"17","AT1G02850"
"18","AT1G02870"
"19","AT1G02900"
"20","AT1G03140"
"21","AT1G03150"
"22","AT1G03210"
"23","AT1G03230"
"24","AT1G03330"
"25","AT1G04080"
"26","AT1G04140"
"27","AT1G04170"
"28","AT1G04190"
"29","AT1G04250"
"30","AT1G04340"
"31","AT1G04430"
"32","AT1G04503"
"33","AT1G04510"
"34","AT1G04630"
"35","AT1G04680"
"36","AT1G04870"
"37","AT1G04940"
"38","AT1G04980"
"39","AT1G05205"
"40","AT1G05250"
"41","AT1G05347"
"42","AT1G05620"
"43","AT1G05680"
"44","AT1G05720"
"45","AT1G05850"
"46","AT1G06110"
"47","AT1G06200"
"48","AT1G06220"
"49","AT1G06390"
"50","AT1G06400"
"51","AT1G06670"
"52","AT1G06700"
"53","AT1G06890"
"54","AT1G07020"
"55","AT1G07070"
"56","AT1G07080"
"57","AT1G07170"
"58","AT1G07210"
"59","AT1G07360"
"60","AT1G07370"
"61","AT1G07750"
"62","AT1G07830"
"63","AT1G07960"
"64","AT1G08110"
"65","AT1G08160"
"66","AT1G08580"
"67","AT1G08780"
"68","AT1G09140"
"69","AT1G09150"
"70","AT1G09270"
"71","AT1G09330"
"72","AT1G09430"
"73","AT1G09620"
"74","AT1G09630"
"75","AT1G09660"
"76","AT1G09740"
"77","AT1G09760"
"78","AT1G09840"
"79","AT1G09932"
"80","AT1G10030"
"81","AT1G10120"
"82","AT1G10200"
"83","AT1G10290"
"84","AT1G11185"
"85","AT1G11240"
"86","AT1G11360"
"87","AT1G11480"
"88","AT1G11545"
"89","AT1G11670"
"90","AT1G11750"
"91","AT1G11840"
"92","AT1G11860"
"93","AT1G11890"
"94","AT1G11910"
"95","AT1G12270"
"96","AT1G12440"
"97","AT1G12520"
"98","AT1G12810"
"99","AT1G12910"
"100","AT1G13060"
"101","AT1G13380"
"102","AT1G13560"
"103","AT1G13730"
"104","AT1G14010"
"105","AT1G14210"
"106","AT1G14290"
"107","AT1G14300"
"108","AT1G14510"
"109","AT1G14570"
"110","AT1G14610"
"111","AT1G14620"
"112","AT1G14670"
"113","AT1G14810"
"114","AT1G14830"
"115","AT1G14890"
"116","AT1G14900"
"117","AT1G15100"
"118","AT1G15200"
"119","AT1G15210"
"120","AT1G15250"
"121","AT1G15340"
"122","AT1G15350"
"123","AT1G15370"
"124","AT1G15400"
"125","AT1G15420"
"126","AT1G15500"
"127","AT1G15625"
"128","AT1G15750"
"129","AT1G15950"
"130","AT1G16000"
"131","AT1G16170"
"132","AT1G16190"
"133","AT1G16240"
"134","AT1G16350"
"135","AT1G16470"
"136","AT1G16560"
"137","AT1G16610"
"138","AT1G16740"
"139","AT1G16860"
"140","AT1G16870"
"141","AT1G16880"
"142","AT1G17080"
"143","AT1G17290"
"144","AT1G17370"
