"","WS_GC_c1.which.mclass....6...1."
"1","AT1G01010"
"2","AT1G01170"
"3","AT1G01180"
"4","AT1G01340"
"5","AT1G01470"
"6","AT1G01630"
"7","AT1G01640"
"8","AT1G01725"
"9","AT1G01750"
"10","AT1G02030"
"11","AT1G02220"
"12","AT1G02230"
"13","AT1G02300"
"14","AT1G02340"
"15","AT1G02360"
"16","AT1G02380"
"17","AT1G02430"
"18","AT1G02440"
"19","AT1G02450"
"20","AT1G02460"
"21","AT1G02475"
"22","AT1G02575"
"23","AT1G02580"
"24","AT1G02610"
"25","AT1G02700"
"26","AT1G02860"
"27","AT1G02920"
"28","AT1G02930"
"29","AT1G03130"
"30","AT1G03200"
"31","AT1G03240"
"32","AT1G03340"
"33","AT1G03370"
"34","AT1G03400"
"35","AT1G03457"
"36","AT1G03510"
"37","AT1G03550"
"38","AT1G03620"
"39","AT1G03660"
"40","AT1G03740"
"41","AT1G03850"
"42","AT1G03920"
"43","AT1G03950"
"44","AT1G03990"
"45","AT1G03993"
"46","AT1G04007"
"47","AT1G04047"
"48","AT1G04053"
"49","AT1G04100"
"50","AT1G04123"
"51","AT1G04180"
"52","AT1G04233"
"53","AT1G04247"
"54","AT1G04350"
"55","AT1G04433"
"56","AT1G04477"
"57","AT1G04487"
"58","AT1G04490"
"59","AT1G04555"
"60","AT1G04570"
"61","AT1G04620"
"62","AT1G04647"
"63","AT1G04707"
"64","AT1G04778"
"65","AT1G04803"
"66","AT1G04917"
"67","AT1G04973"
"68","AT1G04990"
"69","AT1G05000"
"70","AT1G05010"
"71","AT1G05033"
"72","AT1G05060"
"73","AT1G05100"
"74","AT1G05140"
"75","AT1G05147"
"76","AT1G05163"
"77","AT1G05200"
"78","AT1G05273"
"79","AT1G05300"
"80","AT1G05320"
"81","AT1G05340"
"82","AT1G05397"
"83","AT1G05523"
"84","AT1G05560"
"85","AT1G05562"
"86","AT1G05575"
"87","AT1G05650"
"88","AT1G05660"
"89","AT1G05670"
"90","AT1G05690"
"91","AT1G05700"
"92","AT1G05753"
"93","AT1G05767"
"94","AT1G05770"
"95","AT1G05790"
"96","AT1G05835"
"97","AT1G05837"
"98","AT1G05843"
"99","AT1G05900"
"100","AT1G06045"
"101","AT1G06050"
"102","AT1G06083"
"103","AT1G06120"
"104","AT1G06250"
"105","AT1G06430"
"106","AT1G06460"
"107","AT1G06473"
"108","AT1G06650"
"109","AT1G06680"
"110","AT1G06690"
"111","AT1G06980"
"112","AT1G07000"
"113","AT1G07090"
"114","AT1G07128"
"115","AT1G07130"
"116","AT1G07135"
"117","AT1G07143"
"118","AT1G07150"
"119","AT1G07160"
"120","AT1G07175"
"121","AT1G07200"
"122","AT1G07240"
"123","AT1G07280"
"124","AT1G07300"
"125","AT1G07373"
"126","AT1G07397"
"127","AT1G07407"
"128","AT1G07477"
"129","AT1G07560"
"130","AT1G07607"
"131","AT1G07620"
"132","AT1G07647"
"133","AT1G07700"
"134","AT1G07730"
"135","AT1G07737"
"136","AT1G07753"
"137","AT1G07795"
"138","AT1G07870"
"139","AT1G07933"
"140","AT1G08050"
"141","AT1G08087"
"142","AT1G08173"
"143","AT1G08180"
"144","AT1G08230"
"145","AT1G08283"
"146","AT1G08310"
"147","AT1G08315"
"148","AT1G08320"
"149","AT1G08340"
"150","AT1G08380"
"151","AT1G08500"
"152","AT1G08507"
"153","AT1G08670"
"154","AT1G08720"
"155","AT1G08727"
"156","AT1G08800"
"157","AT1G08803"
"158","AT1G08890"
"159","AT1G08900"
"160","AT1G08920"
"161","AT1G08940"
"162","AT1G08990"
"163","AT1G09090"
"164","AT1G09155"
"165","AT1G09297"
"166","AT1G09363"
"167","AT1G09415"
"168","AT1G09440"
"169","AT1G09463"
"170","AT1G09497"
"171","AT1G09540"
"172","AT1G09543"
"173","AT1G09610"
"174","AT1G09710"
"175","AT1G09783"
"176","AT1G09794"
"177","AT1G09890"
"178","AT1G09897"
"179","AT1G09930"
"180","AT1G09940"
"181","AT1G10070"
"182","AT1G10090"
"183","AT1G10150"
"184","AT1G10155"
"185","AT1G10210"
"186","AT1G10220"
"187","AT1G10340"
"188","AT1G10360"
"189","AT1G10460"
"190","AT1G10480"
"191","AT1G10560"
"192","AT1G10610"
"193","AT1G10650"
"194","AT1G10710"
"195","AT1G10800"
"196","AT1G10810"
"197","AT1G10875"
"198","AT1G10920"
"199","AT1G10960"
"200","AT1G11080"
"201","AT1G11175"
"202","AT1G11180"
"203","AT1G11190"
"204","AT1G11210"
"205","AT1G11440"
"206","AT1G11490"
"207","AT1G11500"
"208","AT1G11530"
"209","AT1G11540"
"210","AT1G12040"
"211","AT1G12100"
"212","AT1G12110"
"213","AT1G12140"
"214","AT1G12250"
"215","AT1G12260"
"216","AT1G12290"
"217","AT1G12330"
"218","AT1G12370"
"219","AT1G12450"
"220","AT1G12550"
"221","AT1G12560"
"222","AT1G12710"
"223","AT1G12790"
"224","AT1G12860"
"225","AT1G13080"
"226","AT1G13090"
"227","AT1G13100"
"228","AT1G13110"
"229","AT1G13150"
"230","AT1G13250"
"231","AT1G13420"
"232","AT1G13430"
"233","AT1G13480"
"234","AT1G13510"
"235","AT1G13520"
"236","AT1G13540"
"237","AT1G13550"
"238","AT1G13600"
"239","AT1G13635"
"240","AT1G13700"
"241","AT1G13800"
"242","AT1G13820"
"243","AT1G13830"
"244","AT1G13920"
"245","AT1G13930"
"246","AT1G14130"
"247","AT1G14150"
"248","AT1G14160"
"249","AT1G14170"
"250","AT1G14185"
"251","AT1G14190"
"252","AT1G14200"
"253","AT1G14240"
"254","AT1G14280"
