"","col_FLT_c1.which.mclass....9...1."
"1","AT1G01040"
"2","AT1G01080"
"3","AT1G01140"
"4","AT1G01220"
"5","AT1G01450"
"6","AT1G01500"
"7","AT1G01690"
"8","AT1G01790"
"9","AT1G01860"
"10","AT1G02020"
"11","AT1G02060"
"12","AT1G02290"
"13","AT1G02460"
"14","AT1G02640"
"15","AT1G02910"
"16","AT1G02970"
"17","AT1G03010"
"18","AT1G03160"
"19","AT1G03190"
"20","AT1G03310"
"21","AT1G03520"
"22","AT1G03560"
"23","AT1G03750"
"24","AT1G03830"
"25","AT1G03920"
"26","AT1G04010"
"27","AT1G04240"
"28","AT1G04353"
"29","AT1G04420"
"30","AT1G04710"
"31","AT1G04730"
"32","AT1G04760"
"33","AT1G04773"
"34","AT1G05187"
"35","AT1G05440"
"36","AT1G05460"
"37","AT1G05630"
"38","AT1G05650"
"39","AT1G05670"
"40","AT1G05767"
"41","AT1G06050"
"42","AT1G06270"
"43","AT1G06310"
"44","AT1G06420"
"45","AT1G06475"
"46","AT1G06740"
"47","AT1G06910"
"48","AT1G07380"
"49","AT1G07603"
"50","AT1G07730"
"51","AT1G07803"
"52","AT1G07910"
"53","AT1G08003"
"54","AT1G08340"
"55","AT1G08430"
"56","AT1G08840"
"57","AT1G08910"
"58","AT1G09000"
"59","AT1G09050"
"60","AT1G09190"
"61","AT1G09195"
"62","AT1G09575"
"63","AT1G09680"
"64","AT1G09750"
"65","AT1G09783"
"66","AT1G09800"
"67","AT1G09820"
"68","AT1G09863"
"69","AT1G09900"
"70","AT1G09960"
"71","AT1G10040"
"72","AT1G10050"
"73","AT1G10090"
"74","AT1G10270"
"75","AT1G10280"
"76","AT1G10320"
"77","AT1G10520"
"78","AT1G10610"
"79","AT1G10730"
"80","AT1G10810"
"81","AT1G11420"
"82","AT1G11450"
"83","AT1G11630"
"84","AT1G11710"
"85","AT1G11800"
"86","AT1G11940"
"87","AT1G11950"
"88","AT1G12210"
"89","AT1G12300"
"90","AT1G12380"
"91","AT1G12420"
"92","AT1G12430"
"93","AT1G12460"
"94","AT1G12620"
"95","AT1G12710"
"96","AT1G12730"
"97","AT1G12880"
"98","AT1G13050"
"99","AT1G13430"
"100","AT1G13740"
"101","AT1G13910"
"102","AT1G13940"
"103","AT1G13970"
"104","AT1G14530"
"105","AT1G14590"
"106","AT1G14790"
"107","AT1G15290"
"108","AT1G15490"
"109","AT1G15730"
"110","AT1G16160"
"111","AT1G16250"
"112","AT1G16310"
"113","AT1G16370"
"114","AT1G17040"
"115","AT1G17070"
"116","AT1G17220"
"117","AT1G17400"
"118","AT1G17450"
"119","AT1G17460"
"120","AT1G17590"
"121","AT1G17650"
"122","AT1G17744"
"123","AT1G18030"
"124","AT1G18060"
"125","AT1G18090"
"126","AT1G18180"
"127","AT1G18440"
"128","AT1G18550"
"129","AT1G18670"
"130","AT1G19010"
"131","AT1G19100"
"132","AT1G19290"
"133","AT1G19340"
"134","AT1G19480"
"135","AT1G19490"
"136","AT1G19540"
"137","AT1G19840"
"138","AT1G20060"
"139","AT1G20480"
"140","AT1G20530"
"141","AT1G20550"
"142","AT1G20650"
"143","AT1G20690"
"144","AT1G20830"
"145","AT1G21390"
"146","AT1G21650"
"147","AT1G21651"
"148","AT1G22540"
"149","AT1G22550"
"150","AT1G23180"
"151","AT1G23330"
"152","AT1G24030"
"153","AT1G24090"
"154","AT1G24300"
"155","AT1G25145"
"156","AT1G25290"
"157","AT1G25390"
"158","AT1G26150"
"159","AT1G26190"
"160","AT1G26208"
"161","AT1G26760"
"162","AT1G27060"
"163","AT1G27070"
"164","AT1G27120"
"165","AT1G27170"
"166","AT1G27200"
"167","AT1G27370"
"168","AT1G27380"
"169","AT1G27500"
"170","AT1G27690"
"171","AT1G27740"
"172","AT1G27880"
"173","AT1G27910"
"174","AT1G27920"
"175","AT1G28390"
"176","AT1G28530"
"177","AT1G28815"
"178","AT1G29195"
"179","AT1G29700"
"180","AT1G29710"
"181","AT1G29730"
"182","AT1G29800"
"183","AT1G29960"
"184","AT1G30240"
"185","AT1G30410"
"186","AT1G30545"
"187","AT1G30810"
"188","AT1G31010"
"189","AT1G31480"
"190","AT1G31710"
"191","AT1G31810"
"192","AT1G32340"
"193","AT1G32530"
"194","AT1G34120"
"195","AT1G34160"
"196","AT1G34260"
"197","AT1G34340"
"198","AT1G35460"
"199","AT1G35660"
"200","AT1G35910"
"201","AT1G36940"
"202","AT1G38065"
"203","AT1G42540"
"204","AT1G43020"
"205","AT1G43245"
"206","AT1G43620"
"207","AT1G43650"
"208","AT1G44120"
"209","AT1G44125"
"210","AT1G45110"
"211","AT1G45231"
"212","AT1G47340"
"213","AT1G47600"
"214","AT1G47620"
"215","AT1G47870"
"216","AT1G48120"
"217","AT1G48480"
"218","AT1G48540"
"219","AT1G48580"
"220","AT1G48640"
"221","AT1G48840"
"222","AT1G48880"
"223","AT1G49630"
"224","AT1G49730"
"225","AT1G49910"
"226","AT1G49980"
"227","AT1G50055"
"228","AT1G50260"
"229","AT1G50460"
"230","AT1G50700"
"231","AT1G50890"
"232","AT1G50970"
"233","AT1G51380"
"234","AT1G51470"
"235","AT1G51610"
"236","AT1G51640"
"237","AT1G51645"
"238","AT1G52080"
"239","AT1G52190"
"240","AT1G52343"
"241","AT1G52520"
"242","AT1G52565"
"243","AT1G53025"
"244","AT1G53345"
"245","AT1G53660"
"246","AT1G53887"
"247","AT1G54350"
"248","AT1G54790"
"249","AT1G54970"
"250","AT1G55110"
"251","AT1G55180"
"252","AT1G55250"
"253","AT1G55380"
"254","AT1G55390"
"255","AT1G55475"
"256","AT1G55610"
"257","AT1G55630"
"258","AT1G55910"
"259","AT1G55930"
"260","AT1G56170"
"261","AT1G56310"
"262","AT1G56345"
"263","AT1G56350"
"264","AT1G56560"
"265","AT1G56630"
"266","AT1G57700"
"267","AT1G58200"
"268","AT1G58520"
"269","AT1G58643"
"270","AT1G59312"
"271","AT1G59510"
"272","AT1G59980"
"273","AT1G60130"
"274","AT1G60390"
"275","AT1G60505"
"276","AT1G60525"
"277","AT1G60550"
"278","AT1G60560"
"279","AT1G60670"
"280","AT1G60700"
"281","AT1G60787"
"282","AT1G60790"
"283","AT1G60890"
"284","AT1G60950"
"285","AT1G61000"
"286","AT1G61180"
"287","AT1G61260"
"288","AT1G61380"
"289","AT1G61430"
"290","AT1G61640"
"291","AT1G61850"
"292","AT1G61960"
"293","AT1G62010"
"294","AT1G62050"
"295","AT1G62085"
"296","AT1G62120"
"297","AT1G62150"
"298","AT1G62200"
"299","AT1G62250"
"300","AT1G62280"
"301","AT1G62610"
"302","AT1G62750"
"303","AT1G62830"
"304","AT1G62990"
"305","AT1G63130"
"306","AT1G63250"
"307","AT1G63650"
"308","AT1G64570"
"309","AT1G64690"
"310","AT1G64700"
"311","AT1G64810"
"312","AT1G64940"
"313","AT1G64960"
"314","AT1G65070"
"315","AT1G65080"
"316","AT1G65180"
"317","AT1G65380"
"318","AT1G65950"
"319","AT1G66345"
"320","AT1G66520"
"321","AT1G66730"
"322","AT1G67050"
"323","AT1G67180"
"324","AT1G67190"
"325","AT1G67410"
"326","AT1G67420"
"327","AT1G67500"
"328","AT1G67570"
"329","AT1G67660"
"330","AT1G67690"
"331","AT1G67720"
"332","AT1G67792"
"333","AT1G67960"
"334","AT1G67970"
"335","AT1G68185"
"336","AT1G68238"
"337","AT1G68640"
"338","AT1G68650"
"339","AT1G68862"
"340","AT1G68980"
"341","AT1G69170"
"342","AT1G69200"
"343","AT1G69570"
"344","AT1G69572"
"345","AT1G69670"
"346","AT1G69690"
"347","AT1G70140"
"348","AT1G70630"
"349","AT1G70740"
"350","AT1G70750"
"351","AT1G71240"
"352","AT1G71360"
"353","AT1G71460"
"354","AT1G71720"
"355","AT1G72125"
"356","AT1G72180"
"357","AT1G72275"
"358","AT1G72670"
"359","AT1G72855"
"360","AT1G72860"
"361","AT1G73320"
"362","AT1G73710"
"363","AT1G74088"
"364","AT1G74120"
"365","AT1G74300"
"366","AT1G74310"
"367","AT1G74330"
"368","AT1G74490"
"369","AT1G74680"
"370","AT1G74750"
"371","AT1G74860"
"372","AT1G75010"
"373","AT1G75640"
"374","AT1G75820"
"375","AT1G75945"
"376","AT1G76020"
"377","AT1G76390"
"378","AT1G76450"
"379","AT1G76470"
"380","AT1G76720"
"381","AT1G76780"
"382","AT1G77170"
"383","AT1G77240"
"384","AT1G77320"
"385","AT1G77360"
"386","AT1G77460"
"387","AT1G77490"
"388","AT1G77530"
"389","AT1G77850"
"390","AT1G78020"
"391","AT1G78120"
"392","AT1G78140"
"393","AT1G78200"
"394","AT1G78210"
"395","AT1G78430"
"396","AT1G78510"
"397","AT1G78580"
"398","AT1G78810"
"399","AT1G79490"
"400","AT1G79600"
"401","AT1G79620"
"402","AT1G79760"
"403","AT1G79840"
"404","AT1G80030"
"405","AT1G80120"
"406","AT1G80630"
"407","AT1G80640"
"408","AT2G01130"
"409","AT2G01290"
"410","AT2G02080"
"411","AT2G02500"
