"","col_GC_c1.which.mclass....1...1."
"1","AT1G01150"
"2","AT1G01190"
"3","AT1G01310"
"4","AT1G01420"
"5","AT1G01453"
"6","AT1G01480"
"7","AT1G01695"
"8","AT1G02205"
"9","AT1G02310"
"10","AT1G02350"
"11","AT1G02450"
"12","AT1G02510"
"13","AT1G02580"
"14","AT1G02700"
"15","AT1G02813"
"16","AT1G02820"
"17","AT1G02952"
"18","AT1G03106"
"19","AT1G03120"
"20","AT1G03170"
"21","AT1G03390"
"22","AT1G03445"
"23","AT1G03495"
"24","AT1G03502"
"25","AT1G03630"
"26","AT1G03700"
"27","AT1G03746"
"28","AT1G04013"
"29","AT1G04017"
"30","AT1G04023"
"31","AT1G04037"
"32","AT1G04077"
"33","AT1G04083"
"34","AT1G04103"
"35","AT1G04105"
"36","AT1G04123"
"37","AT1G04187"
"38","AT1G04217"
"39","AT1G04223"
"40","AT1G04227"
"41","AT1G04237"
"42","AT1G04267"
"43","AT1G04297"
"44","AT1G04343"
"45","AT1G04347"
"46","AT1G04350"
"47","AT1G04380"
"48","AT1G04397"
"49","AT1G04403"
"50","AT1G04427"
"51","AT1G04445"
"52","AT1G04467"
"53","AT1G04473"
"54","AT1G04487"
"55","AT1G04497"
"56","AT1G04507"
"57","AT1G04523"
"58","AT1G04533"
"59","AT1G04563"
"60","AT1G04567"
"61","AT1G04577"
"62","AT1G04583"
"63","AT1G04587"
"64","AT1G04657"
"65","AT1G04660"
"66","AT1G04670"
"67","AT1G04703"
"68","AT1G04713"
"69","AT1G04743"
"70","AT1G04797"
"71","AT1G04877"
"72","AT1G04933"
"73","AT1G04973"
"74","AT1G05013"
"75","AT1G05020"
"76","AT1G05023"
"77","AT1G05043"
"78","AT1G05047"
"79","AT1G05057"
"80","AT1G05083"
"81","AT1G05100"
"82","AT1G05103"
"83","AT1G05143"
"84","AT1G05203"
"85","AT1G05207"
"86","AT1G05243"
"87","AT1G05253"
"88","AT1G05283"
"89","AT1G05317"
"90","AT1G05327"
"91","AT1G05330"
"92","AT1G05357"
"93","AT1G05417"
"94","AT1G05447"
"95","AT1G05463"
"96","AT1G05490"
"97","AT1G05510"
"98","AT1G05517"
"99","AT1G05540"
"100","AT1G05550"
"101","AT1G05607"
"102","AT1G05675"
"103","AT1G05703"
"104","AT1G05707"
"105","AT1G05727"
"106","AT1G05747"
"107","AT1G05757"
"108","AT1G05813"
"109","AT1G05894"
"110","AT1G05920"
"111","AT1G05933"
"112","AT1G05937"
"113","AT1G05943"
"114","AT1G05973"
"115","AT1G05977"
"116","AT1G05990"
"117","AT1G05993"
"118","AT1G05997"
"119","AT1G06003"
"120","AT1G06030"
"121","AT1G06033"
"122","AT1G06087"
"123","AT1G06117"
"124","AT1G06153"
"125","AT1G06160"
"126","AT1G06163"
"127","AT1G06173"
"128","AT1G06177"
"129","AT1G06217"
"130","AT1G06257"
"131","AT1G06273"
"132","AT1G06337"
"133","AT1G06423"
"134","AT1G06453"
"135","AT1G06457"
"136","AT1G06483"
"137","AT1G06487"
"138","AT1G06520"
"139","AT1G06537"
"140","AT1G06547"
"141","AT1G06553"
"142","AT1G06607"
"143","AT1G06613"
"144","AT1G06667"
"145","AT1G06687"
"146","AT1G06717"
"147","AT1G06753"
"148","AT1G06773"
"149","AT1G06830"
"150","AT1G06963"
"151","AT1G06983"
"152","AT1G07023"
"153","AT1G07060"
"154","AT1G07143"
"155","AT1G07160"
"156","AT1G07180"
"157","AT1G07187"
"158","AT1G07267"
"159","AT1G07287"
"160","AT1G07340"
"161","AT1G07397"
"162","AT1G07430"
"163","AT1G07473"
"164","AT1G07500"
"165","AT1G07517"
