TAIR,SYMBOL,Log2fc_.root_FLT.v.root_GC.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.
AT1G02250,anac005,-3.241649698,-2.376139825,-1.723972335
AT1G02310,MAN1,-8.666885299,-2.480541153,-8.855741924
AT1G03790,AtTZF4,-4.421082423,-1.922075858,-5.676713201
AT1G05990,RHS1,-6.787500759,0,-6.779929559
AT1G09380,UMAMIT25,-6.362213823,0,-7.069959792
AT1G10680,ABCB10,-5.13161817,-3.903977256,-4.582327774
AT1G13590,ATPSK1,-7.576484513,-1.901544058,-7.061177114
AT1G16440,RSH3,-8.740296482,-1.005776605,-8.560122808
AT1G18860,ATWRKY61,-9.240921001,-3.220451218,-9.44182927
AT1G20700,ATWOX14,-9.643573212,-2.046603946,-9.932683399
AT1G20860,PHT1;8,-7.472236122,0,-7.503397656
AT1G21230,WAK5,-6.907585212,0,-7.118596616
AT1G21860,sks7,-3.243958401,0,-3.730567249
AT1G26360,ATMES13,-8.633231731,-1.005783284,-8.689131859
AT1G28170,SOT7,-5.839342039,0,-5.530712901
AT1G29860,ATWRKY71,-6.317072905,-3.219129334,-5.898048988
AT1G30560,AtG3Pp3,-4.902273865,-1.851784036,-5.079161546
AT1G30850,RSH4,-6.422990974,0,-5.7399989
AT1G32270,ATSYP24,-4.363925071,-2.513865607,-4.985123237
AT1G34540,CYP94D1,-8.680813668,0,-8.470513534
AT1G35240,ARF20,-6.31349256,0,-6.418553148
AT1G44318,hemb2,-6.951137134,0,-6.278836059
AT1G47600,BGLU34,-8.281245466,0,-7.54227584
AT1G47620,CYP96A8,-6.900463454,0,-6.93058355
AT1G50090,AtBCAT7,-4.213735529,0,-3.654194526
AT1G50960,ATGA2OX7,-3.732522369,0,-4.589841354
AT1G51190,PLT2,-8.854477871,0,-8.543796357
AT1G51260,LPAT3,-7.000042282,-1.005794132,-6.285219406
AT1G51470,BGLU35,-9.256992995,-1.005678539,-8.724931195
AT1G51480,RSG1,-6.163683794,0,-6.037959794
AT1G51880,RHS6,-7.938342861,0,-7.763510706
AT1G53130,GRI,-5.775563607,0,-6.389989849
AT1G53708,RTFL9,-3.423634639,0,-4.082606626
AT1G53990,GLIP3,-9.45052482,-4.221327449,-9.423558435
AT1G54940,GUX4,-8.821249339,-1.894319008,-8.781203875
AT1G55600,ATWRKY10,-4.022816091,0,-2.943773443
AT1G55640,PRA1.G1,-5.669790813,0,-6.044815053
AT1G58330,ZW2,-0.531653016,0,-3.421300883
AT1G59530,ATBZIP4,-2.960341429,0,-3.984422447
AT1G60050,UMAMIT35,-8.506601123,-1.005820106,-8.124622877
AT1G61720,BAN,-5.556741078,-1.890802369,-6.054546082
AT1G61950,CPK19,-8.345295889,0,-8.386980395
AT1G62580,NOGC1,-3.672516453,0,-3.944656064
AT1G63910,AtMYB103,-2.410386042,-1.005824086,-3.092098499
AT1G64000,ATWRKY56,-7.695724084,-1.006434457,-7.719844806
AT1G64160,AtDIR5,-4.612001441,0,-3.479116955
AT1G64480,CBL8,-8.470918483,-4.029160285,-8.359820005
AT1G65680,ATEXPB2,-5.213960094,0,-3.73296618
AT1G66960,LUP5,-7.293450123,-3.756118073,-6.494901087
AT1G67100,LBD40,-3.257222169,-2.527861888,-3.140107628
AT1G68450,PDE337,-7.371812195,0,-7.300935762
AT1G68750,ATPPC4,-2.440584462,0,-3.827891854
AT1G68825,DVL5,-6.351912915,0,-5.824656163
AT1G69240,ATMES15,-9.363577621,0,-9.468032726
AT1G69560,ATMYB105,-5.67365929,0,-4.754660597
AT1G70110,LecRK-V.1,-3.772056698,-2.545294166,-2.388147614
AT1G70910,DEP,-3.224481961,-1.007419529,-2.520120004
AT1G73000,PYL3,-4.505469186,0,-4.601659848
AT1G73165,CLE1,-5.9516561,0,-5.863810157
AT1G74500,ATBS1,-10.48931134,-1.897714136,-10.14154778
AT1G76640,CML39,-5.328155883,-1.007451299,-4.274811907
AT1G78390,ATNCED9,-7.549729501,0,-7.032342167
AT1G78710,TBL42,-2.995597376,0,-3.912804676
AT1G79320,AtMC6,-8.61829807,-1.005876157,-9.050484909
AT1G80590,ATWRKY66,-2.422335798,-1.006593591,-3.347348731
AT2G02250,AtPP2-B2,-7.225654458,0,-7.330720814
AT2G02300,AtPP2-B5,-5.918852458,0,-5.501726286
AT2G02310,AtPP2-B6,-5.548108709,-1.005958639,-5.442212929
AT2G03830,GLV6,-7.334509084,0,-7.099286001
AT2G04025,GLV7,-9.72902121,-1.146636481,-9.599209505
AT2G15350,ATFUT10,-6.252202579,0,-5.629731199
AT2G18640,GGPS4,-6.384513911,-1.906583402,-6.138364196
AT2G18800,ATXTH21,-10.11708319,-1.006014081,-9.403753336
AT2G20080,TIE2,-9.43748569,0,-9.185059839
AT2G21610,ATPE11,-5.361111131,0,-5.653904043
AT2G22290,ATRAB-H1D,-6.683114909,0,-6.299852756
AT2G22950,ACA7,-5.789591915,0,-5.672502533
AT2G24720,ATGLR2.2,-5.991970269,-1.005458197,-6.173113639
AT2G25240,AtCCP3,-7.54883742,-1.005753819,-7.391231145
AT2G27120,POL2B,-7.985794569,-1.006976429,-7.475734853
AT2G28700,AGL46,-6.919522579,0,-7.070522203
AT2G28850,CYP710A3,-6.398712242,0,-5.708758729
AT2G28860,CYP710A4,-8.637846462,-1.005717488,-8.597158903
AT2G29100,ATGLR2.9,-3.046665045,-3.683110062,-3.418409725
AT2G30130,ASL5,-8.250824345,0,-8.20749388
AT2G30340,LBD13,-10.44921343,-1.030111126,-9.957233784
AT2G31081,CLE4,-6.664915117,0,-6.477118402
AT2G31083,AtCLE5,-9.892302871,-1.989797958,-9.333173803
AT2G31310,LBD14,-6.919545573,-1.907983841,-7.486947594
AT2G32610,ATCSLB01,-7.074080329,0,-7.23485784
AT2G32620,ATCSLB02,-5.651212759,0,-5.287410856
AT2G33070,ATNSP2,-6.878379733,-1.067795042,-6.968321586
AT2G33080,AtRLP28,-2.448212271,-3.27329667,-2.502333688
AT2G33130,RALF18,-1.975668197,-2.449299736,-3.164905308
AT2G34555,ATGA2OX3,-0.536455944,-2.944349545,-3.302020405
AT2G35300,AtLEA4-2,-3.858800113,0,-4.093581568
AT2G35890,CPK25,-7.61681982,0,-7.676298997
AT2G35990,LOG2,-7.278306643,0,-7.441616679
AT2G40170,ATEM6,-3.45767192,0,-2.00178873
AT2G41850,ADPG2,-4.890858189,0,-4.827051581
AT2G42430,ASL18,-7.799526335,-1.005974773,-8.29670342
AT2G42440,ASL15,-5.068401239,0,-5.067481513
AT2G45550,CYP76C4,-8.230268861,0,-7.525991371
AT2G46130,ATWRKY43,-5.967133523,0,-5.928361514
AT2G46770,ANAC043,-3.022825316,-4.236588471,-1.934664679
AT3G02242,GLV8,-3.724105239,0,-4.237825957
AT3G03760,LBD20,-6.044157856,-1.006149093,-5.971682201
AT3G03800,ATSYP131,-5.180079629,0,-5.42107007
AT3G04370,PDLP4,-8.922116996,-1.955003827,-8.91424657
AT3G05140,RBK2,-6.845762879,-1.881568698,-6.9305368
AT3G07490,AGD11,-6.8449423,-1.006674042,-6.724346203
AT3G09290,TAC1,-7.081900777,0,-7.536568215
AT3G12240,SCPL15,-8.722259275,-1.899275877,-8.431135748
AT3G12720,ATMYB67,-8.38261235,0,-8.507202559
AT3G16440,ATMLP-300B,-9.153422463,-1.012562499,-8.841294187
AT3G20880,WIP4,-4.746607538,-1.922948822,-4.438943457
AT3G21720,ICL,-8.965923375,-2.478155181,-9.866649756
AT3G21800,UGT71B8,-3.890318575,0,-4.309615048
AT3G23380,RIC5,-3.828340651,0,-2.165128801
AT3G24540,AtPERK3,-4.397588375,0,-3.660607089
AT3G25260,AtNPF4.1,-4.22837982,0,-3.675237116
AT3G27070,TOM20-1,-5.944092114,0,-5.948828914
AT3G28290,AT14A,-5.529338302,0,-4.441820645
AT3G28300,AT14A,-5.529338302,0,-4.441820645
AT3G29780,RALFL27,-5.92015552,0,-5.391300348
AT3G30210,ATMYB121,-5.091606733,-1.005979621,-5.156078376
AT3G30260,AGL79,-8.94679032,-2.480272637,-8.961565562
AT3G30350,GLV3,-8.018960676,0,-7.541997556
AT3G44550,FAR5,-11.26357598,-2.815222742,-10.92195514
AT3G46330,MEE39,-9.61238239,0,-9.768675682
AT3G46760,LecRK-S.3,-6.492962192,0,-6.017381043
AT3G47710,BHLH161,-8.350684788,0,-7.854753369
AT3G47760,ABCA5,-7.575395557,0,-7.211318597
AT3G47770,ABCA6,-6.783542576,0,-5.497380759
AT3G52970,CYP76G1,-9.641205602,0,-8.276206494
AT3G55550,LecRK-S.4,-5.963982074,0,-5.959238616
