TAIR,SYMBOL,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT1G02065,SPL8,-9.353867973,0,-9.369716569
AT1G08860,BON3,-5.921087254,-2.307080594,-3.857603098
AT1G09240,ATNAS3,-9.749200896,0,-10.34190307
AT1G12980,DRN,-4.756259017,0,-2.88362067
AT1G13290,DOT5,-4.646603552,0,-4.474260671
AT1G14100,FUT8,-5.919455873,0,-6.572237147
AT1G14420,AT59,-2.288640182,0,-4.471585484
AT1G14760,KNATM,-3.575603421,0,-4.219900539
AT1G19510,ATRL5,-5.747399006,0,-5.210606918
AT1G19640,JMT,-6.156645143,0,-7.69011785
AT1G20350,ATTIM17-1,-7.400278696,-3.103475389,-6.933549393
AT1G21240,WAK3,-9.446389954,0,-7.02709106
AT1G26600,CLE9,-6.619076034,0,-7.676343134
AT1G29440,SAUR63,-9.322186082,0,-9.573014836
AT1G29450,SAUR64,-8.576425969,0,-8.597021791
AT1G29490,SAUR68,-4.958966315,-0.909617826,-4.579734143
AT1G33720,CYP76C6,-9.358754904,-0.874673989,-8.984616678
AT1G34245,EPF2,-8.244773294,0,-8.466070538
AT1G35290,ALT1,-4.814993131,0,-5.094176119
AT1G52030,F-ATMBP,-11.36951911,-1.810810658,-11.10205589
AT1G52040,ATMBP,-10.27307026,0,-9.426708166
AT1G55010,PDF1.5,-3.921878788,0,-5.25518351
AT1G56510,ADR2,-6.208885102,0,-5.270632986
AT1G57750,CYP96A15,-7.087991287,0,-5.954698365
AT1G58300,HO4,-4.903700328,-0.884693751,-5.80684159
AT1G60987,SCRL5,-3.384433716,0,-4.093487601
AT1G61120,GES,-6.6288836,0,-5.676382981
AT1G65450,GLC,-8.547848632,0,-8.557074452
AT1G65480,FT,-8.541976985,0,-8.955933496
AT1G65630,DEG3,-4.311364747,0,-4.603951341
AT1G66380,AtMYB114,-5.203738205,0,-4.744813665
AT1G68480,JAG,-6.356361755,0,-5.598333588
AT1G69180,CRC,-5.20340087,0,-4.294990811
AT1G69320,CLE10,-5.473848906,0,-5.894479406
AT1G69500,CYP704B1,-5.659812168,0,-5.098741252
AT1G71390,AtRLP11,-5.709356266,0,-3.308986669
AT1G72260,THI2.1,-8.176740839,-0.890957349,-5.795475934
AT1G79400,ATCHX2,-5.704762945,-0.876773298,-2.27500094
AT2G03520,ATUPS4,-4.876423016,0,-5.092681832
AT2G13570,NF-YB7,-3.941386348,-0.886575338,-3.605083758
AT2G14580,ATPRB1,-6.245725816,0,-7.566055037
AT2G15050,LTP,-7.250497298,0,-8.453746436
AT2G15080,AtRLP19,-6.880034221,-2.327416713,-7.123755175
AT2G19500,ATCKX2,-4.607078151,-2.717654289,-4.279454292
AT2G20875,EPF1,-7.556079891,0,-7.572252453
AT2G21220,SAUR12,-7.488731504,0,-7.713509831
AT2G26010,PDF1.3,-8.725095369,0,-5.221051516
AT2G28085,SAUR42,-6.893168097,-1.728385765,-5.206257806
AT2G28610,PRS,-4.683550653,-0.886211232,-4.436920076
AT2G30420,ETC2,-4.927647892,0,-5.390831552
AT2G30424,TCL2,-7.600547115,-0.935468949,-8.358853904
AT2G30432,TCL1,-4.84429807,0,-3.623452349
AT2G32290,BAM6,-9.718922157,-0.878298706,-10.66039648
AT2G36190,AtCWIN4,-4.333987436,0,-5.361795078
AT2G36610,ATHB22,-4.661625495,-0.894337474,-3.61694933
AT2G37030,SAUR46,-5.02563459,0,-5.384142106
AT2G42830,AGL5,-4.506929229,-1.751374884,-4.139554175
AT2G43520,ATTI2,-9.162699228,-2.776949983,-8.75253633
AT2G44570,AtGH9B12,-8.366437218,-2.79408426,-8.414411315
AT2G44745,AtWRKY12,-8.607104318,-2.332168073,-8.68761885
AT2G46440,ATCNGC11,-11.77887906,-1.766826174,-10.51103706
AT2G46960,CYP709B1,-5.104881376,0,-1.397987617
AT3G03260,HDG8,-1.405446949,-3.57703743,-4.022563469
AT3G03830,SAUR28,-3.325826837,0,-5.756972516
AT3G06120,MUTE,-8.14832551,0,-8.479611412
AT3G09870,SAUR48,-7.113986771,-1.841618298,-7.399314761
