TAIR,SYMBOL,Log2fc_.Ws_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Ws_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Ws_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_dark.
AT1G07900,LBD1,0,0,0,0,0,0,0,-1.293147649,-1.288869138,-0.673825151,-0.66954664,0,0,-3.212049269,-3.207770758,0,0,0,0,-0.632844665,-0.628566154
AT1G08090,ACH1,0,0,0,0,0,0,0,0,0,-4.511089804,-4.501244269,0,0,-2.699990293,-2.690144759,0,0,0,0,0,0
AT1G12610,DDF1,0,-2.40270531,0,-2.395235915,0,-4.83600699,-4.828537595,-4.985709816,-4.978240421,-2.525772909,-2.518303514,0,0,-0.702061121,-0.694591726,0,0,-6.053913963,-6.046444568,0,0
AT1G16380,ATCHX1,0,-2.817356115,0,-2.807204248,0,-3.973944388,-3.963792521,-2.579981598,-2.569829731,0,0,-1.844577681,-1.834425814,-2.836485846,-2.826333979,0,0,-2.143457324,-2.133305457,0,0
AT1G17610,CHS1,0,-1.508149707,0,-1.497962369,0,-1.212588189,-1.202400852,-2.352034055,-2.341846717,0,0,-1.961013135,-1.950825797,-1.659691509,-1.649504171,-4.433997938,-4.423810601,-1.586075973,-1.575888635,0,0
AT1G21860,sks7,0,0,0,0,0,0,0,0,0,-2.583665514,-2.574624672,0,0,-1.82728485,-1.818244009,-5.464178916,-5.455138075,-1.21334469,-1.204303849,-2.195563026,-2.186522184
AT1G24020,MLP423,0,0,0,0,0,0,0,-0.613484463,-0.606791538,-3.454959702,-3.448266778,0,0,-2.352295367,-2.345602442,0,0,-1.267462361,-1.260769437,-3.425166962,-3.418474038
AT1G24260,AGL9,0,-1.198552623,-4.064567517,-1.190800047,-4.056814941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G24880,AtLpxC2,0,-1.238537976,0,-1.234981108,0,-11.16093387,-11.157377,-11.44745877,-11.44390191,-12.17295718,-12.16940031,-12.09784408,-12.09428721,-12.20848501,-12.20492814,-12.48836294,-12.48480608,-12.63434352,-12.63078666,-11.6127774,-11.60922053
AT1G25054,AtLpxC3,0,0,0,0,0,-10.30689186,-10.29901273,-10.5378086,-10.52992946,-9.875569457,-9.86769032,-10.82168055,-10.81380141,-10.19577518,-10.18789604,-10.63327474,-10.6253956,-9.715581986,-9.707702849,-10.78390504,-10.7760259
AT1G25210,AtLpxC5,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.412873254,-3.341719809,-5.183304841,-5.112151396,0,0,0,0
AT1G28450,AGL58,0,0,0,0,0,-1.738055485,-1.734362965,-3.438807058,-3.435114538,-3.876320019,-3.872627498,-5.537062692,-5.533370172,-0.698353596,-0.694661075,-2.934650642,-2.930958122,-3.649453293,-3.645760772,-4.618804251,-4.61511173
AT1G32350,AOX1D,0,0,0,0,0,0,0,-2.39859,-2.390012,0,0,0,0,0,0,-4.547155,-4.538576,-3.360186,-3.351607,0,0
AT1G35310,MLP168,0,-1.936262,0,-1.93093,0,0,0,0,0,-0.6731031,-0.6677714,-2.633117,-2.627786,-3.427186,-3.421854,-1.358569,-1.353238,-1.86075,-1.855419,0,0
AT1G44575,CP22,0,-3.752277,0,-3.743958,0,-1.647593,-1.639273,0,0,-5.366624,-5.358304,-1.192675,-1.184355,0,0,0,0,0,0,0,0
AT1G45616,AtRLP6,0,0,0,0,0,0,0,0,0,-2.926618,-2.915894,-1.109052,-1.098329,0,0,0,0,-4.282459,-4.271735,0,0
AT1G48020,ATPMEI1,0,0,0,0,0,-2.752822,-2.748331,-4.285117,-4.280625,-2.706049,-2.701558,0,0,0,0,-4.42217,-4.417679,0,0,0,0
AT1G48260,CIPK17,0,0,0,0,0,-4.63849,-4.628531,-0.6612379,-0.6512794,-6.005565,-5.995607,-5.631375,-5.621417,-4.154938,-4.144979,0,0,-7.461786,-7.451827,-5.032789,-5.022831
