TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT1G01420,UGT72B3,0,-1.791707198,-1.94883895,0,0,-3.135549451,-3.292681203,0,0,-2.063327951,-2.220459703,0,0,-1.582336636,-1.739468387,0,0,-0.736357946,-0.893489698,0,0
AT1G01680,ATPUB54,0,0,0,-2.435228449,-2.605771588,0,0,0,0,-2.577834451,-2.74837759,-2.688969236,-2.859512375,0,0,0,0,0,0,-0.776312886,-0.946856025
AT1G02205,CER1,0,0,0,-1.966092492,-2.11296154,-2.83947093,-2.986339978,0,0,-0.448351173,-0.595220221,-4.263627892,-4.41049694,0,0,0,0,-0.824653822,-0.97152287,0,0
AT1G02820,AtLEA3,0,-0.572850668,-0.767786105,-3.207379181,-3.402314619,-1.418824503,-1.61375994,0,0,-1.620992643,-1.81592808,0,0,0,0,0,0,-1.66269726,-1.857632697,0,0
AT1G03790,AtTZF4,0,-5.797983583,-5.951944322,-5.365163823,-5.519124563,0,0,0,0,-6.318828947,-6.472789687,-5.327782818,-5.481743557,-1.035208797,-1.189169536,0,0,-2.835348083,-2.989308822,0,0
AT1G05990,RHS1,0,-0.570684638,-0.768125269,-2.771659843,-2.969100474,-4.096052257,-4.293492888,0,0,0,0,0,0,-3.252887376,-3.450328007,0,0,-0.744008975,-0.941449606,-2.960532237,-3.157972868
AT1G07430,AIP1,0,-4.091877073,-4.245100112,-3.338288159,-3.491511198,-1.400209174,-1.553432214,0,0,-2.594198962,-2.747422001,0,0,0,0,0,0,-2.218749001,-2.371972041,0,0
AT1G07500,SMR5,0,-2.249584655,-2.633033056,0,0,-2.690340226,-3.073788627,-2.500494926,-2.883943328,0,0,0,0,-2.614688284,-2.998136686,-0.953366546,-1.336814947,-0.580094326,-0.963542728,-0.558131676,-0.941580077
AT1G07900,LBD1,0,0,0,-1.069646782,-1.273319394,-0.450324284,-0.653996896,0,0,-2.988548402,-3.192221013,0,0,0,0,-0.409343798,-0.61301641,0,0,0,0
AT1G08090,ACH1,0,0,0,0,0,-4.336070507,-4.486721734,0,0,-2.524970996,-2.675622223,0,0,0,0,0,0,0,0,0,0
