TAIR,SYMBOL,Log2fc_.Col.0_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0_FLT_dark.v.Ws_GC_dark.
AT1G04580,AAO4,0,0,-2.540802369,0,0,-1.388015371,-2.686905584,-5.689596836,-6.859314792,-6.485334192,-7.123600459,0,-2.767822479,0,0,-1.615035481,-2.913925694,-5.916616946,-7.086334902,-6.712354302,-7.350620569
AT1G07720,KCS3,0,-0.879391005,-2.73499286,-0.913347093,-2.500385064,0,0,0,-1.11380999,-4.0912165,-3.107769309,-1.10685421,-2.962456065,-1.140810297,-2.727848269,0,0,0,-1.341273195,-4.318679705,-3.335232514
AT1G08090,ACH1,0,-4.685660249,0,-2.874560739,0,0,0,0,0,0,0,-4.913146058,0,-3.102046547,0,0,0,0,0,0,0
AT1G18350,ATMKK7,0,0,0,-0.875751847,0,0,0,-4.024544562,-1.142928075,-1.332255851,0,0,0,-1.103686113,0,0,0,-4.252478827,-1.370862341,-1.560190116,0
AT1G18870,ATICS2,0,-3.950574991,0,0,0,0,-0.786502643,0,-1.134020911,0,-3.486076644,-4.178155261,0,0,0,0,-1.014082913,0,-1.361601181,0,-3.713656914
AT1G19890,ATMGH3,0,0,-1.295358541,0,0,0,0,-5.26965922,-4.16753234,-2.884621087,0,0,-1.524042879,0,0,0,0,-5.498343557,-4.396216677,-3.113305425,0
AT1G21860,sks7,0,-2.758061624,0,-2.001680961,-5.638575027,-1.387740801,-2.369959137,0,0,0,0,-2.985639436,0,-2.229258773,-5.866152839,-1.615318613,-2.597536949,0,0,0,0
AT1G23740,AOR,0,-3.672870071,-1.938040491,-0.877703352,0,-4.564150972,-1.867532724,-4.059897183,0,-5.41778544,-2.038678739,-3.900375331,-2.165545752,-1.105208613,0,-4.791656233,-2.095037985,-4.287402444,0,-5.645290701,-2.266183999
AT1G24260,AGL9,0,0,0,0,0,0,0,0,0,-1.372573799,-4.238588693,0,0,0,0,0,0,0,0,-1.600386669,-4.466401563
AT1G25210,AtLpxC5,0,0,0,-3.720124054,-5.490555641,0,0,0,0,0,0,0,0,-3.882213133,-5.65264472,0,0,0,0,0,0
AT1G28010,ABCB14,0,0,0,0,0,-4.704465733,0,0,-5.501772139,0,-5.592694928,0,0,0,0,-4.931914737,0,0,-5.729221143,0,-5.820143932
AT1G29395,COR413-TM1,0,-4.467462955,0,0,-1.533814328,-4.952801486,0,-2.634187144,0,0,0,-4.695621937,0,0,-1.761973311,-5.180960469,0,-2.862346126,0,0,0
AT1G29920,AB165,0,-7.680223314,-4.523356996,-3.02525936,-2.206817599,-6.200222563,-3.513657255,-4.876894585,0,-5.588599141,-4.158325662,-7.907817345,-4.750951026,-3.25285339,-2.434411629,-6.427816593,-3.741251285,-5.104488615,0,-5.816193171,-4.385919692
AT1G30560,AtG3Pp3,0,0,0,-3.822088,-2.137118,-2.590583,-3.057236,-3.970387,0,-2.087513,0,0,0,-4.049813,-2.364844,-2.818308,-3.284961,-4.198112,0,-2.315238,0
AT1G35310,MLP168,0,-0.846241,-2.806255,-3.600324,-1.531707,-2.033888,0,0,0,-2.1094,0,-1.074674,-3.034688,-3.828757,-1.76014,-2.262321,0,0,0,-2.337833,0
AT1G42560,ATMLO9,0,0,0,0,0,0,0,-6.259025,-5.237999,-5.312318,-3.323565,0,0,0,0,0,0,-6.486493,-5.465467,-5.539787,-3.551034
AT1G45191,BGLU1,0,0,0,0,0,0,0,-6.896575,-6.092934,-5.462026,-6.321463,0,0,0,0,0,0,-7.123934,-6.320293,-5.689385,-6.548822
AT1G45616,AtRLP6,0,-3.101436,-1.28387,0,0,-4.457277,0,0,0,0,0,-3.32877,-1.511204,0,0,-4.684611,0,0,0,0,0
AT1G51500,ABCG12,0,-1.448506,0,-3.589373,-2.871195,-6.616978,0,0,-5.690902,0,-1.16092,-1.67623,0,-3.817097,-3.098919,-6.844702,0,0,-5.918626,0,-1.388644
AT1G52580,ATRBL5,0,-0.8456699,0,-2.944713,0,0,-0.8018233,0,0,-4.274815,0,-1.073706,0,-3.172749,0,0,-1.02986,0,0,-4.502852,0
